Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,63.12,65.92,62.96,64.16,28513,0.0165,,1829394.08,
2003-12-02,64.0,66.0,64.0,65.6,17663,0.025,0.0224,1158692.8,
2003-12-03,66.16,66.24,64.08,64.4,9150,-0.0266,-0.0183,589260.0,
2003-12-04,64.4,65.12,60.8,64.32,11413,-0.0012,-0.0012,734084.16,
2003-12-05,63.6,64.32,62.4,62.8,8138,-0.0126,-0.0236,511066.4,
2003-12-08,64.0,64.4,58.88,61.84,9600,-0.0337,-0.0153,593664.0,
2003-12-09,60.48,63.36,60.48,61.04,7525,0.0093,-0.0129,459326.0,
2003-12-10,59.92,60.72,57.2,57.52,11838,-0.0401,-0.0577,680921.76,
2003-12-11,57.36,59.44,57.28,59.36,10538,0.0349,0.032,625535.68,
2003-12-12,57.44,61.84,57.28,61.6,15150,0.0724,0.0377,933240.0,
2003-12-15,62.16,64.0,61.2,62.8,15813,0.0103,0.0195,993056.4,811518.49
2003-12-16,63.84,63.84,59.76,61.6,8275,-0.0351,-0.0191,509740.0,727884.72
2003-12-17,60.16,60.96,59.12,60.96,11600,0.0133,-0.0104,707136.0,662989.44
2003-12-18,60.0,60.64,58.16,60.56,12538,0.0093,-0.0066,759301.28,674777.04
2003-12-19,59.92,60.72,59.36,59.68,9875,-0.004,-0.0145,589340.0,677298.75
2003-12-22,59.28,60.0,57.68,58.8,7450,-0.0081,-0.0147,438060.0,685126.11
2003-12-23,56.88,60.0,56.88,59.6,10975,0.0478,0.0136,654110.0,669565.71
2003-12-24,60.4,60.4,58.24,60.4,5350,0.0,0.0134,323140.0,689044.11
2003-12-26,60.4,62.0,58.32,60.72,8138,0.0053,0.0053,494139.36,653265.94
2003-12-29,59.36,60.8,58.96,59.6,7650,0.004,-0.0184,455940.0,640126.3
2003-12-30,59.04,61.68,58.8,60.24,17700,0.0203,0.0107,1066248.0,592396.3
2003-12-31,59.36,61.2,59.36,60.96,9475,0.027,0.012,577596.0,599715.46
2004-01-02,62.08,62.08,59.44,61.04,5825,-0.0168,0.0013,355558.0,606501.06
2004-01-05,62.32,63.52,60.64,62.4,29113,0.0013,0.0223,1816651.2,571343.26
2004-01-06,62.56,63.28,61.6,62.88,12213,0.0051,0.0077,767953.44,677078.26
2004-01-07,63.28,68.08,63.12,67.2,29438,0.0619,0.0687,1978233.6,694939.6
2004-01-08,67.12,68.0,66.4,66.8,13713,-0.0048,-0.006,916028.4,848956.96
2004-01-09,66.16,68.08,65.6,66.56,15650,0.006,-0.0036,1041664.0,875148.8
2004-01-12,66.96,68.16,66.32,67.12,14025,0.0024,0.0084,941358.0,947001.2
2004-01-13,66.8,67.2,64.08,65.12,14988,-0.0251,-0.0298,976018.56,991723.06
2004-01-14,64.88,66.0,63.6,63.68,27225,-0.0185,-0.0221,1733688.0,1043730.92
2004-01-15,63.76,64.24,61.04,63.6,13888,-0.0025,-0.0013,883276.8,1110474.92
2004-01-16,63.04,64.24,62.4,63.12,18450,0.0013,-0.0075,1164564.0,1141043.0
2004-01-20,61.76,62.48,59.44,59.76,26550,-0.0324,-0.0532,1586628.0,1221943.6
2004-01-21,60.32,61.92,58.72,60.32,31138,0.0,0.0094,1878244.16,1198941.28
2004-01-22,58.88,63.52,58.72,63.44,41050,0.0774,0.0517,2604212.0,1309970.35
2004-01-23,66.24,67.6,64.8,66.8,73875,0.0085,0.053,4934850.0,1372568.19
2004-01-26,67.44,68.8,64.8,64.88,59250,-0.038,-0.0287,3844140.0,1774450.35
2004-01-27,65.68,67.2,64.56,65.52,20425,-0.0024,0.0099,1338246.0,2054697.95
2004-01-28,65.28,65.6,63.44,64.32,12488,-0.0147,-0.0183,803228.16,2094386.75
2004-01-29,64.0,65.28,62.88,62.88,12038,-0.0175,-0.0224,756949.44,2077107.71
2004-01-30,61.28,65.28,61.04,65.12,18900,0.0627,0.0356,1230768.0,1979433.86
2004-02-02,65.2,66.0,64.48,66.0,15363,0.0123,0.0135,1013958.0,2014182.98
2004-02-03,66.0,66.56,64.96,65.84,9850,-0.0024,-0.0024,648524.0,1999122.38
2004-02-04,66.0,66.4,64.0,64.0,9025,-0.0303,-0.0279,577600.0,1905311.98
2004-02-05,63.28,65.28,62.48,64.64,11838,0.0215,0.01,765208.32,1775247.56
2004-02-06,65.2,66.4,64.72,65.52,10138,0.0049,0.0136,664241.76,1591347.19
2004-02-09,64.4,68.8,64.16,67.84,23038,0.0534,0.0354,1562897.92,1164286.37
2004-02-10,67.68,68.96,67.04,67.84,13413,0.0024,0.0,909937.92,936162.16
2004-02-11,68.32,70.32,66.08,70.24,24125,0.0281,0.0354,1694540.0,893331.35
2004-02-12,70.4,73.6,70.24,72.4,28875,0.0284,0.0308,2090550.0,982462.54
2004-02-13,73.76,73.76,70.0,70.96,22413,-0.038,-0.0199,1590426.48,1115822.59
2004-02-17,70.24,72.72,69.36,71.68,15713,0.0205,0.0101,1126307.84,1151788.44
2004-02-18,72.0,74.08,70.4,74.08,15900,0.0289,0.0335,1177872.0,1163023.42
2004-02-19,74.4,80.56,74.4,79.04,54238,0.0624,0.067,4286971.52,1215958.22
2004-02-20,80.0,80.0,75.76,76.32,33063,-0.046,-0.0344,2523368.16,1586895.38
2004-02-23,79.92,80.0,76.48,76.96,22525,-0.037,0.0084,1733524.0,1762711.36
2004-02-24,78.16,79.2,76.24,76.72,11713,-0.0184,-0.0031,898621.36,1869639.58
2004-02-25,78.0,81.36,76.96,81.2,21313,0.041,0.0584,1730615.6,1803211.93
2004-02-26,81.6,86.32,80.08,82.96,51013,0.0167,0.0217,4232038.48,1885279.7
2004-02-27,85.12,86.0,78.08,80.72,26900,-0.0517,-0.027,2171368.0,2139029.54
2004-03-01,83.36,83.52,80.96,82.32,30175,-0.0125,0.0198,2484006.0,2147111.34
2004-03-02,83.6,83.6,82.0,82.64,12050,-0.0115,0.0039,995812.0,2236469.3
2004-03-03,81.6,83.44,80.64,81.6,6713,0.0,-0.0126,547780.8,2223419.71
2004-03-04,82.4,84.16,80.8,83.76,22363,0.0165,0.0265,1873124.88,2160410.59
2004-03-05,83.2,84.0,81.6,82.0,22863,-0.0144,-0.021,1874766.0,1919025.93
2004-03-08,82.16,87.44,82.16,86.08,17275,0.0477,0.0498,1487032.0,1854165.71
2004-03-09,84.4,85.76,79.12,79.12,44913,-0.0626,-0.0809,3553516.56,1829516.51
2004-03-10,81.68,82.0,74.4,76.0,28925,-0.0695,-0.0394,2198300.0,2095006.03
2004-03-11,64.0,70.72,64.0,68.48,66750,0.07,-0.0989,4571040.0,2141774.47
2004-03-12,66.8,69.12,64.96,67.28,24825,0.0072,-0.0175,1670226.0,2175674.62
2004-03-15,66.0,69.12,66.0,66.8,16875,0.0121,-0.0071,1127250.0,2125560.42
2004-03-16,64.48,67.2,64.48,64.96,15838,0.0074,-0.0275,1028836.48,1989884.82
