Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,21.53,21.91,21.4,21.81,1076800,0.013,,23485008.0,
2003-12-02,21.7,21.79,21.47,21.62,809800,-0.0037,-0.0087,17507876.0,
2003-12-03,21.82,22.07,21.73,22.07,1368800,0.0115,0.0208,30209416.0,
2003-12-04,22.08,22.55,22.08,22.52,2340100,0.0199,0.0204,52699052.0,
2003-12-05,22.42,22.54,22.2,22.5,1824500,0.0036,-0.0009,41051250.0,
2003-12-08,22.38,22.73,22.32,22.65,1697100,0.0121,0.0067,38439315.0,
2003-12-09,22.85,22.99,22.57,22.62,1544500,-0.0101,-0.0013,34936590.0,
2003-12-10,22.7,22.75,22.44,22.7,1313000,0.0,0.0035,29805100.0,
2003-12-11,22.79,23.1,22.48,23.1,1290000,0.0136,0.0176,29799000.0,
2003-12-12,23.18,23.61,23.14,23.61,2238800,0.0186,0.0221,52858068.0,
2003-12-15,23.8,23.87,23.26,23.43,1295600,-0.0155,-0.0076,30355908.0,35079067.5
2003-12-16,23.34,23.49,23.14,23.44,1102800,0.0043,0.0004,25849632.0,35766157.5
2003-12-17,23.25,23.51,23.25,23.47,1189800,0.0095,0.0013,27924606.0,36600333.1
2003-12-18,23.5,23.62,23.43,23.5,1281400,0.0,0.0013,30112900.0,36371852.1
2003-12-19,23.43,23.59,23.3,23.59,1315400,0.0068,0.0038,31030286.0,34113236.9
2003-12-22,23.95,24.62,23.9,24.33,2666500,0.0159,0.0314,64875945.0,33111140.5
2003-12-23,23.91,24.04,23.08,23.54,2768200,-0.0155,-0.0325,65163428.0,35754803.5
2003-12-24,23.25,23.56,23.1,23.41,629300,0.0069,-0.0055,14731913.0,38777487.3
2003-12-26,23.52,23.7,23.4,23.52,328900,0.0,0.0047,7735728.0,37270168.6
2003-12-29,23.6,23.81,23.47,23.8,919000,0.0085,0.0119,21872200.0,35063841.4
2003-12-30,23.89,23.9,23.66,23.8,628200,-0.0038,0.0,14951160.0,31965254.6
2003-12-31,23.88,23.91,23.5,23.65,752800,-0.0096,-0.0063,17803720.0,30424779.8
2004-01-02,23.65,23.95,23.62,23.93,1217900,0.0118,0.0118,29144347.0,29620188.6
2004-01-05,24.0,24.06,23.72,23.93,1307800,-0.0029,0.0,31295654.0,29742162.7
2004-01-06,23.9,23.9,23.4,23.87,988700,-0.0013,-0.0025,23600269.0,29860438.1
2004-01-07,22.98,23.26,22.66,23.26,2735300,0.0122,-0.0256,63623078.0,29117436.4
2004-01-08,23.25,23.3,23.0,23.21,1102900,-0.0017,-0.0021,25598309.0,28992149.7
2004-01-09,22.9,23.03,22.74,22.92,1619100,0.0009,-0.0125,37109772.0,25035637.8
2004-01-12,22.81,23.15,22.69,22.88,1517500,0.0031,-0.0017,34720400.0,27273423.7
2004-01-13,22.89,23.24,22.79,23.16,1525900,0.0118,0.0122,35339844.0,29971890.9
2004-01-14,23.1,23.1,22.8,22.95,1299400,-0.0065,-0.0091,29821230.0,31318655.3
2004-01-15,22.91,22.91,22.75,22.77,1372600,-0.0061,-0.0078,31254102.0,32805662.3
2004-01-16,22.92,23.05,22.77,22.9,1751800,-0.0009,0.0057,40116220.0,34150700.5
2004-01-20,22.75,22.8,22.3,22.7,2256600,-0.0022,-0.0087,51224820.0,35247887.8
2004-01-21,22.8,23.3,22.72,23.24,2146300,0.0193,0.0238,49880012.0,37240804.4
2004-01-22,23.18,23.28,23.02,23.2,1214100,0.0009,-0.0017,28167120.0,39868778.7
2004-01-23,23.29,23.4,22.95,23.13,1064700,-0.0069,-0.003,24626511.0,36323182.9
2004-01-26,23.13,23.42,23.04,23.34,1111500,0.0091,0.0091,25942410.0,36226003.1
2004-01-27,23.36,23.36,22.95,23.25,1236200,-0.0047,-0.0039,28741650.0,35109266.9
2004-01-28,23.19,23.25,22.39,22.61,2690800,-0.025,-0.0275,60838988.0,34511391.9
2004-01-29,22.67,22.68,22.1,22.28,2280900,-0.0172,-0.0146,50818452.0,37061306.3
2004-01-30,22.28,22.3,21.74,22.3,1870200,0.0009,0.0009,41705460.0,39161028.5
2004-02-02,22.2,22.23,21.87,21.9,1562700,-0.0135,-0.0179,34223130.0,40206164.3
2004-02-03,21.85,22.16,21.79,21.89,1369500,0.0018,-0.0005,29978355.0,39616855.3
2004-02-04,21.7,21.85,21.53,21.75,2110200,0.0023,-0.0064,45896850.0,37492208.8
2004-02-05,21.85,22.15,21.85,22.03,1633200,0.0082,0.0129,35979396.0,37093892.6
2004-02-06,21.98,22.27,21.87,22.16,2481500,0.0082,0.0059,54990040.0,37875120.2
2004-02-09,22.32,22.56,22.2,22.49,1586900,0.0076,0.0149,35689381.0,40911473.1
2004-02-10,22.35,22.62,22.35,22.59,1393000,0.0107,0.0044,31467870.0,41886170.2
2004-02-11,22.5,22.88,22.41,22.7,1476400,0.0089,0.0049,33514280.0,42158792.2
2004-02-12,22.55,22.62,22.44,22.47,1418700,-0.0035,-0.0101,31878189.0,39426321.4
2004-02-13,22.57,22.57,22.03,22.3,1199500,-0.012,-0.0076,26748850.0,37532295.1
2004-02-17,22.4,22.4,21.63,22.11,2140600,-0.0129,-0.0085,47328666.0,36036634.1
2004-02-18,22.21,22.44,22.16,22.25,2156600,0.0018,0.0063,47984350.0,37347187.7
2004-02-19,22.45,22.6,22.32,22.38,1356000,-0.0031,0.0058,30347280.0,39147787.2
2004-02-20,22.46,22.51,22.22,22.35,1136400,-0.0049,-0.0013,25398540.0,37592830.2
2004-02-23,22.41,22.42,21.92,22.14,878800,-0.012,-0.0094,19456632.0,36534744.6
2004-02-24,22.0,22.03,21.8,21.97,1038500,-0.0014,-0.0077,22815845.0,32981403.8
2004-02-25,22.0,22.08,21.69,21.75,1404200,-0.0114,-0.01,30541350.0,31694050.2
2004-02-26,21.75,21.83,21.51,21.79,909600,0.0018,0.0018,19820184.0,31601398.2
2004-02-27,21.8,22.32,21.8,22.16,1503600,0.0165,0.017,33319776.0,30231988.6
2004-03-01,22.15,22.15,21.69,21.85,1491900,-0.0135,-0.014,32598015.0,30376147.3
2004-03-02,21.84,21.88,21.59,21.63,1503300,-0.0096,-0.0101,32516379.0,30961063.8
2004-03-03,21.02,21.56,21.02,21.45,1821600,0.0205,-0.0083,39073320.0,29479835.1
2004-03-04,21.45,21.71,21.41,21.49,1300500,0.0019,0.0019,27947745.0,28588732.1
2004-03-05,22.0,22.09,21.71,21.84,2257400,-0.0073,0.0163,49301616.0,28348778.6
2004-03-08,21.84,21.88,21.61,21.62,1068100,-0.0101,-0.0101,23092322.0,30739086.2
2004-03-09,21.51,21.59,21.15,21.34,1586400,-0.0079,-0.013,33853776.0,31102655.2
2004-03-10,21.12,21.34,20.98,21.14,2964000,0.0009,-0.0094,62658960.0,32206448.3
2004-03-11,20.8,21.34,20.65,20.96,1625000,0.0077,-0.0085,34060000.0,35418209.3
2004-03-12,20.94,21.4,20.88,21.37,1186200,0.0205,0.0196,25349094.0,36842190.9
2004-03-15,21.37,21.37,20.77,20.98,1446200,-0.0182,-0.0182,30341276.0,36045122.7
2004-03-16,21.22,21.22,20.5,20.82,2668100,-0.0189,-0.0076,55549842.0,35819448.8
2004-03-17,21.01,21.18,20.7,21.15,1648700,0.0067,0.0159,34870005.0,38122795.1
2004-03-18,20.98,21.15,20.77,21.06,888700,0.0038,-0.0043,18716022.0,37702463.6
2004-03-19,20.95,20.97,20.66,20.81,1230600,-0.0067,-0.0119,25608786.0,36779291.3
2004-03-22,20.82,20.89,20.38,20.54,925100,-0.0134,-0.013,19001554.0,34410008.3
2004-03-23,21.0,21.1,20.49,20.6,2026400,-0.019,0.0029,41743840.0,34000931.5
2004-03-24,20.9,21.02,20.75,21.0,3116000,0.0048,0.0194,65436000.0,34789937.9
2004-03-25,21.12,21.63,20.9,21.54,2253700,0.0199,0.0257,48544698.0,35067641.9
2004-03-26,21.6,21.76,21.37,21.52,1141400,-0.0037,-0.0009,24562928.0,36516111.7
2004-03-29,21.69,21.87,21.47,21.76,1087500,0.0032,0.0112,23664000.0,36437495.1
2004-03-30,21.65,21.7,21.41,21.7,950400,0.0023,-0.0028,20623680.0,35769767.5
