Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2015-07-01,18.0,18.0,18.0,18.0,0,0.0,,0.0,
2015-07-02,18.0,18.0,18.0,18.0,0,0.0,0.0,0.0,
2015-07-06,22.0,23.24,21.65,22.0,776000,0.0,0.2222,17072000.0,
2015-07-07,21.79,22.51,21.58,22.0,583000,0.0096,0.0,12826000.0,
2015-07-08,22.65,22.65,21.0,21.47,295300,-0.0521,-0.0241,6340091.0,
2015-07-09,21.58,22.08,21.04,21.25,255100,-0.0153,-0.0102,5420875.0,
2015-07-10,21.78,21.9,21.17,21.75,193700,-0.0014,0.0235,4212975.0,
2015-07-13,21.94,21.95,21.06,21.09,413100,-0.0387,-0.0303,8712279.0,
2015-07-14,20.95,21.14,20.01,20.68,605900,-0.0129,-0.0194,12530012.0,
2015-07-15,20.5,20.68,20.04,20.53,348900,0.0015,-0.0073,7162917.0,
2015-07-16,20.53,22.1,20.11,21.88,713500,0.0658,0.0658,15611380.0,7427714.9
2015-07-17,22.1,22.14,20.6,20.88,281000,-0.0552,-0.0457,5867280.0,8988852.9
2015-07-20,21.08,22.4,20.86,21.43,338900,0.0166,0.0263,7262627.0,9575580.9
2015-07-21,21.2,21.37,20.31,20.6,254200,-0.0283,-0.0387,5236520.0,8594643.6
2015-07-22,20.18,20.98,20.14,20.77,187600,0.0292,0.0083,3896452.0,7835695.6
2015-07-23,20.74,21.21,20.29,20.42,98200,-0.0154,-0.0169,2005244.0,7591331.7
2015-07-24,20.66,20.75,19.0,19.22,514300,-0.0697,-0.0588,9884846.0,7249768.6
2015-07-27,18.77,18.88,17.61,18.0,932600,-0.041,-0.0635,16786800.0,7816955.7
2015-07-28,18.0,18.14,17.8,18.04,430500,0.0022,0.0022,7766220.0,8624407.8
2015-07-29,18.0,18.64,18.0,18.21,567700,0.0117,0.0094,10337817.0,8148028.6
2015-07-30,18.0,18.79,18.0,18.13,247800,0.0072,-0.0044,4492614.0,8465518.6
2015-07-31,18.08,18.48,18.0,18.09,250800,0.0006,-0.0022,4536972.0,7353642.0
2015-08-03,17.91,17.92,15.83,16.86,491100,-0.0586,-0.068,8279946.0,7220611.2
2015-08-04,17.06,17.58,16.6,17.2,154900,0.0082,0.0202,2664280.0,7322343.1
2015-08-05,17.25,17.65,16.47,17.49,119400,0.0139,0.0169,2088306.0,7065119.1
2015-08-06,17.5,18.54,17.5,17.83,258600,0.0189,0.0194,4610838.0,6884304.5
2015-08-07,17.94,18.15,16.78,17.06,112200,-0.0491,-0.0432,1914132.0,7144863.9
2015-08-10,17.18,17.38,16.31,17.16,134200,-0.0012,0.0059,2302872.0,6347792.5
2015-08-11,17.03,17.03,16.45,16.67,58800,-0.0211,-0.0286,980196.0,4899399.7
2015-08-12,16.52,16.55,15.8,16.35,171900,-0.0103,-0.0192,2810565.0,4220797.3
2015-08-13,15.99,15.99,14.17,15.56,912700,-0.0269,-0.0483,14201612.0,3468072.1
2015-08-14,16.06,17.77,15.63,15.76,678600,-0.0187,0.0129,10694736.0,4438971.9
2015-08-17,15.58,17.44,15.0,15.23,156500,-0.0225,-0.0336,2383495.0,5054748.3
2015-08-18,15.19,15.86,14.66,15.58,150400,0.0257,0.023,2343232.0,4465103.2
2015-08-19,15.45,15.45,14.36,14.72,123700,-0.0472,-0.0552,1820864.0,4432998.4
2015-08-20,14.63,14.89,14.13,14.34,221000,-0.0198,-0.0258,3169140.0,4406254.2
2015-08-21,14.02,14.48,13.49,14.22,384000,0.0143,-0.0084,5460480.0,4262084.4
2015-08-24,13.65,14.78,13.47,14.27,173900,0.0454,0.0035,2481553.0,4616719.2
2015-08-25,14.68,14.8,13.93,14.35,106100,-0.0225,0.0056,1522535.0,4634587.3
2015-08-26,14.8,15.17,14.35,15.16,151800,0.0243,0.0564,2301288.0,4688821.2
2015-08-27,15.33,15.89,14.69,15.34,223300,0.0007,0.0119,3425422.0,4637893.5
2015-08-28,15.33,16.25,15.33,15.99,166100,0.0431,0.0424,2655939.0,3560274.5
2015-08-31,15.98,16.29,15.51,15.82,74600,-0.01,-0.0106,1180172.0,2756394.8
2015-09-01,15.59,15.98,15.46,15.76,148400,0.0109,-0.0038,2338784.0,2636062.5
