Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2020-08-13,18.0,18.15,17.15,17.75,4357300,-0.0139,,77342075.0,
2020-08-14,17.75,18.0,17.37,18.0,654500,0.0141,0.0141,11781000.0,
2020-08-17,17.85,18.39,17.69,18.25,445200,0.0224,0.0139,8124900.0,
2020-08-18,18.02,18.3,17.95,18.26,451900,0.0133,0.0005,8251694.0,
2020-08-19,18.4,18.4,17.88,18.05,367100,-0.019,-0.0115,6626155.0,
2020-08-20,18.0,18.2,17.98,18.06,332200,0.0033,0.0006,5999532.0,
2020-08-21,18.03,18.25,17.9,18.06,256100,0.0017,0.0,4625166.0,
2020-08-24,18.0,18.14,17.85,18.09,264100,0.005,0.0017,4777569.0,
2020-08-25,18.01,18.54,17.95,18.36,294800,0.0194,0.0149,5412528.0,
2020-08-26,18.16,18.29,18.14,18.19,70400,0.0017,-0.0093,1280576.0,
2020-08-27,18.0,18.54,18.0,18.27,241500,0.015,0.0044,4412205.0,13422119.5
2020-08-28,18.22,18.4,18.15,18.33,202200,0.006,0.0033,3706326.0,6129132.5
2020-08-31,18.11,18.49,17.94,18.34,263600,0.0127,0.0005,4834424.0,5321665.1
2020-09-01,18.0,18.44,18.0,18.3,196100,0.0167,-0.0022,3588630.0,4992617.5
2020-09-02,18.18,18.38,18.01,18.31,228600,0.0072,0.0005,4185666.0,4526311.1
2020-09-03,18.14,18.49,18.05,18.36,417300,0.0121,0.0027,7661628.0,4282262.2
2020-09-04,18.1,18.41,18.04,18.37,177000,0.0149,0.0005,3251490.0,4448471.8
2020-09-08,18.3,18.57,18.15,18.45,439000,0.0082,0.0044,8099550.0,4311104.2
2020-09-09,18.45,18.6,18.12,18.26,358600,-0.0103,-0.0103,6548036.0,4643302.3
2020-09-10,18.13,18.49,17.8,17.94,240200,-0.0105,-0.0175,4309188.0,4756853.1
2020-09-11,18.19,18.28,17.95,18.05,351900,-0.0077,0.0061,6351795.0,5059714.3
2020-09-14,18.04,18.44,17.93,18.05,299400,0.0006,0.0,5404170.0,5253673.3
2020-09-15,18.01,18.41,18.0,18.3,277100,0.0161,0.0139,5070930.0,5423457.7
2020-09-16,18.08,18.51,18.04,18.31,233800,0.0127,0.0005,4280878.0,5447108.3
2020-09-17,18.01,18.35,18.01,18.16,243200,0.0083,-0.0082,4416512.0,5516333.1
2020-09-18,18.44,18.44,17.25,17.61,2063900,-0.045,-0.0303,36345279.0,5539417.7
2020-09-21,17.49,17.51,16.77,17.25,465700,-0.0137,-0.0204,8033325.0,8407782.8
2020-09-22,17.15,17.67,17.15,17.49,201300,0.0198,0.0139,3520737.0,8885966.3
2020-09-23,17.32,17.35,16.92,17.12,192700,-0.0115,-0.0212,3299024.0,8428085.0
2020-09-24,17.04,17.65,16.9,17.35,115100,0.0182,0.0134,1996985.0,8103183.8
