Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,55.46,59.49,54.9,59.15,1005500,0.0665,,59475325.0,
2003-12-02,58.8,60.33,55.35,55.69,973800,-0.0529,-0.0585,54230922.0,
2003-12-03,57.65,59.0,52.18,54.66,1118400,-0.0519,-0.0185,61131744.0,
2003-12-04,53.8,56.68,52.62,56.3,770900,0.0465,0.03,43401670.0,
2003-12-05,54.27,57.64,54.25,55.1,628300,0.0153,-0.0213,34619330.0,
2003-12-08,54.33,56.4,52.66,53.61,527500,-0.0133,-0.027,28279275.0,
2003-12-09,53.85,54.58,50.01,51.03,792400,-0.0524,-0.0481,40436172.0,
2003-12-10,50.6,50.99,45.4,47.2,1433800,-0.0672,-0.0751,67675360.0,
2003-12-11,47.7,50.86,46.7,50.5,906900,0.0587,0.0699,45798450.0,
2003-12-12,51.09,53.0,49.7,51.62,574600,0.0104,0.0222,29660852.0,
2003-12-15,53.9,54.3,48.3,48.55,738000,-0.0993,-0.0595,35829900.0,46470910.0
2003-12-16,48.53,49.5,44.32,48.25,1020100,-0.0058,-0.0062,49219825.0,44106367.5
2003-12-17,47.6,51.18,46.31,48.38,710100,0.0164,0.0027,34354638.0,43605257.8
2003-12-18,48.86,50.36,47.6,49.01,583300,0.0031,0.013,28587533.0,40927547.2
2003-12-19,49.5,51.79,47.85,49.97,703600,0.0095,0.0196,35158892.0,39446133.5
2003-12-22,49.41,50.99,49.01,49.25,262700,-0.0032,-0.0144,12937975.0,39500089.7
2003-12-23,49.3,51.32,48.25,50.75,255200,0.0294,0.0305,12951400.0,37965959.7
2003-12-24,49.6,51.75,49.4,49.85,166500,0.005,-0.0177,8300025.0,35217482.5
2003-12-26,50.6,51.21,49.25,50.06,99600,-0.0107,0.0042,4985976.0,29279949.0
2003-12-29,49.87,53.97,49.87,53.8,533100,0.0788,0.0747,28680780.0,25198701.6
2003-12-30,53.9,55.86,52.05,52.49,546900,-0.0262,-0.0243,28706781.0,25100694.4
2003-12-31,52.75,53.37,50.25,51.3,354400,-0.0275,-0.0227,18180720.0,24388382.5
2004-01-02,51.86,53.18,51.25,51.77,262000,-0.0017,0.0092,13563740.0,21284472.0
2004-01-05,53.27,54.8,52.3,54.2,397300,0.0175,0.0469,21533660.0,19205382.2
2004-01-06,54.07,57.35,53.64,56.75,582900,0.0496,0.047,33079575.0,18499994.9
2004-01-07,56.78,57.27,54.1,55.05,392300,-0.0305,-0.03,21596115.0,18292063.2
2004-01-08,55.48,56.25,53.08,54.07,306400,-0.0254,-0.0178,16567048.0,19157877.2
2004-01-09,52.43,55.9,51.99,53.26,495100,0.0158,-0.015,26369026.0,19519442.0
2004-01-12,54.0,54.95,52.63,54.51,284500,0.0094,0.0235,15508095.0,21326342.1
2004-01-13,54.86,62.38,54.62,61.99,1888400,0.13,0.1372,117061916.0,22378554.0
2004-01-14,63.72,64.75,60.43,62.24,1017300,-0.0232,0.004,63316752.0,31216667.6
2004-01-15,61.9,65.2,61.01,63.8,848100,0.0307,0.0251,54108780.0,34677664.7
2004-01-16,64.86,68.45,63.3,66.8,813700,0.0299,0.047,54355160.0,38270470.7
2004-01-20,68.4,69.69,65.25,65.81,645400,-0.0379,-0.0148,42473774.0,42349612.7
2004-01-21,64.5,64.5,60.57,61.44,979400,-0.0474,-0.0664,60174336.0,44443624.1
2004-01-22,61.35,63.1,58.08,58.75,697600,-0.0424,-0.0438,40984000.0,47153100.2
2004-01-23,57.85,58.79,52.55,54.59,1546600,-0.0564,-0.0708,84428894.0,49091888.7
2004-01-26,57.67,60.84,56.25,60.68,1397700,0.0522,0.1116,84812436.0,55878073.3
2004-01-27,60.93,63.8,58.56,60.34,915400,-0.0097,-0.0056,55235236.0,61722414.3
2004-01-28,60.99,61.74,55.56,57.0,854800,-0.0654,-0.0554,48723600.0,65695128.4
2004-01-29,56.0,57.0,52.3,55.8,1092800,-0.0036,-0.0211,60978240.0,58861296.8
2004-01-30,55.7,58.1,54.12,56.02,439900,0.0057,0.0039,24643198.0,58627445.6
2004-02-02,57.3,59.05,53.91,55.09,514500,-0.0386,-0.0166,28343805.0,55680887.4
2004-02-03,55.85,57.35,55.09,56.15,390900,0.0054,0.0192,21949035.0,53079751.9
2004-02-04,54.9,56.75,53.6,53.77,467400,-0.0206,-0.0424,25132098.0,51027278.0
2004-02-05,54.0,55.45,45.76,46.2,2160600,-0.1444,-0.1408,99819720.0,47523054.2
2004-02-06,47.34,49.9,45.45,48.27,1355300,0.0196,0.0448,65420331.0,53406626.2
2004-02-09,49.98,49.99,48.5,48.6,433800,-0.0276,0.0068,21082680.0,51505769.9
2004-02-10,48.65,49.34,45.1,46.51,756600,-0.044,-0.043,35189466.0,45132794.3
2004-02-11,46.4,47.95,45.87,46.7,575600,0.0065,0.0041,26880520.0,43128217.3
2004-02-12,46.73,47.5,42.5,42.9,1143800,-0.082,-0.0814,49069020.0,40943909.3
2004-02-13,41.0,44.3,40.85,42.7,607900,0.0415,-0.0047,25957330.0,39752987.3
2004-02-17,44.1,44.57,42.77,43.43,444900,-0.0152,0.0171,19322007.0,39884400.5
2004-02-18,43.92,44.45,42.78,43.01,368300,-0.0207,-0.0097,15840583.0,38982220.7
2004-02-19,43.5,45.12,41.3,42.07,693300,-0.0329,-0.0219,29167131.0,38371375.5
2004-02-20,41.4,42.25,39.5,39.86,673700,-0.0372,-0.0525,26853682.0,38774878.8
2004-02-23,40.98,40.98,37.59,37.83,592900,-0.0769,-0.0509,22429407.0,31478275.0
2004-02-24,36.99,43.87,36.6,43.59,2015600,0.1784,0.1523,87860004.0,27179182.6
2004-02-25,43.5,47.25,42.51,45.03,1829000,0.0352,0.033,82359870.0,33856915.0
2004-02-26,45.03,45.35,41.43,42.65,867000,-0.0529,-0.0529,36977550.0,38573955.4
2004-02-27,43.63,44.74,42.2,42.79,562600,-0.0193,0.0033,24073654.0,39583658.4
2004-03-01,43.75,44.18,42.2,43.3,408500,-0.0103,0.0119,17688050.0,37084121.8
2004-03-02,43.61,43.82,40.62,40.85,506600,-0.0633,-0.0566,20694610.0,36257193.8
2004-03-03,40.2,41.09,39.63,40.58,311100,0.0095,-0.0066,12624438.0,36394454.1
2004-03-04,40.25,42.3,40.25,41.11,316400,0.0214,0.0131,13007204.0,36072839.6
2004-03-05,40.5,41.35,39.54,39.98,439300,-0.0128,-0.0275,17563214.0,34456846.9
2004-03-08,40.91,40.94,38.77,38.9,334700,-0.0491,-0.027,13019830.0,33527800.1
2004-03-09,39.16,40.0,36.34,37.7,490800,-0.0373,-0.0308,18503160.0,32586842.4
2004-03-10,38.11,41.15,37.7,38.67,998300,0.0147,0.0257,38604261.0,25651158.0
2004-03-11,38.97,40.76,38.09,38.47,602400,-0.0128,-0.0052,23174328.0,21275597.1
2004-03-12,40.25,40.25,38.15,38.45,339500,-0.0447,-0.0005,13053775.0,19895274.9
2004-03-15,37.8,39.18,36.36,37.2,415200,-0.0159,-0.0325,15445440.0,18793287.0
2004-03-16,38.08,41.03,36.51,40.83,1045100,0.0722,0.0976,42671433.0,18569026.0
2004-03-17,42.8,46.85,42.1,45.75,2685500,0.0689,0.1205,122861625.0,20766708.3
2004-03-18,42.7,44.39,41.09,41.4,1791900,-0.0304,-0.0951,74184660.0,31790427.0
2004-03-19,41.42,48.55,39.55,47.7,3659500,0.1516,0.1522,174558150.0,37908172.6
2004-03-22,46.1,52.2,45.17,46.43,6423600,0.0072,-0.0266,298247748.0,53607666.2
2004-03-23,47.5,48.93,45.38,46.46,1945300,-0.0219,0.0006,90378638.0,82130458.0
2004-03-24,46.61,47.25,45.54,46.29,597900,-0.0069,-0.0037,27676791.0,89318005.8
2004-03-25,47.15,48.78,46.0,46.69,1344100,-0.0098,0.0086,62756029.0,88225258.8
2004-03-26,46.97,48.3,46.5,46.75,471200,-0.0047,0.0013,22028600.0,92183428.9
2004-03-29,47.17,51.38,47.1,48.0,1657700,0.0176,0.0267,79569600.0,93080911.4
2004-03-30,48.1,49.7,47.5,48.0,717900,-0.0021,0.0,34459200.0,99493327.4
2004-03-31,48.1,49.4,46.6,47.68,730800,-0.0087,-0.0067,34844544.0,98672104.1
2004-04-01,48.0,52.59,47.43,50.83,2193500,0.059,0.0661,111495605.0,89870396.0
2004-04-02,52.47,53.8,51.0,51.3,1183000,-0.0223,0.0092,60687900.0,93601490.5
2004-04-05,51.69,52.47,50.6,51.6,411700,-0.0017,0.0058,21243720.0,82214465.5
2004-04-06,51.5,54.85,51.0,52.6,976900,0.0214,0.0194,51384940.0,54514062.7
2004-04-07,52.4,54.7,52.24,52.45,642100,0.001,-0.0029,33678145.0,50614692.9
2004-04-08,53.7,54.0,50.6,51.39,522200,-0.043,-0.0202,26835858.0,51214828.3
2004-04-12,51.5,52.69,47.78,49.81,740100,-0.0328,-0.0307,36864381.0,47622811.2
2004-04-13,50.44,50.92,45.55,46.75,728300,-0.0732,-0.0614,34048025.0,49106389.3
