Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2020-12-15,6.25,8.37,5.8,6.0,1321400,-0.04,,7928400.0,
2020-12-16,6.25,6.56,5.27,6.1,1382900,-0.024,0.0167,8435690.0,
2020-12-17,17.24,25.85,6.28,7.33,29098200,-0.5748,0.2016,213289806.0,
2020-12-18,7.06,7.1,6.0,6.0,5937000,-0.1501,-0.1814,35622000.0,
2020-12-21,5.68,6.55,5.4,6.3,4886700,0.1092,0.05,30786210.0,
2020-12-22,6.22,6.28,5.72,5.87,1636900,-0.0563,-0.0683,9608603.0,
2020-12-23,5.78,6.0,5.5,5.66,1801000,-0.0208,-0.0358,10193660.0,
2020-12-24,5.61,5.65,5.35,5.42,1031800,-0.0339,-0.0424,5592356.0,
2020-12-28,5.42,5.6,4.89,5.2,1495700,-0.0406,-0.0406,7777640.0,
2020-12-29,5.12,5.15,4.64,5.09,1364900,-0.0059,-0.0212,6947341.0,
2020-12-30,5.16,5.48,4.95,5.11,1054200,-0.0097,0.0039,5386962.0,33618170.6
2020-12-31,5.13,5.17,4.83,4.9,600700,-0.0448,-0.0411,2943430.0,33364026.8
2021-01-04,4.82,4.95,4.52,4.65,648900,-0.0353,-0.051,3017385.0,32814800.8
2021-01-05,4.61,5.46,4.53,5.04,2704400,0.0933,0.0839,13630176.0,11787558.7
2021-01-06,4.97,5.2,4.77,4.82,586000,-0.0302,-0.0437,2824520.0,9588376.3
2021-01-07,4.85,5.0,4.8,4.94,626900,0.0186,0.0249,3096886.0,6792207.3
2021-01-08,5.1,5.32,4.82,5.16,1572200,0.0118,0.0445,8112552.0,6141035.6
2021-01-11,5.06,6.26,5.0,5.38,5071600,0.0632,0.0426,27285208.0,5932924.8
2021-01-12,5.44,5.44,4.88,5.18,963400,-0.0478,-0.0372,4990412.0,8102210.0
2021-01-13,5.08,5.3,4.95,5.16,506500,0.0157,-0.0039,2613540.0,7823487.2
2021-01-14,5.12,5.18,4.96,5.0,443900,-0.0234,-0.031,2219500.0,7390107.1
2021-01-15,5.04,5.11,4.88,5.0,465200,-0.0079,0.0,2326000.0,7073360.9
2021-01-19,4.95,5.07,4.85,5.0,495100,0.0101,0.0,2475500.0,7011617.9
2021-01-20,4.98,5.0,4.84,4.89,483600,-0.0181,-0.022,2364804.0,6957429.4
2021-01-21,4.9,5.09,4.86,5.04,588400,0.0286,0.0307,2965536.0,5830892.2
2021-01-22,4.98,5.05,4.89,5.02,302200,0.008,-0.004,1517044.0,5844993.8
2021-01-25,4.91,5.01,4.65,4.85,522800,-0.0122,-0.0339,2535580.0,5687009.6
2021-01-26,4.83,4.95,4.7,4.82,351800,-0.0021,-0.0062,1695676.0,5129312.4
2021-01-27,4.6,4.72,4.28,4.53,755700,-0.0152,-0.0602,3423321.0,2570359.2
