Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,22.6,22.88,22.6,22.81,21054,0.0093,,480241.74,
2003-12-02,22.64,23.11,22.33,22.33,44528,-0.0137,-0.021,994310.24,
2003-12-03,22.36,22.72,21.45,21.5,65340,-0.0385,-0.0372,1404810.0,
2003-12-04,21.49,21.82,21.33,21.66,57233,0.0079,0.0074,1239666.78,
2003-12-05,21.61,22.4,21.6,22.4,36784,0.0366,0.0342,823961.6,
2003-12-08,22.4,22.4,21.79,21.98,88814,-0.0187,-0.0187,1952131.72,
2003-12-09,22.02,22.3,21.65,21.98,138182,-0.0018,0.0,3037240.36,
2003-12-10,22.02,22.4,21.82,21.98,118580,-0.0018,0.0,2606388.4,
2003-12-11,22.02,22.19,22.02,22.15,70059,0.0059,0.0077,1551806.85,
2003-12-12,22.19,22.47,22.11,22.47,56749,0.0126,0.0144,1275150.03,
2003-12-15,22.55,23.11,22.5,22.63,92686,0.0035,0.0071,2097484.18,1536570.77
2003-12-16,22.64,22.79,22.56,22.77,44770,0.0057,0.0062,1019412.9,1698295.02
2003-12-17,22.77,22.97,22.73,22.9,34485,0.0057,0.0057,789706.5,1700805.28
2003-12-18,22.91,23.05,22.69,23.01,38236,0.0044,0.0048,879810.36,1639294.93
2003-12-19,23.01,23.01,22.4,22.62,75988,-0.0169,-0.0169,1718848.56,1603309.29
2003-12-22,22.62,23.14,22.62,23.14,49852,0.023,0.023,1153575.28,1692797.99
2003-12-23,23.13,23.13,22.82,23.06,70906,-0.003,-0.0035,1635092.36,1612942.34
2003-12-24,23.02,23.1,22.94,22.94,26136,-0.0035,-0.0052,599559.84,1472727.54
2003-12-26,22.89,22.98,22.81,22.97,14036,0.0035,0.0013,322406.92,1272044.69
2003-12-29,23.27,23.69,23.21,23.68,82610,0.0176,0.0309,1956204.8,1149104.69
2003-12-30,23.77,23.78,23.41,23.77,56210,0.0,0.0038,1336111.7,1217210.17
2003-12-31,23.71,23.71,23.3,23.36,103840,-0.0148,-0.0172,2425702.4,1141072.92
2004-01-02,23.41,23.59,23.09,23.37,69520,-0.0017,0.0004,1624682.4,1281701.87
2004-01-05,23.64,23.67,23.36,23.55,44220,-0.0038,0.0077,1041381.0,1365199.46
2004-01-06,23.49,23.55,23.13,23.15,35530,-0.0145,-0.017,822519.5,1381356.53
2004-01-07,23.15,23.43,22.77,23.16,68970,0.0004,0.0004,1597345.2,1291723.62
2004-01-08,23.25,23.55,23.15,23.55,106480,0.0129,0.0168,2507604.0,1336100.61
2004-01-09,23.55,23.61,23.39,23.46,74910,-0.0038,-0.0038,1757388.6,1423351.78
2004-01-12,23.5,23.54,23.14,23.5,82940,0.0,0.0017,1949090.0,1539134.65
2004-01-13,23.41,23.49,23.0,23.49,77990,0.0034,-0.0004,1831985.1,1701802.96
2004-01-14,23.55,23.62,23.39,23.58,41030,0.0013,0.0038,967487.4,1689380.99
2004-01-15,23.45,23.59,23.1,23.59,38390,0.006,0.0004,905620.1,1652518.56
2004-01-16,23.82,23.86,22.45,22.45,64570,-0.0575,-0.0483,1449596.5,1500510.33
2004-01-20,22.68,23.72,22.68,23.72,83160,0.0459,0.0566,1972555.2,1483001.74
2004-01-21,23.72,23.72,23.45,23.62,29370,-0.0042,-0.0042,693719.4,1576119.16
2004-01-22,23.59,23.72,23.25,23.28,48400,-0.0131,-0.0144,1126752.0,1563239.15
2004-01-23,23.34,23.88,23.29,23.86,44880,0.0223,0.0249,1070836.8,1516179.83
2004-01-26,23.77,24.13,23.4,24.13,48290,0.0151,0.0113,1165237.7,1372503.11
2004-01-27,24.04,24.04,23.64,23.75,29150,-0.0121,-0.0157,692312.5,1313288.02
2004-01-28,23.73,23.73,23.14,23.39,49170,-0.0143,-0.0152,1150086.3,1187610.27
2004-01-29,23.62,23.63,22.91,23.09,58080,-0.0224,-0.0128,1341067.2,1119420.39
2004-01-30,23.18,23.35,23.1,23.18,28380,0.0,0.0039,657848.4,1156778.37
2004-02-02,23.18,23.45,23.14,23.27,31240,0.0039,0.0039,726954.8,1132001.2
2004-02-03,23.32,23.35,22.95,23.01,36630,-0.0133,-0.0112,842856.3,1059737.03
2004-02-04,22.95,23.12,22.41,22.73,142560,-0.0096,-0.0122,3240388.8,946767.14
2004-02-05,22.91,23.14,22.54,22.86,42900,-0.0022,0.0057,980694.0,1201434.08
2004-02-06,22.73,22.9,22.68,22.7,47960,-0.0013,-0.007,1088692.0,1186828.28
2004-02-09,22.73,23.44,22.47,23.18,64020,0.0198,0.0211,1483983.6,1188613.8
2004-02-10,23.36,24.15,23.36,24.14,212630,0.0334,0.0414,5132888.2,1220488.39
2004-02-11,24.23,24.82,24.16,24.64,168190,0.0169,0.0207,4144201.6,1664545.96
2004-02-12,24.55,24.87,24.36,24.51,215050,-0.0016,-0.0053,5270875.5,1963957.49
2004-02-13,24.51,24.63,23.54,24.09,336490,-0.0171,-0.0171,8106044.1,2356938.32
2004-02-17,24.09,24.73,24.05,24.72,239580,0.0262,0.0262,5922417.6,3101757.89
2004-02-18,24.68,25.08,24.5,24.96,204820,0.0113,0.0097,5112307.2,3621304.17
2004-02-19,25.0,25.17,24.86,24.94,193600,-0.0024,-0.0008,4828384.0,4048249.26
2004-02-20,24.98,25.41,24.91,25.03,199760,0.002,0.0036,4999992.8,4207048.78
2004-02-23,25.23,25.52,25.07,25.45,93940,0.0087,0.0168,2390773.0,4608978.66
2004-02-24,25.45,26.5,25.45,25.91,153340,0.0181,0.0181,3973039.4,4739186.76
2004-02-25,26.14,26.36,25.85,26.36,83050,0.0084,0.0174,2189198.0,4988092.34
2004-02-26,26.36,26.36,25.82,26.0,67320,-0.0137,-0.0137,1750320.0,4693723.32
2004-02-27,25.95,26.14,25.85,26.12,68750,0.0066,0.0046,1795750.0,4454335.16
2004-03-01,26.03,26.32,25.91,26.24,81070,0.0081,0.0046,2127276.8,4106822.61
