Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2023-03-22,4.15,4.15,4.07,4.14,25500,-0.0024,,105570.0,
2023-03-23,4.1,4.2,4.06,4.18,92100,0.0195,0.0097,384978.0,
2023-03-24,4.13,4.31,4.13,4.29,40100,0.0387,0.0263,172029.0,
2023-03-27,4.21,4.4,4.19,4.34,31100,0.0309,0.0117,134974.0,
2023-03-28,4.27,5.2,4.18,4.34,279200,0.0164,0.0,1211728.0,
2023-03-29,4.27,4.39,4.24,4.28,180900,0.0023,-0.0138,774252.0,
2023-03-30,4.38,4.39,4.2,4.22,71900,-0.0365,-0.014,303418.0,
2023-03-31,4.23,4.34,4.22,4.27,39900,0.0095,0.0118,170373.0,
2023-04-03,4.52,5.09,3.8,4.06,441000,-0.1018,-0.0492,1790460.0,
2023-04-04,4.09,4.2,4.0,4.12,122200,0.0073,0.0148,503464.0,
2023-04-05,4.09,4.15,4.02,4.11,96500,0.0049,-0.0024,396615.0,555124.6
2023-04-06,4.04,4.36,4.04,4.34,67200,0.0743,0.056,291648.0,584229.1
2023-04-10,4.24,4.71,4.24,4.42,686900,0.0425,0.0184,3036098.0,574896.1
2023-04-11,4.51,4.9,4.42,4.87,185700,0.0798,0.1018,904359.0,861303.0
2023-04-12,4.88,6.17,4.62,4.71,462200,-0.0348,-0.0329,2176962.0,938241.5
2023-04-13,4.61,4.96,4.5,4.62,182300,0.0022,-0.0191,842226.0,1034764.9
2023-04-14,4.6,5.4,4.6,5.07,687800,0.1022,0.0974,3487146.0,1041562.3
2023-04-17,5.9,6.34,4.63,4.96,210800,-0.1593,-0.0217,1045568.0,1359935.1
2023-04-18,5.08,5.12,4.86,4.88,23300,-0.0394,-0.0161,113704.0,1447454.6
2023-04-19,4.75,5.76,4.75,5.61,323100,0.1811,0.1496,1812591.0,1279779.0
2023-04-20,5.55,5.55,5.0,5.07,235600,-0.0865,-0.0963,1194492.0,1410691.7
2023-04-21,5.1,5.32,5.1,5.16,15100,0.0118,0.0178,77916.0,1490479.4
2023-04-24,5.45,5.8,5.18,5.61,60800,0.0294,0.0872,341088.0,1469106.2
2023-04-25,5.61,6.92,5.61,6.69,165900,0.1925,0.1925,1109871.0,1199605.2
2023-04-26,6.76,7.8,6.27,7.5,155500,0.1095,0.1211,1166250.0,1220156.4
2023-04-27,7.69,7.69,6.8,6.88,201300,-0.1053,-0.0827,1384944.0,1119085.2
2023-04-28,6.8,7.09,6.74,6.9,19000,0.0147,0.0029,131100.0,1173357.0
2023-05-01,6.76,7.04,5.63,5.98,198800,-0.1154,-0.1333,1188824.0,837752.4
2023-05-02,6.0,6.1,5.85,5.86,20400,-0.0233,-0.0201,119544.0,852078.0
2023-05-03,5.76,6.09,5.48,5.85,61900,0.0156,-0.0017,362115.0,852662.0
2023-05-04,5.7,5.81,5.15,5.6,53600,-0.0175,-0.0427,300160.0,707614.4
2023-05-05,5.65,6.2,5.6,6.2,30300,0.0973,0.1071,187860.0,618181.2
2023-05-08,6.31,27.13,6.31,25.98,1286500,3.1173,3.1903,33423270.0,629175.6
2023-05-09,17.39,18.7,9.8,12.52,2365300,-0.28,-0.5181,29613556.0,3937393.8
2023-05-10,11.45,16.0,10.0,13.25,1426500,0.1572,0.0583,18901125.0,6787762.3
2023-05-11,12.57,14.88,11.31,14.51,517300,0.1543,0.0951,7506023.0,8561249.8
2023-05-12,13.8,20.5,12.5,18.46,1330000,0.3377,0.2722,24551800.0,9173357.7
2023-05-15,22.82,57.0,13.32,30.88,7892900,0.3532,0.6728,243732752.0,11615427.7
2023-05-16,31.84,32.0,5.53,6.35,12526300,-0.8006,-0.7944,79542005.0,35869820.5
2023-05-17,7.08,7.6,5.61,6.27,6994200,-0.1144,-0.0126,43853634.0,43812066.6
