Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,14.33,14.49,14.27,14.33,358500,0.0,,5137305.0,
2003-12-02,14.33,14.63,14.17,14.51,410250,0.0126,0.0126,5952727.5,
2003-12-03,14.97,14.97,14.47,14.47,756450,-0.0334,-0.0028,10945831.5,
2003-12-04,14.47,14.65,14.42,14.57,377550,0.0069,0.0069,5500903.5,
2003-12-05,14.56,14.67,14.4,14.57,262950,0.0007,0.0,3831181.5,
2003-12-08,14.56,14.7,14.42,14.67,221550,0.0076,0.0069,3250138.5,
2003-12-09,14.6,14.66,14.4,14.55,406050,-0.0034,-0.0082,5908027.5,
2003-12-10,14.53,14.53,14.06,14.2,206250,-0.0227,-0.0241,2928750.0,
2003-12-11,14.27,14.53,14.09,14.53,144600,0.0182,0.0232,2101038.0,
2003-12-12,14.61,14.77,14.28,14.77,238500,0.011,0.0165,3522645.0,
2003-12-15,15.17,15.17,14.43,14.43,159000,-0.0488,-0.023,2294370.0,4907854.8
2003-12-16,14.51,14.55,14.02,14.17,196050,-0.0234,-0.018,2778028.5,4623561.3
2003-12-17,14.28,14.28,13.67,14.27,293250,-0.0007,0.0071,4184677.5,4306091.4
2003-12-18,14.28,14.66,14.03,14.59,253200,0.0217,0.0224,3694188.0,3629976.0
2003-12-19,14.59,14.59,14.19,14.43,556650,-0.011,-0.011,8032459.5,3449304.45
2003-12-22,14.57,14.57,14.13,14.37,259950,-0.0137,-0.0042,3735481.5,3869432.25
2003-12-23,14.53,14.67,14.3,14.59,367650,0.0041,0.0153,5364013.5,3917966.55
2003-12-24,14.7,14.7,14.37,14.37,123300,-0.0224,-0.0151,1771821.0,3863565.15
2003-12-26,14.54,14.66,14.49,14.61,57900,0.0048,0.0167,845919.0,3747872.25
2003-12-29,14.75,14.98,14.75,14.97,212700,0.0149,0.0246,3184119.0,3622360.35
2003-12-30,14.93,14.97,14.86,14.97,275100,0.0027,0.0,4118247.0,3588507.75
2003-12-31,14.97,15.03,14.61,14.61,218550,-0.024,-0.024,3193015.5,3770895.45
2004-01-02,14.76,15.01,14.72,15.0,265050,0.0163,0.0267,3975750.0,3812394.15
2004-01-05,15.0,15.23,14.96,15.19,320700,0.0127,0.0127,4871433.0,3791501.4
2004-01-06,15.21,15.35,15.11,15.2,298500,-0.0007,0.0007,4537200.0,3909225.9
2004-01-07,15.33,15.42,15.1,15.42,164700,0.0059,0.0145,2539674.0,3559699.95
2004-01-08,15.49,15.61,15.33,15.53,199800,0.0026,0.0071,3102894.0,3440119.2
2004-01-09,15.46,15.67,15.33,15.45,694500,-0.0006,-0.0052,10730025.0,3214007.25
2004-01-12,15.53,15.63,15.47,15.56,165150,0.0019,0.0071,2569734.0,4109827.65
2004-01-13,15.56,15.56,14.83,15.19,311700,-0.0238,-0.0238,4734723.0,4282209.15
2004-01-14,15.33,15.56,15.31,15.33,220500,0.0,0.0092,3380265.0,4437269.55
2004-01-15,15.33,15.35,14.93,15.25,142200,-0.0052,-0.0052,2168550.0,4363471.35
2004-01-16,15.4,15.53,15.31,15.42,159150,0.0013,0.0111,2454093.0,4261024.8
2004-01-20,15.33,15.59,15.13,15.59,228750,0.017,0.011,3566212.5,4108859.1
2004-01-21,15.5,15.79,15.33,15.79,123150,0.0187,0.0128,1944538.5,3978337.05
2004-01-22,15.8,15.93,15.54,15.77,162900,-0.0019,-0.0013,2568933.0,3719070.9
2004-01-23,15.71,15.81,15.34,15.67,179400,-0.0025,-0.0063,2811198.0,3721996.8
2004-01-26,15.54,16.0,15.47,15.97,107250,0.0277,0.0191,1712782.5,3692827.2
2004-01-27,16.03,16.1,15.77,15.96,100800,-0.0044,-0.0006,1608768.0,2791102.95
2004-01-28,16.0,16.07,15.23,15.34,280350,-0.0413,-0.0388,4300569.0,2695006.35
2004-01-29,15.47,15.87,15.27,15.6,253650,0.0084,0.0169,3956940.0,2651590.95
2004-01-30,15.53,15.54,15.03,15.3,217050,-0.0148,-0.0192,3320865.0,2709258.45
2004-02-02,15.31,15.4,14.86,15.07,304050,-0.0157,-0.015,4582033.5,2824489.95
2004-02-03,15.73,16.29,15.67,15.87,843900,0.0089,0.0531,13392693.0,3037284.0
2004-02-04,15.87,15.91,15.35,15.35,364800,-0.0328,-0.0328,5599680.0,4019932.05
2004-02-05,15.49,15.93,15.49,15.77,202500,0.0181,0.0274,3193425.0,4385446.2
2004-02-06,15.83,16.43,15.78,16.37,273600,0.0341,0.038,4478832.0,4447895.4
2004-02-09,16.33,16.69,16.3,16.59,411750,0.0159,0.0134,6830932.5,4614658.8
2004-02-10,16.53,16.63,16.25,16.5,212250,-0.0018,-0.0054,3502125.0,5126473.8
2004-02-11,16.5,16.67,16.37,16.59,205350,0.0055,0.0055,3406756.5,5315809.5
2004-02-12,16.59,17.09,16.48,16.85,280500,0.0157,0.0157,4726425.0,5226428.25
2004-02-13,16.72,16.91,16.5,16.61,159300,-0.0066,-0.0142,2645973.0,5303376.75
2004-02-17,16.47,16.86,16.47,16.79,363900,0.0194,0.0108,6109881.0,5235887.55
2004-02-18,16.96,16.99,16.4,16.51,159750,-0.0265,-0.0167,2637472.5,5388672.3
2004-02-19,16.63,16.73,16.21,16.21,146100,-0.0253,-0.0182,2368281.0,4313150.25
2004-02-20,16.3,16.63,15.77,16.35,185100,0.0031,0.0086,3026385.0,3990010.35
2004-02-23,16.49,16.55,16.07,16.2,255150,-0.0176,-0.0092,4133430.0,3973306.35
2004-02-24,16.25,16.48,15.97,16.4,198600,0.0092,0.0123,3257040.0,3938766.15
2004-02-25,16.47,16.55,16.26,16.51,237300,0.0024,0.0067,3917823.0,3581376.9
2004-02-26,16.51,16.51,16.22,16.3,160500,-0.0127,-0.0127,2616150.0,3622946.7
2004-02-27,15.87,16.59,15.87,16.51,244500,0.0403,0.0129,4036695.0,3543886.05
2004-03-01,16.61,16.83,16.22,16.79,240150,0.0108,0.017,4032118.5,3474913.05
2004-03-02,16.79,16.99,16.66,16.85,150150,0.0036,0.0036,2530027.5,3613527.6
2004-03-03,16.87,17.2,16.54,16.91,281700,0.0024,0.0036,4763547.0,3255542.25
2004-03-04,16.91,16.92,16.56,16.92,237900,0.0006,0.0006,4025268.0,3468149.7
2004-03-05,16.92,17.39,16.77,17.17,194700,0.0148,0.0148,3342999.0,3633848.4
2004-03-08,17.17,17.23,16.47,16.67,228600,-0.0291,-0.0291,3810762.0,3665509.8
2004-03-09,16.83,16.83,16.5,16.53,135000,-0.0178,-0.0084,2231550.0,3633243.0
2004-03-10,16.62,16.84,16.4,16.52,167250,-0.006,-0.0006,2762970.0,3530694.0
2004-03-11,16.5,16.6,16.07,16.17,220050,-0.02,-0.0212,3558208.5,3415208.7
2004-03-12,16.27,16.91,16.27,16.74,295800,0.0289,0.0353,4951692.0,3509414.55
2004-03-15,16.74,16.77,16.43,16.43,332400,-0.0185,-0.0185,5461332.0,3600914.25
2004-03-16,16.43,16.5,16.3,16.32,429150,-0.0067,-0.0067,7003728.0,3743835.6
2004-03-17,16.32,16.67,16.32,16.53,199050,0.0129,0.0129,3290296.5,4191205.65
2004-03-18,16.53,16.53,16.17,16.3,278850,-0.0139,-0.0139,4545255.0,4043880.6
2004-03-19,16.33,16.39,16.07,16.23,219600,-0.0061,-0.0043,3564108.0,4095879.3
2004-03-22,16.23,16.29,15.87,15.99,291750,-0.0148,-0.0148,4665082.5,4117990.2
2004-03-23,16.03,16.17,15.99,16.11,283800,0.005,0.0075,4572018.0,4203422.25
2004-03-24,16.1,16.23,16.07,16.17,455250,0.0043,0.0037,7361392.5,4437469.05
