Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2020-10-02,15.5,17.05,14.6,16.0,729786,0.0323,,11676576.0,
2020-10-05,16.35,16.62,15.4,15.68,150414,-0.041,-0.02,2358491.52,
2020-10-06,15.9,16.18,15.52,15.52,46022,-0.0239,-0.0102,714261.44,
2020-10-07,15.78,17.74,15.23,15.23,208200,-0.0349,-0.0187,3170886.0,
2020-10-08,15.5,15.86,15.0,15.4,75359,-0.0065,0.0112,1160528.6,
2020-10-09,15.85,16.38,15.45,15.66,84622,-0.012,0.0169,1325180.52,
2020-10-12,16.01,16.5,15.5,15.5,39597,-0.0319,-0.0102,613753.5,
2020-10-13,15.5,15.8,15.0,15.01,38022,-0.0316,-0.0316,570710.22,
2020-10-14,15.27,19.3,15.2,18.55,611535,0.2148,0.2358,11343974.25,
2020-10-15,18.46,18.46,16.5,17.27,99279,-0.0645,-0.069,1714548.33,
2020-10-16,17.29,17.68,15.31,15.84,150950,-0.0839,-0.0828,2391048.0,3464891.04
2020-10-19,16.09,16.38,15.67,15.97,22760,-0.0075,0.0082,363477.2,2536338.24
2020-10-20,15.79,16.11,15.15,15.54,33558,-0.0158,-0.0269,521491.32,2336836.81
2020-10-21,15.49,15.52,14.62,15.0,69677,-0.0316,-0.0347,1045155.0,2317559.79
2020-10-22,15.12,15.92,15.0,15.28,74153,0.0106,0.0187,1133057.84,2104986.69
2020-10-23,15.11,15.9,15.1,15.51,21674,0.0265,0.0151,336163.74,2102239.62
2020-10-26,15.51,16.4,15.51,16.4,67486,0.0574,0.0574,1106770.4,2003337.94
2020-10-27,17.0,18.17,16.25,17.82,62448,0.0482,0.0866,1112823.36,2052639.63
2020-10-28,17.91,18.85,17.61,17.77,57994,-0.0078,-0.0028,1030553.38,2106850.94
2020-10-29,17.12,18.0,16.43,16.71,49443,-0.0239,-0.0597,826192.53,1075508.86
