Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2021-11-30,7120.0,24180.0,7120.0,10440.0,2699,0.4663,,28177560.0,
2021-12-01,20440.0,21500.0,12280.0,13080.0,22468,-0.3601,0.2529,293881440.0,
2021-12-02,10820.0,12000.0,9600.0,10900.0,1531,0.0074,-0.1667,16687900.0,
2021-12-03,10520.0,10760.0,8120.0,8200.0,735,-0.2205,-0.2477,6027000.0,
2021-12-06,7576.0,7576.0,6360.0,6600.0,741,-0.1288,-0.1951,4890600.0,
2021-12-07,6740.0,6780.0,6100.0,6160.0,524,-0.0861,-0.0667,3227840.0,
2021-12-08,5980.0,5980.0,5334.0,5580.0,602,-0.0669,-0.0942,3359160.0,
2021-12-09,5540.0,5580.0,5180.0,5200.0,334,-0.0614,-0.0681,1736800.0,
2021-12-10,5300.0,5420.0,4760.0,4840.0,372,-0.0868,-0.0692,1800480.0,
2021-12-13,4960.0,5420.0,4800.0,5320.0,406,0.0726,0.0992,2159920.0,
2021-12-14,5340.0,5340.0,4700.0,4860.0,250,-0.0899,-0.0865,1215000.0,36194870.0
2021-12-15,4900.0,4940.0,4280.0,4580.0,313,-0.0653,-0.0576,1433540.0,33498614.0
2021-12-16,4580.0,4700.0,4220.0,4300.0,138,-0.0611,-0.0611,593400.0,4253824.0
2021-12-17,4228.0,4486.0,4114.0,4200.0,144,-0.0066,-0.0233,604800.0,2644374.0
2021-12-20,4200.0,4560.0,4060.0,4400.0,187,0.0476,0.0476,822800.0,2102154.0
2021-12-21,4500.0,5000.0,4440.0,4760.0,334,0.0578,0.0818,1589840.0,1695374.0
2021-12-22,4680.0,4800.0,4540.0,4580.0,86,-0.0214,-0.0378,393880.0,1531574.0
2021-12-23,4540.0,4880.0,4460.0,4560.0,128,0.0044,-0.0044,583680.0,1235046.0
2021-12-27,4500.0,4720.0,4200.0,4260.0,139,-0.0533,-0.0658,592140.0,1119734.0
2021-12-28,4260.0,4380.0,4020.0,4080.0,271,-0.0423,-0.0423,1105680.0,998900.0
2021-12-29,4180.0,4300.0,3840.0,3904.0,244,-0.066,-0.0431,952576.0,893476.0
2021-12-30,3900.0,4300.0,3800.0,4260.0,219,0.0923,0.0912,932940.0,867233.6
2021-12-31,4260.0,4300.0,3960.0,4060.0,95,-0.0469,-0.0469,385700.0,817173.6
2022-01-03,4160.0,4380.0,4040.0,4300.0,124,0.0337,0.0591,533200.0,796403.6
2022-01-04,4220.0,4360.0,4160.0,4300.0,69,0.019,0.0,296700.0,789243.6
2022-01-05,4260.0,4500.0,4140.0,4200.0,66,-0.0141,-0.0233,277200.0,736633.6
2022-01-06,4160.0,4320.0,3960.0,4000.0,108,-0.0385,-0.0476,432000.0,605369.6
2022-01-07,4080.0,4120.0,3960.0,4000.0,49,-0.0196,0.0,196000.0,609181.6
2022-01-10,3900.0,3994.0,3820.0,3900.0,38,0.0,-0.025,148200.0,570413.6
2022-01-11,3860.0,4000.0,3820.0,3900.0,66,0.0104,0.0,257400.0,526019.6
2022-01-12,3900.0,4640.0,3840.0,4420.0,451,0.1333,0.1333,1993420.0,441191.6
2022-01-13,4260.0,4280.0,3900.0,3910.0,184,-0.0822,-0.1154,719440.0,545276.0
2022-01-14,3860.0,3900.0,3500.0,3580.0,275,-0.0725,-0.0844,984500.0,523926.0
2022-01-18,3420.0,3480.0,3040.0,3060.0,205,-0.1053,-0.1453,627300.0,583806.0
2022-01-19,3060.0,3100.0,2960.0,2960.0,130,-0.0327,-0.0327,384800.0,593216.0
2022-01-20,2760.0,2900.0,2240.0,2360.0,1668,-0.1449,-0.2027,3936480.0,602026.0
2022-01-21,1240.0,1312.0,1100.0,1122.0,8042,-0.0952,-0.5246,9023124.0,967954.0
2022-01-24,1078.0,1160.0,1000.0,1142.0,1549,0.0594,0.0178,1768958.0,1827066.4
2022-01-25,1146.0,1160.0,982.0,1076.0,1462,-0.0611,-0.0578,1573112.0,1984362.2
2022-01-26,1094.0,1140.0,1048.0,1086.0,660,-0.0073,0.0093,716760.0,2126853.4
2022-01-27,1120.0,1120.0,1020.0,1076.0,401,-0.0393,-0.0092,431476.0,2172789.4
2022-01-28,1080.0,1118.0,1040.0,1092.0,323,0.0111,0.0149,352716.0,2016595.0
2022-01-31,1040.0,1140.0,1040.0,1078.0,487,0.0365,-0.0128,524986.0,1979922.6
2022-02-01,1090.0,1140.0,1060.0,1106.0,450,0.0147,0.026,497700.0,1933971.2
2022-02-02,1100.0,1132.0,1032.0,1040.0,579,-0.0545,-0.0597,602160.0,1921011.2
2022-02-03,1032.0,1032.0,920.0,930.0,828,-0.0988,-0.1058,770040.0,1942747.2
2022-02-04,958.0,960.0,880.0,880.0,1213,-0.0814,-0.0538,1067440.0,1626103.2
2022-02-07,880.0,880.0,816.0,820.0,701,-0.0682,-0.0682,574820.0,830534.8
2022-02-08,800.0,830.0,786.0,810.0,849,0.0125,-0.0122,687690.0,711121.0
2022-02-09,820.0,872.0,780.0,796.0,1350,-0.0293,-0.0173,1074600.0,622578.8
2022-02-10,800.0,860.0,790.0,860.0,666,0.075,0.0804,572760.0,658362.8
2022-02-11,840.0,1038.0,840.0,996.0,2374,0.1857,0.1581,2364504.0,672491.2
2022-02-14,1000.0,1028.0,940.0,996.0,628,-0.004,0.0,625488.0,873670.0
2022-02-15,980.0,1014.0,960.0,1000.0,404,0.0204,0.004,404000.0,883720.2
2022-02-16,1000.0,1028.0,970.0,1000.0,338,0.0,0.0,338000.0,874350.2
2022-02-17,980.0,1020.0,980.0,1000.0,312,0.0204,0.0,312000.0,847934.2
2022-02-18,1000.0,1000.0,962.0,966.0,188,-0.034,-0.034,181608.0,802130.2
2022-02-22,920.0,994.0,910.0,950.0,220,0.0326,-0.0166,209000.0,713547.0
2022-02-23,968.0,1034.0,938.0,972.0,673,0.0041,0.0232,654156.0,676965.0
2022-02-24,940.0,994.0,872.0,940.0,536,0.0,-0.0329,503840.0,673611.6
2022-02-25,974.0,1010.0,946.0,996.0,510,0.0226,0.0596,507960.0,616535.6
2022-02-28,958.0,1034.0,944.0,944.0,636,-0.0146,-0.0522,600384.0,610055.6
2022-03-01,960.0,1000.0,940.0,950.0,325,-0.0104,0.0064,308750.0,433643.6
2022-03-02,976.0,1160.0,942.0,1040.0,1725,0.0656,0.0947,1794000.0,401969.8
2022-03-03,1020.0,1120.0,944.0,1100.0,2017,0.0784,0.0577,2218700.0,540969.8
2022-03-04,1158.0,1380.0,1060.0,1250.0,7344,0.0794,0.1364,9180000.0,729039.8
2022-03-07,1520.0,3400.0,1440.0,2520.0,55471,0.6579,1.016,139786920.0,1615839.8
2022-03-08,3460.0,3520.0,1764.0,2220.0,31015,-0.3584,-0.119,68853300.0,15576371.0
2022-03-09,1746.0,2120.0,1660.0,1800.0,7608,0.0309,-0.1892,13694400.0,22440801.0
2022-03-10,1960.0,2200.0,1720.0,1752.0,5700,-0.1061,-0.0267,9986400.0,23744825.4
2022-03-11,1560.0,1578.0,1402.0,1480.0,3856,-0.0513,-0.1553,5706880.0,24693081.4
2022-03-14,1380.0,1458.0,1264.0,1396.0,2412,0.0116,-0.0568,3367152.0,25212973.4
2022-03-15,1342.0,1378.0,1194.0,1270.0,2788,-0.0537,-0.0903,3540760.0,25489650.2
2022-03-16,1240.0,1390.0,1200.0,1200.0,1854,-0.0323,-0.0551,2224800.0,25812851.2
2022-03-17,1300.0,1496.0,1300.0,1360.0,3855,0.0462,0.1333,5242800.0,25855931.2
2022-03-18,1324.0,1370.0,1242.0,1298.0,1775,-0.0196,-0.0456,2303950.0,26158341.2
2022-03-21,1300.0,1460.0,1220.0,1332.0,2876,0.0246,0.0262,3830832.0,25470736.2
2022-03-22,1378.0,1600.0,1340.0,1570.0,2582,0.1393,0.1787,4053740.0,11875127.4
2022-03-23,1640.0,1750.0,1482.0,1562.0,2552,-0.0476,-0.0051,3986224.0,5395171.4
2022-03-24,1570.0,1596.0,1450.0,1510.0,965,-0.0382,-0.0333,1457150.0,4424353.8
