Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2018-02-01,5.97,6.0,4.57,4.88,1413900,-0.1826,,6899832.0,
2018-02-02,4.91,4.99,4.51,4.7,153600,-0.0428,-0.0369,721920.0,
2018-02-05,4.7,4.74,4.45,4.6,156100,-0.0213,-0.0213,718060.0,
2018-02-06,4.69,4.94,4.61,4.9,80000,0.0448,0.0652,392000.0,
2018-02-07,5.1,5.15,4.65,4.65,38800,-0.0882,-0.051,180420.0,
2018-02-08,4.96,5.06,4.65,5.06,216000,0.0202,0.0882,1092960.0,
2018-02-09,5.1,5.1,4.8,4.91,194400,-0.0373,-0.0296,954504.0,
2018-02-12,4.95,4.95,4.62,4.63,25900,-0.0646,-0.057,119917.0,
2018-02-13,4.91,4.91,4.6,4.7,5800,-0.0428,0.0151,27260.0,
2018-02-14,4.83,4.95,4.7,4.78,16600,-0.0104,0.017,79348.0,
2018-02-15,4.61,4.92,4.61,4.76,17800,0.0325,-0.0042,84728.0,1118622.1
2018-02-16,4.94,5.05,4.8,5.0,108700,0.0121,0.0504,543500.0,437111.7
2018-02-20,5.1,5.1,4.65,4.7,36500,-0.0784,-0.06,171550.0,419269.7
2018-02-21,4.9,4.91,4.72,4.89,23800,-0.002,0.0404,116382.0,364618.7
2018-02-22,4.81,4.99,4.5,4.76,34900,-0.0104,-0.0266,166124.0,337056.9
2018-02-23,4.73,4.92,4.71,4.91,19100,0.0381,0.0315,93781.0,335627.3
2018-02-26,4.91,5.07,4.91,4.93,25600,0.0041,0.0041,126208.0,235709.4
2018-02-27,5.02,5.02,4.9,4.91,16000,-0.0219,-0.0041,78560.0,152879.8
2018-02-28,5.02,5.02,4.77,4.78,20100,-0.0478,-0.0265,96078.0,148744.1
2018-03-01,4.91,4.91,4.76,4.79,11200,-0.0244,0.0021,53648.0,155625.9
2018-03-02,4.88,4.9,4.82,4.9,5700,0.0041,0.023,27930.0,153055.9
2018-03-05,4.9,4.95,4.8,4.8,6600,-0.0204,-0.0204,31680.0,147376.1
2018-03-06,4.76,4.92,4.76,4.8,22700,0.0084,0.0,108960.0,96194.1
2018-03-07,4.86,5.45,4.86,5.15,114200,0.0597,0.0729,588130.0,89935.1
2018-03-08,5.16,5.9,5.15,5.75,134600,0.1143,0.1165,773950.0,137109.9
