Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2009-10-09,13.1,13.32,12.57,12.75,330700,-0.0267,,4216425.0,
2009-10-12,13.83,13.83,12.75,12.9,11400,-0.0672,0.0118,147060.0,
2009-10-13,13.05,13.05,12.45,12.64,165400,-0.0314,-0.0202,2090656.0,
2009-10-14,12.75,12.75,12.25,12.58,282800,-0.0133,-0.0047,3557624.0,
2009-10-15,12.6,12.6,12.45,12.5,234100,-0.0079,-0.0064,2926250.0,
2009-10-16,12.65,12.9,12.49,12.55,143900,-0.0079,0.004,1805945.0,
2009-10-19,12.5,12.63,12.48,12.53,35000,0.0024,-0.0016,438550.0,
2009-10-20,12.51,12.51,12.3,12.4,83400,-0.0088,-0.0104,1034160.0,
2009-10-21,12.37,12.37,12.18,12.2,48300,-0.0137,-0.0161,589260.0,
2009-10-22,12.2,12.23,11.81,12.23,82000,0.0025,0.0025,1002860.0,
2009-10-23,12.24,12.26,12.03,12.26,34200,0.0016,0.0025,419292.0,1780879.0
2009-10-26,12.28,12.35,11.92,12.0,34600,-0.0228,-0.0212,415200.0,1401165.7
2009-10-27,11.98,12.02,11.6,11.81,52100,-0.0142,-0.0158,615301.0,1427979.7
2009-10-28,11.75,11.75,11.17,11.3,71100,-0.0383,-0.0432,803430.0,1280444.2
2009-10-29,11.3,11.5,11.24,11.48,6200,0.0159,0.0159,71176.0,1005024.8
2009-10-30,11.48,11.48,10.79,10.95,58000,-0.0462,-0.0462,635100.0,719517.4
2009-11-02,10.99,11.1,10.9,10.95,26100,-0.0036,0.0,285795.0,602432.9
2009-11-03,10.94,11.3,10.87,11.23,83100,0.0265,0.0256,933213.0,587157.4
2009-11-04,11.4,11.6,11.1,11.36,37900,-0.0035,0.0116,430544.0,577062.7
2009-11-05,11.44,11.44,11.1,11.15,21600,-0.0253,-0.0185,240840.0,561191.1
2009-11-06,11.12,11.5,11.12,11.33,26600,0.0189,0.0161,301378.0,484989.1
2009-11-09,11.39,11.39,11.0,11.14,45500,-0.0219,-0.0168,506870.0,473197.7
2009-11-10,11.34,11.34,11.03,11.08,26100,-0.0229,-0.0054,289188.0,482364.7
2009-11-11,11.14,11.16,10.95,11.01,11900,-0.0117,-0.0063,131019.0,449753.4
2009-11-12,11.05,11.06,10.95,10.95,9300,-0.009,-0.0054,101835.0,382512.3
2009-11-13,10.95,11.02,10.95,10.96,19900,0.0009,0.0009,218104.0,385578.2
2009-11-16,10.97,11.1,10.97,11.03,30900,0.0055,0.0064,340827.0,343878.6
2009-11-17,10.99,11.03,10.85,10.85,14500,-0.0127,-0.0163,157325.0,349381.8
2009-11-18,10.86,11.0,10.86,11.0,12500,0.0129,0.0138,137500.0,271793.0
2009-11-19,11.1,11.3,10.95,11.1,29800,0.0,0.0091,330780.0,242488.6
2009-11-20,11.2,11.44,11.2,11.28,39100,0.0071,0.0162,441048.0,251482.6
2009-11-23,11.27,11.35,11.2,11.24,16900,-0.0027,-0.0035,189956.0,265449.6
2009-11-24,11.24,11.25,11.09,11.11,27700,-0.0116,-0.0116,307747.0,233758.2
2009-11-25,11.1,11.13,11.05,11.09,9100,-0.0009,-0.0018,100919.0,235614.1
2009-11-27,10.99,10.99,10.7,10.73,6500,-0.0237,-0.0325,69745.0,232604.1
2009-11-30,10.75,10.75,10.55,10.56,11600,-0.0177,-0.0158,122496.0,229395.1
2009-12-01,10.62,10.9,10.55,10.75,31200,0.0122,0.018,335400.0,219834.3
2009-12-02,10.72,10.86,10.7,10.73,12000,0.0009,-0.0019,128760.0,219291.6
2009-12-03,10.73,10.74,10.6,10.66,15600,-0.0065,-0.0065,166296.0,216435.1
2009-12-04,10.85,10.95,10.6,10.85,16500,0.0,0.0178,179025.0,219314.7
2009-12-07,11.01,11.01,10.59,10.62,14200,-0.0354,-0.0212,150804.0,204139.2
2009-12-08,10.75,11.0,10.22,10.76,51700,0.0009,0.0132,556292.0,175114.8
2009-12-09,10.77,10.77,10.55,10.64,25100,-0.0121,-0.0112,267064.0,211748.4
2009-12-10,10.49,10.8,10.49,10.6,41200,0.0105,-0.0038,436720.0,207680.1
2009-12-11,10.85,10.85,10.51,10.57,41800,-0.0258,-0.0028,441826.0,241260.2
2009-12-14,10.71,10.79,10.61,10.67,14800,-0.0037,0.0095,157916.0,278468.3
2009-12-15,10.76,10.79,10.55,10.55,292600,-0.0195,-0.0112,3086930.0,282010.3
