Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2021-07-15,12.5,13.25,12.5,13.08,540200,0.0464,,7065816.0,
2021-07-16,12.9,13.58,12.9,13.17,99700,0.0209,0.0069,1313049.0,
2021-07-19,13.0,13.12,12.92,13.11,43600,0.0085,-0.0046,571596.0,
2021-07-20,13.0,13.25,13.0,13.22,23200,0.0169,0.0084,306704.0,
2021-07-21,13.25,13.42,13.25,13.25,31200,0.0,0.0023,413400.0,
2021-07-22,13.03,13.25,13.03,13.24,28600,0.0161,-0.0008,378664.0,
2021-07-23,13.15,13.2,13.05,13.05,30900,-0.0076,-0.0144,403245.0,
2021-07-26,13.1,13.1,13.03,13.07,81300,-0.0023,0.0015,1062591.0,
2021-07-27,13.03,13.03,12.95,12.97,75900,-0.0046,-0.0077,984423.0,
2021-07-28,12.98,13.0,12.97,12.99,16300,0.0008,0.0015,211737.0,
2021-07-29,13.0,13.0,12.95,12.98,21600,-0.0015,-0.0008,280368.0,1271122.5
2021-07-30,12.85,12.85,12.82,12.83,17300,-0.0016,-0.0116,221959.0,592577.7
2021-08-02,12.8,12.98,12.8,12.97,25800,0.0133,0.0109,334626.0,483468.7
2021-08-03,12.9,12.9,12.8,12.81,13000,-0.007,-0.0123,166530.0,459771.7
2021-08-04,12.82,12.84,12.78,12.8,20400,-0.0016,-0.0008,261120.0,445754.3
2021-08-05,12.78,12.82,12.68,12.68,30900,-0.0078,-0.0094,391812.0,430526.3
2021-08-06,12.73,12.8,12.73,12.8,16200,0.0055,0.0095,207360.0,431841.1
2021-08-09,12.76,12.95,12.76,12.95,18000,0.0149,0.0117,233100.0,412252.6
2021-08-10,12.8,12.95,12.8,12.95,11400,0.0117,0.0,147630.0,329303.5
2021-08-11,12.82,12.93,12.82,12.93,10000,0.0086,-0.0015,129300.0,245624.2
2021-08-12,12.91,12.93,12.85,12.85,5700,-0.0046,-0.0062,73245.0,237380.5
2021-08-13,12.85,12.93,12.75,12.9,21400,0.0039,0.0039,276060.0,216668.2
2021-08-16,12.9,13.19,12.76,13.15,45700,0.0194,0.0194,600955.0,222078.3
2021-08-17,13.15,13.15,13.05,13.1,18400,-0.0038,-0.0038,241040.0,248711.2
2021-08-18,13.1,13.25,13.07,13.25,27000,0.0115,0.0115,357750.0,256162.2
2021-08-19,13.2,13.25,13.13,13.25,25400,0.0038,0.0,336550.0,265825.2
2021-08-20,13.25,13.25,13.23,13.25,6300,0.0,0.0,83475.0,260299.0
2021-08-23,13.25,13.3,13.22,13.3,7300,0.0038,0.0038,97090.0,247910.5
2021-08-24,13.27,13.3,13.27,13.28,4100,0.0008,-0.0015,54448.0,234309.5
2021-08-25,13.3,13.4,13.3,13.36,23700,0.0045,0.006,316632.0,224991.3
2021-08-26,13.36,13.57,13.36,13.57,14000,0.0157,0.0157,189980.0,243724.5
2021-08-27,13.53,13.72,13.53,13.72,14300,0.014,0.0111,196196.0,255398.0
2021-08-30,13.64,13.77,13.64,13.77,6200,0.0095,0.0036,85374.0,247411.6
2021-08-31,13.77,14.07,13.77,14.0,16500,0.0167,0.0167,231000.0,195853.5
2021-09-01,14.0,14.08,14.0,14.0,4100,0.0,0.0,57400.0,194849.5
2021-09-02,14.03,14.08,14.0,14.08,2700,0.0036,0.0057,38016.0,164814.5
2021-09-03,14.08,14.08,13.95,14.0,3800,-0.0057,-0.0057,53200.0,134961.1
2021-09-07,14.0,15.54,13.85,14.02,13800,0.0014,0.0014,193476.0,131933.6
2021-09-08,14.05,15.4,14.0,15.4,7900,0.0961,0.0984,121660.0,141572.2
2021-09-09,14.85,14.85,13.84,14.74,12400,-0.0074,-0.0429,182776.0,148293.4
2021-09-10,14.15,15.0,14.12,14.57,5800,0.0297,-0.0115,84506.0,134907.8
2021-09-13,14.56,14.93,14.51,14.87,8900,0.0213,0.0206,132343.0,124360.4
2021-09-14,14.74,14.75,14.51,14.75,4900,0.0007,-0.0081,72275.0,117975.1
2021-09-15,14.38,14.7,14.06,14.06,12700,-0.0223,-0.0468,178562.0,116665.2
2021-09-16,14.1,14.4,14.1,14.1,8600,0.0,0.0028,121260.0,111421.4
2021-09-17,14.11,14.61,13.18,13.3,55500,-0.0574,-0.0567,738150.0,117807.4
2021-09-20,14.24,14.25,13.34,13.5,33000,-0.052,0.015,445500.0,187820.8
2021-09-21,14.44,14.44,13.24,13.3,11800,-0.0789,-0.0148,156940.0,227050.8
2021-09-22,14.2,14.2,13.52,13.52,3100,-0.0479,0.0165,41912.0,223397.2
2021-09-23,14.39,14.39,13.65,13.65,7000,-0.0514,0.0096,95550.0,215422.4
2021-09-24,13.61,13.76,13.61,13.76,2100,0.011,0.0081,28896.0,206699.8
2021-09-27,13.86,14.0,13.53,13.53,3600,-0.0238,-0.0167,48708.0,201138.8
2021-09-28,13.75,14.0,13.56,13.78,6100,0.0022,0.0185,84058.0,192775.3
2021-09-29,13.79,13.79,13.79,13.79,300,0.0,0.0007,4137.0,193953.6
2021-09-30,13.45,13.85,13.45,13.84,1100,0.029,0.0036,15224.0,176511.1
2021-10-01,14.49,14.49,13.55,13.85,5700,-0.0442,0.0007,78945.0,165907.5
2021-10-04,13.7,13.7,13.65,13.65,4700,-0.0036,-0.0144,64155.0,99987.0
2021-10-05,13.85,13.85,13.56,13.56,2600,-0.0209,-0.0066,35256.0,61852.5
2021-10-06,13.56,13.56,13.34,13.36,4600,-0.0147,-0.0147,61456.0,49684.1
2021-10-07,13.32,13.65,13.32,13.65,2500,0.0248,0.0217,34125.0,51638.5
2021-10-08,13.56,13.85,13.53,13.67,6100,0.0081,0.0015,83387.0,45496.0
2021-10-11,13.72,14.3,13.72,14.3,300,0.0423,0.0461,4290.0,50945.1
2021-10-12,13.54,14.09,13.54,13.94,2300,0.0295,-0.0252,32062.0,46503.3
2021-10-13,13.75,14.01,13.75,13.77,1900,0.0015,-0.0122,26163.0,41303.7
2021-10-14,13.72,13.72,13.58,13.58,500,-0.0102,-0.0138,6790.0,43506.3
2021-10-15,13.5,13.9,13.5,13.5,3500,0.0,-0.0059,47250.0,42662.9
2021-10-18,13.4,13.77,13.4,13.42,3500,0.0015,-0.0059,46970.0,39493.4
2021-10-19,13.4,13.47,13.3,13.3,2500,-0.0075,-0.0089,33250.0,37774.9
2021-10-20,13.3,13.68,13.3,13.4,2400,0.0075,0.0075,32160.0,37574.3
2021-10-21,13.4,13.43,13.4,13.43,4200,0.0022,0.0022,56406.0,34644.7
2021-10-22,13.45,13.45,13.4,13.4,1800,-0.0037,-0.0022,24120.0,36872.8
2021-10-25,13.26,14.05,13.26,13.88,5400,0.0468,0.0358,74952.0,30946.1
2021-10-26,13.64,14.2,13.64,14.2,800,0.0411,0.0231,11360.0,38012.3
2021-10-27,13.27,13.85,13.27,13.7,2900,0.0324,-0.0352,39730.0,35942.1
2021-10-28,13.52,13.97,13.5,13.5,4200,-0.0015,-0.0146,56700.0,37298.8
2021-10-29,13.56,13.85,13.54,13.54,1500,-0.0015,0.003,20310.0,42289.8
2021-11-01,13.73,13.89,13.73,13.87,1800,0.0102,0.0244,24966.0,39595.8
2021-11-02,13.4,13.81,13.4,13.81,1000,0.0306,-0.0043,13810.0,37395.4
2021-11-03,14.07,14.08,13.88,13.88,1900,-0.0135,0.0051,26372.0,35451.4
2021-11-04,13.83,13.83,13.65,13.76,1200,-0.0051,-0.0086,16512.0,34872.6
2021-11-05,13.51,13.51,13.51,13.51,400,0.0,-0.0182,5404.0,30883.2
2021-11-08,13.51,13.51,13.5,13.5,1200,-0.0007,-0.0007,16200.0,29011.6
2021-11-09,13.51,13.75,13.5,13.75,12500,0.0178,0.0185,171875.0,23136.4
2021-11-10,13.75,14.3,13.75,14.3,22700,0.04,0.04,324610.0,39187.9
2021-11-11,13.75,14.39,13.75,14.39,1100,0.0465,0.0063,15829.0,67675.9
2021-11-12,14.45,14.5,14.16,14.5,2900,0.0035,0.0076,42050.0,63588.8
2021-11-15,14.5,14.6,14.5,14.6,900,0.0069,0.0069,13140.0,65762.8
2021-11-16,13.82,14.04,13.82,13.99,1800,0.0123,-0.0418,25182.0,64580.2
2021-11-17,14.08,14.48,14.02,14.15,4100,0.005,0.0114,58015.0,65717.4
2021-11-18,14.11,14.41,13.96,14.01,18500,-0.0071,-0.0099,259185.0,68881.7
2021-11-19,13.8,14.15,13.78,13.78,10700,-0.0014,-0.0164,147446.0,93149.0
2021-11-22,13.76,13.95,13.75,13.75,7000,-0.0007,-0.0022,96250.0,107353.2
2021-11-23,13.85,13.85,13.77,13.77,1500,-0.0058,0.0015,20655.0,115358.2
2021-11-24,13.76,13.88,13.76,13.88,2100,0.0087,0.008,29148.0,100236.2
2021-11-26,13.75,13.78,13.65,13.78,11100,0.0022,-0.0072,152958.0,70690.0
2021-11-29,13.75,13.75,13.69,13.75,5400,0.0,-0.0022,74250.0,84402.9
2021-11-30,13.69,13.76,13.69,13.72,5700,0.0022,-0.0022,78204.0,87622.9
2021-12-01,13.69,13.73,13.5,13.57,16400,-0.0088,-0.0109,222548.0,94129.3
2021-12-02,13.56,13.89,13.56,13.89,400,0.0243,0.0236,5556.0,113865.9
2021-12-03,13.75,13.98,13.63,13.65,7500,-0.0073,-0.0173,102375.0,108620.0
2021-12-06,13.68,13.98,13.68,13.71,6500,0.0022,0.0044,89115.0,92939.0
2021-12-07,13.85,13.85,13.77,13.77,1700,-0.0058,0.0044,23409.0,87105.9
2021-12-08,13.92,13.92,13.74,13.74,1200,-0.0129,-0.0022,16488.0,79821.8
2021-12-09,13.75,13.75,13.75,13.75,6200,0.0,0.0007,85250.0,79405.1
2021-12-10,13.75,13.86,13.75,13.86,10800,0.008,0.008,149688.0,85015.3
2021-12-13,13.84,13.84,13.75,13.75,1500,-0.0065,-0.0079,20625.0,84688.3
2021-12-14,13.75,13.75,13.75,13.75,4400,0.0,0.0,60500.0,79325.8
2021-12-15,13.8,14.48,13.8,14.48,15800,0.0493,0.0531,228784.0,77555.4
2021-12-16,14.39,14.39,14.39,14.39,400,0.0,-0.0062,5756.0,78179.0
2021-12-17,14.01,14.01,14.01,14.01,400,0.0,-0.0264,5604.0,78199.0
2021-12-20,14.01,14.01,14.01,14.01,0,0.0,0.0,0.0,68521.9
2021-12-21,13.91,13.91,13.75,13.9,2900,-0.0007,-0.0079,40310.0,59610.4
2021-12-22,13.9,13.9,13.9,13.9,0,0.0,0.0,0.0,61300.5
2021-12-23,14.0,14.0,14.0,14.0,1100,0.0,0.0072,15400.0,59651.7
2021-12-27,14.09,14.1,13.58,13.59,30900,-0.0355,-0.0293,419931.0,52666.7
2021-12-28,13.55,13.55,13.51,13.51,300,-0.003,-0.0059,4053.0,79691.0
2021-12-29,13.51,13.51,13.51,13.51,0,0.0,0.0,0.0,78033.8
