Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2014-03-07,17.85,17.85,14.0,17.5,88,-0.0196,,1540.0,
2014-03-10,16.73,16.73,16.59,16.59,12,-0.0084,-0.052,199.08,
2014-03-11,16.31,16.31,16.31,16.31,2,0.0,-0.0169,32.62,
2014-03-12,17.5,17.5,17.5,17.5,41,0.0,0.073,717.5,
2014-03-13,16.45,16.45,15.47,15.47,14,-0.0596,-0.116,216.58,
2014-03-14,17.5,17.5,17.5,17.5,10,0.0,0.1312,175.0,
2014-03-17,17.5,17.5,17.5,17.5,0,0.0,0.0,0.0,
2014-03-18,17.43,17.5,17.43,17.5,18,0.004,0.0,315.0,
2014-03-19,17.5,17.5,17.5,17.5,0,0.0,0.0,0.0,
2014-03-20,17.5,17.5,17.5,17.5,0,0.0,0.0,0.0,
2014-03-21,17.5,17.5,17.5,17.5,10,0.0,0.0,175.0,319.58
2014-03-24,17.5,17.5,17.5,17.5,0,0.0,0.0,0.0,183.08
2014-03-25,17.5,17.5,17.5,17.5,0,0.0,0.0,0.0,163.17
2014-03-26,17.5,17.5,17.5,17.5,0,0.0,0.0,0.0,159.91
2014-03-27,16.45,16.45,14.07,15.75,33,-0.0426,-0.1,519.75,88.16
2014-03-28,17.29,17.36,17.29,17.36,20,0.004,0.1022,347.2,118.48
2014-03-31,17.5,17.5,17.5,17.5,20,0.0,0.0081,350.0,135.7
2014-04-01,17.5,17.5,17.5,17.5,0,0.0,0.0,0.0,170.7
2014-04-02,17.15,17.15,17.15,17.15,41,0.0,-0.02,703.15,139.2
2014-04-03,17.15,17.15,17.15,17.15,0,0.0,0.0,0.0,209.51
2014-04-04,17.15,17.15,17.15,17.15,45,0.0,0.0,771.75,209.51
2014-04-07,17.15,17.15,17.15,17.15,0,0.0,0.0,0.0,269.18
2014-04-08,17.15,17.15,17.15,17.15,102,0.0,0.0,1749.3,269.18
2014-04-09,17.15,17.15,17.15,17.15,0,0.0,0.0,0.0,444.11
2014-04-10,17.15,17.15,17.15,17.15,0,0.0,0.0,0.0,444.11
2014-04-11,17.15,17.15,17.15,17.15,0,0.0,0.0,0.0,392.14
2014-04-14,17.15,17.15,17.02,17.15,43,0.0,0.0,737.45,357.42
2014-04-15,17.15,17.15,17.15,17.15,22,0.0,0.0,377.3,396.16
2014-04-16,17.15,17.15,17.15,17.15,0,0.0,0.0,0.0,433.9
2014-04-17,17.15,17.15,17.15,17.15,0,0.0,0.0,0.0,363.58
2014-04-21,16.45,16.45,15.82,15.82,8,-0.0383,-0.0776,126.56,363.58
2014-04-22,15.82,15.82,15.82,15.82,0,0.0,0.0,0.0,299.06
2014-04-23,15.82,15.82,15.82,15.82,0,0.0,0.0,0.0,299.06
2014-04-24,15.75,15.75,15.75,15.75,2,0.0,-0.0044,31.5,124.13
2014-04-25,15.4,15.4,15.4,15.4,20,0.0,-0.0222,308.0,127.28
2014-04-28,15.4,15.4,15.4,15.4,27,0.0,0.0,415.8,158.08
2014-04-29,15.4,15.4,15.4,15.4,2,0.0,0.0,30.8,199.66
2014-04-30,15.75,15.75,15.75,15.75,20,0.0,0.0227,315.0,129.0
2014-05-01,15.75,17.5,15.75,17.5,45,0.1111,0.1111,787.5,122.77
2014-05-02,18.2,19.25,17.5,17.5,18,-0.0385,0.0,315.0,201.52
2014-05-05,17.5,17.5,17.5,17.5,0,0.0,0.0,0.0,233.02
2014-05-06,17.5,17.5,17.5,17.5,4,0.0,0.0,70.0,220.36
2014-05-07,17.5,17.5,17.5,17.5,0,0.0,0.0,0.0,227.36
2014-05-08,17.5,17.5,17.5,17.5,0,0.0,0.0,0.0,227.36
2014-05-09,17.5,17.5,17.5,17.5,0,0.0,0.0,0.0,224.21
2014-05-12,17.15,17.15,17.15,17.15,6,0.0,-0.02,102.9,193.41
2014-05-13,15.75,15.75,15.75,15.75,22,0.0,-0.0816,346.5,162.12
2014-05-14,15.75,15.75,15.75,15.75,10,0.0,0.0,157.5,193.69
2014-05-15,15.75,15.75,15.75,15.75,0,0.0,0.0,0.0,177.94
2014-05-16,15.75,15.75,15.75,15.75,0,0.0,0.0,0.0,99.19
2014-05-19,15.75,15.75,15.75,15.75,0,0.0,0.0,0.0,67.69
2014-05-20,17.5,17.5,17.5,17.5,12,0.0,0.1111,210.0,67.69
2014-05-21,18.23,18.23,18.23,18.23,2,0.0,0.0417,36.46,81.69
2014-05-22,18.23,18.23,18.23,18.23,0,0.0,0.0,0.0,85.34
2014-05-23,17.43,17.43,17.43,17.43,6,0.0,-0.0439,104.58,85.34
2014-05-27,18.23,18.23,18.23,18.23,0,0.0,0.0459,0.0,95.79
2014-05-28,17.43,17.43,17.43,17.43,0,0.0,-0.0439,0.0,85.5
2014-05-29,17.43,17.43,17.43,17.43,0,0.0,0.0,0.0,50.85
2014-05-30,17.43,17.43,17.43,17.43,0,0.0,0.0,0.0,35.1
2014-06-02,17.43,17.43,17.43,17.43,0,0.0,0.0,0.0,35.1
2014-06-03,17.43,17.43,17.43,17.43,2,0.0,0.0,34.86,35.1
2014-06-04,17.43,17.43,17.43,17.43,0,0.0,0.0,0.0,38.59
2014-06-05,17.43,17.43,17.43,17.43,0,0.0,0.0,0.0,17.59
2014-06-06,17.43,17.43,17.43,17.43,10,0.0,0.0,174.3,13.94
2014-06-09,17.43,17.43,17.43,17.43,0,0.0,0.0,0.0,31.37
2014-06-10,17.43,17.43,17.43,17.43,0,0.0,0.0,0.0,20.92
2014-06-11,17.43,17.43,17.43,17.43,0,0.0,0.0,0.0,20.92
2014-06-12,17.43,17.43,17.43,17.43,0,0.0,0.0,0.0,20.92
2014-06-13,17.43,17.43,17.43,17.43,0,0.0,0.0,0.0,20.92
2014-06-16,14.07,14.07,14.0,14.0,98,-0.005,-0.1968,1372.0,20.92
2014-06-17,14.14,14.14,14.14,14.14,31,0.0,0.01,438.34,158.12
2014-06-18,15.75,15.75,15.75,15.75,2,0.0,0.1139,31.5,198.46
2014-06-19,15.75,15.75,15.75,15.75,0,0.0,0.0,0.0,201.61
2014-06-20,14.14,14.14,14.0,14.0,214,-0.0099,-0.1111,2996.0,201.61
2014-06-23,14.0,14.0,14.0,14.0,0,0.0,0.0,0.0,483.78
2014-06-24,14.0,14.0,14.0,14.0,0,0.0,0.0,0.0,483.78
2014-06-25,14.14,14.14,14.0,14.0,580,-0.0099,0.0,8120.0,483.78
2014-06-26,16.8,16.8,16.8,16.8,2,0.0,0.2,33.6,1295.78
2014-06-27,16.8,16.8,16.8,16.8,0,0.0,0.0,0.0,1299.14
2014-06-30,16.8,16.8,16.8,16.8,4,0.0,0.0,67.2,1299.14
2014-07-01,16.8,16.8,16.8,16.8,0,0.0,0.0,0.0,1168.66
2014-07-02,16.73,16.73,16.73,16.73,10,0.0,-0.0042,167.3,1124.83
2014-07-03,15.4,15.4,15.4,15.4,2,0.0,-0.0795,30.8,1138.41
2014-07-07,15.4,15.4,15.4,15.4,0,0.0,0.0,0.0,1141.49
2014-07-08,15.4,15.4,15.4,15.4,0,0.0,0.0,0.0,841.89
2014-07-09,15.4,15.4,15.4,15.4,0,0.0,0.0,0.0,841.89
2014-07-10,15.4,15.4,15.4,15.4,0,0.0,0.0,0.0,841.89
2014-07-11,15.4,15.4,15.4,15.4,4,0.0,0.0,61.6,29.89
2014-07-14,15.4,15.4,13.93,14.0,84,-0.0909,-0.0909,1176.0,32.69
2014-07-15,14.0,14.0,14.0,14.0,0,0.0,0.0,0.0,150.29
2014-07-16,13.93,14.35,13.93,14.35,65,0.0302,0.025,932.75,143.57
2014-07-17,14.35,14.35,14.35,14.35,0,0.0,0.0,0.0,236.84
2014-07-18,14.35,14.35,14.35,14.35,20,0.0,0.0,287.0,220.11
2014-07-21,12.32,13.93,12.25,13.93,227,0.1307,-0.0293,3162.11,245.74
2014-07-22,13.86,13.86,13.86,13.86,39,0.0,-0.005,540.54,561.95
2014-07-23,13.86,13.86,13.86,13.86,20,0.0,0.0,277.2,616.0
2014-07-24,13.3,13.3,13.3,13.3,2,0.0,-0.0404,26.6,643.72
2014-07-25,12.95,13.3,12.32,13.3,135,0.027,0.0,1795.5,646.38
2014-07-28,13.3,13.3,13.3,13.3,41,0.0,0.0,545.3,819.77
2014-07-29,12.39,12.39,12.25,12.25,96,-0.0113,-0.0789,1176.0,756.7
2014-07-30,13.23,13.23,13.23,13.23,4,0.0,0.08,52.92,874.3
2014-07-31,12.32,12.32,12.32,12.32,20,0.0,-0.0688,246.4,786.32
2014-08-01,12.32,12.32,12.32,12.32,0,0.0,0.0,0.0,810.96
2014-08-04,12.25,12.25,12.25,12.25,47,0.0,-0.0057,575.75,782.26
2014-08-05,11.2,11.9,10.5,11.9,231,0.0625,-0.0286,2748.9,523.62
2014-08-06,11.9,11.9,11.9,11.9,0,0.0,0.0,0.0,744.46
2014-08-07,11.9,11.9,10.5,11.2,67,-0.0588,-0.0588,750.4,716.74
2014-08-08,10.5,12.25,10.5,12.25,157,0.1667,0.0938,1923.25,789.12
2014-08-11,12.6,12.6,12.6,12.6,10,0.0,0.0286,126.0,801.89
2014-08-12,12.95,12.95,12.95,12.95,10,0.0,0.0278,129.5,759.96
2014-08-13,12.95,12.95,12.95,12.95,0,0.0,0.0,0.0,655.31
2014-08-14,12.6,12.6,12.6,12.6,33,0.0,-0.027,415.8,650.02
2014-08-15,14.7,14.7,14.7,14.7,2,0.0,0.1667,29.4,666.96
2014-08-18,14.7,14.7,14.7,14.7,0,0.0,0.0,0.0,669.9
2014-08-19,14.7,14.7,14.7,14.7,8,0.0,0.0,117.6,612.33
2014-08-20,14.7,14.7,14.7,14.7,0,0.0,0.0,0.0,349.2
2014-08-21,14.7,14.7,14.7,14.7,2,0.0,0.0,29.4,349.2
2014-08-22,14.7,15.05,14.7,15.05,20,0.0238,0.0238,301.0,277.09
2014-08-25,15.05,15.05,15.05,15.05,4,0.0,0.0,60.2,114.87
2014-08-26,15.05,15.05,15.05,15.05,0,0.0,0.0,0.0,108.29
2014-08-27,15.05,15.4,15.05,15.4,57,0.0233,0.0233,877.8,95.34
2014-08-28,15.4,15.4,15.4,15.4,41,0.0,0.0,631.4,183.12
2014-08-29,16.45,16.45,16.45,16.45,8,0.0,0.0682,131.6,204.68
2014-09-02,16.45,16.45,16.45,16.45,4,0.0,0.0,65.8,214.9
