Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,34.1,35.04,33.96,34.38,1044600,0.0082,,35913348.0,
2003-12-02,34.49,34.6,34.13,34.24,697600,-0.0072,-0.0041,23885824.0,
2003-12-03,34.33,34.83,33.7,33.7,789800,-0.0184,-0.0158,26616260.0,
2003-12-04,33.67,34.25,33.65,34.01,949400,0.0101,0.0092,32289094.0,
2003-12-05,33.87,34.69,33.51,33.97,1120400,0.003,-0.0012,38059988.0,
2003-12-08,33.9,34.22,33.78,34.19,835000,0.0086,0.0065,28548650.0,
2003-12-09,34.22,34.33,32.96,33.0,1530000,-0.0357,-0.0348,50490000.0,
2003-12-10,32.95,33.3,32.78,33.19,816600,0.0073,0.0058,27102954.0,
2003-12-11,33.13,33.67,33.04,33.58,987400,0.0136,0.0118,33156892.0,
2003-12-12,33.6,33.88,32.87,33.47,732800,-0.0039,-0.0033,24526816.0,
2003-12-15,33.97,34.25,32.87,32.98,890200,-0.0291,-0.0146,29358796.0,32058982.6
2003-12-16,33.01,33.25,32.39,32.89,731000,-0.0036,-0.0027,24042590.0,31403527.4
2003-12-17,32.78,32.97,32.38,32.87,580200,0.0027,-0.0006,19071174.0,31419204.0
2003-12-18,32.97,33.15,32.53,32.62,701800,-0.0106,-0.0076,22892716.0,30664695.4
2003-12-19,32.55,32.93,31.7,32.08,1898200,-0.0144,-0.0166,60894256.0,29725057.6
2003-12-22,32.06,32.28,31.6,32.0,975400,-0.0019,-0.0025,31212800.0,32008484.4
2003-12-23,32.01,32.33,31.83,32.29,682800,0.0087,0.0091,22047612.0,32274899.4
2003-12-24,32.19,32.24,31.57,31.64,385600,-0.0171,-0.0201,12200384.0,29430660.6
2003-12-26,31.58,31.77,31.5,31.67,436000,0.0028,0.0009,13808120.0,27940403.6
2003-12-29,31.73,32.3,31.6,32.13,1600200,0.0126,0.0145,51414426.0,26005526.4
2003-12-30,32.26,32.29,31.92,32.21,715800,-0.0015,0.0025,23055918.0,28694287.4
2003-12-31,32.26,32.45,31.97,32.0,719600,-0.0081,-0.0065,23027200.0,28063999.6
2004-01-02,32.11,32.49,31.46,31.52,709000,-0.0184,-0.015,22347680.0,27962460.6
2004-01-05,31.02,31.14,30.58,30.58,2134200,-0.0142,-0.0298,65263836.0,28290111.2
2004-01-06,30.57,30.64,29.7,30.17,2270200,-0.0131,-0.0134,68491934.0,32527223.2
2004-01-07,30.29,30.73,30.17,30.38,1163200,0.003,0.007,35338016.0,33286991.0
2004-01-08,30.85,30.85,30.02,30.17,945400,-0.022,-0.0069,28522718.0,33699512.6
2004-01-09,29.84,30.72,29.84,30.16,849800,0.0107,-0.0003,25629968.0,34347023.2
2004-01-12,30.13,30.25,29.94,30.2,758000,0.0023,0.0013,22891600.0,35689981.6
2004-01-13,30.15,30.36,29.79,30.15,613800,0.0,-0.0017,18506070.0,36598329.6
2004-01-14,30.23,30.69,30.14,30.6,825800,0.0122,0.0149,25269480.0,33307494.0
