Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2014-11-19,18.49,18.5,17.49,18.18,57281800,-0.0168,,1041383124.0,
2014-11-20,18.15,18.28,18.1,18.15,6643400,0.0,-0.0017,120577710.0,
2014-11-21,18.27,18.56,18.21,18.43,10293000,0.0088,0.0154,189699990.0,
2014-11-24,18.55,18.64,18.38,18.56,3473800,0.0005,0.0071,64473728.0,
2014-11-25,18.6,18.79,18.36,18.79,5863400,0.0102,0.0124,110173286.0,
2014-11-26,18.85,18.85,18.67,18.79,1585100,-0.0032,0.0,29784029.0,
2014-11-28,18.8,18.95,18.8,18.8,733700,0.0,0.0005,13793560.0,
2014-12-01,18.8,18.88,18.16,18.25,2631800,-0.0293,-0.0293,48030350.0,
2014-12-02,18.31,18.64,18.25,18.27,1353700,-0.0022,0.0011,24732099.0,
2014-12-03,18.29,18.69,18.24,18.5,2446000,0.0115,0.0126,45251000.0,
2014-12-04,18.4,18.64,18.32,18.5,1642300,0.0054,0.0,30382550.0,168789887.6
2014-12-05,18.42,18.5,18.29,18.41,1470200,-0.0005,-0.0049,27066382.0,67689830.2
2014-12-08,18.35,18.55,18.29,18.35,1634100,0.0,-0.0033,29985735.0,58338697.4
2014-12-09,18.38,18.4,18.17,18.33,1626900,-0.0027,-0.0011,29821077.0,42367271.9
2014-12-10,18.24,18.39,18.05,18.23,4403400,-0.0005,-0.0055,80273982.0,38902006.8
2014-12-11,18.25,18.52,18.06,18.42,2141500,0.0093,0.0104,39446430.0,35912076.4
2014-12-12,18.45,18.47,18.17,18.34,1275700,-0.006,-0.0043,23396338.0,36878316.5
2014-12-15,18.27,18.45,17.65,18.06,2347100,-0.0115,-0.0153,42388626.0,37838594.3
2014-12-16,17.8,18.25,17.79,18.1,2677200,0.0169,0.0022,48457320.0,37274421.9
2014-12-17,18.11,18.4,18.03,18.32,2275900,0.0116,0.0122,41694488.0,39646944.0
2014-12-18,18.49,18.6,18.15,18.35,2251400,-0.0076,0.0016,41313190.0,39291292.8
2014-12-19,18.31,18.37,18.08,18.08,8240800,-0.0126,-0.0147,148993664.0,40384356.8
2014-12-22,18.15,18.48,18.07,18.42,4184300,0.0149,0.0188,77074806.0,52577085.0
2014-12-23,18.43,18.75,18.38,18.53,1765600,0.0054,0.006,32716568.0,57285992.1
2014-12-24,18.45,18.64,18.45,18.46,216900,0.0005,-0.0038,4003974.0,57575541.2
2014-12-26,18.58,18.72,18.26,18.64,633700,0.0032,0.0098,11812168.0,49948540.4
2014-12-29,18.67,18.89,18.45,18.5,825300,-0.0091,-0.0075,15268050.0,47185114.2
2014-12-30,18.38,19.68,18.33,18.74,1056200,0.0196,0.013,19793188.0,46372285.4
2014-12-31,18.75,18.88,18.54,18.59,1007600,-0.0085,-0.008,18731284.0,44112741.6
2015-01-02,18.56,18.98,18.52,18.78,715100,0.0119,0.0102,13429578.0,41140138.0
2015-01-05,18.6,19.29,18.5,18.95,897100,0.0188,0.0091,17000045.0,38313647.0
2015-01-06,19.0,19.21,18.94,19.05,1585400,0.0026,0.0053,30201870.0,35882332.5
2015-01-07,19.1,19.47,18.85,19.43,1401500,0.0173,0.0199,27231145.0,24003153.1
2015-01-08,19.25,19.5,19.1,19.49,695400,0.0125,0.0031,13553346.0,19018787.0
2015-01-09,19.41,19.58,19.27,19.49,806600,0.0041,0.0,15720634.0,17102464.8
2015-01-12,19.43,19.56,19.34,19.49,512600,0.0031,0.0,9990574.0,18274130.8
2015-01-13,19.45,19.57,19.23,19.32,544000,-0.0067,-0.0087,10510080.0,18091971.4
2015-01-14,19.15,19.47,18.87,19.22,1187600,0.0037,-0.0052,22825672.0,17616174.4
2015-01-15,19.2,19.5,18.98,19.07,730200,-0.0068,-0.0078,13924914.0,17919422.8
2015-01-16,19.19,19.36,18.87,19.33,716600,0.0073,0.0136,13851878.0,17438785.8
2015-01-20,19.41,19.5,19.03,19.31,644500,-0.0052,-0.001,12445295.0,17481015.8
2015-01-21,19.18,19.46,18.94,19.11,912400,-0.0036,-0.0104,17435964.0,17025540.8
2015-01-22,19.26,19.34,19.05,19.34,622700,0.0042,0.012,12043018.0,15748950.2
2015-01-23,19.29,19.42,19.12,19.31,711400,0.001,-0.0016,13737134.0,14230137.5
2015-01-26,19.16,19.91,19.16,19.6,1048300,0.023,0.015,20546680.0,14248516.3
2015-01-27,19.45,19.77,19.39,19.56,748200,0.0057,-0.002,14634792.0,14731120.9
2015-01-28,19.59,19.76,19.51,19.57,399000,-0.001,0.0005,7808430.0,15195542.7
2015-01-29,19.59,19.76,19.28,19.75,589200,0.0082,0.0092,11636700.0,14925377.7
2015-01-30,19.55,19.68,19.34,19.35,1005300,-0.0102,-0.0203,19452555.0,13806480.5
2015-02-02,19.32,19.35,18.96,19.25,699800,-0.0036,-0.0052,13471150.0,14359244.6
2015-02-03,19.19,19.67,19.12,19.52,750200,0.0172,0.014,14643904.0,14321171.8
2015-02-04,19.5,19.58,19.3,19.31,889100,-0.0097,-0.0108,17168521.0,14541032.7
2015-02-05,19.2,19.53,19.14,19.34,1566800,0.0073,0.0016,30301912.0,14514288.4
2015-02-06,19.35,19.43,18.54,18.6,2037800,-0.0388,-0.0383,37903080.0,16340177.8
2015-02-09,18.5,18.66,18.12,18.48,717000,-0.0011,-0.0065,13250160.0,18756772.4
2015-02-10,18.66,18.77,18.52,18.73,1361600,0.0038,0.0135,25502768.0,18027120.4
2015-02-11,18.65,18.87,18.5,18.54,738100,-0.0059,-0.0101,13684374.0,19113918.0
2015-02-12,18.62,18.72,18.56,18.65,1340600,0.0016,0.0059,25002190.0,19701512.4
2015-02-13,18.79,18.94,18.51,18.54,1040900,-0.0133,-0.0059,19298286.0,21038061.4
2015-02-17,18.44,18.9,18.3,18.72,1781800,0.0152,0.0097,33355296.0,21022634.5
2015-02-18,18.72,19.03,18.6,18.94,614300,0.0118,0.0118,11634842.0,23011049.1
2015-02-19,18.83,18.9,18.58,18.72,1008900,-0.0058,-0.0116,18886608.0,22710142.9
2015-02-20,18.6,19.0,18.57,18.77,797700,0.0091,0.0027,14972829.0,22881951.6
2015-02-23,18.66,18.79,18.63,18.77,576100,0.0059,0.0,10813397.0,21349043.3
2015-02-24,18.67,18.77,18.45,18.48,1049100,-0.0102,-0.0155,19387368.0,18640075.0
2015-02-25,18.29,18.63,18.26,18.51,1531000,0.012,0.0016,28338810.0,19253795.8
2015-02-26,18.2,18.27,17.98,18.09,1809600,-0.006,-0.0227,32735664.0,19537400.0
2015-02-27,18.07,18.54,17.95,18.35,855200,0.0155,0.0144,15692920.0,21442529.0
2015-03-02,18.35,18.67,18.23,18.49,771900,0.0076,0.0076,14272431.0,20511602.0
2015-03-03,18.55,18.7,18.42,18.59,772700,0.0022,0.0054,14364493.0,20009016.5
2015-03-04,18.51,18.6,18.33,18.54,556600,0.0016,-0.0027,10319364.0,18109936.2
2015-03-05,18.47,18.64,18.21,18.43,1480300,-0.0022,-0.0059,27281929.0,17978388.4
2015-03-06,18.29,18.49,17.66,17.96,1365300,-0.018,-0.0255,24520788.0,18817920.5
2015-03-09,17.97,18.49,17.89,18.4,2630700,0.0239,0.0245,48404880.0,19772716.4
2015-03-10,18.13,18.52,18.11,18.47,1360300,0.0188,0.0038,25124741.0,23531864.7
2015-03-11,18.46,18.91,18.44,18.81,1533000,0.019,0.0184,28835730.0,24105602.0
2015-03-12,18.79,19.19,18.79,19.12,1265200,0.0176,0.0165,24190624.0,24155294.0
2015-03-13,19.03,19.3,18.82,18.84,1383400,-0.01,-0.0146,26063256.0,23300790.0
2015-03-16,19.0,19.57,18.92,19.3,4204500,0.0158,0.0244,81146850.0,24337823.6
2015-03-17,19.23,19.45,19.16,19.3,2428600,0.0036,0.0,46871980.0,31025265.5
2015-03-18,19.31,19.62,18.99,19.57,3663500,0.0135,0.014,71694695.0,34276014.2
2015-03-19,19.48,19.67,19.38,19.42,3471600,-0.0031,-0.0077,67418472.0,40413547.3
2015-03-20,19.36,20.21,19.32,19.58,14812000,0.0114,0.0082,290018960.0,44427201.6
2015-03-23,19.58,19.87,19.2,19.55,1999800,-0.0015,-0.0015,39096090.0,70977018.8
2015-03-24,19.42,19.44,19.13,19.15,1557100,-0.0139,-0.0205,29818465.0,70046139.8
2015-03-25,19.17,19.29,18.79,18.85,1481700,-0.0167,-0.0157,27930045.0,70515512.2
2015-03-26,18.71,19.07,18.7,18.87,825900,0.0086,0.0011,15584733.0,70424943.7
2015-03-27,18.82,19.15,18.76,19.14,983000,0.017,0.0143,18814620.0,69564354.6
2015-03-30,19.12,19.51,19.09,19.4,2040600,0.0146,0.0136,39587640.0,68839491.0
2015-03-31,19.4,19.51,19.19,19.3,5532600,-0.0052,-0.0052,106779180.0,64683570.0
2015-04-01,19.25,19.33,18.94,19.08,1245500,-0.0088,-0.0114,23764140.0,70674290.0
2015-04-02,19.02,19.39,18.97,19.32,1351600,0.0158,0.0126,26112912.0,65881234.5
2015-04-06,19.32,19.73,19.27,19.55,2059300,0.0119,0.0119,40259315.0,61750678.5
2015-04-07,19.51,19.57,18.9,18.92,666300,-0.0302,-0.0322,12606396.0,36774714.0
2015-04-08,18.9,19.04,18.76,18.91,782600,0.0005,-0.0005,14798966.0,34125744.6
2015-04-09,18.88,18.92,18.49,18.5,680100,-0.0201,-0.0217,12581850.0,32623794.7
2015-04-10,18.51,18.81,18.48,18.67,924000,0.0086,0.0092,17251080.0,31088975.2
2015-04-13,18.64,18.77,18.43,18.51,1660800,-0.007,-0.0086,30741408.0,31255609.9
2015-04-14,18.51,18.83,18.42,18.81,947300,0.0162,0.0162,17818713.0,32448288.7
2015-04-15,18.85,18.99,18.7,18.76,1392200,-0.0048,-0.0027,26117672.0,30271396.0
2015-04-16,18.63,18.81,18.52,18.69,1358400,0.0032,-0.0037,25388496.0,22205245.2
