Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2022-11-10,10.0,10.05,9.99,10.03,2375200,0.003,,23823256.0,
2022-11-11,10.03,10.06,10.03,10.05,70800,0.002,0.002,711540.0,
2022-11-14,10.06,10.08,10.05,10.08,49200,0.002,0.003,495936.0,
2022-11-15,10.08,10.1,10.07,10.1,30400,0.002,0.002,307040.0,
2022-11-16,10.08,10.08,10.08,10.08,1000,0.0,-0.002,10080.0,
2022-11-17,10.04,10.08,10.04,10.08,35000,0.004,0.0,352800.0,
2022-11-18,10.06,10.06,10.06,10.06,300,0.0,-0.002,3018.0,
2022-11-21,10.06,10.06,10.06,10.06,0,0.0,0.0,0.0,
2022-11-22,10.05,10.08,10.05,10.08,18300,0.003,0.002,184464.0,
2022-11-23,10.09,10.09,10.09,10.09,100,0.0,0.001,1009.0,
2022-11-25,10.07,10.07,10.07,10.07,900,0.0,-0.002,9063.0,2588914.3
2022-11-28,10.07,10.07,10.07,10.07,0,0.0,0.0,0.0,207495.0
2022-11-29,10.07,10.07,10.07,10.07,900,0.0,0.0,9063.0,136341.0
2022-11-30,10.07,10.07,10.07,10.07,4000,0.0,0.0,40280.0,87653.7
2022-12-01,10.09,10.09,10.09,10.09,48200,0.0,0.002,486338.0,60977.7
2022-12-02,10.09,10.09,10.09,10.09,0,0.0,0.0,0.0,108603.5
2022-12-05,10.09,10.09,10.09,10.09,0,0.0,0.0,0.0,73323.5
2022-12-06,10.09,10.09,10.09,10.09,0,0.0,0.0,0.0,73021.7
2022-12-07,10.09,10.09,10.09,10.09,0,0.0,0.0,0.0,73021.7
2022-12-08,10.09,10.09,10.09,10.09,0,0.0,0.0,0.0,54575.3
2022-12-09,10.04,10.09,10.0,10.09,13600,0.005,0.0,137224.0,54474.4
2022-12-12,10.08,10.09,10.08,10.09,2300,0.001,0.0,23207.0,67290.5
2022-12-13,10.05,10.05,10.05,10.05,5900,0.0,-0.004,59295.0,69611.2
2022-12-14,10.09,10.1,10.07,10.09,80300,0.0,0.004,810227.0,74634.4
2022-12-15,10.07,10.07,10.07,10.07,600,0.0,-0.002,6042.0,151629.1
2022-12-16,10.07,10.07,10.07,10.07,3000,0.0,0.0,30210.0,103599.5
2022-12-19,10.07,10.07,10.07,10.07,0,0.0,0.0,0.0,106620.5
2022-12-20,10.08,10.08,10.08,10.08,500,0.0,0.001,5040.0,106620.5
2022-12-21,10.07,10.07,10.07,10.07,900,0.0,-0.001,9063.0,107124.5
2022-12-22,10.09,10.09,10.09,10.09,200,0.0,0.002,2018.0,108030.8
2022-12-23,10.09,10.09,10.09,10.09,0,0.0,0.0,0.0,108232.6
2022-12-27,10.09,10.09,10.09,10.09,100,0.0,0.0,1009.0,94510.2
2022-12-28,10.09,10.09,10.09,10.09,100,0.0,0.0,1009.0,92290.4
2022-12-29,10.09,10.09,10.09,10.09,0,0.0,0.0,0.0,86461.8
2022-12-30,10.09,10.09,10.09,10.09,0,0.0,0.0,0.0,5439.1
2023-01-03,10.09,10.09,10.09,10.09,5300,0.0,0.0,53477.0,4834.9
2023-01-04,10.09,10.09,10.09,10.09,1700,0.0,0.0,17153.0,7161.6
2023-01-05,10.09,10.15,10.09,10.15,22400,0.0059,0.0059,227360.0,8876.9
2023-01-06,10.09,10.12,10.09,10.11,96600,0.002,-0.0039,976626.0,31108.9
2023-01-09,10.13,10.14,10.12,10.12,4000,-0.001,0.001,40480.0,127865.2
2023-01-10,10.11,10.12,10.11,10.12,500,0.001,0.0,5060.0,131711.4
2023-01-11,10.15,10.32,10.15,10.3,395300,0.0148,0.0178,4071590.0,132217.4
2023-01-12,10.37,10.37,10.29,10.3,1800,-0.0068,0.0,18540.0,539275.5
2023-01-13,10.35,10.4,10.34,10.34,13300,-0.001,0.0039,137522.0,541028.6
2023-01-17,10.34,10.35,10.32,10.34,148600,0.0,0.0,1536524.0,554780.8
2023-01-18,10.4,10.4,10.4,10.4,200,0.0,0.0058,2080.0,708433.2
2023-01-19,10.34,10.34,10.34,10.34,100,0.0,-0.0058,1034.0,703293.5
2023-01-20,10.32,10.34,10.32,10.34,2600,0.0019,0.0,26884.0,701681.6
2023-01-23,10.29,10.48,10.29,10.48,8500,0.0185,0.0135,89080.0,681634.0
2023-01-24,10.48,10.48,10.48,10.48,0,0.0,0.0,0.0,592879.4
2023-01-25,10.48,10.48,10.48,10.48,0,0.0,0.0,0.0,588831.4
2023-01-26,10.37,10.37,10.37,10.37,3000,0.0,-0.0105,31110.0,588325.4
2023-01-27,10.37,10.37,10.37,10.37,0,0.0,0.0,0.0,184277.4
2023-01-30,10.37,10.37,10.37,10.37,0,0.0,0.0,0.0,182423.4
2023-01-31,10.37,10.37,10.37,10.37,0,0.0,0.0,0.0,168671.2
2023-02-01,10.5,10.53,10.5,10.53,1500,0.0029,0.0154,15795.0,15018.8
2023-02-02,10.53,10.53,10.53,10.53,0,0.0,0.0,0.0,16390.3
2023-02-03,10.35,10.35,10.35,10.35,100,0.0,-0.0171,1035.0,16286.9
2023-02-06,10.48,11.64,10.37,10.43,35600,-0.0048,0.0077,371308.0,13702.0
2023-02-07,10.53,11.51,10.4,10.49,42900,-0.0038,0.0058,450021.0,41924.8
2023-02-08,10.45,11.06,10.45,10.49,11800,0.0038,0.0,123782.0,86926.9
2023-02-09,10.46,11.33,10.45,10.51,4700,0.0048,0.0019,49397.0,99305.1
2023-02-10,10.5,10.5,10.5,10.5,100,0.0,-0.001,1050.0,101133.8
2023-02-13,10.4,10.93,10.4,10.54,1100,0.0135,0.0038,11594.0,101238.8
2023-02-14,10.42,10.42,10.42,10.42,100,0.0,-0.0114,1042.0,102398.2
2023-02-15,10.69,10.89,10.69,10.79,1200,0.0094,0.0355,12948.0,102502.4
2023-02-16,10.43,10.45,10.43,10.44,2900,0.001,-0.0324,30276.0,102217.7
2023-02-17,10.45,10.45,10.45,10.45,8500,0.0,0.001,88825.0,105245.3
2023-02-21,10.48,10.48,10.35,10.42,700,-0.0057,-0.0029,7294.0,114024.3
2023-02-22,10.34,10.34,10.32,10.33,400,-0.001,-0.0086,4132.0,77622.9
2023-02-23,10.33,10.33,10.33,10.33,0,0.0,0.0,0.0,33034.0
