Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,12.42,12.42,12.42,12.42,0,0.0,,0.0,
2003-12-02,12.42,12.42,12.42,12.42,0,0.0,0.0,0.0,
2003-12-03,12.42,12.42,12.42,12.42,0,0.0,0.0,0.0,
2003-12-04,12.42,12.42,12.42,12.42,0,0.0,0.0,0.0,
2003-12-05,12.42,12.42,12.42,12.42,0,0.0,0.0,0.0,
2003-12-08,12.42,12.42,12.42,12.42,0,0.0,0.0,0.0,
2003-12-09,12.36,12.36,12.36,12.36,500,0.0,-0.0048,6180.0,
2003-12-10,12.36,12.36,12.36,12.36,0,0.0,0.0,0.0,
2003-12-11,12.36,12.36,12.36,12.36,100,0.0,0.0,1236.0,
2003-12-12,12.36,12.36,12.36,12.36,0,0.0,0.0,0.0,
2003-12-15,12.59,12.61,11.39,12.61,6100,0.0016,0.0202,76921.0,741.6
2003-12-16,12.98,13.14,12.98,13.14,1200,0.0123,0.042,15768.0,8433.7
2003-12-17,12.99,13.08,12.99,13.08,300,0.0069,-0.0046,3924.0,10010.5
2003-12-18,13.4,13.63,13.3,13.63,700,0.0172,0.042,9541.0,10402.9
2003-12-19,13.7,13.7,13.7,13.7,100,0.0,0.0051,1370.0,11357.0
2003-12-22,13.66,13.66,13.44,13.66,200,0.0,-0.0029,2732.0,11494.0
2003-12-23,13.66,13.66,13.66,13.66,0,0.0,0.0,0.0,11767.2
2003-12-24,13.66,13.66,13.66,13.66,0,0.0,0.0,0.0,11149.2
2003-12-26,13.74,14.4,13.72,14.24,2000,0.0364,0.0425,28480.0,11149.2
2003-12-29,14.4,14.4,14.27,14.4,1600,0.0,0.0112,23040.0,13873.6
2003-12-30,14.4,14.42,14.4,14.42,700,0.0014,0.0014,10094.0,16177.6
2003-12-31,14.5,14.61,14.5,14.61,500,0.0076,0.0132,7305.0,9494.9
2004-01-02,14.75,14.89,14.75,14.85,2800,0.0068,0.0164,41580.0,8648.6
2004-01-05,14.96,14.96,14.4,14.96,4000,0.0,0.0074,59840.0,12414.2
2004-01-06,15.1,15.9,15.1,15.9,2400,0.053,0.0628,38160.0,17444.1
2004-01-07,15.7,15.7,15.3,15.3,700,-0.0255,-0.0377,10710.0,21123.1
2004-01-08,15.6,15.8,15.6,15.8,900,0.0128,0.0327,14220.0,21920.9
2004-01-09,15.35,15.81,15.35,15.81,400,0.03,0.0006,6324.0,23342.9
2004-01-12,15.9,16.0,15.56,15.56,8300,-0.0214,-0.0158,129148.0,23975.3
2004-01-13,15.52,15.52,15.52,15.52,800,0.0,-0.0026,12416.0,34042.1
2004-01-14,15.85,15.85,15.85,15.85,300,0.0,0.0213,4755.0,32979.7
2004-01-15,15.58,15.63,15.58,15.63,1200,0.0032,-0.0139,18756.0,32445.8
2004-01-16,15.85,16.0,15.85,16.0,2500,0.0095,0.0237,40000.0,33590.9
2004-01-20,15.5,15.7,15.5,15.7,1200,0.0129,-0.0188,18840.0,33432.9
2004-01-21,15.55,15.55,15.55,15.55,1100,0.0,-0.0096,17105.0,29332.9
2004-01-22,15.55,15.55,15.55,15.55,0,0.0,0.0,0.0,27227.4
2004-01-23,15.55,15.55,15.55,15.55,0,0.0,0.0,0.0,26156.4
2004-01-26,15.76,15.76,15.57,15.57,400,-0.0121,0.0013,6228.0,24734.4
2004-01-27,15.59,15.89,15.59,15.89,600,0.0192,0.0206,9534.0,24724.8
2004-01-28,15.89,15.89,15.89,15.89,0,0.0,0.0,0.0,12763.4
2004-01-29,15.89,15.89,15.89,15.89,0,0.0,0.0,0.0,11521.8
2004-01-30,15.89,15.89,15.89,15.89,0,0.0,0.0,0.0,11046.3
2004-02-02,15.62,15.62,15.62,15.62,200,0.0,-0.017,3124.0,9170.7
2004-02-03,15.62,15.62,15.62,15.62,0,0.0,0.0,0.0,5483.1
2004-02-04,15.5,15.75,15.04,15.75,4300,0.0161,0.0083,67725.0,3599.1
2004-02-05,15.75,15.75,15.75,15.75,0,0.0,0.0,0.0,8661.1
2004-02-06,15.75,15.75,15.75,15.75,0,0.0,0.0,0.0,8661.1
2004-02-09,15.75,15.75,15.75,15.75,0,0.0,0.0,0.0,8661.1
2004-02-10,15.25,15.65,15.25,15.65,2200,0.0262,-0.0063,34430.0,8038.3
2004-02-11,15.3,15.35,15.3,15.35,700,0.0033,-0.0192,10745.0,10527.9
2004-02-12,15.35,15.35,15.35,15.35,0,0.0,0.0,0.0,11602.4
2004-02-13,15.35,15.35,15.35,15.35,0,0.0,0.0,0.0,11602.4
2004-02-17,15.25,15.35,15.2,15.2,2500,-0.0033,-0.0098,38000.0,11602.4
2004-02-18,15.2,15.2,15.2,15.2,100,0.0,0.0,1520.0,15090.0
2004-02-19,15.2,15.2,15.2,15.2,200,0.0,0.0,3040.0,15242.0
2004-02-20,15.2,15.2,15.0,15.0,800,-0.0132,-0.0132,12000.0,8773.5
2004-02-23,14.5,14.5,14.5,14.5,100,0.0,-0.0333,1450.0,9973.5
2004-02-24,14.5,14.5,14.5,14.5,0,0.0,0.0,0.0,10118.5
2004-02-25,14.5,14.5,14.5,14.5,0,0.0,0.0,0.0,10118.5
2004-02-26,14.5,14.5,14.5,14.5,2900,0.0,0.0,42050.0,6675.5
2004-02-27,14.5,14.5,14.5,14.5,2500,0.0,0.0,36250.0,9806.0
2004-03-01,14.5,14.5,14.5,14.5,500,0.0,0.0,7250.0,13431.0
2004-03-02,14.8,14.8,14.8,14.8,300,0.0,0.0207,4440.0,14156.0
2004-03-03,14.8,14.8,14.8,14.8,0,0.0,0.0,0.0,10800.0
2004-03-04,14.8,14.8,14.8,14.8,0,0.0,0.0,0.0,10648.0
2004-03-05,14.8,14.8,14.8,14.8,0,0.0,0.0,0.0,10344.0
2004-03-08,14.8,14.8,14.8,14.8,0,0.0,0.0,0.0,9144.0
2004-03-09,14.5,14.56,14.5,14.56,900,0.0041,-0.0162,13104.0,8999.0
2004-03-10,14.56,14.56,14.56,14.56,0,0.0,0.0,0.0,10309.4
2004-03-11,14.5,14.51,14.5,14.51,400,0.0007,-0.0034,5804.0,10309.4
2004-03-12,14.5,14.5,14.5,14.5,400,0.0,-0.0007,5800.0,6684.8
2004-03-15,14.5,14.5,14.5,14.5,100,0.0,0.0,1450.0,3639.8
2004-03-16,14.5,14.56,14.5,14.56,500,0.0041,0.0041,7280.0,3059.8
2004-03-17,14.5,14.5,14.5,14.5,100,0.0,-0.0041,1450.0,3343.8
2004-03-18,14.5,14.5,14.5,14.5,100,0.0,0.0,1450.0,3488.8
2004-03-19,14.5,14.5,14.5,14.5,0,0.0,0.0,0.0,3633.8
2004-03-22,14.5,14.56,14.5,14.5,1500,0.0,0.0,21750.0,3633.8
2004-03-23,14.5,14.5,14.5,14.5,200,0.0,0.0,2900.0,5808.8
2004-03-24,14.5,14.5,14.5,14.5,100,0.0,0.0,1450.0,4788.4
2004-03-25,14.5,14.5,14.5,14.5,300,0.0,0.0,4350.0,4933.4
2004-03-26,14.5,14.5,14.5,14.5,0,0.0,0.0,0.0,4788.0
2004-03-29,14.5,14.56,14.5,14.56,4500,0.0041,0.0041,65520.0,4208.0
2004-03-30,15.1,15.1,14.75,14.75,500,-0.0232,0.013,7375.0,10615.0
2004-03-31,14.75,14.75,14.75,14.75,0,0.0,0.0,0.0,10624.5
2004-04-01,15.1,15.1,15.1,15.1,400,0.0,0.0237,6040.0,10479.5
2004-04-02,15.5,15.5,14.97,14.97,600,-0.0342,-0.0086,8982.0,10938.5
2004-04-05,14.97,14.97,14.97,14.97,0,0.0,0.0,0.0,11836.7
2004-04-06,14.97,14.97,14.97,14.97,0,0.0,0.0,0.0,9661.7
2004-04-07,15.26,17.0,15.26,17.0,5800,0.114,0.1356,98600.0,9371.7
2004-04-08,16.87,16.87,15.8,15.8,700,-0.0634,-0.0706,11060.0,19086.7
2004-04-12,16.34,17.5,16.25,17.5,1800,0.071,0.1076,31500.0,19757.7
2004-04-13,17.87,19.6,17.74,19.5,4300,0.0912,0.1143,83850.0,22907.7
2004-04-14,18.25,19.0,18.25,19.0,600,0.0411,-0.0256,11400.0,24740.7
2004-04-15,19.0,19.52,19.0,19.21,800,0.0111,0.0111,15368.0,25143.2
2004-04-16,19.3,21.3,19.3,19.7,16300,0.0207,0.0255,321110.0,26680.0
2004-04-19,19.65,19.65,19.5,19.65,1000,0.0,-0.0025,19650.0,58187.0
2004-04-20,19.65,19.65,19.09,19.48,2000,-0.0087,-0.0087,38960.0,59253.8
2004-04-21,19.09,19.11,18.27,18.27,900,-0.043,-0.0621,16443.0,63149.8
2004-04-22,18.5,18.5,18.5,18.5,200,0.0,0.0126,3700.0,64794.1
2004-04-23,18.5,18.5,18.0,18.0,800,-0.027,-0.027,14400.0,55304.1
2004-04-26,18.0,18.01,18.0,18.0,7800,0.0,0.0,140400.0,55638.1
2004-04-27,18.0,18.15,18.0,18.0,900,0.0,0.0,16200.0,66528.1
2004-04-28,18.0,18.0,18.0,18.0,0,0.0,0.0,0.0,59763.1
2004-04-29,18.2,18.94,18.2,18.79,1300,0.0324,0.0439,24427.0,58623.1
2004-04-30,18.9,18.9,18.0,18.0,2100,-0.0476,-0.042,37800.0,59529.0
2004-05-03,18.01,18.06,18.0,18.01,2500,0.0,0.0006,45025.0,31198.0
2004-05-04,18.01,18.02,18.01,18.02,10800,0.0006,0.0006,194616.0,33735.5
2004-05-05,18.79,18.79,18.79,18.79,100,0.0,0.0427,1879.0,49301.1
2004-05-06,18.78,18.78,18.78,18.78,200,0.0,-0.0005,3756.0,47844.7
2004-05-07,18.7,18.7,18.7,18.7,500,0.0,-0.0043,9350.0,47850.3
2004-05-10,19.0,19.0,18.71,18.71,300,-0.0153,0.0005,5613.0,47345.3
2004-05-11,18.71,18.71,18.71,18.71,0,0.0,0.0,0.0,33866.6
2004-05-12,18.68,18.68,18.02,18.02,800,-0.0353,-0.0369,14416.0,32246.6
2004-05-13,18.02,18.02,18.02,18.02,1100,0.0,0.0,19822.0,33688.2
2004-05-14,18.02,18.02,18.02,18.02,500,0.0,0.0,9010.0,33227.7
2004-05-17,18.02,18.02,18.02,18.02,1000,0.0,0.0,18020.0,30348.7
2004-05-18,18.02,18.02,18.02,18.02,0,0.0,0.0,0.0,27648.2
2004-05-19,18.02,18.02,18.02,18.02,0,0.0,0.0,0.0,8186.6
2004-05-20,18.02,18.02,18.02,18.02,200,0.0,0.0,3604.0,7998.7
2004-05-21,18.02,18.02,18.02,18.02,2400,0.0,0.0,43248.0,7983.5
2004-05-24,18.02,18.02,18.02,18.02,400,0.0,0.0,7208.0,11373.3
2004-05-25,18.02,18.02,18.02,18.02,500,0.0,0.0,9010.0,11532.8
2004-05-26,18.02,18.02,18.02,18.02,200,0.0,0.0,3604.0,12433.8
2004-05-27,18.03,18.03,18.03,18.03,500,0.0,0.0006,9015.0,11352.6
2004-05-28,18.02,18.08,18.02,18.02,1200,0.0,-0.0006,21624.0,10271.9
2004-06-01,18.02,18.02,18.02,18.02,500,0.0,0.0,9010.0,11533.3
2004-06-02,18.02,18.08,18.02,18.08,2500,0.0033,0.0033,45200.0,10632.3
2004-06-03,18.02,18.24,18.02,18.24,1300,0.0122,0.0088,23712.0,15152.3
2004-06-04,18.02,18.02,18.02,18.02,2300,0.0,-0.0121,41446.0,17523.5
2004-06-07,18.02,18.02,18.02,18.02,700,0.0,0.0,12614.0,21307.7
2004-06-08,18.02,18.19,18.02,18.19,400,0.0094,0.0094,7276.0,18244.3
2004-06-09,18.02,18.02,18.02,18.02,100,0.0,-0.0093,1802.0,18251.1
2004-06-10,18.08,18.24,18.08,18.24,400,0.0088,0.0122,7296.0,17530.3
2004-06-14,18.24,18.24,18.24,18.24,100,0.0,0.0,1824.0,17899.5
2004-06-15,18.24,18.24,18.24,18.24,0,0.0,0.0,0.0,17180.4
2004-06-16,18.24,18.24,18.24,18.24,0,0.0,0.0,0.0,15018.0
2004-06-17,18.24,18.25,18.24,18.25,300,0.0005,0.0005,5475.0,14117.0
2004-06-18,18.25,18.25,18.25,18.25,0,0.0,0.0,0.0,10144.5
2004-06-21,18.25,18.25,18.25,18.25,0,0.0,0.0,0.0,7773.3
2004-06-22,18.25,18.25,18.25,18.25,0,0.0,0.0,0.0,3628.7
2004-06-23,18.25,18.25,18.25,18.25,0,0.0,0.0,0.0,2367.3
2004-06-24,18.25,18.25,18.25,18.25,0,0.0,0.0,0.0,1639.7
2004-06-25,18.25,18.25,18.25,18.25,0,0.0,0.0,0.0,1459.5
2004-06-28,18.25,18.25,18.25,18.25,0,0.0,0.0,0.0,729.9
2004-06-29,18.25,18.25,18.25,18.25,200,0.0,0.0,3650.0,547.5
2004-06-30,18.25,18.25,18.25,18.25,0,0.0,0.0,0.0,912.5
2004-07-01,18.24,18.25,18.24,18.25,600,0.0005,0.0,10950.0,912.5
2004-07-02,18.25,18.25,18.25,18.25,0,0.0,0.0,0.0,1460.0
2004-07-06,18.25,18.25,18.25,18.25,0,0.0,0.0,0.0,1460.0
2004-07-07,18.35,18.35,18.35,18.35,100,0.0,0.0055,1835.0,1460.0
2004-07-08,18.35,18.35,18.35,18.35,100,0.0,0.0,1835.0,1643.5
2004-07-09,18.35,18.35,18.35,18.35,0,0.0,0.0,0.0,1827.0
2004-07-12,18.4,18.4,18.4,18.4,3200,0.0,0.0027,58880.0,1827.0
2004-07-13,18.4,19.95,18.35,19.75,23900,0.0734,0.0734,472025.0,7715.0
2004-07-14,19.5,19.5,19.27,19.3,1100,-0.0103,-0.0228,21230.0,54917.5
2004-07-15,18.35,19.96,18.0,19.95,2900,0.0872,0.0337,57855.0,56675.5
2004-07-16,19.71,19.77,19.34,19.49,600,-0.0112,-0.0231,11694.0,62461.0
2004-07-19,20.0,20.0,20.0,20.0,400,0.0,0.0262,8000.0,62535.4
2004-07-20,20.0,21.35,19.99,20.58,7500,0.029,0.029,154350.0,63335.4
2004-07-21,20.58,20.58,20.58,20.58,0,0.0,0.0,0.0,78770.4
2004-07-22,19.99,19.99,19.99,19.99,100,0.0,-0.0287,1999.0,78586.9
2004-07-23,19.99,19.99,19.99,19.99,0,0.0,0.0,0.0,78603.3
2004-07-26,19.99,19.99,19.99,19.99,0,0.0,0.0,0.0,78603.3
2004-07-27,19.99,19.99,19.99,19.99,0,0.0,0.0,0.0,72715.3
2004-07-28,19.99,19.99,19.99,19.99,0,0.0,0.0,0.0,25512.8
2004-07-29,20.02,20.02,20.02,20.02,100,0.0,0.0015,2002.0,23389.8
2004-07-30,20.0,20.0,20.0,20.0,100,0.0,-0.001,2000.0,17804.5
2004-08-02,19.27,19.38,19.2,19.2,900,-0.0036,-0.04,17280.0,16835.1
2004-08-03,19.2,19.2,19.0,19.2,1100,0.0,0.0,21120.0,17763.1
2004-08-04,19.75,19.75,19.75,19.75,400,0.0,0.0286,7900.0,4440.1
2004-08-05,18.76,18.76,18.76,18.76,100,0.0,-0.0501,1876.0,5230.1
2004-08-06,18.76,18.76,18.76,18.76,0,0.0,0.0,0.0,5217.8
2004-08-09,18.76,18.76,18.76,18.76,0,0.0,0.0,0.0,5217.8
2004-08-10,18.75,18.75,18.75,18.75,300,0.0,-0.0005,5625.0,5217.8
2004-08-11,18.75,18.75,18.75,18.75,0,0.0,0.0,0.0,5780.3
2004-08-12,18.75,18.75,18.75,18.75,0,0.0,0.0,0.0,5780.3
2004-08-13,18.0,18.39,18.0,18.39,4800,0.0217,-0.0192,88272.0,5580.1
2004-08-16,18.15,18.15,18.0,18.0,1600,-0.0083,-0.0212,28800.0,14207.3
2004-08-17,18.0,18.08,18.0,18.08,800,0.0044,0.0044,14464.0,15359.3
2004-08-18,18.0,18.75,18.0,18.75,800,0.0417,0.0371,15000.0,14693.7
2004-08-19,18.75,18.75,18.75,18.75,200,0.0,0.0,3750.0,15403.7
2004-08-20,18.75,18.75,18.75,18.75,0,0.0,0.0,0.0,15591.1
2004-08-23,18.75,18.75,18.75,18.75,0,0.0,0.0,0.0,15591.1
2004-08-24,18.18,18.18,18.15,18.15,300,-0.0017,-0.032,5445.0,15591.1
2004-08-25,18.15,18.15,18.15,18.15,0,0.0,0.0,0.0,15573.1
2004-08-26,18.15,18.15,18.15,18.15,0,0.0,0.0,0.0,15573.1
2004-08-27,18.5,18.5,18.5,18.5,400,0.0,0.0193,7400.0,15573.1
2004-08-30,18.5,18.5,18.5,18.5,0,0.0,0.0,0.0,7485.9
2004-08-31,18.5,18.5,18.5,18.5,0,0.0,0.0,0.0,4605.9
2004-09-01,20.29,20.29,20.26,20.26,200,-0.0015,0.0951,4052.0,3159.5
2004-09-02,19.25,19.25,19.25,19.25,200,0.0,-0.0499,3850.0,2064.7
2004-09-03,19.35,19.35,19.35,19.35,400,0.0,0.0052,7740.0,2074.7
2004-09-07,19.35,19.35,19.35,19.35,0,0.0,0.0,0.0,2848.7
2004-09-08,18.0,18.0,18.0,18.0,100,0.0,-0.0698,1800.0,2848.7
2004-09-09,20.0,20.0,20.0,20.0,1000,0.0,0.1111,20000.0,2484.2
2004-09-10,18.19,19.92,18.0,19.92,1800,0.0951,-0.004,35856.0,4484.2
2004-09-13,19.92,19.92,19.92,19.92,0,0.0,0.0,0.0,8069.8
2004-09-14,19.99,19.99,19.99,19.99,500,0.0,0.0035,9995.0,7329.8
2004-09-15,19.5,19.5,19.5,19.5,200,0.0,-0.0245,3900.0,8329.3
2004-09-16,18.62,18.62,18.62,18.62,300,0.0,-0.0451,5586.0,8719.3
2004-09-17,18.62,18.62,18.62,18.62,0,0.0,0.0,0.0,8872.7
2004-09-20,18.62,18.62,18.62,18.62,0,0.0,0.0,0.0,8487.7
2004-09-21,19.5,19.5,19.5,19.5,600,0.0,0.0473,11700.0,7713.7
2004-09-22,19.5,19.5,19.5,19.5,0,0.0,0.0,0.0,8883.7
2004-09-23,19.5,19.5,19.5,19.5,0,0.0,0.0,0.0,8703.7
2004-09-24,19.5,19.5,19.5,19.5,0,0.0,0.0,0.0,6703.7
2004-09-27,20.0,20.0,20.0,20.0,400,0.0,0.0256,8000.0,3118.1
2004-09-28,19.99,19.99,19.93,19.95,1100,-0.002,-0.0025,21945.0,3918.1
2004-09-29,19.95,20.0,19.95,20.0,300,0.0025,0.0025,6000.0,5113.1
2004-09-30,20.0,20.0,20.0,20.0,0,0.0,0.0,0.0,5323.1
2004-10-01,20.0,20.0,20.0,20.0,0,0.0,0.0,0.0,4764.5
2004-10-04,19.5,19.5,19.5,19.5,100,0.0,-0.025,1950.0,4764.5
2004-10-05,19.5,19.7,19.25,19.7,500,0.0103,0.0103,9850.0,4959.5
2004-10-06,19.79,19.79,19.65,19.65,300,-0.0071,-0.0025,5895.0,4774.5
2004-10-07,20.0,20.0,20.0,20.0,100,0.0,0.0178,2000.0,5364.0
2004-10-08,20.0,20.0,20.0,20.0,0,0.0,0.0,0.0,5564.0
2004-10-11,20.0,20.0,20.0,20.0,0,0.0,0.0,0.0,5564.0
2004-10-12,20.0,20.0,20.0,20.0,0,0.0,0.0,0.0,4764.0
2004-10-13,18.2,19.25,18.2,19.25,1700,0.0577,-0.0375,32725.0,2569.5
2004-10-14,19.25,19.25,19.25,19.25,0,0.0,0.0,0.0,5242.0
2004-10-15,19.5,19.5,19.5,19.5,100,0.0,0.013,1950.0,5242.0
2004-10-18,19.05,19.05,18.54,18.54,400,-0.0268,-0.0492,7416.0,5437.0
2004-10-19,18.04,18.07,18.0,18.05,900,0.0006,-0.0264,16245.0,5983.6
2004-10-20,19.85,19.85,19.75,19.75,700,-0.005,0.0942,13825.0,6623.1
