Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2020-07-08,12.37,13.5,11.11,12.02,487500,-0.0283,,5859750.0,
2020-07-09,12.75,14.0,11.48,13.74,110000,0.0776,0.1431,1511400.0,
2020-07-10,15.15,21.44,14.0,15.85,193700,0.0462,0.1536,3070145.0,
2020-07-13,16.21,18.0,13.0,13.12,150500,-0.1906,-0.1722,1974560.0,
2020-07-14,12.51,15.25,12.51,14.62,36400,0.1687,0.1143,532168.0,
2020-07-15,14.0,14.9,13.08,14.35,24000,0.025,-0.0185,344400.0,
2020-07-16,14.21,15.0,13.03,13.57,45900,-0.045,-0.0544,622863.0,
2020-07-17,14.0,14.0,13.45,13.5,7900,-0.0357,-0.0052,106650.0,
2020-07-20,13.52,14.19,13.0,13.61,17100,0.0067,0.0081,232731.0,
2020-07-21,14.1,14.4,13.12,14.3,32900,0.0142,0.0507,470470.0,
2020-07-22,14.4,14.65,14.05,14.4,8600,0.0,0.007,123840.0,1472513.7
2020-07-23,14.84,15.3,14.41,14.87,14500,0.002,0.0326,215615.0,898922.7
2020-07-24,15.18,15.18,14.32,14.7,13200,-0.0316,-0.0114,194040.0,769344.2
2020-07-27,14.5,14.78,14.0,14.78,9200,0.0193,0.0054,135976.0,481733.7
2020-07-28,14.65,16.04,14.45,14.9,11900,0.0171,0.0081,177310.0,297875.3
2020-07-29,14.9,15.2,14.03,14.03,8200,-0.0584,-0.0584,115046.0,262389.5
2020-07-30,14.29,15.0,14.05,15.0,2800,0.0497,0.0691,42000.0,239454.1
2020-07-31,14.15,14.7,14.1,14.22,10500,0.0049,-0.052,149310.0,181367.8
2020-08-03,14.83,14.83,13.17,13.61,26400,-0.0823,-0.0429,359304.0,185633.8
2020-08-04,13.61,14.49,13.15,13.15,17700,-0.0338,-0.0338,232755.0,198291.1
2020-08-05,13.48,13.89,13.0,13.03,30000,-0.0334,-0.0091,390900.0,174519.6
2020-08-06,13.0,13.1,12.21,12.96,20400,-0.0031,-0.0054,264384.0,201225.6
2020-08-07,13.5,13.5,12.15,12.75,8600,-0.0556,-0.0162,109650.0,206102.5
2020-08-10,11.48,12.57,11.48,12.45,14000,0.0845,-0.0235,174300.0,197663.5
2020-08-11,12.16,12.82,12.16,12.4,8000,0.0197,-0.004,99200.0,201495.9
2020-08-12,12.01,12.72,12.01,12.5,17600,0.0408,0.0081,220000.0,193684.9
2020-08-13,12.3,12.62,12.0,12.5,18100,0.0163,0.0,226250.0,204180.3
2020-08-14,12.12,14.06,12.0,14.06,20100,0.1601,0.1248,282606.0,222605.3
2020-08-17,14.67,14.67,13.55,13.7,18500,-0.0661,-0.0256,253450.0,235934.9
2020-08-18,13.01,13.59,13.0,13.59,4700,0.0446,-0.008,63873.0,225349.5
2020-08-19,13.48,13.95,13.0,13.91,3500,0.0319,0.0235,48685.0,208461.3
2020-08-20,13.51,13.54,13.5,13.5,7100,-0.0007,-0.0295,95850.0,174239.8
2020-08-21,13.53,13.53,13.06,13.5,2600,-0.0022,0.0,35100.0,157386.4
2020-08-24,13.27,13.27,13.0,13.0,4300,-0.0203,-0.037,55900.0,149931.4
2020-08-25,13.15,13.15,13.0,13.01,800,-0.0106,0.0008,10408.0,138091.4
2020-08-26,13.2,13.75,13.01,13.1,25300,-0.0076,0.0069,331430.0,129212.2
2020-08-27,13.32,13.55,12.89,13.15,2600,-0.0128,0.0038,34190.0,140355.2
2020-08-28,13.59,14.0,13.0,13.0,6100,-0.0434,-0.0114,79300.0,121149.2
2020-08-31,13.0,13.2,12.75,12.9,18900,-0.0077,-0.0077,243810.0,100818.6
2020-09-01,12.77,13.65,12.77,13.05,5900,0.0219,0.0116,76995.0,99854.6
2020-09-02,13.31,13.31,12.65,12.79,20000,-0.0391,-0.0199,255800.0,101166.8
2020-09-03,12.99,13.45,12.96,12.96,20600,-0.0023,0.0133,266976.0,121878.3
2020-09-04,13.21,13.22,12.0,12.75,12900,-0.0348,-0.0162,164475.0,138990.9
2020-09-08,12.35,13.01,12.35,13.01,2600,0.0534,0.0204,33826.0,151928.4
2020-09-09,12.82,13.0,12.75,12.75,6900,-0.0055,-0.02,87975.0,149721.0
2020-09-10,12.96,13.16,12.96,13.0,2700,0.0031,0.0196,35100.0,157477.7
2020-09-11,13.0,13.2,12.92,13.1,3600,0.0077,0.0077,47160.0,127844.7
2020-09-14,13.25,13.25,12.74,12.75,3400,-0.0377,-0.0267,43350.0,129141.7
2020-09-15,13.0,13.1,13.0,13.1,8600,0.0077,0.0275,112660.0,125546.7
2020-09-16,13.05,13.55,13.05,13.55,3400,0.0383,0.0344,46070.0,112431.7
2020-09-17,13.02,13.25,12.81,12.81,6800,-0.0161,-0.0546,87108.0,109339.2
2020-09-18,13.19,16.3,13.0,14.9,135000,0.1296,0.1632,2011500.0,92470.0
2020-09-21,14.85,16.0,14.5,15.49,24000,0.0431,0.0396,371760.0,266922.4
2020-09-22,15.48,15.99,14.58,14.58,13300,-0.0581,-0.0587,193914.0,287650.9
2020-09-23,14.74,15.4,14.5,14.5,15700,-0.0163,-0.0055,227650.0,303659.7
2020-09-24,14.5,14.61,14.25,14.25,11500,-0.0172,-0.0172,163875.0,317627.2
2020-09-25,14.25,14.89,14.18,14.25,17400,0.0,0.0,247950.0,330504.7
2020-09-28,14.28,15.16,14.28,14.58,8100,0.021,0.0232,118098.0,350583.7
2020-09-29,15.15,15.63,14.56,14.58,6200,-0.0376,0.0,90396.0,358058.5
2020-09-30,14.61,15.46,14.36,14.38,12300,-0.0157,-0.0137,176874.0,355832.1
2020-10-01,14.4,15.57,14.38,14.77,11700,0.0257,0.0271,172809.0,368912.5
2020-10-02,14.56,14.99,14.3,14.5,3600,-0.0041,-0.0183,52200.0,377482.6
2020-10-05,14.31,14.52,14.29,14.5,2200,0.0133,0.0,31900.0,181552.6
2020-10-06,14.51,14.75,13.76,14.03,18000,-0.0331,-0.0324,252540.0,147566.6
2020-10-07,14.01,14.47,14.0,14.0,9900,-0.0007,-0.0021,138600.0,153429.2
2020-10-08,14.3,14.44,14.24,14.25,1600,-0.0035,0.0179,22800.0,144524.2
2020-10-09,14.26,14.45,14.02,14.02,10900,-0.0168,-0.0161,152818.0,130416.7
2020-10-12,14.0,14.27,14.0,14.25,3900,0.0179,0.0164,55575.0,120903.5
2020-10-13,14.31,14.38,14.1,14.1,6500,-0.0147,-0.0105,91650.0,114651.2
2020-10-14,14.5,14.5,14.0,14.12,3400,-0.0262,0.0014,48008.0,114776.6
2020-10-15,13.51,14.04,13.51,13.73,16000,0.0163,-0.0276,219680.0,101890.0
2020-10-16,13.97,14.0,13.58,13.7,4400,-0.0193,-0.0022,60280.0,106577.1
2020-10-19,13.6,14.24,13.5,13.7,4000,0.0074,0.0,54800.0,107385.1
2020-10-20,13.6,14.0,13.6,13.7,2100,0.0074,0.0,28770.0,109675.1
2020-10-21,13.85,13.93,13.6,13.93,1600,0.0058,0.0168,22288.0,87298.1
2020-10-22,13.87,13.87,13.22,13.5,6000,-0.0267,-0.0309,81000.0,75666.9
2020-10-23,13.29,13.4,13.2,13.4,9400,0.0083,-0.0074,125960.0,81486.9
2020-10-26,13.38,13.38,13.06,13.07,5400,-0.0232,-0.0246,70578.0,78801.1
2020-10-27,13.25,13.32,13.01,13.32,1400,0.0053,0.0191,18648.0,80301.4
2020-10-28,13.3,13.3,13.0,13.01,4200,-0.0218,-0.0233,54642.0,73001.2
2020-10-29,13.0,13.37,13.0,13.37,3000,0.0285,0.0277,40110.0,73664.6
2020-10-30,13.08,13.29,13.0,13.2,5800,0.0092,-0.0127,76560.0,55707.6
2020-11-02,13.02,13.4,12.6,13.29,5500,0.0207,0.0068,73095.0,57335.6
2020-11-03,12.94,13.3,12.94,13.3,1900,0.0278,0.0008,25270.0,59165.1
