Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2021-10-04,9.82,9.84,9.81,9.82,98500,0.0,,967270.0,
2021-10-05,9.82,9.82,9.82,9.82,100,0.0,0.0,982.0,
2021-10-06,10.63,10.63,9.83,9.83,205900,-0.0753,0.001,2023997.0,
2021-10-07,9.84,9.86,9.82,9.82,74200,-0.002,-0.001,728644.0,
2021-10-08,9.83,9.83,9.83,9.83,213300,0.0,0.001,2096739.0,
2021-10-11,9.83,9.83,9.83,9.83,0,0.0,0.0,0.0,
2021-10-12,9.83,9.85,9.83,9.85,5000,0.002,0.002,49250.0,
2021-10-13,9.85,9.85,9.85,9.85,0,0.0,0.0,0.0,
2021-10-14,9.85,9.85,9.85,9.85,0,0.0,0.0,0.0,
2021-10-15,9.85,9.85,9.85,9.85,0,0.0,0.0,0.0,
2021-10-18,9.87,9.87,9.87,9.87,300000,0.0,0.002,2961000.0,586688.2
2021-10-19,9.9,9.9,9.9,9.9,10000,0.0,0.003,99000.0,786061.2
2021-10-20,9.9,9.9,9.9,9.9,0,0.0,0.0,0.0,795863.0
2021-10-21,9.9,9.9,9.9,9.9,0,0.0,0.0,0.0,593463.3
2021-10-22,10.0,10.1,9.96,10.0,600,0.0,0.0101,6000.0,520598.9
2021-10-25,10.1,10.1,9.94,9.94,200,-0.0158,-0.006,1988.0,311525.0
2021-10-26,9.9,9.9,9.9,9.9,200,0.0,-0.004,1980.0,311723.8
2021-10-27,9.9,9.9,9.86,9.86,1800,-0.004,-0.004,17748.0,306996.8
2021-10-28,9.86,9.86,9.86,9.86,0,0.0,0.0,0.0,308771.6
2021-10-29,9.9,9.9,9.9,9.9,101300,0.0,0.0041,1002870.0,308771.6
2021-11-01,9.92,9.92,9.9,9.9,50900,-0.002,0.0,503910.0,409058.6
2021-11-02,9.9,9.92,9.9,9.9,101600,0.0,0.0,1005840.0,163349.6
2021-11-03,9.9,9.9,9.88,9.88,200,-0.002,-0.002,1976.0,254033.6
2021-11-04,9.88,9.88,9.88,9.88,0,0.0,0.0,0.0,254231.2
2021-11-05,9.9,9.93,9.89,9.93,18700,0.003,0.0051,185691.0,254231.2
2021-11-08,9.9,9.9,9.86,9.86,8500,-0.004,-0.007,83810.0,272200.3
2021-11-09,9.89,9.9,9.89,9.9,700,0.001,0.0041,6930.0,280382.5
2021-11-10,9.9,9.9,9.85,9.9,19500,0.0,0.0,193050.0,280877.5
2021-11-11,9.9,9.9,9.9,9.9,0,0.0,0.0,0.0,298407.7
2021-11-12,9.88,9.88,9.88,9.88,146900,0.0,-0.002,1451372.0,298407.7
2021-11-15,9.88,9.88,9.88,9.88,0,0.0,0.0,0.0,343257.9
2021-11-16,9.88,9.88,9.88,9.88,0,0.0,0.0,0.0,292866.9
2021-11-17,9.9,9.9,9.9,9.9,200,0.0,0.002,1980.0,192282.9
2021-11-18,9.9,9.9,9.9,9.9,0,0.0,0.0,0.0,192283.3
2021-11-19,9.9,9.9,9.9,9.9,38700,0.0,0.0,383130.0,192283.3
2021-11-22,9.93,9.93,9.93,9.93,100,0.0,0.003,993.0,212027.2
2021-11-23,9.93,9.93,9.93,9.93,0,0.0,0.0,0.0,203745.5
2021-11-24,9.93,9.93,9.93,9.93,0,0.0,0.0,0.0,203052.5
2021-11-26,9.93,9.93,9.93,9.93,0,0.0,0.0,0.0,183747.5
2021-11-29,9.93,9.93,9.93,9.93,0,0.0,0.0,0.0,183747.5
2021-11-30,9.91,9.94,9.91,9.94,9700,0.003,0.001,96418.0,38610.3
2021-12-01,9.9,9.9,9.9,9.9,40600,0.0,-0.004,401940.0,48252.1
2021-12-02,9.85,9.91,9.85,9.9,83800,0.0051,0.0,829620.0,88446.1
2021-12-03,9.89,9.9,9.89,9.9,1500,0.001,0.0,14850.0,171210.1
2021-12-06,9.9,9.9,9.9,9.9,96400,0.0,0.0,954360.0,172695.1
2021-12-07,9.92,9.92,9.9,9.9,3700,-0.002,0.0,36630.0,229818.1
