Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2022-08-22,25.23,25.23,25.13,25.14,190900,-0.0036,,4799226.0,
2022-08-23,25.15,25.2,24.94,25.17,555400,0.0008,0.0012,13979418.0,
2022-08-24,25.15,25.25,25.1,25.15,372800,0.0,-0.0008,9375920.0,
2022-08-25,25.19,25.33,25.18,25.33,271200,0.0056,0.0072,6869496.0,
2022-08-26,25.31,25.44,25.13,25.18,495500,-0.0051,-0.0059,12476690.0,
2022-08-29,25.11,25.15,25.02,25.11,397500,0.0,-0.0028,9981225.0,
2022-08-30,25.16,25.16,25.03,25.08,379700,-0.0032,-0.0012,9522876.0,
2022-08-31,25.12,25.13,24.96,24.99,2788600,-0.0052,-0.0036,69687114.0,
2022-09-01,24.86,24.96,24.79,24.88,248300,0.0008,-0.0044,6177704.0,
2022-09-02,24.94,25.08,24.94,25.02,257400,0.0032,0.0056,6440148.0,
2022-09-06,25.06,25.06,24.86,24.88,234600,-0.0072,-0.0056,5836848.0,14930981.7
2022-09-07,24.95,24.95,24.86,24.89,214800,-0.0024,0.0004,5346372.0,15034743.9
2022-09-08,24.85,24.94,24.84,24.92,197100,0.0028,0.0012,4911732.0,14171439.3
2022-09-09,24.87,25.08,24.87,25.02,83800,0.006,0.004,2096676.0,13725020.5
2022-09-12,25.05,25.17,25.0,25.01,138200,-0.0016,-0.0004,3456382.0,13247738.5
2022-09-13,24.9,25.01,24.89,24.92,87900,0.0008,-0.0036,2190468.0,12345707.7
2022-09-14,24.95,25.03,24.91,24.94,52900,-0.0004,0.0008,1319326.0,11566632.0
2022-09-15,24.94,24.95,24.85,24.88,40500,-0.0024,-0.0024,1007640.0,10746277.0
2022-09-16,24.8,24.9,24.75,24.83,36200,0.0012,-0.002,898846.0,3878329.6
2022-09-19,24.86,24.96,24.76,24.9,85000,0.0016,0.0028,2116500.0,3350443.8
2022-09-20,24.88,24.89,24.68,24.84,159500,-0.0016,-0.0024,3961980.0,2918079.0
2022-09-21,24.87,24.96,24.83,24.9,119700,0.0012,0.0024,2980530.0,2730592.2
2022-09-22,24.94,24.97,24.66,24.67,119300,-0.0108,-0.0092,2943131.0,2494008.0
2022-09-23,24.72,24.73,24.4,24.56,77300,-0.0065,-0.0045,1898488.0,2297147.9
2022-09-26,24.53,24.67,24.35,24.39,68300,-0.0057,-0.0069,1665837.0,2277329.1
2022-09-27,24.46,24.55,24.2,24.36,95900,-0.0041,-0.0012,2336124.0,2098274.6
2022-09-28,24.38,24.67,24.36,24.63,80000,0.0103,0.0111,1970400.0,2112840.2
2022-09-29,24.59,24.59,24.23,24.4,79600,-0.0077,-0.0093,1942240.0,2177947.6
2022-09-30,24.5,24.63,24.15,24.15,141000,-0.0143,-0.0102,3405150.0,2271407.6
2022-10-03,24.32,24.4,24.19,24.36,118300,0.0016,0.0087,2881788.0,2522038.0
2022-10-04,24.52,24.76,24.51,24.69,108800,0.0069,0.0135,2686272.0,2598566.8
2022-10-05,24.6,24.66,24.52,24.65,34900,0.002,-0.0016,860285.0,2470996.0
2022-10-06,24.65,24.66,24.5,24.58,91000,-0.0028,-0.0028,2236780.0,2258971.5
2022-10-07,24.5,24.52,24.04,24.19,241400,-0.0127,-0.0159,5839466.0,2188336.4
2022-10-10,24.2,24.3,24.09,24.18,29000,-0.0008,-0.0004,701220.0,2582434.2
2022-10-11,24.22,24.22,23.99,24.1,85700,-0.005,-0.0033,2065370.0,2485972.5
2022-10-12,24.16,24.16,23.9,23.94,92200,-0.0091,-0.0066,2207268.0,2458897.1
2022-10-13,23.78,24.14,23.75,23.9,28400,0.005,-0.0017,678760.0,2482583.9
2022-10-14,23.94,24.06,23.75,23.84,44000,-0.0042,-0.0025,1048960.0,2356235.9
2022-10-17,24.0,24.1,23.9,23.99,31900,-0.0004,0.0063,765281.0,2120616.9
2022-10-18,24.15,24.19,23.87,23.95,45700,-0.0083,-0.0017,1094515.0,1908966.2
2022-10-19,23.9,23.9,23.66,23.85,57900,-0.0021,-0.0042,1380915.0,1749790.5
2022-10-20,23.85,23.85,23.61,23.68,34100,-0.0071,-0.0071,807488.0,1801853.5
2022-10-21,23.64,23.71,23.5,23.62,24300,-0.0008,-0.0025,573966.0,1658924.3
2022-10-24,23.61,23.69,23.57,23.64,58200,0.0013,0.0008,1375848.0,1132374.3
2022-10-25,23.68,24.09,23.68,24.0,251300,0.0135,0.0152,6031200.0,1199837.1
2022-10-26,24.04,24.2,23.89,24.07,58700,0.0012,0.0029,1412909.0,1596420.1
2022-10-27,24.13,24.22,23.99,24.04,50400,-0.0037,-0.0012,1211616.0,1516984.2
2022-10-28,24.12,24.12,23.96,24.08,77600,-0.0017,0.0017,1868608.0,1570269.8
2022-10-31,23.99,24.03,23.91,23.97,47700,-0.0008,-0.0046,1143369.0,1652234.6
2022-11-01,24.04,24.14,23.81,23.87,146300,-0.0071,-0.0042,3492181.0,1690043.4
2022-11-02,23.98,24.03,23.76,23.84,41400,-0.0058,-0.0013,986976.0,1929810.0
2022-11-03,23.8,23.8,23.53,23.64,54200,-0.0067,-0.0084,1281288.0,1890416.1
2022-11-04,23.73,23.73,23.48,23.56,161800,-0.0072,-0.0034,3812008.0,1937796.1
2022-11-07,23.6,23.62,23.5,23.56,142300,-0.0017,0.0,3352588.0,2261600.3
2022-11-08,23.6,23.91,23.59,23.8,53400,0.0085,0.0102,1270920.0,2459274.3
2022-11-09,23.83,23.87,23.51,23.65,70700,-0.0076,-0.0063,1672055.0,1983246.3
2022-11-10,23.9,24.18,23.86,24.1,388100,0.0084,0.019,9353210.0,2009160.9
2022-11-11,24.13,24.29,24.09,24.2,263300,0.0029,0.0041,6371860.0,2823320.3
2022-11-14,23.8,23.95,23.6,23.69,95300,-0.0046,-0.0211,2257657.0,3273645.5
2022-11-15,23.83,23.9,23.68,23.84,385100,0.0004,0.0063,9180784.0,3385074.3
2022-11-16,23.84,23.98,23.81,23.94,168300,0.0042,0.0042,4029102.0,3953934.6
2022-11-17,23.86,23.94,23.82,23.94,148500,0.0034,0.0,3555090.0,4258147.2
2022-11-18,23.98,24.09,23.94,23.99,117500,0.0004,0.0021,2818825.0,4485527.4
2022-11-21,24.03,24.07,23.99,24.03,61600,0.0,0.0017,1480248.0,4386209.1
2022-11-22,24.05,24.11,24.0,24.03,118100,-0.0008,0.0,2837943.0,4198975.1
2022-11-23,24.03,24.17,24.03,24.17,87800,0.0058,0.0058,2122126.0,4355677.4
2022-11-25,24.14,24.24,24.13,24.23,36500,0.0037,0.0025,884395.0,4400684.5
2022-11-28,24.23,24.32,24.17,24.23,91800,0.0,0.0,2224314.0,3553803.0
2022-11-29,24.19,24.2,24.0,24.05,102300,-0.0058,-0.0074,2460315.0,3139048.4
2022-11-30,24.03,24.29,24.01,24.22,135700,0.0079,0.0071,3286654.0,3159314.2
2022-12-01,24.35,24.5,24.31,24.45,104400,0.0041,0.0095,2552580.0,2569901.2
2022-12-02,24.39,24.58,24.36,24.51,102300,0.0049,0.0025,2507373.0,2422249.0
2022-12-05,24.5,24.61,24.4,24.44,132800,-0.0024,-0.0029,3245632.0,2317477.3
2022-12-06,24.46,24.54,24.34,24.41,109000,-0.002,-0.0012,2660690.0,2360158.0
2022-12-07,24.45,24.57,24.44,24.57,90700,0.0049,0.0066,2228499.0,2478202.2
