Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,22.45,22.88,22.39,22.8,15588000,0.0156,,355406400.0,
2003-12-02,22.8,22.99,22.37,22.45,15372400,-0.0154,-0.0154,345110380.0,
2003-12-03,22.64,22.84,22.14,22.24,19160800,-0.0177,-0.0094,426136192.0,
2003-12-04,23.83,24.69,23.76,24.55,59609400,0.0302,0.1039,1463410770.0,
2003-12-05,24.25,25.0,24.1,24.74,32994400,0.0202,0.0077,816281456.0,
2003-12-08,24.55,24.73,24.42,24.61,17801600,0.0024,-0.0053,438097376.0,
2003-12-09,24.58,24.67,24.2,24.22,21161800,-0.0146,-0.0158,512538796.0,
2003-12-10,24.18,24.56,24.09,24.38,16016600,0.0083,0.0066,390484708.0,
2003-12-11,24.47,25.23,24.18,25.07,22331200,0.0245,0.0283,559843184.0,
2003-12-12,25.09,25.58,24.85,25.5,21204200,0.0163,0.0172,540707100.0,
2003-12-15,25.97,26.0,24.94,25.03,24853600,-0.0362,-0.0184,622085608.0,584801636.2
2003-12-16,24.9,25.11,24.38,24.9,20533200,0.0,-0.0052,511276680.0,611469557.0
2003-12-17,24.75,25.17,24.5,24.66,15313000,-0.0036,-0.0096,377618580.0,628086187.0
2003-12-18,24.62,25.92,24.62,25.74,31133400,0.0455,0.0438,801373716.0,623234425.8
2003-12-19,25.86,25.86,25.25,25.51,22200600,-0.0135,-0.0089,566337306.0,557030720.4
2003-12-22,25.45,26.16,25.4,26.12,15205600,0.0263,0.0239,397170272.0,532036305.4
2003-12-23,26.2,26.82,26.06,26.76,20276800,0.0214,0.0245,542607168.0,527943595.0
2003-12-24,26.69,26.69,26.27,26.42,5490400,-0.0101,-0.0127,145056368.0,530950432.2
2003-12-26,26.47,26.69,26.34,26.51,3908000,0.0015,0.0034,103601080.0,506407598.2
2003-12-29,26.4,27.42,26.4,27.41,14254200,0.0383,0.0339,390707622.0,460783387.8
2003-12-30,27.24,27.39,27.01,27.19,12150200,-0.0018,-0.008,330363938.0,445783440.0
2003-12-31,27.31,27.4,26.8,26.97,9920200,-0.0124,-0.0081,267547794.0,416611273.0
2004-01-02,27.01,27.5,26.67,26.81,13705000,-0.0074,-0.0059,367431050.0,392238384.4
2004-01-05,26.75,27.44,26.71,27.38,15907200,0.0236,0.0213,435539136.0,391219631.4
2004-01-06,27.24,27.42,26.88,27.11,16162600,-0.0048,-0.0099,438168086.0,354636173.4
2004-01-07,27.0,28.11,26.97,27.88,20298600,0.0326,0.0284,565924968.0,341819251.4
2004-01-08,28.63,29.72,28.48,29.48,38061600,0.0297,0.0574,1122055968.0,358694721.0
2004-01-09,29.11,30.0,29.11,29.49,23863200,0.0131,0.0003,703725768.0,416639601.0
2004-01-12,29.43,30.17,29.27,30.05,18206800,0.0211,0.019,547114340.0,472506541.0
2004-01-13,30.1,30.33,29.4,29.72,19772600,-0.0126,-0.011,587641672.0,516857867.0
2004-01-14,29.92,30.17,29.7,30.06,14890800,0.0047,0.0114,447617448.0,536551272.0
2004-01-15,29.4,30.36,29.3,29.96,20111600,0.019,-0.0033,602543536.0,548276623.0
2004-01-16,29.82,29.99,29.45,29.83,21836000,0.0003,-0.0043,651367880.0,581776197.2
2004-01-20,29.83,29.87,29.15,29.44,18349200,-0.0131,-0.0131,540200448.0,610169880.2
2004-01-21,29.06,29.61,28.5,29.39,22475000,0.0114,-0.0017,660540250.0,620636011.4
2004-01-22,28.92,29.16,28.42,28.56,22253400,-0.0124,-0.0282,635557104.0,642873227.8
2004-01-23,28.74,29.05,28.1,28.47,14957000,-0.0094,-0.0032,425825790.0,649836441.4
2004-01-26,28.34,29.26,28.2,29.23,13561000,0.0314,0.0267,396388030.0,580213423.6
2004-01-27,29.25,29.49,28.45,28.55,13952600,-0.0239,-0.0233,398346730.0,549479649.8
2004-01-28,28.73,29.15,28.18,28.28,18035000,-0.0157,-0.0095,510029800.0,534602888.8
2004-01-29,28.43,28.85,28.02,28.77,22013600,0.012,0.0173,633331272.0,526841701.6
2004-01-30,28.71,29.44,28.65,29.31,17081800,0.0209,0.0188,500667558.0,545413084.0
2004-02-02,29.18,29.42,28.58,28.78,16514400,-0.0137,-0.0181,475284432.0,535225486.2
2004-02-03,28.77,29.05,28.45,28.72,11508400,-0.0017,-0.0021,330521248.0,517617141.4
2004-02-04,28.59,28.69,28.05,28.19,14085600,-0.014,-0.0185,397073064.0,496649221.4
2004-02-05,28.26,28.58,27.81,28.43,13417400,0.006,0.0085,381456682.0,470302502.8
2004-02-06,28.72,28.92,28.39,28.84,14741800,0.0042,0.0144,425153512.0,444892460.6
2004-02-09,28.75,28.9,28.5,28.58,10017000,-0.0059,-0.009,286285860.0,444825232.8
2004-02-10,28.52,29.12,28.5,29.05,10483800,0.0186,0.0164,304554390.0,433815015.8
2004-02-11,29.0,29.76,28.86,29.69,15296600,0.0238,0.022,454156054.0,424435781.8
2004-02-12,29.52,29.83,29.28,29.31,10319200,-0.0071,-0.0128,302455752.0,418848407.2
2004-02-13,29.26,29.63,28.64,28.84,13211200,-0.0144,-0.016,381011008.0,385760855.2
2004-02-17,29.05,30.0,28.99,29.77,15785600,0.0248,0.0322,469937312.0,373795200.2
2004-02-18,29.53,29.74,29.1,29.53,13750600,0.0,-0.0081,406055218.0,373260488.2
2004-02-19,29.77,29.97,29.38,29.4,16155600,-0.0124,-0.0044,474974640.0,380813885.2
2004-02-20,29.38,29.9,29.05,29.7,17300800,0.0109,0.0102,513833760.0,388604042.8
2004-02-23,31.46,31.83,30.67,31.22,55641200,-0.0076,0.0512,1737118264.0,401841750.6
2004-02-24,31.0,31.08,30.31,30.54,25064800,-0.0148,-0.0218,765478992.0,533038225.8
2004-02-25,30.51,31.15,30.44,31.04,17576000,0.0174,0.0164,545559040.0,580957539.0
2004-02-26,31.03,31.88,30.96,31.85,19921800,0.0264,0.0261,634509330.0,605058004.0
2004-02-27,31.95,32.0,31.25,31.55,18732400,-0.0125,-0.0094,591007220.0,623093331.6
2004-03-01,31.72,31.99,31.25,31.38,19226800,-0.0107,-0.0054,603336984.0,651948478.4
2004-03-02,31.45,31.56,31.0,31.0,15000200,-0.0143,-0.0121,465006200.0,674181076.0
2004-03-03,31.02,31.26,30.72,30.88,17830400,-0.0045,-0.0039,550602752.0,673687964.8
2004-03-04,30.8,31.4,30.78,31.28,11773400,0.0156,0.013,368271952.0,688142718.2
2004-03-05,31.34,32.22,31.28,31.94,29140400,0.0191,0.0211,930744376.0,677472449.4
2004-03-08,31.93,32.26,31.7,31.81,22297800,-0.0038,-0.0041,709293018.0,719163511.0
2004-03-09,31.65,31.98,31.46,31.88,17469600,0.0073,0.0022,556930848.0,616380986.4
2004-03-10,31.88,32.03,31.64,31.75,20351800,-0.0041,-0.0041,646169650.0,595526172.0
2004-03-11,31.25,31.72,30.83,30.89,22462000,-0.0115,-0.0271,693851180.0,605587233.0
2004-03-12,31.12,31.65,31.01,31.51,16903800,0.0125,0.0201,532638738.0,611521418.0
2004-03-15,31.27,31.93,31.15,31.41,23031000,0.0045,-0.0032,723403710.0,605684569.8
2004-03-16,31.59,32.17,31.43,32.06,20537000,0.0149,0.0207,658416220.0,617691242.4
2004-03-17,32.32,32.52,32.11,32.36,16101400,0.0012,0.0094,521041304.0,637032244.4
