Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2021-04-14,9.85,9.85,9.85,9.85,200,0.0,,1970.0,
2021-04-15,9.85,9.85,9.74,9.74,5500,-0.0112,-0.0112,53570.0,
2021-04-16,9.76,9.76,9.74,9.74,5000,-0.002,0.0,48700.0,
2021-04-19,9.74,9.74,9.74,9.74,0,0.0,0.0,0.0,
2021-04-20,9.79,9.79,9.79,9.79,2600,0.0,0.0051,25454.0,
2021-04-21,9.79,9.79,9.79,9.79,0,0.0,0.0,0.0,
2021-04-22,9.75,9.75,9.75,9.75,250000,0.0,-0.0041,2437500.0,
2021-04-23,9.7,9.79,9.7,9.79,1200,0.0093,0.0041,11748.0,
2021-04-26,9.71,9.72,9.65,9.67,27700,-0.0041,-0.0123,267859.0,
2021-04-27,9.67,9.73,9.67,9.73,2900,0.0062,0.0062,28217.0,
2021-04-28,9.73,9.74,9.68,9.68,1500,-0.0051,-0.0051,14520.0,287501.8
2021-04-29,9.89,9.89,9.76,9.8,11700,-0.0091,0.0124,114660.0,288756.8
2021-04-30,9.8,9.8,9.8,9.8,0,0.0,0.0,0.0,294865.8
2021-05-03,9.75,9.75,9.75,9.75,400,0.0,-0.0051,3900.0,289995.8
2021-05-04,9.78,9.78,9.78,9.78,100,0.0,0.0031,978.0,290385.8
2021-05-05,9.81,9.81,9.7,9.7,157100,-0.0112,-0.0082,1523870.0,287938.2
2021-05-06,9.73,9.74,9.73,9.74,600,0.001,0.0041,5844.0,440325.2
2021-05-07,9.72,9.72,9.72,9.72,200,0.0,-0.0021,1944.0,197159.6
2021-05-10,9.71,9.73,9.7,9.73,1400,0.0021,0.001,13622.0,196179.2
2021-05-11,9.73,9.73,9.73,9.73,100,0.0,0.0,973.0,170755.5
2021-05-12,9.73,9.73,9.73,9.73,0,0.0,0.0,0.0,168031.1
2021-05-13,9.73,9.73,9.73,9.73,0,0.0,0.0,0.0,166579.1
2021-05-14,9.71,9.72,9.7,9.72,2700,0.001,-0.001,26244.0,155113.1
2021-05-17,9.72,9.72,9.72,9.72,1100,0.0,0.0,10692.0,157737.5
2021-05-18,9.72,9.72,9.72,9.72,0,0.0,0.0,0.0,158416.7
2021-05-19,9.69,9.69,9.69,9.69,400,0.0,-0.0031,3876.0,158318.9
2021-05-20,9.68,9.69,9.67,9.67,2200,-0.001,-0.0021,21274.0,6319.5
2021-05-21,9.66,9.67,9.62,9.62,6000,-0.0041,-0.0052,57720.0,7862.5
2021-05-24,9.62,9.62,9.62,9.62,0,0.0,0.0,0.0,13440.1
2021-05-25,9.62,9.62,9.62,9.62,0,0.0,0.0,0.0,12077.9
2021-05-26,9.68,9.69,9.67,9.69,2100,0.001,0.0073,20349.0,11980.6
2021-05-27,9.74,9.75,9.68,9.71,5900,-0.0031,0.0021,57289.0,14015.5
2021-05-28,9.71,9.71,9.71,9.71,0,0.0,0.0,0.0,19744.4
2021-06-01,9.68,9.68,9.64,9.65,3700,-0.0031,-0.0062,35705.0,17120.0
2021-06-02,9.65,9.65,9.65,9.65,0,0.0,0.0,0.0,19621.3
2021-06-03,9.67,9.68,9.67,9.67,2600,0.0,0.0021,25142.0,19621.3
2021-06-04,9.67,9.67,9.67,9.67,0,0.0,0.0,0.0,21747.9
2021-06-07,9.67,9.67,9.67,9.67,0,0.0,0.0,0.0,19620.5
2021-06-08,9.67,9.67,9.67,9.67,0,0.0,0.0,0.0,13848.5
2021-06-09,9.68,9.68,9.68,9.68,2600,0.0,0.001,25168.0,13848.5
2021-06-10,9.68,9.68,9.68,9.68,0,0.0,0.0,0.0,16365.3
2021-06-11,9.68,9.68,9.68,9.68,0,0.0,0.0,0.0,14330.4
2021-06-14,9.7,9.74,9.68,9.74,4100,0.0041,0.0062,39934.0,8601.5
2021-06-15,9.74,9.74,9.65,9.74,27900,0.0,0.0,271746.0,12594.9
2021-06-16,9.69,9.69,9.66,9.67,2400,-0.0021,-0.0072,23208.0,36199.0
2021-06-17,9.69,9.69,9.68,9.68,8600,-0.001,0.001,83248.0,38519.8
2021-06-18,9.69,9.69,9.68,9.69,15300,0.0,0.001,148257.0,44330.4
2021-06-21,9.7,9.7,9.7,9.7,9000,0.0,0.001,87300.0,59156.1
2021-06-22,9.7,9.7,9.69,9.69,61400,-0.001,-0.001,594966.0,67886.1
2021-06-23,9.69,9.7,9.69,9.69,118000,0.0,0.0,1143420.0,127382.7
2021-06-24,9.7,9.7,9.69,9.7,273300,0.0,0.001,2651010.0,239207.9
2021-06-25,9.72,9.99,9.72,9.99,900,0.0278,0.0299,8991.0,504308.9
2021-06-28,9.73,9.73,9.66,9.69,22300,-0.0041,-0.03,216087.0,505208.0
2021-06-29,9.69,9.69,9.69,9.69,3300,0.0,0.0,31977.0,522823.3
2021-06-30,9.68,9.68,9.65,9.65,5000,-0.0031,-0.0041,48250.0,498846.4
2021-07-01,9.65,9.65,9.64,9.64,1300,-0.001,-0.001,12532.0,501350.6
2021-07-02,9.71,9.71,9.64,9.67,2100,-0.0041,0.0031,20307.0,494279.0
2021-07-06,9.66,9.66,9.66,9.66,1200,0.0,-0.001,11592.0,481484.0
2021-07-07,9.66,9.66,9.66,9.66,0,0.0,0.0,0.0,473913.2
2021-07-08,9.66,9.66,9.66,9.66,0,0.0,0.0,0.0,414416.6
2021-07-09,9.66,9.66,9.66,9.66,1700,0.0,0.0,16422.0,300074.6
2021-07-12,9.69,9.69,9.69,9.69,1300,0.0,0.0031,12597.0,36615.8
2021-07-13,9.64,9.68,9.64,9.68,14700,0.0041,-0.001,142296.0,36976.4
2021-07-14,9.64,9.64,9.64,9.64,200,0.0,-0.0041,1928.0,29597.3
2021-07-15,9.65,9.69,9.65,9.67,17900,0.0021,0.0031,173093.0,26592.4
2021-07-16,9.67,9.67,9.67,9.67,0,0.0,0.0,0.0,39076.7
2021-07-19,9.65,9.67,9.65,9.65,7600,0.0,-0.0021,73340.0,37823.5
2021-07-20,9.66,9.66,9.64,9.64,3700,-0.0021,-0.001,35668.0,43126.8
2021-07-21,9.66,9.67,9.64,9.65,57500,-0.001,0.001,554875.0,45534.4
2021-07-22,9.65,9.65,9.65,9.65,0,0.0,0.0,0.0,101021.9
2021-07-23,9.67,9.69,9.67,9.69,2200,0.0021,0.0041,21318.0,101021.9
2021-07-26,9.69,9.69,9.69,9.69,0,0.0,0.0,0.0,101511.5
2021-07-27,9.69,9.78,9.69,9.78,9300,0.0093,0.0093,90954.0,100251.8
2021-07-28,9.78,9.78,9.78,9.78,0,0.0,0.0,0.0,95117.6
2021-07-29,9.78,9.78,9.78,9.78,0,0.0,0.0,0.0,94924.8
2021-07-30,9.7,9.72,9.69,9.69,3700,-0.001,-0.0092,35853.0,77615.5
2021-08-02,9.69,9.69,9.69,9.69,11000,0.0,0.0,106590.0,81200.8
2021-08-03,9.69,9.69,9.69,9.69,0,0.0,0.0,0.0,84525.8
2021-08-04,9.69,9.69,9.68,9.69,54400,0.0,0.0,527136.0,80959.0
2021-08-05,9.69,9.72,9.69,9.69,45100,0.0,0.0,437019.0,78185.1
2021-08-06,9.69,9.69,9.69,9.69,0,0.0,0.0,0.0,121887.0
2021-08-09,9.69,9.74,9.69,9.74,1000,0.0052,0.0052,9740.0,119755.2
2021-08-10,9.74,9.74,9.74,9.74,0,0.0,0.0,0.0,120729.2
2021-08-11,9.74,9.74,9.74,9.74,0,0.0,0.0,0.0,111633.8
2021-08-12,9.7,9.74,9.7,9.74,105700,0.0041,0.0,1029518.0,111633.8
2021-08-13,9.72,9.75,9.72,9.73,29300,0.001,-0.001,285089.0,214585.6
2021-08-16,9.73,9.73,9.73,9.73,48500,0.0,0.0,471905.0,239509.2
2021-08-17,9.72,9.74,9.67,9.74,69800,0.0021,0.001,679852.0,276040.7
2021-08-18,9.74,9.74,9.74,9.74,0,0.0,0.0,0.0,344025.9
2021-08-19,9.74,9.74,9.74,9.74,600,0.0,0.0,5844.0,291312.3
2021-08-20,9.66,9.66,9.66,9.66,500,0.0,-0.0082,4830.0,248194.8
2021-08-23,9.66,9.66,9.66,9.66,300,0.0,0.0,2898.0,248677.8
2021-08-24,9.66,9.66,9.66,9.66,0,0.0,0.0,0.0,247993.6
2021-08-25,9.66,9.66,9.66,9.66,0,0.0,0.0,0.0,247993.6
2021-08-26,9.7,9.75,9.65,9.74,47000,0.0041,0.0083,457780.0,247993.6
2021-08-27,9.74,9.74,9.74,9.74,0,0.0,0.0,0.0,190819.8
2021-08-30,9.74,9.74,9.74,9.74,0,0.0,0.0,0.0,162310.9
2021-08-31,9.72,9.73,9.72,9.73,2000,0.001,-0.001,19460.0,115120.4
2021-09-01,9.74,9.75,9.74,9.74,500,0.0,0.001,4870.0,49081.2
2021-09-02,9.75,9.75,9.75,9.75,1500,0.0,0.001,14625.0,49568.2
2021-09-03,9.75,9.75,9.75,9.75,0,0.0,0.0,0.0,50446.3
2021-09-07,9.73,9.74,9.73,9.74,18000,0.001,-0.001,175320.0,49963.3
2021-09-08,9.74,9.74,9.74,9.74,0,0.0,0.0,0.0,67205.5
2021-09-09,9.73,9.76,9.73,9.76,1000,0.0031,0.0021,9760.0,67205.5
2021-09-10,9.76,9.78,9.6,9.75,444400,-0.001,-0.001,4332900.0,68181.5
2021-09-13,9.75,9.78,9.71,9.74,239500,-0.001,-0.001,2332730.0,455693.5
2021-09-14,9.69,9.77,9.67,9.77,78600,0.0083,0.0031,767922.0,688966.5
2021-09-15,9.74,9.77,9.73,9.77,26400,0.0031,0.0,257928.0,765758.7
2021-09-16,9.77,9.77,9.77,9.77,0,0.0,0.0,0.0,789605.5
2021-09-17,9.77,9.77,9.77,9.77,0,0.0,0.0,0.0,789118.5
2021-09-20,9.77,9.77,9.77,9.77,0,0.0,0.0,0.0,787656.0
2021-09-21,9.75,9.76,9.75,9.76,105700,0.001,-0.001,1031632.0,787656.0
2021-09-22,9.73,9.76,9.73,9.76,1300,0.0031,0.0,12688.0,873287.2
2021-09-23,9.75,9.75,9.7,9.74,18200,-0.001,-0.002,177268.0,874556.0
2021-09-24,9.74,9.74,9.74,9.74,0,0.0,0.0,0.0,891306.8
2021-09-27,9.73,9.73,9.7,9.7,138200,-0.0031,-0.0041,1340540.0,458016.8
2021-09-28,9.7,9.7,9.69,9.69,31100,-0.001,-0.001,301359.0,358797.8
2021-09-29,9.7,9.74,9.7,9.7,5000,0.0,0.001,48500.0,312141.5
2021-09-30,9.7,9.72,9.69,9.72,60100,0.0021,0.0021,584172.0,291198.7
2021-10-01,9.74,9.75,9.72,9.73,5200,-0.001,0.001,50596.0,349615.9
2021-10-04,9.71,9.72,9.7,9.7,1900,-0.001,-0.0031,18430.0,354675.5
2021-10-05,9.71,9.71,9.7,9.7,2100,-0.001,0.0,20370.0,356518.5
2021-10-06,9.7,9.7,9.7,9.7,0,0.0,0.0,0.0,255392.3
2021-10-07,9.69,9.7,9.69,9.7,19700,0.001,0.0,191090.0,254123.5
2021-10-08,9.7,9.71,9.7,9.71,52700,0.001,0.001,511717.0,255505.7
2021-10-11,9.73,9.73,9.71,9.71,1300,-0.0021,0.0,12623.0,306677.4
2021-10-12,9.7,9.74,9.69,9.73,54400,0.0031,0.0021,529312.0,173885.7
2021-10-13,9.75,9.75,9.7,9.73,38000,-0.0021,0.0,369740.0,196681.0
2021-10-14,9.72,9.73,9.72,9.73,1500,0.001,0.0,14595.0,228805.0
2021-10-15,9.72,9.73,9.71,9.73,5800,0.001,0.0,56434.0,171847.3
