Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2022-08-16,7.55,7.94,5.96,6.0,441100,-0.2053,,2646600.0,
2022-08-17,6.03,6.03,4.8,5.01,382000,-0.1692,-0.165,1913820.0,
2022-08-18,5.15,5.42,4.86,5.02,172400,-0.0252,0.002,865448.0,
2022-08-19,4.98,5.95,4.8,5.52,295300,0.1084,0.0996,1630056.0,
2022-08-22,6.05,6.5,5.75,5.85,90100,-0.0331,0.0598,527085.0,
2022-08-23,6.14,6.37,5.7,6.0,100100,-0.0228,0.0256,600600.0,
2022-08-24,6.03,6.16,5.75,5.96,46500,-0.0116,-0.0067,277140.0,
2022-08-25,6.17,6.2,5.81,5.94,53100,-0.0373,-0.0034,315414.0,
2022-08-26,6.01,6.06,5.51,5.8,122900,-0.0349,-0.0236,712820.0,
2022-08-29,5.81,6.09,5.22,5.22,162800,-0.1015,-0.1,849816.0,
2022-08-30,5.25,5.51,4.78,4.9,64300,-0.0667,-0.0613,315070.0,1033879.9
2022-08-31,4.9,5.5,4.41,4.46,167700,-0.0898,-0.0898,747942.0,800726.9
2022-09-01,4.49,5.07,4.45,4.55,52500,0.0134,0.0202,238875.0,684139.1
2022-09-02,5.0,5.0,4.35,4.57,98500,-0.086,0.0044,450145.0,621481.8
2022-09-06,5.02,5.02,3.58,4.0,181000,-0.2032,-0.1247,724000.0,503490.7
2022-09-07,4.03,4.03,3.65,3.8,201800,-0.0571,-0.05,766840.0,523182.2
2022-09-08,4.14,4.14,3.54,3.91,223100,-0.0556,0.0289,872321.0,539806.2
2022-09-09,4.24,4.29,4.0,4.15,160200,-0.0212,0.0614,664830.0,599324.3
2022-09-12,4.33,4.47,3.92,4.2,62600,-0.03,0.012,262920.0,634265.9
2022-09-13,4.09,4.19,3.72,4.07,79500,-0.0049,-0.031,323565.0,589275.9
2022-09-14,3.99,4.34,3.99,4.05,14000,0.015,-0.0049,56700.0,536650.8
2022-09-15,4.05,4.25,3.89,3.97,62000,-0.0198,-0.0198,246140.0,510813.8
2022-09-16,3.94,3.94,3.62,3.76,94700,-0.0457,-0.0529,356072.0,460633.6
