Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2021-03-23,25.0,25.13,25.0,25.13,812.0,0.0052,,20405.56,
2021-03-24,25.25,25.25,25.11,25.12,3759.0,-0.0051,-0.0004,94426.08,
2021-03-25,25.37,25.37,25.11,25.2,2165.0,-0.0067,0.0032,54558.0,
2021-03-26,25.3,25.3,25.3,25.3,300.0,0.0,0.004,7590.0,
2021-03-29,25.18,25.36,25.18,25.34,776.0,0.0064,0.0016,19663.84,
2021-03-30,24.99,24.99,24.76,24.8,5224.0,-0.0076,-0.0213,129555.2,
2021-03-31,24.81,24.98,24.81,24.98,2671.0,0.0069,0.0073,66721.58,
2021-04-01,24.95,24.95,24.82,24.87,3873.0,-0.0032,-0.0044,96321.51,
2021-04-05,25.02,25.06,25.02,25.02,8589.0,0.0,0.006,214896.78,
2021-04-06,25.06,25.22,25.03,25.08,5281.0,0.0008,0.0024,132447.48,
2021-04-07,25.04,25.11,25.04,25.05,3026.0,0.0004,-0.0012,75801.3,83658.6
2021-04-08,25.06,25.06,25.05,25.05,486.0,-0.0004,0.0,12174.3,89198.18
2021-04-09,25.05,25.1,25.05,25.08,2716.0,0.0012,0.0012,68117.28,80973.0
2021-04-12,25.05,25.14,25.02,25.06,18737.0,0.0004,-0.0008,469549.22,82328.93
2021-04-13,25.06,25.1,25.06,25.09,3260.0,0.0012,0.0012,81793.4,128524.85
2021-04-14,25.06,25.07,25.05,25.05,7900.0,-0.0004,-0.0016,197895.0,134737.8
2021-04-15,25.05,25.13,25.05,25.05,6731.0,0.0,0.0,168611.55,141571.78
2021-04-16,25.05,25.07,25.05,25.07,3920.0,0.0008,0.0008,98274.4,151760.78
2021-04-19,25.05,25.06,25.04,25.06,16050.0,0.0004,-0.0004,402213.0,151956.07
2021-04-20,25.08,25.13,25.08,25.09,2225.0,0.0004,0.0012,55825.25,170687.69
2021-04-21,25.1,25.1,25.1,25.1,446.0,0.0,0.0004,11194.6,163025.47
2021-04-22,25.08,25.12,25.08,25.1,4085.0,0.0008,0.0,102533.5,156564.8
2021-04-23,25.1,25.1,25.1,25.1,1710.0,0.0,0.0,42921.0,165600.72
2021-04-26,25.1,25.12,25.1,25.12,5434.0,0.0008,0.0008,136502.08,163081.09
2021-04-27,25.12,25.12,25.1,25.1,327.0,-0.0008,-0.0008,8207.7,129776.38
2021-04-28,25.1,25.12,25.08,25.12,1252.0,0.0008,0.0008,31450.24,122417.81
2021-04-29,25.12,25.12,25.11,25.11,1349.0,-0.0004,-0.0004,33873.39,105773.33
2021-04-30,25.05,25.05,25.05,25.05,899.0,0.0,-0.0024,22519.95,92299.52
2021-05-03,25.11,25.12,25.1,25.12,2108.0,0.0004,0.0028,52952.96,84724.07
2021-05-05,25.07,25.07,25.03,25.03,550.0,-0.0016,-0.0036,13766.5,49798.07
2021-05-07,25.1,25.1,25.1,25.1,2186.0,0.0,0.0028,54868.6,45592.19
2021-05-10,25.12,25.14,25.12,25.14,1050.0,0.0008,0.0016,26397.0,49959.59
2021-05-11,25.14,25.14,25.05,25.09,1550.0,-0.002,-0.002,38889.5,42345.94
