Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,0.96,0.96,0.9,0.9,22700,-0.0625,,20430.0,
2003-12-02,0.9,0.9,0.88,0.88,23850,-0.0222,-0.0222,20988.0,
2003-12-03,0.88,0.94,0.88,0.88,6800,0.0,0.0,5984.0,
2003-12-04,0.88,0.9,0.86,0.86,12950,-0.0227,-0.0227,11137.0,
2003-12-05,0.84,0.88,0.76,0.88,19500,0.0476,0.0233,17160.0,
2003-12-08,0.84,0.86,0.84,0.86,5000,0.0238,-0.0227,4300.0,
2003-12-09,0.82,0.84,0.82,0.82,6600,0.0,-0.0465,5412.0,
2003-12-10,0.8,0.8,0.8,0.8,5000,0.0,-0.0244,4000.0,
2003-12-11,0.8,0.88,0.8,0.86,26200,0.075,0.075,22532.0,
2003-12-12,0.9,0.96,0.88,0.92,26200,0.0222,0.0698,24104.0,
2003-12-15,0.98,0.98,0.88,0.88,5000,-0.102,-0.0435,4400.0,13604.7
2003-12-16,0.88,0.94,0.84,0.92,45700,0.0455,0.0455,42044.0,12001.7
2003-12-17,0.9,0.9,0.9,0.9,2000,0.0,-0.0217,1800.0,14107.3
2003-12-18,0.9,0.94,0.9,0.92,13500,0.0222,0.0222,12420.0,13688.9
2003-12-19,0.92,1.02,0.92,1.02,24400,0.1087,0.1087,24888.0,13817.2
2003-12-22,0.98,1.18,0.98,1.1,149650,0.1224,0.0784,164615.0,14590.0
2003-12-23,1.06,1.22,1.06,1.2,79600,0.1321,0.0909,95520.0,30621.5
2003-12-24,1.22,1.24,1.14,1.14,43500,-0.0656,-0.05,49590.0,39632.3
2003-12-26,1.16,1.2,1.14,1.14,18600,-0.0172,0.0,21204.0,44191.3
2003-12-29,1.14,1.24,1.14,1.2,19800,0.0526,0.0526,23760.0,44058.5
2003-12-30,1.18,1.24,1.18,1.22,5250,0.0339,0.0167,6405.0,44024.1
2003-12-31,1.18,1.2,0.92,1.12,69000,-0.0508,-0.082,77280.0,44224.6
2004-01-02,1.1,1.1,1.1,1.1,1250,0.0,-0.0179,1375.0,47748.2
2004-01-05,1.1,1.2,1.1,1.16,10050,0.0545,0.0545,11658.0,47705.7
2004-01-06,1.06,1.2,1.06,1.2,14200,0.1321,0.0345,17040.0,47629.5
2004-01-07,1.12,1.38,1.12,1.3,84400,0.1607,0.0833,109720.0,46844.7
2004-01-08,1.3,1.39,1.22,1.39,53350,0.0692,0.0692,74156.5,41355.2
2004-01-09,1.39,1.44,1.28,1.4,40050,0.0072,0.0072,56070.0,39218.85
2004-01-12,1.4,1.48,1.36,1.42,37250,0.0143,0.0143,52895.0,39866.85
2004-01-13,1.4,1.48,1.36,1.36,16900,-0.0286,-0.0423,22984.0,43035.95
2004-01-14,1.36,1.44,1.36,1.4,88550,0.0294,0.0294,123970.0,42958.35
2004-01-15,1.36,1.44,1.36,1.4,51850,0.0294,0.0,72590.0,54714.85
2004-01-16,1.4,1.44,1.36,1.38,20750,-0.0143,-0.0143,28635.0,54245.85
2004-01-20,1.38,1.44,1.38,1.42,39750,0.029,0.029,56445.0,56971.85
2004-01-21,1.38,1.38,1.36,1.36,6000,-0.0145,-0.0423,8160.0,61450.55
2004-01-22,1.3,1.4,1.3,1.3,2450,0.0,-0.0441,3185.0,60562.55
2004-01-23,1.4,1.4,1.36,1.38,3900,-0.0143,0.0615,5382.0,49909.05
2004-01-26,1.4,1.48,1.34,1.34,18750,-0.0429,-0.029,25125.0,43031.6
2004-01-27,1.4,1.5,1.36,1.44,8750,0.0286,0.0746,12600.0,39937.1
2004-01-28,1.44,1.44,1.3,1.36,20750,-0.0556,-0.0556,28220.0,35907.6
2004-01-29,1.36,1.36,1.36,1.36,0,0.0,0.0,0.0,36431.2
2004-01-30,1.4,1.42,1.36,1.42,6250,0.0143,0.0441,8875.0,24034.2
2004-02-02,1.34,1.42,1.3,1.3,17200,-0.0299,-0.0845,22360.0,17662.7
2004-02-03,1.16,1.22,1.1,1.1,50400,-0.0517,-0.1538,55440.0,17035.2
2004-02-04,1.1,1.18,1.1,1.1,1550,0.0,0.0,1705.0,16934.7
2004-02-05,1.18,1.18,1.16,1.16,6850,-0.0169,0.0545,7946.0,16289.2
2004-02-06,1.18,1.3,1.14,1.3,53550,0.1017,0.1207,69615.0,16765.3
2004-02-09,1.2,1.2,1.2,1.2,1200,0.0,-0.0769,1440.0,23188.6
2004-02-10,1.32,1.32,1.2,1.2,1950,-0.0909,0.0,2340.0,20820.1
2004-02-11,1.32,1.32,1.2,1.2,2900,-0.0909,0.0,3480.0,19794.1
2004-02-12,1.2,1.2,1.2,1.2,1250,0.0,0.0,1500.0,17320.1
2004-02-13,1.1,1.14,1.1,1.1,8750,0.0,-0.0833,9625.0,17470.1
2004-02-17,1.08,1.08,1.08,1.08,5300,0.0,-0.0182,5724.0,17545.1
2004-02-18,1.14,1.14,1.08,1.08,6250,-0.0526,0.0,6750.0,15881.5
2004-02-19,1.08,1.08,1.08,1.08,500,0.0,0.0,540.0,11012.5
2004-02-20,1.08,1.08,1.08,1.08,150,0.0,0.0,162.0,10896.0
2004-02-23,1.06,1.08,0.96,1.04,30050,-0.0189,-0.037,31252.0,10117.6
2004-02-24,0.92,1.04,0.92,1.04,9650,0.1304,0.0,10036.0,6281.3
2004-02-25,0.92,1.0,0.92,0.93,750,0.0109,-0.1058,697.5,7140.9
2004-02-26,0.93,0.93,0.93,0.93,2500,0.0,0.0,2325.0,6976.65
2004-02-27,1.0,1.07,0.93,1.0,10000,0.0,0.0753,10000.0,6861.15
2004-03-01,1.0,1.22,1.0,1.19,34750,0.19,0.19,41352.5,7711.15
2004-03-02,1.14,1.16,1.06,1.14,12550,0.0,-0.042,14307.0,10883.9
2004-03-03,1.14,1.2,1.08,1.2,38100,0.0526,0.0526,45720.0,11742.2
2004-03-04,1.12,1.14,1.08,1.1,74650,-0.0179,-0.0833,82115.0,15639.2
2004-03-05,1.1,1.1,1.08,1.08,9750,-0.0182,-0.0182,10530.0,23796.7
2004-03-08,1.08,1.16,1.08,1.1,28800,0.0185,0.0185,31680.0,24833.5
2004-03-09,1.1,1.16,1.08,1.1,29000,0.0,0.0,31900.0,24876.3
2004-03-10,1.08,1.12,1.08,1.12,950,0.037,0.0182,1064.0,27062.7
2004-03-11,1.08,1.1,1.08,1.1,5900,0.0185,-0.0179,6490.0,27099.35
2004-03-12,1.08,1.1,1.08,1.1,700,0.0185,0.0,770.0,27515.85
2004-03-15,1.1,1.1,1.1,1.1,0,0.0,0.0,0.0,26592.85
2004-03-16,1.24,1.4,1.2,1.3,80300,0.0484,0.1818,104390.0,22457.6
2004-03-17,1.26,1.4,1.26,1.36,63700,0.0794,0.0462,86632.0,31465.9
2004-03-18,1.4,1.42,1.36,1.4,64600,0.0,0.0294,90440.0,35557.1
2004-03-19,1.38,1.42,1.36,1.36,52650,-0.0145,-0.0286,71604.0,36389.6
2004-03-22,1.36,1.42,1.36,1.4,26300,0.0294,0.0294,36820.0,42497.0
2004-03-23,1.36,1.38,1.32,1.38,21800,0.0147,-0.0143,30084.0,43011.0
2004-03-24,1.38,1.44,1.32,1.32,8000,-0.0435,-0.0435,10560.0,42829.4
2004-03-25,1.32,1.44,1.32,1.34,1550,0.0152,0.0152,2077.0,43779.0
2004-03-26,1.34,1.34,1.34,1.34,2000,0.0,0.0,2680.0,43337.7
2004-03-29,1.34,1.34,1.24,1.24,68600,-0.0746,-0.0746,85064.0,43528.7
2004-03-30,1.24,1.3,1.24,1.3,11600,0.0484,0.0484,15080.0,52035.1
2004-03-31,1.26,1.26,1.26,1.26,100,0.0,-0.0308,126.0,43104.1
2004-04-01,1.26,1.26,1.26,1.26,3750,0.0,0.0,4725.0,34453.5
2004-04-02,1.24,1.24,1.24,1.24,2500,0.0,-0.0159,3100.0,25882.0
2004-04-05,1.22,1.22,1.1,1.1,25550,-0.0984,-0.1129,28105.0,19031.6
2004-04-06,1.2,1.2,1.14,1.14,3900,-0.05,0.0364,4446.0,18160.1
2004-04-07,1.14,1.14,1.14,1.14,2500,0.0,0.0,2850.0,15596.3
2004-04-08,1.14,1.16,1.1,1.1,21250,-0.0351,-0.0351,23375.0,14825.3
2004-04-12,1.08,1.1,0.94,1.0,52600,-0.0741,-0.0909,52600.0,16955.1
2004-04-13,0.96,1.02,0.92,1.0,36550,0.0417,0.0,36550.0,21947.1
2004-04-14,0.92,1.04,0.92,0.94,84700,0.0217,-0.06,79618.0,17095.7
2004-04-15,1.0,1.0,0.92,0.92,10750,-0.08,-0.0213,9890.0,23549.5
2004-04-16,0.92,0.92,0.76,0.82,138250,-0.1087,-0.1087,113365.0,24525.9
2004-04-19,0.82,1.02,0.82,1.02,110550,0.2439,0.2439,112761.0,35389.9
2004-04-20,1.04,1.06,0.96,0.96,42750,-0.0769,-0.0588,41040.0,46356.0
2004-04-21,1.02,1.02,0.96,1.0,19300,-0.0196,0.0417,19300.0,47649.5
2004-04-22,0.96,0.96,0.96,0.96,750,0.0,-0.04,720.0,49134.9
2004-04-23,0.96,0.96,0.96,0.96,1350,0.0,0.0,1296.0,48921.9
2004-04-26,0.96,1.02,0.9,0.9,111950,-0.0625,-0.0625,100755.0,46714.0
2004-04-27,1.0,1.0,0.9,0.9,4650,-0.1,0.0,4185.0,51529.5
2004-04-28,0.86,0.86,0.86,0.86,650,0.0,-0.0444,559.0,48293.0
2004-04-29,0.88,0.88,0.88,0.88,950,0.0,0.0233,836.0,40387.1
2004-04-30,0.96,1.0,0.88,0.92,13750,-0.0417,0.0455,12650.0,39481.7
2004-05-03,0.92,0.92,0.92,0.92,0,0.0,0.0,0.0,29410.2
2004-05-04,0.9,0.92,0.88,0.9,2150,0.0,-0.0217,1935.0,18134.1
2004-05-05,0.88,0.88,0.88,0.88,1900,0.0,-0.0222,1672.0,14223.6
2004-05-06,0.9,0.94,0.76,0.9,21800,0.0,0.0227,19620.0,12460.8
2004-05-07,0.88,0.9,0.78,0.9,4100,0.0227,0.0,3690.0,14350.8
2004-05-10,0.78,0.78,0.78,0.78,200,0.0,-0.1333,156.0,14590.2
2004-05-11,0.78,0.78,0.78,0.78,600,0.0,0.0,468.0,4530.3
2004-05-12,0.78,0.78,0.78,0.78,0,0.0,0.0,0.0,4158.6
2004-05-13,0.78,0.78,0.78,0.78,0,0.0,0.0,0.0,4102.7
2004-05-14,0.9,0.9,0.9,0.9,2000,0.0,0.1538,1800.0,4019.1
2004-05-17,0.9,0.9,0.9,0.9,0,0.0,0.0,0.0,2934.1
2004-05-18,0.78,0.84,0.78,0.84,1000,0.0769,-0.0667,840.0,2934.1
2004-05-19,0.84,0.84,0.84,0.84,0,0.0,0.0,0.0,2824.6
2004-05-20,0.78,0.82,0.74,0.78,19550,0.0,-0.0714,15249.0,2657.4
2004-05-21,0.78,0.78,0.78,0.78,0,0.0,0.0,0.0,2220.3
2004-05-24,0.78,0.78,0.78,0.78,0,0.0,0.0,0.0,1851.3
2004-05-25,0.74,0.74,0.7,0.7,8700,-0.0541,-0.1026,6090.0,1835.7
2004-05-26,0.7,0.8,0.7,0.8,23950,0.1429,0.1429,19160.0,2397.9
