Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2018-03-27,6.4,7.0,6.05,6.2,156000,-0.0312,,967200.0,
2018-03-28,6.0,6.2,5.23,5.73,141300,-0.045,-0.0758,809649.0,
2018-03-29,5.25,6.1,5.05,6.1,92200,0.1619,0.0646,562420.0,
2018-04-02,6.1,6.95,5.67,6.95,125400,0.1393,0.1393,871530.0,
2018-04-03,6.95,7.2,6.81,7.11,83500,0.023,0.023,593685.0,
2018-04-04,7.07,7.68,7.07,7.6,74300,0.075,0.0689,564680.0,
2018-04-05,7.27,7.5,7.15,7.24,105000,-0.0041,-0.0474,760200.0,
2018-04-06,6.99,8.05,6.87,7.88,87700,0.1273,0.0884,691076.0,
2018-04-09,7.89,9.77,7.89,9.51,186000,0.2053,0.2069,1768860.0,
2018-04-10,9.05,9.45,8.31,9.15,89600,0.011,-0.0379,819840.0,
2018-04-11,8.97,9.08,8.81,8.83,42100,-0.0156,-0.035,371743.0,840914.0
2018-04-12,8.5,8.86,8.1,8.3,64700,-0.0235,-0.06,537010.0,781368.3
2018-04-13,8.3,8.92,7.65,7.85,68600,-0.0542,-0.0542,538510.0,754104.4
2018-04-16,7.86,7.86,6.93,7.11,46200,-0.0954,-0.0943,328482.0,751713.4
2018-04-17,7.12,7.49,7.09,7.17,52700,0.007,0.0084,377859.0,697408.6
2018-04-18,7.19,7.82,7.1,7.67,58600,0.0668,0.0697,449462.0,675826.0
2018-04-19,7.73,8.2,7.53,7.8,66500,0.0091,0.0169,518700.0,664304.2
2018-04-20,7.59,8.18,7.47,7.61,32100,0.0026,-0.0244,244281.0,640154.2
2018-04-23,7.59,7.6,7.15,7.29,15500,-0.0395,-0.042,112995.0,595474.7
2018-04-24,7.36,7.82,6.37,6.65,63000,-0.0965,-0.0878,418950.0,429888.2
2018-04-25,6.68,6.8,6.38,6.39,33700,-0.0434,-0.0391,215343.0,389799.2
2018-04-26,6.4,6.8,6.15,6.22,34900,-0.0281,-0.0266,217078.0,374159.2
2018-04-27,6.17,6.3,6.1,6.3,72400,0.0211,0.0129,456120.0,342166.0
2018-04-30,6.14,6.44,6.1,6.3,43500,0.0261,0.0,274050.0,333927.0
2018-05-01,6.26,6.26,6.0,6.09,45400,-0.0272,-0.0333,276486.0,328483.8
2018-05-02,5.82,6.05,5.62,5.95,61800,0.0223,-0.023,367710.0,318346.5
2018-05-03,5.91,5.96,5.74,5.86,52500,-0.0085,-0.0151,307650.0,310171.3
2018-05-04,5.82,5.91,5.33,5.8,65600,-0.0034,-0.0102,380480.0,289066.3
2018-05-07,5.68,5.84,5.41,5.46,86700,-0.0387,-0.0586,473382.0,302686.2
2018-05-08,5.45,5.5,5.15,5.24,103600,-0.0385,-0.0403,542864.0,338724.9
2018-05-09,5.22,5.41,4.96,5.0,97600,-0.0421,-0.0458,488000.0,351116.3
2018-05-10,5.05,5.16,4.35,4.56,785800,-0.097,-0.088,3583248.0,378382.0
2018-05-11,4.38,5.25,4.38,5.25,316400,0.1986,0.1513,1661100.0,714999.0
2018-05-14,5.25,5.89,5.01,5.67,172100,0.08,0.08,975807.0,835497.0
2018-05-15,5.72,10.05,5.67,9.94,2401400,0.7378,0.7531,23869916.0,905672.7
2018-05-16,8.71,9.5,7.65,7.8,1324400,-0.1045,-0.2153,10330320.0,3265015.7
2018-05-17,7.84,9.06,7.2,7.51,695600,-0.0421,-0.0372,5223956.0,4261276.7
2018-05-18,7.73,8.88,7.5,7.71,738300,-0.0026,0.0266,5692293.0,4752907.3
2018-05-21,7.6,8.0,7.12,7.53,192400,-0.0092,-0.0233,1448772.0,5284088.6
2018-05-22,7.59,8.38,7.38,7.85,333800,0.0343,0.0425,2620330.0,5381627.6
2018-05-23,7.86,8.27,7.81,8.09,215500,0.0293,0.0306,1743395.0,5589374.2
2018-05-24,8.13,8.15,7.43,7.84,230000,-0.0357,-0.0309,1803200.0,5714913.7
2018-05-25,7.8,7.8,7.44,7.51,128000,-0.0372,-0.0421,961280.0,5536908.9
2018-05-29,7.44,7.68,7.04,7.27,112100,-0.0228,-0.032,814967.0,5466926.9
2018-05-30,7.09,7.41,7.09,7.19,60600,0.0141,-0.011,435714.0,5450842.9
2018-05-31,7.2,7.3,7.05,7.25,43100,0.0069,0.0083,312475.0,3107422.7
2018-06-01,7.3,7.94,7.2,7.91,153200,0.0836,0.091,1211812.0,2105638.2
2018-06-04,8.0,8.49,7.48,7.62,131900,-0.0475,-0.0367,1005078.0,1704423.8
2018-06-05,7.68,7.82,7.53,7.63,46800,-0.0065,0.0013,357084.0,1235702.3
2018-06-06,7.64,7.94,7.47,7.74,40700,0.0131,0.0144,315018.0,1126533.5
2018-06-07,7.82,7.97,7.8,7.88,62600,0.0077,0.0181,493288.0,896002.3
2018-06-08,7.75,8.4,7.75,8.21,146800,0.0594,0.0419,1205228.0,770991.6
2018-06-11,8.18,8.18,7.79,7.92,138000,-0.0318,-0.0353,1092960.0,711194.4
2018-06-12,8.19,8.9,8.02,8.22,233300,0.0037,0.0379,1917726.0,724362.4
2018-06-13,8.36,8.36,8.02,8.17,86800,-0.0227,-0.0061,709156.0,834638.3
2018-06-14,8.26,8.3,7.46,7.78,132800,-0.0581,-0.0477,1033184.0,861982.5
2018-06-15,7.68,7.73,7.46,7.52,43600,-0.0208,-0.0334,327872.0,934053.4
2018-06-18,7.77,7.77,7.3,7.36,54700,-0.0528,-0.0213,402592.0,845659.4
2018-06-19,7.64,7.64,7.3,7.43,57700,-0.0275,0.0095,428711.0,785410.8
2018-06-20,7.42,7.94,7.28,7.48,148500,0.0081,0.0067,1110780.0,792573.5
2018-06-21,7.44,7.85,7.41,7.69,102100,0.0336,0.0281,785149.0,872149.7
2018-06-22,7.69,8.2,7.69,8.16,404300,0.0611,0.0611,3299088.0,901335.8
2018-06-25,8.24,9.7,8.15,9.2,551100,0.1165,0.1275,5070120.0,1110721.8
2018-06-26,9.15,9.4,8.52,8.8,123100,-0.0383,-0.0435,1083280.0,1508437.8
2018-06-27,8.92,8.97,8.25,8.3,86800,-0.0695,-0.0568,720440.0,1424993.2
2018-06-28,8.24,8.8,8.2,8.68,50100,0.0534,0.0458,434868.0,1426121.6
2018-06-29,8.91,8.96,8.5,8.6,52700,-0.0348,-0.0092,453220.0,1366290.0
2018-07-02,8.65,8.98,8.49,8.9,52000,0.0289,0.0349,462800.0,1378824.8
2018-07-03,8.88,11.15,8.88,9.17,553600,0.0327,0.0303,5076512.0,1384845.6
