Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,11.45,11.58,11.25,11.58,52500,0.0114,,607950.0,
2003-12-02,11.59,11.63,11.39,11.45,72700,-0.0121,-0.0112,832415.0,
2003-12-03,11.5,11.59,11.09,11.1,46700,-0.0348,-0.0306,518370.0,
2003-12-04,11.18,11.25,11.0,11.23,61200,0.0045,0.0117,687276.0,
2003-12-05,11.25,11.31,11.11,11.2,36300,-0.0044,-0.0027,406560.0,
2003-12-08,11.2,11.48,11.19,11.48,43400,0.025,0.025,498232.0,
2003-12-09,11.48,11.48,11.09,11.11,51700,-0.0322,-0.0322,574387.0,
2003-12-10,11.13,11.3,10.99,11.02,81000,-0.0099,-0.0081,892620.0,
2003-12-11,11.1,11.33,11.05,11.25,61700,0.0135,0.0209,694125.0,
2003-12-12,11.4,11.5,11.28,11.5,57700,0.0088,0.0222,663550.0,
2003-12-15,11.65,11.68,11.15,11.15,54900,-0.0429,-0.0304,612135.0,637548.5
2003-12-16,11.15,11.4,11.15,11.4,55100,0.0224,0.0224,628140.0,637967.0
2003-12-17,11.3,11.35,11.05,11.15,44100,-0.0133,-0.0219,491715.0,617539.5
2003-12-18,11.25,11.43,11.16,11.33,46800,0.0071,0.0161,530244.0,614874.0
2003-12-19,11.34,11.4,11.1,11.35,41900,0.0009,0.0018,475565.0,599170.8
2003-12-22,11.25,11.34,11.12,11.28,29300,0.0027,-0.0062,330504.0,606071.3
2003-12-23,11.22,11.5,11.2,11.5,56000,0.025,0.0195,644000.0,589298.5
2003-12-24,11.4,11.5,11.25,11.3,34300,-0.0088,-0.0174,387590.0,596259.8
2003-12-26,11.4,11.43,11.3,11.43,12900,0.0026,0.0115,147447.0,545756.8
2003-12-29,11.45,11.56,11.4,11.42,60800,-0.0026,-0.0009,694336.0,491089.0
2003-12-30,11.48,11.8,11.44,11.75,58700,0.0235,0.0289,689725.0,494167.6
2003-12-31,11.63,11.65,11.37,11.37,66200,-0.0224,-0.0323,752694.0,501926.6
2004-01-02,11.55,11.73,11.45,11.66,58500,0.0095,0.0255,682110.0,514382.0
2004-01-05,11.7,11.89,11.53,11.89,48300,0.0162,0.0197,574287.0,533421.5
2004-01-06,11.89,11.93,11.7,11.7,63300,-0.016,-0.016,740610.0,537825.8
2004-01-07,11.7,11.85,11.57,11.76,48300,0.0051,0.0051,568008.0,564330.3
2004-01-08,11.78,11.85,11.64,11.75,64000,-0.0025,-0.0009,752000.0,588080.7
2004-01-09,11.8,11.9,11.57,11.57,37800,-0.0195,-0.0153,437346.0,598880.7
2004-01-12,11.67,11.85,11.66,11.85,61100,0.0154,0.0242,724035.0,603856.3
2004-01-13,11.7,11.95,11.7,11.95,46900,0.0214,0.0084,560455.0,661515.1
2004-01-14,11.95,11.96,11.88,11.9,54100,-0.0042,-0.0042,643790.0,648127.0
2004-01-15,11.95,12.0,11.8,11.96,37600,0.0008,0.005,449696.0,643533.5
2004-01-16,12.05,12.08,11.94,12.08,78600,0.0025,0.01,949488.0,613233.7
2004-01-20,11.95,12.07,11.85,11.98,89400,0.0025,-0.0083,1071012.0,639971.5
2004-01-21,12.0,12.0,11.75,11.78,94500,-0.0183,-0.0167,1113210.0,689644.0
2004-01-22,11.7,11.98,11.7,11.92,50100,0.0188,0.0119,597192.0,726904.0
2004-01-23,12.0,12.08,11.84,12.08,58500,0.0067,0.0134,706680.0,729822.4
2004-01-26,12.03,12.1,11.84,12.1,53600,0.0058,0.0017,648560.0,725290.4
2004-01-27,12.02,12.1,11.9,11.98,30200,-0.0033,-0.0099,361796.0,746411.8
2004-01-28,12.05,12.22,11.76,11.76,75300,-0.0241,-0.0184,885528.0,710187.9
2004-01-29,11.81,12.01,11.75,11.93,49200,0.0102,0.0145,586956.0,742695.2
2004-01-30,11.97,12.05,11.82,11.98,39700,0.0008,0.0042,475606.0,737011.8
