Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,31.59,32.25,29.65,30.0,10555900,-0.0503,,316677000.0,
2003-12-02,29.64,30.78,29.52,30.33,3614800,0.0233,0.011,109636884.0,
2003-12-03,30.41,30.99,29.42,29.7,2025300,-0.0233,-0.0208,60151410.0,
2003-12-04,29.75,30.48,29.12,29.88,1756100,0.0044,0.0061,52472268.0,
2003-12-05,29.0,29.75,28.85,29.3,1414300,0.0103,-0.0194,41438990.0,
2003-12-08,29.31,29.75,29.0,29.52,1204800,0.0072,0.0075,35565696.0,
2003-12-09,30.21,30.28,28.13,28.4,1638700,-0.0599,-0.0379,46539080.0,
2003-12-10,28.53,28.98,27.28,28.0,1797800,-0.0186,-0.0141,50338400.0,
2003-12-11,27.94,29.84,27.8,29.72,1641000,0.0637,0.0614,48770520.0,
2003-12-12,30.63,32.47,30.0,30.66,7196000,0.001,0.0316,220629360.0,
2003-12-15,32.1,32.15,29.75,29.78,3170500,-0.0723,-0.0287,94417490.0,98221960.8
2003-12-16,30.0,30.7,28.8,30.05,2906900,0.0017,0.0091,87352345.0,75996009.8
2003-12-17,30.16,30.33,23.5,25.88,9580300,-0.1419,-0.1388,247938164.0,73767555.9
2003-12-18,25.65,27.19,25.06,26.83,5744900,0.046,0.0367,154135667.0,92546231.3
2003-12-19,26.97,27.02,26.25,26.37,1546200,-0.0222,-0.0171,40773294.0,102712571.2
2003-12-22,26.3,27.0,26.2,26.39,1740600,0.0034,0.0008,45934434.0,102646001.6
2003-12-23,26.35,26.5,26.12,26.32,1068800,-0.0011,-0.0027,28130816.0,103682875.4
2003-12-24,26.27,26.44,26.08,26.19,388700,-0.003,-0.0049,10180053.0,101842049.0
2003-12-26,26.19,26.61,26.04,26.14,532700,-0.0019,-0.0019,13924778.0,97826214.3
2003-12-29,26.22,26.79,26.21,26.5,1018000,0.0107,0.0138,26977000.0,94341640.1
2003-12-30,28.95,30.95,28.1,29.77,10300900,0.0283,0.1234,306657793.0,74976404.1
2003-12-31,30.85,32.65,30.45,30.7,8821900,-0.0049,0.0312,270832330.0,96200434.4
2004-01-02,31.68,31.69,30.26,30.55,2541300,-0.0357,-0.0049,77636715.0,114548432.9
2004-01-05,31.12,31.3,30.73,31.14,1754200,0.0006,0.0193,54625788.0,97518288.0
