Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2021-12-01,10.03,10.05,10.02,10.02,7824100,-0.001,,78397482.0,
2021-12-02,10.04,10.07,10.01,10.01,146900,-0.003,-0.001,1470469.0,
2021-12-03,10.01,10.04,10.01,10.04,11800,0.003,0.003,118472.0,
2021-12-06,10.04,10.05,10.04,10.04,14300,0.0,0.0,143572.0,
2021-12-07,10.1,10.16,10.01,10.02,92000,-0.0079,-0.002,921840.0,
2021-12-08,10.04,10.04,10.04,10.04,1900,0.0,0.002,19076.0,
2021-12-09,10.01,10.05,10.01,10.02,51000,0.001,-0.002,511020.0,
2021-12-10,10.01,10.05,9.67,9.97,98200,-0.004,-0.005,979054.0,
2021-12-13,9.98,9.99,9.98,9.99,2000,0.001,0.002,19980.0,
2021-12-14,10.0,10.02,9.99,10.02,8100,0.002,0.003,81162.0,
2021-12-15,10.04,10.04,9.99,10.0,1200,-0.004,-0.002,12000.0,8266212.7
2021-12-16,10.0,10.0,10.0,10.0,300,0.0,0.0,3000.0,427664.5
2021-12-17,10.08,10.08,10.07,10.07,3500,-0.001,0.007,35245.0,280917.6
2021-12-20,10.0,10.09,9.98,10.0,17400,0.0,-0.007,174000.0,272594.9
2021-12-21,9.97,10.04,9.97,10.0,26000,0.003,0.0,260000.0,275637.7
2021-12-22,10.02,10.15,10.0,10.07,2500,0.005,0.007,25175.0,209453.7
2021-12-23,10.04,10.04,10.04,10.04,200,0.0,-0.003,2008.0,210063.6
2021-12-27,10.14,10.14,10.0,10.05,30900,-0.0089,0.001,310545.0,159162.4
2021-12-28,10.0,10.04,9.97,10.04,114600,0.004,-0.001,1150584.0,92311.5
2021-12-29,10.1,10.11,10.05,10.05,85300,-0.005,0.001,857265.0,205371.9
2021-12-30,10.03,10.03,9.96,9.96,500,-0.007,-0.009,4980.0,282982.2
2021-12-31,9.96,9.96,9.96,9.96,0,0.0,0.0,0.0,282280.2
2022-01-03,10.07,10.07,10.0,10.0,3000,-0.007,0.004,30000.0,281980.2
2022-01-04,10.0,10.0,10.0,10.0,0,0.0,0.0,0.0,281455.7
2022-01-05,10.05,10.05,10.01,10.05,17100,0.0,0.005,171855.0,264055.7
2022-01-06,10.04,10.05,10.01,10.05,25600,0.001,0.0,257280.0,255241.2
2022-01-07,10.13,10.14,10.13,10.14,1300,0.001,0.009,13182.0,278451.7
