Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,26.96,28.11,26.61,28.02,488000,0.0393,,13673760.0,
2003-12-02,28.12,28.94,27.98,28.86,662100,0.0263,0.03,19108206.0,
2003-12-03,28.65,28.95,28.55,28.86,175700,0.0073,0.0,5070702.0,
2003-12-04,28.6,29.46,28.55,29.41,218000,0.0283,0.0191,6411380.0,
2003-12-05,29.15,29.46,28.62,28.66,195800,-0.0168,-0.0255,5611628.0,
2003-12-08,28.6,28.92,28.05,28.46,160900,-0.0049,-0.007,4579214.0,
2003-12-09,28.49,29.83,28.47,29.73,244500,0.0435,0.0446,7268985.0,
2003-12-10,29.79,30.0,29.4,29.48,243300,-0.0104,-0.0084,7172484.0,
2003-12-11,29.75,29.84,29.45,29.45,52700,-0.0101,-0.001,1552015.0,
2003-12-12,29.72,29.72,28.63,29.27,81100,-0.0151,-0.0061,2373797.0,
2003-12-15,28.85,29.47,27.83,28.27,87300,-0.0201,-0.0342,2467971.0,7282217.1
2003-12-16,27.82,27.92,26.85,27.32,240600,-0.018,-0.0336,6573192.0,6161638.2
2003-12-17,27.1,28.25,27.1,28.16,231300,0.0391,0.0307,6513408.0,4908136.8
2003-12-18,28.3,28.59,27.89,28.59,186100,0.0102,0.0153,5320599.0,5052407.4
2003-12-19,28.84,29.4,28.42,29.39,92800,0.0191,0.028,2727392.0,4943329.3
2003-12-22,29.42,30.52,29.25,30.19,292200,0.0262,0.0272,8821518.0,4654905.7
2003-12-23,30.39,32.54,30.23,31.71,143200,0.0434,0.0503,4540872.0,5079136.1
2003-12-24,29.59,30.2,28.34,29.85,568800,0.0088,-0.0587,16978680.0,4806324.8
2003-12-26,29.9,30.38,29.69,29.98,77400,0.0027,0.0044,2320452.0,5786944.4
2003-12-29,30.18,31.04,29.79,31.04,219100,0.0285,0.0354,6800864.0,5863788.1
2003-12-30,30.87,32.81,30.87,32.37,263900,0.0486,0.0428,8542443.0,6306494.8
2003-12-31,32.38,32.86,30.3,30.47,148300,-0.059,-0.0587,4518701.0,6913942.0
2004-01-02,30.25,30.87,29.25,29.89,104900,-0.0119,-0.019,3135461.0,6708492.9
2004-01-05,30.22,30.57,29.74,30.55,219800,0.0109,0.0221,6714890.0,6370698.2
2004-01-06,30.65,30.7,29.65,30.02,234800,-0.0206,-0.0173,7048696.0,6510127.3
2004-01-07,29.0,29.31,29.0,29.25,114500,0.0086,-0.0256,3349125.0,6942257.7
2004-01-08,29.2,29.25,29.0,29.09,53400,-0.0038,-0.0055,1553406.0,6395018.4
2004-01-09,29.0,29.25,28.45,28.45,80400,-0.019,-0.022,2287380.0,6096271.8
2004-01-12,28.42,29.3,28.41,29.1,97100,0.0239,0.0228,2825610.0,4627141.8
2004-01-13,29.24,29.26,28.78,29.19,92000,-0.0017,0.0031,2685480.0,4677657.6
2004-01-14,29.25,29.58,28.98,29.08,68700,-0.0058,-0.0038,1997796.0,4266119.2
2004-01-15,29.01,29.24,28.67,28.86,157600,-0.0052,-0.0076,4548336.0,3611654.5
2004-01-16,28.7,28.94,28.38,28.47,45400,-0.008,-0.0135,1292538.0,3614618.0
2004-01-20,28.39,30.08,28.36,30.08,103700,0.0595,0.0566,3119296.0,3430325.7
2004-01-21,29.75,29.8,28.47,28.8,150000,-0.0319,-0.0426,4320000.0,3070766.3
2004-01-22,28.14,28.16,27.3,27.7,237700,-0.0156,-0.0382,6584290.0,2797896.7
2004-01-23,27.42,28.05,26.96,27.22,379200,-0.0073,-0.0173,10321824.0,3121413.2
2004-01-26,27.22,28.02,27.2,28.0,120900,0.0287,0.0287,3385200.0,3998255.0
2004-01-27,27.5,27.7,27.25,27.4,121600,-0.0036,-0.0214,3331840.0,4108037.0
