Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2021-10-21,12.85,13.29,12.41,12.9,2638500,0.0039,,34036650.0,
2021-10-22,12.51,13.0,12.51,12.53,627600,0.0016,-0.0287,7863828.0,
2021-10-25,12.03,13.0,12.03,12.81,619900,0.0648,0.0223,7940919.0,
2021-10-26,12.77,13.0,12.65,12.84,415500,0.0055,0.0023,5335020.0,
2021-10-27,12.72,12.95,12.6,12.69,271600,-0.0024,-0.0117,3446604.0,
2021-10-28,12.65,12.99,12.38,12.48,626800,-0.0134,-0.0165,7822464.0,
2021-10-29,12.75,13.08,12.75,12.95,529300,0.0157,0.0377,6854435.0,
2021-11-01,12.99,13.11,12.72,12.88,302200,-0.0085,-0.0054,3892336.0,
2021-11-02,12.76,13.04,12.52,12.84,267800,0.0063,-0.0031,3438552.0,
2021-11-03,12.81,13.0,12.77,12.84,115500,0.0023,0.0,1483020.0,
2021-11-04,12.85,12.95,12.55,12.67,192900,-0.014,-0.0132,2444043.0,8211382.8
2021-11-05,12.37,12.66,11.84,12.1,250000,-0.0218,-0.045,3025000.0,5052122.1
2021-11-08,12.16,12.45,11.85,12.05,264200,-0.009,-0.0041,3183610.0,4568239.3
2021-11-09,12.15,12.38,11.87,12.3,120400,0.0123,0.0207,1480920.0,4092508.4
2021-11-10,12.26,12.6,12.04,12.25,135100,-0.0008,-0.0041,1654975.0,3707098.4
2021-11-11,12.32,12.35,11.93,12.04,244900,-0.0227,-0.0171,2948596.0,3527935.5
2021-11-12,12.05,12.33,11.94,12.18,115700,0.0108,0.0116,1409226.0,3040548.7
2021-11-15,12.53,12.86,12.4,12.86,203400,0.0263,0.0558,2615724.0,2496027.8
2021-11-16,12.82,12.87,12.39,12.57,99400,-0.0195,-0.0226,1249458.0,2368366.6
2021-11-17,12.68,12.94,12.63,12.86,98400,0.0142,0.0231,1265424.0,2149457.2
2021-11-18,12.8,12.94,12.66,12.66,63900,-0.0109,-0.0156,808974.0,2127697.6
2021-11-19,12.76,12.93,12.56,12.83,61300,0.0055,0.0134,786479.0,1964190.7
2021-11-22,12.74,13.37,12.74,13.31,361600,0.0447,0.0374,4812896.0,1740338.6
2021-11-23,13.21,13.49,13.15,13.46,157800,0.0189,0.0113,2123988.0,1903267.2
2021-11-24,13.37,13.85,13.33,13.71,181400,0.0254,0.0186,2486994.0,1967574.0
2021-11-26,13.71,14.05,13.55,13.56,155100,-0.0109,-0.0109,2103156.0,2050775.9
2021-11-29,13.75,13.89,13.43,13.67,137200,-0.0058,0.0081,1875524.0,1966231.9
