Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2017-10-09,25.45,25.45,23.99,24.57,351000,-0.0346,,8624070.0,
2017-10-10,24.62,26.5,24.5,26.01,695300,0.0565,0.0586,18084753.0,
2017-10-11,26.3,26.69,25.05,25.72,393900,-0.0221,-0.0111,10131108.0,
2017-10-12,25.7,26.04,24.16,24.66,387200,-0.0405,-0.0412,9548352.0,
2017-10-13,24.5,25.19,24.28,24.42,141200,-0.0033,-0.0097,3448104.0,
2017-10-16,24.36,26.99,24.16,26.26,331600,0.078,0.0753,8707816.0,
2017-10-17,26.37,26.95,23.48,24.26,237900,-0.08,-0.0762,5771454.0,
2017-10-18,24.2,24.66,23.7,23.86,88000,-0.014,-0.0165,2099680.0,
2017-10-19,23.68,23.79,22.6,23.25,120100,-0.0182,-0.0256,2792325.0,
2017-10-20,23.29,23.94,22.61,23.08,178500,-0.009,-0.0073,4119780.0,
2017-10-23,23.24,24.1,22.74,23.94,106500,0.0301,0.0373,2549610.0,7332744.2
2017-10-24,23.7,24.53,22.91,24.25,59400,0.0232,0.0129,1440450.0,6725298.2
2017-10-25,24.24,24.5,22.11,22.53,147300,-0.0705,-0.0709,3318669.0,5060867.9
2017-10-26,22.59,23.11,21.38,22.96,90000,0.0164,0.0191,2066400.0,4379624.0
2017-10-27,23.01,23.85,22.13,23.72,138000,0.0309,0.0331,3273360.0,3631428.8
2017-10-30,23.82,24.45,22.5,24.42,149300,0.0252,0.0295,3645906.0,3613954.4
2017-10-31,25.1,26.0,24.31,25.58,248900,0.0191,0.0475,6366862.0,3107763.4
2017-11-01,25.55,26.73,25.2,26.1,243200,0.0215,0.0203,6347520.0,3167304.2
2017-11-02,26.02,26.41,23.25,24.09,255700,-0.0742,-0.077,6159813.0,3592088.2
2017-11-03,23.73,26.0,22.88,25.89,118600,0.091,0.0747,3070554.0,3928837.0
2017-11-06,25.22,25.61,23.77,24.2,133800,-0.0404,-0.0653,3237960.0,3823914.4
2017-11-07,24.07,24.87,22.16,22.41,206200,-0.069,-0.074,4620942.0,3892749.4
2017-11-08,22.41,23.41,21.91,23.22,350700,0.0361,0.0361,8143254.0,4210798.6
2017-11-09,22.98,22.98,21.75,22.0,159300,-0.0426,-0.0525,3504600.0,4693257.1
2017-11-10,21.82,24.33,21.82,24.21,83400,0.1095,0.1005,2019114.0,4837077.1
2017-11-13,24.05,25.65,24.05,25.46,100300,0.0586,0.0516,2553638.0,4711652.5
2017-11-14,24.68,25.3,23.03,24.02,87200,-0.0267,-0.0566,2094544.0,4602425.7
2017-11-15,24.23,24.55,22.96,24.0,96400,-0.0095,-0.0008,2313600.0,4175193.9
2017-11-16,24.0,24.47,23.41,24.13,143400,0.0054,0.0054,3460242.0,3771801.9
2017-11-17,23.99,25.8,23.5,25.8,142100,0.0754,0.0692,3666180.0,3501844.8
2017-11-20,25.8,27.62,25.52,27.0,131600,0.0465,0.0465,3553200.0,3561407.4
2017-11-21,27.1,28.98,26.7,27.9,105100,0.0295,0.0333,2932290.0,3592931.4
2017-11-22,27.9,29.11,27.69,29.01,94700,0.0398,0.0398,2747247.0,3424066.2
2017-11-24,29.25,29.54,28.01,28.87,28800,-0.013,-0.0048,831456.0,2884465.5
2017-11-27,28.68,29.5,27.94,28.91,130100,0.008,0.0014,3761191.0,2617151.1
2017-11-28,28.75,29.0,28.42,28.81,97300,0.0021,-0.0035,2803213.0,2791358.8
2017-11-29,28.68,30.37,27.29,27.81,134800,-0.0303,-0.0347,3748788.0,2816316.3
2017-11-30,27.79,29.48,27.79,28.58,135300,0.0284,0.0277,3866874.0,2981740.7
2017-12-01,28.81,30.96,28.66,30.24,118900,0.0496,0.0581,3595536.0,3137068.1
2017-12-04,30.7,30.99,28.81,29.99,240400,-0.0231,-0.0083,7209596.0,3150597.5
2017-12-05,29.86,30.25,28.25,28.68,234300,-0.0395,-0.0437,6719724.0,3504939.1
2017-12-06,28.44,28.65,26.86,27.36,154900,-0.038,-0.046,4238064.0,3821591.5
2017-12-07,27.23,28.42,27.23,28.25,85000,0.0375,0.0325,2401250.0,3952168.9
2017-12-08,28.66,29.48,28.57,29.09,56100,0.015,0.0297,1631949.0,3917569.2
2017-12-11,28.91,29.15,27.62,27.67,62800,-0.0429,-0.0488,1737676.0,3997618.5
2017-12-12,27.97,28.42,26.32,27.01,163800,-0.0343,-0.0239,4424238.0,3795267.0
2017-12-13,26.77,27.62,26.65,27.13,181200,0.0134,0.0044,4915956.0,3957369.5
2017-12-14,28.15,28.17,27.4,28.04,140400,-0.0039,0.0335,3936816.0,4074086.3
2017-12-15,27.8,29.49,26.73,28.29,1356900,0.0176,0.0089,38386701.0,4081080.5
2017-12-18,28.24,30.71,27.69,30.51,237100,0.0804,0.0785,7233921.0,7560197.0
2017-12-19,30.31,31.63,27.96,29.9,198200,-0.0135,-0.02,5926180.0,7562629.5
2017-12-20,29.77,31.28,28.52,29.86,143800,0.003,-0.0013,4293868.0,7483275.1
2017-12-21,29.67,30.84,28.37,28.95,91400,-0.0243,-0.0305,2646030.0,7488855.5
2017-12-22,28.99,29.21,26.94,27.87,138100,-0.0386,-0.0373,3848847.0,7513333.5
2017-12-26,27.59,29.52,27.58,29.27,132700,0.0609,0.0502,3884129.0,7735023.3
2017-12-27,29.47,29.64,28.2,29.04,73300,-0.0146,-0.0079,2128632.0,7949668.6
2017-12-28,28.9,29.29,27.38,29.23,127700,0.0114,0.0065,3732671.0,7720108.0
2017-12-29,29.3,29.37,28.71,29.06,78400,-0.0082,-0.0058,2278304.0,7601779.5
2018-01-02,28.94,28.94,27.64,28.0,164400,-0.0325,-0.0365,4603200.0,7435928.3
2018-01-03,28.09,29.5,28.01,29.34,71300,0.0445,0.0479,2091942.0,4057578.2
2018-01-04,29.31,29.31,28.0,28.13,52100,-0.0403,-0.0412,1465573.0,3543380.3
2018-01-05,28.07,28.94,27.75,27.94,93400,-0.0046,-0.0068,2609596.0,3097319.6
2018-01-08,27.82,28.0,27.51,27.83,41400,0.0004,-0.0039,1152162.0,2928892.4
2018-01-09,27.72,27.99,25.9,26.29,101300,-0.0516,-0.0553,2663177.0,2779505.6
2018-01-10,26.28,26.8,25.17,26.69,85500,0.0156,0.0152,2281995.0,2660938.6
2018-01-11,26.75,27.75,26.34,26.95,41800,0.0075,0.0097,1126510.0,2500725.2
2018-01-12,26.95,27.71,26.53,27.4,31900,0.0167,0.0167,874060.0,2400513.0
2018-01-16,27.72,27.75,26.37,26.91,80300,-0.0292,-0.0179,2160873.0,2114651.9
2018-01-17,26.92,28.19,26.57,27.33,122100,0.0152,0.0156,3336993.0,2102908.8
2018-01-18,27.5,27.6,26.74,27.3,71300,-0.0073,-0.0011,1946490.0,1976288.1
2018-01-19,27.21,27.9,26.91,27.89,115200,0.025,0.0216,3212928.0,1961742.9
2018-01-22,28.0,29.21,28.0,29.04,73100,0.0371,0.0412,2122824.0,2136478.4
2018-01-23,28.91,29.36,28.08,29.14,24700,0.008,0.0034,719758.0,2087801.2
2018-01-24,29.03,30.62,28.75,30.03,106200,0.0344,0.0305,3189186.0,2044560.8
