Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2013-01-14,62.5,100.0,62.5,80.0,47,0.28,,3760.0,
2013-01-15,80.0,82.5,80.0,82.5,17,0.0312,0.0312,1402.5,
2013-01-16,82.5,82.5,82.5,82.5,0,0.0,0.0,0.0,
2013-01-17,80.0,80.0,70.0,77.5,37,-0.0312,-0.0606,2867.5,
2013-01-18,82.5,89.5,82.5,85.0,39,0.0303,0.0968,3315.0,
2013-01-22,110.0,110.0,100.0,100.0,14,-0.0909,0.1765,1400.0,
2013-01-23,101.0,125.0,101.0,112.5,15,0.1139,0.125,1687.5,
2013-01-24,112.5,125.0,112.5,125.0,1,0.1111,0.1111,125.0,
2013-01-25,125.0,125.0,112.5,112.5,12,-0.1,-0.1,1350.0,
2013-01-28,112.5,112.5,112.5,112.5,0,0.0,0.0,0.0,
2013-01-29,100.0,100.0,100.0,100.0,8,0.0,-0.1111,800.0,1590.75
2013-01-30,100.0,100.0,100.0,100.0,0,0.0,0.0,0.0,1294.75
2013-01-31,100.0,100.0,100.0,100.0,1,0.0,0.0,100.0,1154.5
2013-02-01,100.0,100.0,100.0,100.0,0,0.0,0.0,0.0,1164.5
2013-02-04,100.0,100.0,100.0,100.0,0,0.0,0.0,0.0,877.75
2013-02-05,100.0,100.0,100.0,100.0,0,0.0,0.0,0.0,546.25
2013-02-06,110.0,110.0,110.0,110.0,1,0.0,0.1,110.0,406.25
2013-02-07,110.0,110.0,110.0,110.0,0,0.0,0.0,0.0,248.5
2013-02-08,110.0,125.0,102.5,110.0,4,0.0,0.0,440.0,236.0
2013-02-11,100.0,100.0,87.5,87.5,20,-0.125,-0.2045,1750.0,145.0
2013-02-12,82.5,92.5,80.0,80.0,25,-0.0303,-0.0857,2000.0,320.0
2013-02-13,80.0,80.0,80.0,80.0,0,0.0,0.0,0.0,440.0
2013-02-14,80.0,80.0,80.0,80.0,0,0.0,0.0,0.0,440.0
2013-02-15,80.0,80.0,80.0,80.0,0,0.0,0.0,0.0,430.0
2013-02-19,100.0,112.5,82.5,102.5,330,0.025,0.2812,33825.0,430.0
2013-02-20,112.5,117.5,95.0,102.5,180,-0.0889,0.0,18450.0,3812.5
2013-02-21,107.5,107.5,100.0,100.0,18,-0.0698,-0.0244,1800.0,5657.5
2013-02-22,97.5,97.5,90.0,90.0,142,-0.0769,-0.1,12780.0,5826.5
2013-02-25,92.5,112.5,90.0,90.0,82,-0.027,0.0,7380.0,7104.5
2013-02-26,90.0,90.0,75.5,85.0,106,-0.0556,-0.0556,9010.0,7798.5
2013-02-27,85.0,85.0,80.5,80.5,10,-0.0529,-0.0529,805.0,8524.5
