Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,18.38,18.38,18.38,18.38,200,0.0,,3676.0,
2003-12-02,18.38,18.38,18.38,18.38,0,0.0,0.0,0.0,
2003-12-03,18.38,18.38,18.38,18.38,0,0.0,0.0,0.0,
2003-12-04,18.38,18.38,18.25,18.25,1400,-0.0071,-0.0071,25550.0,
2003-12-05,18.25,18.25,18.25,18.25,0,0.0,0.0,0.0,
2003-12-08,18.25,18.34,18.25,18.34,1000,0.0049,0.0049,18340.0,
2003-12-09,18.4,18.4,18.4,18.4,400,0.0,0.0033,7360.0,
2003-12-10,18.37,18.37,18.05,18.05,2400,-0.0174,-0.019,43320.0,
2003-12-11,18.25,18.25,18.25,18.25,400,0.0,0.0111,7300.0,
2003-12-12,18.25,19.12,18.25,19.12,6000,0.0477,0.0477,114720.0,
2003-12-15,19.0,19.12,18.88,19.12,2600,0.0063,0.0,49712.0,22026.6
2003-12-16,19.25,19.38,19.25,19.25,1000,0.0,0.0068,19250.0,26630.2
2003-12-17,19.25,19.25,19.25,19.25,0,0.0,0.0,0.0,28555.2
2003-12-18,19.2,19.2,19.2,19.2,200,0.0,-0.0026,3840.0,28555.2
2003-12-19,19.1,19.1,19.0,19.0,1000,-0.0052,-0.0104,19000.0,26384.2
2003-12-22,18.88,18.95,18.88,18.95,600,0.0037,-0.0026,11370.0,28284.2
2003-12-23,19.07,19.15,19.07,19.15,800,0.0042,0.0106,15320.0,27587.2
2003-12-24,19.15,19.15,19.15,19.15,0,0.0,0.0,0.0,28383.2
2003-12-26,19.25,19.25,19.25,19.25,400,0.0,0.0052,7700.0,24051.2
2003-12-29,19.15,19.48,19.15,19.48,4400,0.0172,0.0119,85712.0,24091.2
2003-12-30,19.48,19.48,19.48,19.48,0,0.0,0.0,0.0,21190.4
2003-12-31,19.38,19.45,19.38,19.45,800,0.0036,-0.0015,15560.0,16219.2
2004-01-02,19.35,19.4,19.3,19.4,1600,0.0026,-0.0026,31040.0,15850.2
2004-01-05,19.4,19.5,19.4,19.42,2800,0.001,0.001,54376.0,18954.2
2004-01-06,19.33,19.33,19.33,19.33,400,0.0,-0.0046,7732.0,24007.8
2004-01-07,19.33,19.33,19.33,19.33,0,0.0,0.0,0.0,22881.0
2004-01-08,19.27,19.27,19.27,19.27,800,0.0,-0.0031,15416.0,21744.0
2004-01-09,19.25,19.25,19.25,19.25,3600,0.0,-0.001,69300.0,21753.6
2004-01-12,19.38,19.75,19.38,19.75,1600,0.0191,0.026,31600.0,28683.6
2004-01-13,19.88,20.12,19.5,20.12,8200,0.0121,0.0187,164984.0,31073.6
2004-01-14,20.2,20.25,19.75,20.0,7600,-0.0099,-0.006,152000.0,39000.8
2004-01-15,20.0,20.0,20.0,20.0,0,0.0,0.0,0.0,54200.8
2004-01-16,20.0,20.0,20.0,20.0,0,0.0,0.0,0.0,52644.8
2004-01-20,20.0,20.0,20.0,20.0,0,0.0,0.0,0.0,49540.8
2004-01-21,20.0,20.0,20.0,20.0,0,0.0,0.0,0.0,44103.2
2004-01-22,19.88,19.88,19.75,19.75,600,-0.0065,-0.0125,11850.0,43330.0
2004-01-23,19.87,20.0,19.87,20.0,600,0.0065,0.0127,12000.0,44515.0
2004-01-26,20.0,20.0,20.0,20.0,0,0.0,0.0,0.0,44173.4
2004-01-27,20.0,20.0,20.0,20.0,0,0.0,0.0,0.0,37243.4
2004-01-28,20.0,20.0,20.0,20.0,0,0.0,0.0,0.0,34083.4
2004-01-29,20.12,20.12,19.5,19.62,5200,-0.0249,-0.019,102024.0,17585.0
2004-01-30,19.5,19.5,19.5,19.5,2000,0.0,-0.0061,39000.0,12587.4
2004-02-02,19.62,19.62,19.38,19.38,8200,-0.0122,-0.0062,158916.0,16487.4
2004-02-03,19.5,19.62,19.5,19.62,1400,0.0062,0.0124,27468.0,32379.0
2004-02-04,19.5,19.75,19.25,19.25,5000,-0.0128,-0.0189,96250.0,35125.8
2004-02-05,19.38,19.62,19.38,19.62,1400,0.0124,0.0192,27468.0,44750.8
2004-02-06,19.75,19.75,19.75,19.75,400,0.0,0.0066,7900.0,46312.6
2004-02-09,19.75,19.75,19.75,19.75,0,0.0,0.0,0.0,45902.6
2004-02-10,19.75,19.75,19.75,19.75,0,0.0,0.0,0.0,45902.6
2004-02-11,19.75,19.75,19.75,19.75,0,0.0,0.0,0.0,45902.6
2004-02-12,19.87,19.87,19.87,19.87,1000,0.0,0.0061,19870.0,45902.6
2004-02-13,19.98,19.98,19.88,19.88,800,-0.005,0.0005,15904.0,37687.2
2004-02-17,19.88,20.5,19.88,20.5,4400,0.0312,0.0312,90200.0,35377.6
2004-02-18,20.5,20.5,20.5,20.5,1000,0.0,0.0,20500.0,28506.0
2004-02-19,20.5,20.5,20.5,20.5,0,0.0,0.0,0.0,27809.2
2004-02-20,20.38,20.38,20.12,20.12,1800,-0.0128,-0.0185,36216.0,18184.2
2004-02-23,20.25,20.38,20.12,20.38,1800,0.0064,0.0129,36684.0,19059.0
