Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2010-06-14,4.4,4.4,4.0,4.0,5100,-0.0909,,20400.0,
2010-06-15,4.0,4.05,4.0,4.0,16900,0.0,0.0,67600.0,
2010-06-16,3.95,4.1,3.95,4.1,3000,0.038,0.025,12300.0,
2010-06-17,4.2,4.2,3.95,3.95,1200,-0.0595,-0.0366,4740.0,
2010-06-18,3.95,3.95,3.71,3.71,22300,-0.0608,-0.0608,82733.0,
2010-06-21,3.73,3.73,3.55,3.57,11200,-0.0429,-0.0377,39984.0,
2010-06-22,3.6,3.6,3.49,3.49,5300,-0.0306,-0.0224,18497.0,
2010-06-23,3.45,3.45,3.37,3.42,17100,-0.0087,-0.0201,58482.0,
2010-06-24,3.42,3.5,3.4,3.5,3000,0.0234,0.0234,10500.0,
2010-06-25,3.45,3.52,3.1,3.51,32000,0.0174,0.0029,112320.0,
2010-06-28,3.5,3.64,3.5,3.59,2800,0.0257,0.0228,10052.0,42755.6
2010-06-29,3.5,3.5,3.3,3.3,5400,-0.0571,-0.0808,17820.0,41720.8
2010-06-30,3.25,3.27,3.25,3.27,500,0.0062,-0.0091,1635.0,36742.8
2010-07-01,3.35,3.35,2.85,3.16,22700,-0.0567,-0.0336,71732.0,35676.3
2010-07-02,2.95,3.1,2.95,3.05,2800,0.0339,-0.0348,8540.0,42375.5
2010-07-06,3.05,3.05,3.05,3.05,0,0.0,0.0,0.0,34956.2
2010-07-07,3.0,3.0,2.85,2.95,8800,-0.0167,-0.0328,25960.0,30957.8
2010-07-08,3.0,3.49,3.0,3.25,11500,0.0833,0.1017,37375.0,31704.1
2010-07-09,3.25,3.49,3.25,3.49,10100,0.0738,0.0738,35249.0,29593.4
2010-07-12,3.6,3.6,3.5,3.55,18300,-0.0139,0.0172,64965.0,32068.3
2010-07-13,3.69,3.7,3.66,3.7,3800,0.0027,0.0423,14060.0,27332.8
2010-07-14,3.75,3.91,3.7,3.8,7600,0.0133,0.027,28880.0,27733.6
2010-07-15,3.9,3.92,3.87,3.87,700,-0.0077,0.0184,2709.0,28839.6
2010-07-16,3.99,3.99,3.5,3.5,4200,-0.1228,-0.0956,14700.0,28947.0
2010-07-19,3.79,3.8,3.6,3.6,9300,-0.0501,0.0286,33480.0,23243.8
2010-07-20,3.6,3.6,3.31,3.5,30800,-0.0278,-0.0278,107800.0,25737.8
2010-07-21,3.5,3.57,3.31,3.57,3800,0.02,0.02,13566.0,36517.8
2010-07-22,3.59,3.6,3.5,3.6,5900,0.0028,0.0084,21240.0,35278.4
2010-07-23,3.4,3.6,3.3,3.6,9300,0.0588,0.0,33480.0,33664.9
2010-07-26,3.59,3.59,3.4,3.5,6000,-0.0251,-0.0278,21000.0,33488.0
2010-07-27,3.36,3.5,3.25,3.5,9800,0.0417,0.0,34300.0,29091.5
