Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,7.25,7.85,7.2,7.6,134500,0.0483,,1022200.0,
2003-12-02,7.64,7.68,7.5,7.6,122000,-0.0052,0.0,927200.0,
2003-12-03,7.63,9.1,7.58,9.1,480533,0.1927,0.1974,4372850.3,
2003-12-04,9.1,9.5,8.95,9.43,152533,0.0363,0.0363,1438386.19,
2003-12-05,9.35,9.69,9.3,9.5,95133,0.016,0.0074,903763.5,
2003-12-08,9.35,9.9,9.35,9.9,90067,0.0588,0.0421,891663.3,
2003-12-09,9.8,9.95,9.55,9.8,56333,0.0,-0.0101,552063.4,
2003-12-10,9.75,9.75,9.25,9.45,52067,-0.0308,-0.0357,492033.15,
2003-12-11,9.45,9.47,9.25,9.35,44100,-0.0106,-0.0106,412335.0,
2003-12-12,9.4,9.45,9.1,9.25,89100,-0.016,-0.0107,824175.0,
2003-12-15,9.25,9.25,8.73,8.73,76967,-0.0562,-0.0562,671921.91,1183666.98
2003-12-16,8.81,8.81,8.25,8.6,30667,-0.0238,-0.0149,263736.2,1148639.18
2003-12-17,8.58,8.78,8.53,8.75,18633,0.0198,0.0174,163038.75,1082292.8
2003-12-18,8.85,9.35,8.8,9.35,98300,0.0565,0.0686,919105.0,661311.64
2003-12-19,9.15,9.45,9.1,9.43,20767,0.0306,0.0086,195832.81,609383.52
2003-12-22,9.46,9.46,9.2,9.21,15700,-0.0264,-0.0233,144597.0,538590.45
2003-12-23,9.29,9.3,9.1,9.1,12467,-0.0205,-0.0119,113449.7,463883.82
2003-12-24,9.1,9.1,8.85,8.85,10933,-0.0275,-0.0275,96757.05,420022.45
2003-12-26,9.0,9.0,8.85,9.0,1033,0.0,0.0169,9297.0,380494.84
2003-12-29,9.0,9.0,8.75,8.8,8067,-0.0222,-0.0222,70989.6,340191.04
2003-12-30,8.8,9.6,8.8,9.6,87567,0.0909,0.0909,840643.2,264872.5
2003-12-31,9.6,10.0,9.5,9.95,51467,0.0365,0.0365,512096.65,281744.63
2004-01-02,10.0,10.85,10.0,10.85,68433,0.085,0.0905,742498.05,306580.68
2004-01-05,10.85,10.85,10.32,10.35,60867,-0.0461,-0.0461,629973.45,364526.61
2004-01-06,10.35,10.37,10.2,10.2,18233,-0.0145,-0.0145,185976.6,335613.45
2004-01-07,10.2,10.25,10.0,10.0,13967,-0.0196,-0.0196,139670.0,334627.83
2004-01-08,10.0,10.4,10.0,10.35,47000,0.035,0.035,486450.0,334135.13
2004-01-09,10.35,10.45,10.2,10.4,27867,0.0048,0.0048,289816.8,371435.16
2004-01-12,10.45,12.05,10.4,11.9,103767,0.1388,0.1442,1234827.3,390741.14
2004-01-13,12.05,12.08,11.7,11.85,36600,-0.0166,-0.0042,433710.0,513294.16
2004-01-14,11.9,11.9,10.7,11.2,91867,-0.0588,-0.0549,1028910.4,549566.2
2004-01-15,11.0,11.15,10.8,11.15,16933,0.0136,-0.0045,188802.95,568392.93
2004-01-16,11.15,11.15,10.75,10.95,5767,-0.0179,-0.0179,63148.65,536063.55
2004-01-20,10.8,11.0,10.8,11.0,6433,0.0185,0.0046,70763.0,468128.62
2004-01-21,11.0,11.0,10.6,10.6,42367,-0.0364,-0.0364,449090.2,412207.57
2004-01-22,10.53,11.25,10.45,11.25,22267,0.0684,0.0613,250503.75,438518.93
2004-01-23,11.5,12.15,11.4,11.85,104067,0.0304,0.0533,1233193.95,449602.3
2004-01-26,11.85,12.5,11.85,12.35,34467,0.0422,0.0422,425667.45,524276.7
2004-01-27,12.4,12.45,12.3,12.35,26633,-0.004,0.0,328917.55,537861.76
2004-01-28,12.4,12.4,12.35,12.35,14533,-0.004,0.0,179482.55,447270.79
2004-01-29,12.35,12.35,11.95,12.0,43300,-0.0283,-0.0283,519600.0,421848.05
2004-01-30,12.0,14.26,12.0,14.26,129267,0.1883,0.1883,1843347.42,370917.0
2004-02-02,13.87,14.3,13.8,14.1,30700,0.0166,-0.0112,432870.0,536371.45
