Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2019-02-22,25.09,25.25,25.05,25.22,1142765,0.0052,,28820533.3,
2019-02-25,25.23,25.23,25.13,25.18,292353,-0.002,-0.0016,7361448.54,
2019-02-26,25.2,25.2,24.98,25.14,337785,-0.0024,-0.0016,8491914.9,
2019-02-27,25.1,25.17,25.0,25.15,208157,0.002,0.0004,5235148.55,
2019-02-28,25.15,25.25,25.05,25.2,146996,0.002,0.002,3704299.2,
2019-03-01,25.2,25.24,25.07,25.17,109416,-0.0012,-0.0012,2754000.72,
2019-03-04,25.2,25.23,25.1,25.23,172639,0.0012,0.0024,4355681.97,
2019-03-05,25.22,25.23,25.13,25.2,115399,-0.0008,-0.0012,2908054.8,
2019-03-06,25.25,25.3,25.17,25.24,144738,-0.0004,0.0016,3653187.12,
2019-03-07,25.15,25.3,25.1,25.2,97545,0.002,-0.0016,2458134.0,
2019-03-08,25.2,25.34,25.1,25.3,104260,0.004,0.004,2637778.0,6974240.31
2019-03-11,25.24,25.29,25.19,25.25,72119,0.0004,-0.002,1821004.75,4355964.78
2019-03-12,25.28,25.29,25.2,25.26,166596,-0.0008,0.0004,4208214.96,3801920.4
2019-03-13,25.29,25.35,25.25,25.35,85375,0.0024,0.0036,2164256.25,3373550.41
2019-03-14,25.33,25.35,25.25,25.34,63380,0.0004,-0.0004,1606049.2,3066461.18
2019-03-15,25.35,25.5,25.34,25.42,53839,0.0028,0.0032,1368587.38,2856636.18
2019-03-18,25.37,25.5,25.36,25.37,42659,0.0,-0.002,1082258.83,2718094.84
2019-03-19,25.35,25.39,25.26,25.3,59479,-0.002,-0.0028,1504818.7,2390752.53
2019-03-20,25.33,25.38,25.22,25.37,68621,0.0016,0.0028,1740914.77,2250428.92
2019-03-21,25.26,25.53,25.26,25.41,68412,0.0059,0.0016,1738348.92,2059201.68
2019-03-22,25.37,25.55,25.3,25.35,41348,-0.0008,-0.0024,1048171.8,1987223.18
2019-03-25,25.35,25.48,25.29,25.35,118890,0.0,0.0,3013861.5,1828262.56
2019-03-26,25.59,25.6,25.4,25.49,88046,-0.0039,0.0055,2244292.54,1947548.23
2019-03-27,25.5,25.77,25.5,25.73,175237,0.009,0.0094,4508848.01,1751155.99
2019-03-28,25.7,25.77,25.56,25.69,80708,-0.0004,-0.0016,2073388.52,1985615.16
2019-03-29,25.71,25.87,25.67,25.67,183903,-0.0016,-0.0008,4720790.01,2032349.1
2019-04-01,25.73,25.82,25.56,25.7,60559,-0.0012,0.0012,1556366.3,2367569.36
2019-04-02,25.67,25.75,25.54,25.7,64473,0.0012,0.0,1656956.1,2414980.11
2019-04-03,25.72,25.76,25.63,25.72,52804,0.0,0.0008,1358118.88,2430193.85
2019-04-04,25.71,25.87,25.67,25.8,35882,0.0035,0.0031,925755.6,2391914.26
2019-04-05,25.87,26.14,25.85,25.9,39255,0.0012,0.0039,1016704.5,2310654.93
2019-04-08,26.02,26.12,25.93,26.0,35110,-0.0008,0.0039,912860.0,2307508.2
