Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2020-05-13,25.01,25.05,24.67,25.0,2219440,-0.0004,,55486000.0,
2020-05-14,24.75,24.86,24.58,24.83,548478,0.0032,-0.0068,13618708.74,
2020-05-15,24.82,24.88,24.75,24.84,283071,0.0008,0.0004,7031483.64,
2020-05-18,24.9,25.02,24.9,25.02,248054,0.0048,0.0072,6206311.08,
2020-05-19,25.0,25.25,24.98,25.24,173151,0.0096,0.0088,4370331.24,
2020-05-20,24.95,25.3,24.95,25.3,131649,0.014,0.0024,3330719.7,
2020-05-21,25.18,25.3,25.0,25.15,168432,-0.0012,-0.0059,4236064.8,
2020-05-22,25.13,25.7,25.13,25.66,301107,0.0211,0.0203,7726405.62,
2020-05-26,25.62,26.73,25.61,26.12,501605,0.0195,0.0179,13101922.6,
2020-05-27,26.17,26.19,25.83,26.17,400177,0.0,0.0019,10472632.09,
2020-05-28,26.16,26.47,26.1,26.3,375662,0.0054,0.005,9879910.6,12558057.95
2020-05-29,26.3,26.45,26.12,26.3,878324,0.0,0.0,23099921.2,7997449.01
2020-06-01,26.25,26.29,25.81,25.89,87934,-0.0137,-0.0156,2276611.26,8945570.26
2020-06-02,26.0,26.0,25.62,25.76,90743,-0.0092,-0.005,2337539.68,8470083.02
2020-06-03,25.68,25.78,25.56,25.68,94257,0.0,-0.0031,2420519.76,8083205.88
2020-06-04,25.56,25.75,25.51,25.74,278418,0.007,0.0023,7166479.32,7888224.73
2020-06-05,25.75,26.05,25.72,25.75,160044,0.0,0.0004,4121133.0,8271800.69
2020-06-08,25.85,25.85,25.64,25.75,22341,-0.0039,0.0,575280.75,8260307.51
2020-06-09,25.72,25.83,25.56,25.83,75393,0.0043,0.0031,1947401.19,7545195.03
2020-06-10,25.7,25.83,25.63,25.83,25755,0.0051,0.0,665251.65,6429742.88
2020-06-11,25.68,25.68,25.36,25.38,59986,-0.0117,-0.0174,1522444.68,5449004.84
2020-06-12,25.75,25.75,25.11,25.26,29007,-0.019,-0.0047,732716.82,4613258.25
2020-06-15,25.08,25.47,25.0,25.38,38944,0.012,0.0048,988398.72,2376537.81
2020-06-16,25.58,25.72,25.25,25.72,31912,0.0055,0.0134,820776.64,2247716.56
2020-06-17,25.74,25.88,25.49,25.55,53078,-0.0074,-0.0066,1356142.9,2096040.25
2020-06-18,25.77,25.87,25.56,25.61,15309,-0.0062,0.0023,392063.49,1989602.57
2020-06-19,25.62,25.87,25.62,25.7,23041,0.0031,0.0035,592153.7,1312160.98
2020-06-22,25.53,25.74,25.48,25.73,32118,0.0078,0.0012,826396.14,959263.05
2020-06-23,25.74,25.75,25.66,25.7,15816,-0.0016,-0.0012,406471.2,984374.59
2020-06-24,25.62,25.75,25.48,25.6,18620,-0.0008,-0.0039,476672.0,830281.59
2020-06-25,25.6,25.74,25.47,25.73,11694,0.0051,0.0051,300886.62,811423.63
2020-06-26,25.72,25.72,25.51,25.54,17361,-0.007,-0.0074,443399.94,689267.82
2020-06-29,25.66,25.68,25.5,25.5,22280,-0.0062,-0.0016,568140.0,660336.14
2020-06-30,25.57,25.74,25.49,25.49,77657,-0.0031,-0.0004,1979476.93,618310.26
2020-07-01,25.64,25.69,25.6,25.64,3172,0.0,0.0059,81330.08,734180.29
2020-07-02,25.69,25.69,25.53,25.58,18906,-0.0043,-0.0023,483615.48,606699.01
2020-07-06,25.7,25.7,25.59,25.68,4888,-0.0008,0.0039,125523.84,615854.21
2020-07-07,25.75,25.8,25.64,25.8,19735,0.0019,0.0047,509163.0,569191.22
2020-07-08,25.8,25.88,25.7,25.77,15714,-0.0012,-0.0012,404949.78,537467.91
2020-07-09,25.79,25.85,25.62,25.65,18185,-0.0054,-0.0047,466445.25,537315.77
2020-07-10,25.74,25.78,25.52,25.7,25546,-0.0016,0.0019,656532.2,536293.09
2020-07-13,25.69,25.77,25.53,25.53,25822,-0.0062,-0.0066,659235.66,571857.65
2020-07-14,25.44,25.86,25.34,25.55,23255,0.0043,0.0008,594165.25,593441.22
2020-07-15,25.66,25.94,25.64,25.86,31868,0.0078,0.0121,824106.48,596043.75
2020-07-16,25.86,26.08,25.84,26.02,26413,0.0062,0.0062,687266.26,480506.7
2020-07-17,25.99,26.02,25.85,26.02,15046,0.0012,0.0,391496.92,541100.32
2020-07-20,25.94,26.36,25.94,26.23,22210,0.0112,0.0081,582568.3,531888.46
2020-07-21,26.23,26.4,26.2,26.35,12274,0.0046,0.0046,323419.9,577592.91
2020-07-22,26.29,26.4,26.29,26.39,11713,0.0038,0.0015,309106.07,559018.6
2020-07-23,26.4,26.55,26.4,26.55,14360,0.0057,0.0061,381258.0,549434.23
2020-07-24,26.56,26.56,26.2,26.21,38171,-0.0132,-0.0128,1000461.91,540915.5
2020-07-27,26.46,26.46,26.21,26.43,20248,-0.0011,0.0084,535154.64,575308.48
2020-07-28,26.43,26.55,26.35,26.38,8186,-0.0019,-0.0019,215946.68,562900.37
2020-07-29,26.49,26.71,26.41,26.48,23868,-0.0004,0.0038,632024.64,525078.52
2020-07-30,26.42,26.82,26.41,26.63,28635,0.0079,0.0057,762550.05,505870.33
2020-07-31,26.51,26.84,26.37,26.77,26729,0.0098,0.0053,715535.33,513398.71
2020-08-03,26.8,26.81,26.37,26.37,14578,-0.016,-0.0149,384421.86,545802.55
2020-08-04,26.52,26.83,26.52,26.83,10487,0.0117,0.0174,281366.21,525987.91
2020-08-05,26.83,26.83,26.49,26.8,6114,-0.0011,-0.0011,163855.2,521782.54
2020-08-06,26.55,26.79,26.52,26.55,18866,0.0,-0.0093,500892.3,507257.45
2020-08-07,26.49,26.57,26.33,26.57,16581,0.003,0.0008,440557.17,519220.88
2020-08-10,26.6,26.65,26.41,26.65,11109,0.0019,0.003,296054.85,463230.41
2020-08-11,26.65,26.85,26.54,26.84,17994,0.0071,0.0071,482958.96,439320.43
2020-08-12,26.8,26.95,26.63,26.7,45886,-0.0037,-0.0052,1225156.2,466021.66
2020-08-13,26.69,26.95,26.51,26.89,44431,0.0075,0.0071,1194749.59,525334.81
2020-08-14,26.71,26.89,26.69,26.81,11628,0.0037,-0.003,311746.68,568554.77
2020-08-17,26.75,26.9,26.7,26.77,19264,0.0007,-0.0015,515697.28,528175.9
