Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2017-06-22,95.0,104.0,95.0,98.4,22895,0.0358,,2252868.0,
2017-06-23,97.8,101.3,96.2,99.0,4045,0.0123,0.0061,400455.0,
2017-06-26,102.0,102.0,96.4,97.0,7395,-0.049,-0.0202,717315.0,
2017-06-27,96.4,98.08,95.2,96.0,1535,-0.0041,-0.0103,147360.0,
2017-06-28,96.0,99.0,95.0,98.0,2180,0.0208,0.0208,213640.0,
2017-06-29,98.0,104.0,86.0,88.4,32635,-0.098,-0.098,2884934.0,
2017-06-30,92.0,94.0,92.0,94.0,3745,0.0217,0.0633,352030.0,
2017-07-03,93.0,93.8,90.4,93.4,2225,0.0043,-0.0064,207815.0,
2017-07-05,92.0,96.2,90.2,95.8,2635,0.0413,0.0257,252433.0,
2017-07-06,100.0,100.6,92.2,95.6,9665,-0.044,-0.0021,923974.0,
2017-07-07,94.4,101.6,91.0,97.4,13225,0.0318,0.0188,1288115.0,835282.4
2017-07-10,99.0,117.0,96.0,100.8,59360,0.0182,0.0349,5983488.0,738807.1
2017-07-11,99.8,102.0,97.0,101.0,3215,0.012,0.002,324715.0,1297110.4
2017-07-12,99.8,102.04,93.6,99.0,3235,-0.008,-0.0198,320265.0,1257850.4
2017-07-13,98.0,98.0,92.0,96.8,4900,-0.0122,-0.0222,474320.0,1275140.9
2017-07-14,96.2,96.6,95.0,95.2,640,-0.0104,-0.0165,60928.0,1301208.9
2017-07-17,96.0,97.12,93.9,97.0,1070,0.0104,0.0189,103790.0,1018808.3
2017-07-18,97.2,97.2,89.0,90.0,5605,-0.0741,-0.0722,504450.0,993984.3
2017-07-19,90.2,92.6,86.6,87.0,3630,-0.0355,-0.0333,315810.0,1023647.8
2017-07-20,87.4,87.4,81.2,84.2,5035,-0.0366,-0.0322,423947.0,1029985.5
2017-07-21,85.0,90.0,85.0,87.2,2115,0.0259,0.0356,184428.0,979982.8
2017-07-24,86.4,91.8,86.32,88.0,4175,0.0185,0.0092,367400.0,869614.1
2017-07-25,86.6,86.6,83.6,85.0,1170,-0.0185,-0.0341,99450.0,308005.3
2017-07-26,83.8,85.2,76.0,76.4,2520,-0.0883,-0.1012,192528.0,285478.8
2017-07-27,78.0,83.0,76.8,80.4,2075,0.0308,0.0524,166830.0,272705.1
2017-07-28,82.0,85.8,74.0,75.0,3230,-0.0854,-0.0672,242250.0,241956.1
2017-07-31,76.8,78.86,75.0,78.0,1395,0.0156,0.04,108810.0,260088.3
2017-08-01,77.2,79.0,76.0,76.0,2870,-0.0155,-0.0256,218120.0,260590.3
2017-08-02,76.0,78.0,76.0,77.2,925,0.0158,0.0158,71410.0,231957.3
2017-08-03,76.0,78.0,76.0,76.4,1570,0.0053,-0.0104,119948.0,207517.3
2017-08-04,79.2,83.0,77.08,81.0,2190,0.0227,0.0602,177390.0,177117.4
2017-08-07,82.0,85.66,78.88,79.0,2675,-0.0366,-0.0247,211325.0,176413.6
2017-08-08,78.0,83.2,78.0,83.0,435,0.0641,0.0506,36105.0,160806.1
2017-08-09,81.9,90.0,81.9,90.0,885,0.0989,0.0843,79650.0,154471.6
2017-08-10,89.8,89.8,76.2,87.6,1260,-0.0245,-0.0267,110376.0,143183.8
2017-08-11,79.4,87.6,79.04,80.4,285,0.0126,-0.0822,22914.0,137538.4
2017-08-14,81.8,88.8,78.0,88.2,2060,0.0782,0.097,181692.0,115604.8
2017-08-15,88.8,88.8,84.0,88.0,735,-0.009,-0.0023,64680.0,122893.0
2017-08-16,87.8,87.8,79.6,83.4,1950,-0.0501,-0.0523,162630.0,107549.0
2017-08-17,82.4,86.6,78.6,79.8,1585,-0.0316,-0.0432,126483.0,116671.0
2017-08-18,79.8,84.0,76.0,79.0,2450,-0.01,-0.01,193550.0,117324.5
2017-08-21,78.0,81.6,76.0,77.0,1135,-0.0128,-0.0253,87395.0,118940.5
2017-08-22,77.2,78.8,76.0,78.8,505,0.0207,0.0234,39794.0,106547.5
2017-08-23,78.86,79.38,78.74,78.8,545,-0.0008,0.0,42946.0,106916.4
2017-08-24,78.0,78.6,76.0,77.8,485,-0.0026,-0.0127,37733.0,103246.0
2017-08-25,77.0,77.0,76.0,76.2,290,-0.0104,-0.0206,22098.0,95981.7
2017-08-28,77.0,77.8,75.0,76.0,2120,-0.013,-0.0026,161120.0,95900.1
2017-08-29,76.8,77.0,76.2,77.0,220,0.0026,0.0132,16940.0,93842.9
2017-08-30,76.96,77.0,76.0,77.0,665,0.0005,0.0,51205.0,89068.9
2017-08-31,77.0,77.0,76.0,77.0,205,0.0,0.0,15785.0,77926.4
2017-09-01,76.38,76.6,76.0,76.2,355,-0.0024,-0.0104,27051.0,66856.6
2017-09-05,76.4,83.0,76.0,80.0,870,0.0471,0.0499,69600.0,50206.7
2017-09-06,77.2,83.8,77.2,83.8,580,0.0855,0.0475,48604.0,48427.2
2017-09-07,84.0,94.0,82.6,87.0,3335,0.0357,0.0382,290145.0,49308.2
2017-09-08,91.2,98.6,86.0,95.6,2320,0.0482,0.0989,221792.0,74028.1
2017-09-11,90.0,102.0,90.0,94.8,2845,0.0533,-0.0084,269706.0,92434.0
2017-09-12,95.4,100.4,95.18,99.4,2940,0.0419,0.0485,292236.0,117194.8
2017-09-13,99.8,100.0,97.0,99.4,1285,-0.004,0.0,127729.0,130306.4
2017-09-14,98.6,99.8,97.6,98.8,1195,0.002,-0.006,118066.0,141385.3
2017-09-15,95.64,99.0,89.8,89.8,1085,-0.0611,-0.0911,97433.0,148071.4
2017-09-18,89.8,98.0,87.2,93.0,1775,0.0356,0.0356,165075.0,156236.2
2017-09-19,93.6,94.0,91.0,91.0,1820,-0.0278,-0.0215,165620.0,170038.6
2017-09-20,92.0,94.0,90.0,94.0,1055,0.0217,0.033,99170.0,179640.6
2017-09-21,94.0,94.0,94.0,94.0,0,0.0,0.0,0.0,184697.2
2017-09-22,97.2,98.0,94.8,98.0,735,0.0082,0.0426,72030.0,155682.7
2017-09-25,99.8,99.8,92.0,94.4,2585,-0.0541,-0.0367,244024.0,140706.5
2017-09-26,94.02,94.02,92.0,92.0,315,-0.0215,-0.0254,28980.0,138138.3
2017-09-27,93.4,93.4,87.4,89.8,1395,-0.0385,-0.0239,125271.0,111812.7
2017-09-28,87.4,87.4,85.0,86.4,350,-0.0114,-0.0379,30240.0,111566.9
2017-09-29,87.2,89.04,85.6,85.6,330,-0.0183,-0.0093,28248.0,102784.3
2017-10-02,86.0,87.0,84.0,86.0,855,0.0,0.0047,73530.0,95865.8
2017-10-03,92.0,109.58,92.0,105.6,13385,0.1478,0.2279,1413456.0,86711.3
2017-10-04,108.0,118.0,107.64,112.0,8655,0.037,0.0606,969360.0,211494.9
2017-10-05,112.0,124.2,110.0,112.0,7670,0.0,0.0,859040.0,298513.9
2017-10-06,110.0,111.8,106.2,108.0,1240,-0.0182,-0.0357,133920.0,384417.9
2017-10-09,105.72,112.6,102.0,108.8,2185,0.0291,0.0074,237728.0,390606.9
2017-10-10,114.0,119.8,107.42,108.0,2725,-0.0526,-0.0074,294300.0,389977.3
2017-10-11,107.8,108.0,102.8,103.2,440,-0.0427,-0.0444,45408.0,416509.3
2017-10-12,102.2,110.68,102.2,107.6,610,0.0528,0.0426,65636.0,408523.0
2017-10-13,108.0,108.0,104.6,106.8,730,-0.0111,-0.0074,77964.0,412062.6
2017-10-16,109.4,114.0,105.0,108.6,2605,-0.0073,0.0169,282903.0,417034.2
2017-10-17,114.0,114.0,106.2,113.0,915,-0.0088,0.0405,103395.0,437971.5
2017-10-18,113.92,128.0,112.0,123.6,9105,0.085,0.0938,1125378.0,306965.4
2017-10-19,123.6,125.26,115.12,117.8,2090,-0.0469,-0.0469,246202.0,322567.2
2017-10-20,119.8,119.8,117.8,118.66,305,-0.0095,0.0073,36191.3,261283.4
2017-10-23,120.2,129.58,119.0,120.0,4495,-0.0017,0.0113,539400.0,251510.53
2017-10-24,122.0,139.98,120.0,127.4,3985,0.0443,0.0617,507689.0,281677.73
2017-10-25,126.8,130.88,118.8,120.54,3240,-0.0494,-0.0538,390549.6,303016.63
2017-10-26,121.6,121.8,115.22,120.0,2070,-0.0132,-0.0045,248400.0,337530.79
2017-10-27,118.6,122.2,117.4,119.4,1275,0.0067,-0.005,152235.0,355807.19
2017-10-30,118.0,118.8,115.0,116.4,565,-0.0136,-0.0251,65766.0,363234.29
2017-10-31,116.16,116.94,112.0,112.2,1190,-0.0341,-0.0361,133518.0,341520.59
2017-11-01,112.0,113.0,102.2,105.2,2360,-0.0607,-0.0624,248272.0,344532.89
2017-11-02,104.0,111.4,104.0,111.4,1580,0.0712,0.0589,176012.0,256822.29
2017-11-03,111.4,113.4,106.4,112.4,2865,0.009,0.009,322026.0,249803.29
2017-11-06,111.6,113.4,107.2,112.0,1005,0.0036,-0.0036,112560.0,278386.76
2017-11-07,112.0,112.8,109.0,112.0,375,0.0,0.0,42000.0,235702.76
2017-11-08,111.2,112.8,109.0,112.0,515,0.0072,0.0,57680.0,189133.86
2017-11-09,109.0,112.0,104.14,111.6,630,0.0239,-0.0036,70308.0,155846.9
2017-11-10,110.6,112.0,104.2,112.0,265,0.0127,0.0036,29680.0,138037.7
2017-11-13,111.2,111.2,105.2,108.8,710,-0.0216,-0.0286,77248.0,125782.2
2017-11-14,105.0,108.0,104.2,107.4,1585,0.0229,-0.0129,170229.0,126930.4
