Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,45.57,45.66,45.37,45.57,2052800,0.0,,93546096.0,
2003-12-02,45.96,46.1,45.81,45.96,1939200,0.0,0.0086,89125632.0,
2003-12-03,46.23,46.53,46.17,46.23,1909000,0.0,0.0059,88253070.0,
2003-12-04,46.51,46.55,45.88,46.51,3480300,0.0,0.0061,161868753.0,
2003-12-05,46.45,46.64,46.27,46.45,2228800,0.0,-0.0013,103527760.0,
2003-12-08,46.88,46.93,46.5,46.88,1738300,0.0,0.0093,81491504.0,
2003-12-09,47.5,47.88,47.47,47.5,2731700,0.0,0.0132,129755750.0,
2003-12-10,47.5,47.8,47.38,47.5,1716300,0.0,0.0,81524250.0,
2003-12-11,48.17,48.25,47.42,48.17,1965700,0.0,0.0141,94687769.0,
2003-12-12,48.45,48.47,48.04,48.45,1559700,0.0,0.0058,75567465.0,
2003-12-15,47.94,48.47,47.9,47.94,1935400,0.0,-0.0105,92783076.0,99934804.9
2003-12-16,48.75,48.87,48.32,48.75,1989700,0.0,0.0169,96997875.0,99858502.9
2003-12-17,49.75,49.8,49.15,49.75,2172700,0.0,0.0205,108091825.0,100645727.2
2003-12-18,50.8,50.93,50.11,50.8,2794200,0.0,0.0211,141945360.0,102629602.7
2003-12-19,50.83,51.06,50.62,50.83,2065000,0.0,0.0006,104963950.0,100637263.4
2003-12-22,50.94,51.1,50.75,50.94,1543200,0.0,0.0022,78610608.0,100780882.4
2003-12-23,50.8,50.83,50.41,50.8,1486300,0.0,-0.0027,75504040.0,100492792.8
2003-12-24,50.97,51.14,50.74,50.97,1158400,0.0,0.0033,59043648.0,95067621.8
2003-12-26,51.18,51.28,50.93,51.18,561400,0.0,0.0041,28732452.0,92819561.6
2003-12-29,51.78,51.84,51.45,51.78,1629900,0.0,0.0117,84396222.0,86224029.9
2003-12-30,52.24,52.28,51.9,52.24,1405900,0.0,0.0089,73444216.0,87106905.6
2003-12-31,52.39,52.7,52.36,52.39,1323400,0.0,0.0029,69332926.0,85173019.6
2004-01-02,52.75,53.01,52.6,52.75,1879900,0.0,0.0069,99164725.0,82406524.7
2004-01-05,53.53,53.6,52.7,53.53,2421000,0.0,0.0148,129596130.0,81513814.7
2004-01-06,53.85,54.0,53.57,53.85,2858300,0.0,0.006,153919455.0,80278891.7
2004-01-07,52.65,52.78,52.31,52.65,2963100,0.0,-0.0223,156007215.0,85174442.2
2004-01-08,52.76,52.87,52.31,52.76,1860600,0.0,0.0021,98165256.0,92914102.9
2004-01-09,48.61,49.25,48.07,48.61,20908100,0.0,-0.0787,1016342741.0,95180224.5
2004-01-12,48.97,49.28,48.38,48.97,6582900,0.0,0.0074,322364613.0,190910133.8
2004-01-13,48.5,48.76,48.35,48.5,3815400,0.0,-0.0096,185046900.0,220273349.9
2004-01-14,48.0,48.19,47.59,48.0,4194300,0.0,-0.0103,201326400.0,230338417.7
2004-01-15,47.42,47.8,46.78,47.42,3708000,0.0,-0.0121,175833360.0,243126636.1
2004-01-16,47.0,47.14,46.66,47.0,3860300,0.0,-0.0089,181434100.0,253776679.5
2004-01-20,48.01,48.1,47.48,48.01,3569500,0.0,0.0215,171371695.0,262003617.0
2004-01-21,48.53,48.72,48.18,48.53,3361400,0.0,0.0108,163128742.0,266181173.5
2004-01-22,48.23,48.85,48.0,48.23,3456200,0.0,-0.0062,166692526.0,267102102.2
2004-01-23,47.97,48.31,47.7,47.97,3272200,0.0,-0.0054,156967434.0,268170633.3
2004-01-26,48.1,48.11,47.47,48.1,4044600,0.0,0.0027,194545260.0,274050851.1
2004-01-27,48.24,48.35,47.92,48.24,2717300,0.0,0.0029,131082552.0,191871103.0
2004-01-28,47.83,48.45,47.75,47.83,3466400,0.0,-0.0085,165797912.0,172742896.9
2004-01-29,47.8,47.98,47.4,47.8,4124700,0.0,-0.0006,197160660.0,170817998.1
2004-01-30,47.4,47.48,47.04,47.4,3268500,0.0,-0.0084,154926900.0,170401424.1
2004-02-02,47.46,47.68,46.96,47.46,2505500,0.0,0.0013,118911030.0,168310778.1
2004-02-03,47.93,48.04,47.45,47.93,2960000,0.0,0.0099,141872800.0,162058471.1
2004-02-04,47.55,47.82,47.34,47.55,3021200,0.0,-0.0079,143658060.0,159108581.6
2004-02-05,47.06,47.39,46.96,47.06,3766300,0.0,-0.0103,177242078.0,157161513.4
2004-02-06,46.57,46.79,46.39,46.57,4593900,0.0,-0.0104,213937923.0,158216468.6
2004-02-09,47.53,47.61,46.65,47.53,4592300,0.0,0.0206,218272019.0,163913517.5
2004-02-10,47.88,47.98,46.88,47.88,4650700,0.0,0.0074,222675516.0,166286193.4
2004-02-11,48.15,48.2,47.32,48.15,3354000,0.0,0.0056,161495100.0,175445489.8
2004-02-12,47.88,48.09,47.57,47.88,2431000,0.0,-0.0056,116396280.0,175015208.6
2004-02-13,47.72,48.17,47.38,47.72,2930800,0.0,-0.0033,139857776.0,166938770.6
2004-02-17,48.47,48.62,48.09,48.47,2067200,0.0,0.0157,100197184.0,165431858.2
2004-02-18,47.76,48.38,47.75,47.76,1257400,0.0,-0.0146,60053424.0,163560473.6
2004-02-19,48.5,48.84,48.05,48.5,3963500,0.0,0.0155,192229750.0,155378536.0
2004-02-20,48.4,49.0,48.17,48.4,3929900,0.0,-0.0021,190207160.0,160235705.0
2004-02-23,48.92,49.02,48.77,48.92,2843300,0.0,0.0107,139094236.0,161532213.2
2004-02-24,48.73,49.0,48.65,48.73,1978800,0.0,-0.0039,96426924.0,154047844.5
2004-02-25,48.8,48.91,48.57,48.8,2988700,0.0,0.0014,145848560.0,141863335.0
2004-02-26,49.28,49.39,48.92,49.28,1856700,0.0,0.0098,91498176.0,134180639.4
2004-02-27,49.59,49.72,49.24,49.59,1921400,0.0,0.0063,95282226.0,127180947.0
2004-03-01,50.61,50.72,49.93,50.61,3430700,0.0,0.0206,173627727.0,125069541.6
2004-03-02,49.64,50.23,49.63,49.64,3606700,0.0,-0.0192,179036588.0,128446536.7
2004-03-03,50.65,51.2,49.9,50.65,6810800,0.0,0.0203,344967020.0,136330477.1
2004-03-04,50.2,50.5,49.57,50.2,4876700,0.0,-0.0089,244810340.0,164821836.7
2004-03-05,50.23,50.39,49.79,50.23,3746000,0.0,0.0006,188161580.0,170079895.7
2004-03-08,50.44,50.65,50.29,50.44,3765300,0.0,0.0042,189921732.0,169875337.7
