Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2021-05-12,25.0,25.0,24.91,24.99,763585,-0.0004,,19081989.15,
2021-05-13,25.0,25.08,24.95,25.01,91290,0.0004,0.0008,2283162.9,
2021-05-14,25.0,25.3,25.0,25.25,83181,0.01,0.0096,2100320.25,
2021-05-17,25.15,25.59,25.15,25.57,28067,0.0167,0.0127,717673.19,
2021-05-18,25.57,25.92,25.18,25.86,95767,0.0113,0.0113,2476534.62,
2021-05-19,25.55,25.99,25.55,25.99,54639,0.0172,0.005,1420067.61,
2021-05-20,25.8,26.0,25.75,25.95,58852,0.0058,-0.0015,1527209.4,
2021-05-21,26.1,26.1,25.95,25.95,27501,-0.0057,0.0,713650.95,
2021-05-24,26.05,26.05,25.9,25.9,20043,-0.0058,-0.0019,519113.7,
2021-05-25,25.9,25.9,25.63,25.7,35878,-0.0077,-0.0077,922064.6,
2021-05-26,25.6,25.9,25.6,25.9,14089,0.0117,0.0078,364905.1,3176178.64
2021-05-27,27.13,27.13,25.93,26.14,118234,-0.0365,0.0093,3090636.76,1304470.23
2021-05-28,25.83,26.8,25.83,26.74,427411,0.0352,0.023,11428970.14,1385217.62
2021-06-01,26.69,26.81,26.46,26.5,124183,-0.0071,-0.009,3290849.5,2318082.61
2021-06-02,26.48,26.72,26.48,26.52,8392,0.0015,0.0008,222555.84,2575400.24
2021-06-03,26.58,26.78,26.39,26.53,9643,-0.0019,0.0004,255828.79,2350002.36
2021-06-04,26.62,26.62,26.39,26.39,9459,-0.0086,-0.0053,249623.01,2233578.48
2021-06-07,26.59,26.59,26.35,26.55,4500,-0.0015,0.0061,119475.0,2105819.84
2021-06-08,26.65,26.65,26.4,26.55,9318,-0.0038,0.0,247392.9,2046402.24
2021-06-09,26.6,26.6,26.45,26.45,1054,-0.0056,-0.0038,27878.3,2019230.16
2021-06-10,26.5,26.77,26.41,26.77,1870,0.0102,0.0121,50059.9,1929811.53
2021-06-11,26.8,26.89,26.62,26.67,8166,-0.0049,-0.0037,217787.22,1898327.01
2021-06-14,26.89,26.89,26.46,26.77,6940,-0.0045,0.0037,185783.8,1611042.06
2021-06-15,26.74,27.0,26.46,26.6,4352,-0.0052,-0.0064,115763.2,486723.43
2021-06-16,26.5,26.6,26.43,26.43,9714,-0.0026,-0.0064,256741.02,169214.8
2021-06-17,26.5,26.9,26.44,26.88,6188,0.0143,0.017,166333.44,172633.31
2021-06-18,26.92,27.0,26.55,26.98,1462,0.0022,0.0037,39444.76,163683.78
2021-06-21,26.77,26.98,26.55,26.78,7483,0.0004,-0.0074,200394.74,142665.95
2021-06-22,26.84,27.0,26.84,27.0,6668,0.006,0.0082,180036.0,150757.93
2021-06-23,27.0,27.0,27.0,27.0,1916,0.0,0.0,51732.0,144022.24
2021-06-24,26.66,26.71,26.66,26.67,8042,0.0004,-0.0122,214480.14,146407.61
2021-06-25,26.74,26.99,26.61,26.81,6221,0.0026,0.0052,166785.01,162849.63
2021-06-28,26.83,27.38,26.83,27.0,30550,0.0063,0.0071,824850.0,157749.41
2021-06-29,26.96,27.25,26.96,27.13,5407,0.0063,0.0048,146691.91,221656.03
2021-06-30,27.6,28.41,27.58,28.39,45857,0.0286,0.0464,1301880.23,224748.9
2021-07-01,28.23,28.5,26.6,26.98,125371,-0.0443,-0.0497,3382509.58,329262.82
2021-07-02,26.98,27.11,26.72,26.83,1554,-0.0056,-0.0056,41693.82,650880.44
2021-07-06,26.8,27.23,26.72,26.95,17337,0.0056,0.0045,467232.15,651105.34
2021-07-07,27.3,27.39,27.03,27.24,13363,-0.0022,0.0108,364008.12,677789.08
