Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,35.65,36.33,35.21,36.13,14550,0.0135,,525691.5,
2003-12-02,36.37,36.43,36.03,36.33,7350,-0.0011,0.0055,267025.5,
2003-12-03,36.33,36.99,36.0,36.3,2700,-0.0008,-0.0008,98010.0,
2003-12-04,36.38,36.48,36.03,36.48,3300,0.0027,0.005,120384.0,
2003-12-05,36.48,37.31,36.17,36.29,4050,-0.0052,-0.0052,146974.5,
2003-12-08,36.58,36.58,36.03,36.29,5550,-0.0079,0.0,201409.5,
2003-12-09,37.0,37.0,35.45,36.67,1500,-0.0089,0.0105,55005.0,
2003-12-10,35.55,36.5,35.55,36.17,4950,0.0174,-0.0136,179041.5,
2003-12-11,35.52,35.52,35.13,35.13,12900,-0.011,-0.0288,453177.0,
2003-12-12,35.37,35.67,34.67,35.67,1950,0.0085,0.0154,69556.5,
2003-12-15,35.67,35.67,34.8,34.8,4500,-0.0244,-0.0244,156600.0,211627.5
2003-12-16,34.59,34.73,34.01,34.4,4200,-0.0055,-0.0115,144480.0,174718.35
2003-12-17,34.33,34.73,34.33,34.33,2400,0.0,-0.002,82392.0,162463.8
2003-12-18,34.39,35.4,34.39,35.07,6450,0.0198,0.0216,226201.5,160902.0
2003-12-19,35.37,35.73,35.37,35.6,4200,0.0065,0.0151,149520.0,171483.75
2003-12-22,35.83,36.0,35.67,35.67,2400,-0.0045,0.002,85608.0,171738.3
2003-12-23,35.67,35.81,35.33,35.33,3150,-0.0095,-0.0095,111289.5,160158.15
2003-12-24,36.5,36.5,36.5,36.5,900,0.0,0.0331,32850.0,165786.6
2003-12-26,36.75,36.9,36.75,36.9,600,0.0041,0.011,22140.0,151167.45
2003-12-29,36.85,37.23,35.93,37.23,2550,0.0103,0.0089,94936.5,108063.75
2003-12-30,36.93,37.33,36.93,37.33,3150,0.0108,0.0027,117589.5,110601.75
2003-12-31,37.0,37.97,37.0,37.3,3300,0.0081,-0.0008,123090.0,106700.7
2004-01-02,36.46,37.96,36.46,37.0,2250,0.0148,-0.008,83250.0,104561.7
2004-01-05,38.07,38.07,37.71,37.77,1350,-0.0079,0.0208,50989.5,104647.5
2004-01-06,37.41,37.86,37.41,37.86,1050,0.012,0.0024,39753.0,87126.3
2004-01-07,37.67,38.67,37.67,38.01,2100,0.009,0.004,79821.0,76149.6
2004-01-08,37.33,38.33,36.34,38.33,3150,0.0268,0.0084,120739.5,75570.9
2004-01-09,38.17,38.33,36.36,38.33,1650,0.0042,0.0,63244.5,76515.9
2004-01-12,37.04,37.33,36.56,37.33,3600,0.0078,-0.0261,134388.0,79555.35
2004-01-13,37.33,37.33,37.0,37.0,2250,-0.0088,-0.0088,83250.0,90780.15
2004-01-14,37.0,37.21,36.73,36.87,2100,-0.0035,-0.0035,77427.0,89611.5
2004-01-15,36.87,37.19,36.17,36.17,3300,-0.019,-0.019,119361.0,85595.25
2004-01-16,36.62,37.19,36.0,37.19,3000,0.0156,0.0282,111570.0,85222.35
2004-01-20,36.67,36.67,36.67,36.67,1200,0.0,-0.014,44004.0,88054.35
2004-01-21,37.46,37.46,36.97,37.19,4650,-0.0072,0.0142,172933.5,87355.8
2004-01-22,37.19,37.19,36.67,36.83,2400,-0.0097,-0.0097,88392.0,100673.85
2004-01-23,36.67,36.67,36.67,36.67,2700,0.0,-0.0043,99009.0,101530.95
2004-01-26,36.33,36.67,35.97,36.67,1500,0.0094,0.0,55005.0,99357.9
2004-01-27,35.67,35.67,34.7,35.18,4350,-0.0137,-0.0406,153033.0,98533.95
2004-01-28,35.77,35.77,34.67,34.69,5850,-0.0302,-0.0139,202936.5,100398.45
2004-01-29,34.83,35.95,34.83,35.33,1950,0.0144,0.0184,68893.5,112367.1
2004-01-30,35.03,35.33,34.67,34.9,3450,-0.0037,-0.0122,120405.0,111513.75
2004-02-02,35.39,36.13,34.97,35.97,2400,0.0164,0.0307,86328.0,111618.15
2004-02-03,35.83,35.9,35.6,35.9,4800,0.002,-0.0019,172320.0,109093.95
2004-02-04,35.33,35.8,35.33,35.33,2850,0.0,-0.0159,100690.5,121925.55
2004-02-05,35.9,36.37,35.9,36.37,3000,0.0131,0.0294,109110.0,114701.25
2004-02-06,36.4,37.17,36.4,37.17,3150,0.0212,0.022,117085.5,116773.05
2004-02-09,37.39,37.6,37.01,37.6,2850,0.0056,0.0116,107160.0,118580.7
2004-02-10,37.59,37.59,37.59,37.59,1050,0.0,-0.0003,39469.5,123796.2
2004-02-11,36.73,38.03,36.73,37.13,10800,0.0109,-0.0122,401004.0,112439.85
2004-02-12,37.99,38.0,37.0,37.73,3750,-0.0068,0.0162,141487.5,132246.6
2004-02-13,37.37,37.87,36.43,37.53,7650,0.0043,-0.0053,287104.5,139506.0
2004-02-17,38.0,38.33,37.67,37.67,8100,-0.0087,0.0037,305127.0,156175.95
2004-02-18,38.08,38.73,37.9,38.4,2550,0.0084,0.0194,97920.0,178055.85
2004-02-19,39.33,39.33,39.33,39.33,900,0.0,0.0242,35397.0,170615.85
2004-02-20,39.32,39.33,38.5,39.33,1200,0.0003,0.0,47196.0,164086.5
2004-02-23,38.98,39.33,38.17,39.33,2700,0.009,0.0,106191.0,157895.1
2004-02-24,39.02,39.2,38.04,39.2,3450,0.0046,-0.0033,135240.0,156805.65
2004-02-25,38.66,38.83,38.66,38.83,1500,0.0044,-0.0094,58245.0,159613.65
2004-02-26,39.13,39.13,38.68,38.68,900,-0.0115,-0.0039,34812.0,161491.2
2004-02-27,37.99,38.5,37.47,37.47,8700,-0.0137,-0.0313,325989.0,124872.0
2004-03-01,38.83,39.55,38.83,39.55,3300,0.0185,0.0555,130515.0,143322.15
2004-03-02,39.55,39.55,39.55,39.55,1350,0.0,0.0,53392.5,127663.2
2004-03-03,39.33,39.33,37.6,38.67,6750,-0.0168,-0.0223,261022.5,102489.75
2004-03-04,38.59,39.07,38.59,39.03,3750,0.0114,0.0093,146362.5,118800.0
2004-03-05,39.65,39.67,39.62,39.62,3600,-0.0008,0.0151,142632.0,129896.55
2004-03-08,40.0,40.33,39.68,40.33,3900,0.0082,0.0179,157287.0,139440.15
2004-03-09,40.33,40.33,40.33,40.33,1200,0.0,0.0,48396.0,144549.75
2004-03-10,38.83,40.33,38.83,39.49,2400,0.017,-0.0208,94776.0,135865.35
2004-03-11,38.73,40.19,38.0,38.0,2100,-0.0188,-0.0377,79800.0,139518.45
2004-03-12,37.35,39.99,37.35,39.33,1500,0.053,0.035,58995.0,144017.25
2004-03-15,38.79,38.79,37.67,38.27,4500,-0.0134,-0.027,172215.0,117317.85
2004-03-16,38.1,38.1,38.1,38.1,1200,0.0,-0.0044,45720.0,121487.85
2004-03-17,37.67,39.33,37.67,38.33,2250,0.0175,0.006,86242.5,120720.6
2004-03-18,38.67,39.99,38.67,39.93,9300,0.0326,0.0417,371349.0,103242.6
2004-03-19,40.38,40.89,40.01,40.33,157350,-0.0012,0.01,6345925.5,125741.25
2004-03-22,39.87,40.33,39.33,39.33,17550,-0.0135,-0.0248,690241.5,746070.6
2004-03-23,39.76,40.39,39.67,39.83,4800,0.0018,0.0127,191184.0,799366.05
2004-03-24,40.15,40.73,40.15,40.73,1500,0.0144,0.0226,61095.0,813644.85
2004-03-25,39.77,41.11,39.77,40.5,3000,0.0184,-0.0056,121500.0,810276.75
2004-03-26,40.2,41.13,40.2,40.33,1200,0.0032,-0.0042,48396.0,814446.75
2004-03-29,40.58,41.13,39.75,40.0,4650,-0.0143,-0.0082,186000.0,813386.85
2004-03-30,40.73,40.73,40.73,40.73,1950,0.0,0.0182,79423.5,814765.35
2004-03-31,40.32,41.33,40.32,41.33,1200,0.025,0.0147,49596.0,818135.7
2004-04-01,41.33,41.99,41.33,41.53,7200,0.0048,0.0048,299016.0,814471.05
2004-04-02,41.33,42.66,41.33,42.39,10500,0.0256,0.0207,445095.0,807237.75
2004-04-05,41.05,42.67,40.77,42.59,11400,0.0375,0.0047,485526.0,217154.7
2004-04-06,42.19,42.63,42.19,42.63,2250,0.0104,0.0009,95917.5,196683.15
2004-04-07,41.3,42.11,41.0,42.11,1800,0.0196,-0.0122,75798.0,187156.5
2004-04-08,42.45,42.66,42.33,42.6,3300,0.0035,0.0116,140580.0,188626.8
2004-04-12,41.33,42.66,41.2,42.66,2550,0.0322,0.0014,108783.0,190534.8
2004-04-13,42.27,42.27,42.11,42.13,3150,-0.0033,-0.0124,132709.5,196573.5
2004-04-14,40.37,41.09,40.33,40.33,2850,-0.001,-0.0427,114940.5,191244.45
2004-04-15,41.65,41.73,41.11,41.47,2100,-0.0043,0.0283,87087.0,194796.15
2004-04-16,40.96,42.29,40.96,41.83,1350,0.0212,0.0087,56470.5,198545.25
2004-04-19,42.66,42.66,42.0,42.0,1200,-0.0155,0.0041,50400.0,174290.7
2004-04-20,41.37,42.35,41.04,42.35,1500,0.0237,0.0083,63525.0,134821.2
2004-04-21,41.62,42.5,41.53,41.8,3900,0.0043,-0.013,163020.0,92621.1
2004-04-22,42.5,42.5,41.8,41.81,1800,-0.0162,0.0002,75258.0,99331.35
2004-04-23,42.42,42.43,42.27,42.27,3300,-0.0035,0.011,139491.0,99277.35
2004-04-26,43.13,43.32,42.79,42.8,3750,-0.0077,0.0125,160500.0,99168.45
2004-04-27,43.21,43.21,42.67,43.21,1500,0.0,0.0096,64815.0,104340.15
2004-04-28,43.73,43.73,43.07,43.07,2250,-0.0151,-0.0032,96907.5,97550.7
2004-04-29,42.31,43.83,42.31,42.71,4500,0.0095,-0.0084,192195.0,95747.4
2004-04-30,41.74,42.5,41.45,42.5,2100,0.0182,-0.0049,89250.0,106258.2
2004-05-03,42.67,42.67,42.0,42.6,2850,-0.0016,0.0024,121410.0,109536.15
2004-05-04,42.6,43.51,42.33,43.11,8100,0.012,0.012,349191.0,116637.15
2004-05-05,42.5,44.07,42.0,42.65,10050,0.0035,-0.0107,428632.5,145203.75
2004-05-06,41.55,41.55,40.99,41.31,3150,-0.0058,-0.0314,130126.5,171765.0
2004-05-07,41.23,41.23,40.01,40.01,2100,-0.0296,-0.0315,84021.0,177251.85
2004-05-10,39.47,39.54,38.5,39.54,7950,0.0018,-0.0117,314343.0,171704.85
2004-05-11,39.07,39.31,39.07,39.31,1800,0.0061,-0.0058,70758.0,187089.15
2004-05-12,39.11,39.52,38.13,39.37,14700,0.0066,0.0015,578739.0,187683.45
2004-05-13,39.38,39.38,39.38,39.38,1050,0.0,0.0003,41349.0,235866.6
2004-05-14,39.19,40.03,38.7,38.72,3000,-0.012,-0.0168,116160.0,220782.0
2004-05-17,38.46,38.46,38.46,38.46,1650,0.0,-0.0067,63459.0,223473.0
2004-05-18,39.99,39.99,39.87,39.87,1200,-0.003,0.0367,47844.0,217677.9
2004-05-19,40.89,40.89,40.89,40.89,1200,0.0,0.0256,49068.0,187543.2
2004-05-20,39.25,39.87,39.01,39.8,2550,0.014,-0.0267,101490.0,149586.75
2004-05-21,39.93,40.5,39.45,39.87,2250,-0.0015,0.0018,89707.5,146723.1
2004-05-24,40.37,40.93,39.61,39.64,4950,-0.0181,-0.0058,196218.0,147291.75
2004-05-25,40.03,41.37,40.03,40.67,2100,0.016,0.026,85407.0,135479.25
2004-05-26,41.06,41.4,40.5,40.53,2100,-0.0129,-0.0034,85113.0,136944.15
2004-05-27,42.0,42.33,41.27,42.3,2100,0.0071,0.0437,88830.0,87581.55
2004-05-28,42.33,43.15,42.33,43.11,21600,0.0184,0.0191,931176.0,92329.65
2004-06-01,43.11,43.11,42.8,43.0,1800,-0.0026,-0.0026,77400.0,173831.25
2004-06-02,42.67,43.66,42.67,43.66,1050,0.0232,0.0153,45843.0,175225.35
2004-06-03,43.5,43.5,42.51,42.51,2400,-0.0228,-0.0263,102024.0,175025.25
2004-06-04,43.62,43.73,43.4,43.46,3600,-0.0037,0.0223,156456.0,180320.85
2004-06-07,43.46,44.56,43.46,44.56,2400,0.0253,0.0253,106944.0,185817.45
2004-06-08,43.99,44.27,43.67,43.67,1350,-0.0073,-0.02,58954.5,187541.1
2004-06-09,43.67,43.67,43.56,43.59,5250,-0.0018,-0.0018,228847.5,173814.75
2004-06-10,40.0,43.19,40.0,43.19,11400,0.0797,-0.0092,492366.0,188158.8
2004-06-14,43.19,43.19,41.35,41.9,4500,-0.0299,-0.0299,188550.0,228884.1
2004-06-15,41.98,42.67,41.82,42.67,4200,0.0164,0.0184,179214.0,238856.1
2004-06-16,42.67,42.67,42.67,42.67,0,0.0,0.0,0.0,163659.9
2004-06-17,43.33,44.51,43.33,44.51,3750,0.0272,0.0431,166912.5,155919.9
2004-06-18,43.91,43.91,42.27,43.53,6450,-0.0087,-0.022,280768.5,168026.85
2004-06-21,45.53,45.53,44.17,44.17,900,-0.0299,0.0147,39753.0,185901.3
2004-06-22,41.43,43.76,41.43,43.76,2100,0.0562,-0.0093,91896.0,174231.0
2004-06-23,43.76,43.76,43.5,43.5,1050,-0.0059,-0.0059,45675.0,172726.2
2004-06-24,43.42,44.0,42.43,42.43,2100,-0.0228,-0.0246,89103.0,171398.25
2004-06-25,43.49,43.49,42.65,42.67,3750,-0.0189,0.0057,160012.5,157423.8
2004-06-28,43.9,43.9,42.56,42.67,49350,-0.028,0.0,2105764.5,124188.45
2004-06-29,42.53,42.53,42.2,42.27,22200,-0.0061,-0.0094,938394.0,315909.9
2004-06-30,41.57,44.23,41.57,42.87,17100,0.0313,0.0142,733077.0,391827.9
2004-07-01,42.39,43.0,41.67,42.13,19350,-0.0061,-0.0173,815215.5,465135.6
2004-07-02,43.05,43.05,42.17,42.17,1500,-0.0204,0.0009,63255.0,529965.9
2004-07-06,42.67,42.67,42.67,42.67,1050,0.0,0.0119,44803.5,508214.55
2004-07-07,42.65,42.65,42.0,42.0,1350,-0.0152,-0.0157,56700.0,508719.6
2004-07-08,42.0,42.19,41.28,42.19,2400,0.0045,0.0045,101256.0,505200.0
2004-07-09,40.67,41.47,40.67,41.47,2100,0.0197,-0.0171,87087.0,510758.1
2004-07-12,40.28,41.41,40.08,41.23,2700,0.0236,-0.0058,111321.0,510556.5
2004-07-13,40.2,40.59,39.67,39.67,5100,-0.0132,-0.0378,202317.0,505687.35
2004-07-14,41.0,41.18,41.0,41.18,600,0.0044,0.0381,24708.0,315342.6
2004-07-15,39.75,40.93,39.75,40.93,1950,0.0297,-0.0061,79813.5,223974.0
2004-07-16,41.04,41.44,41.04,41.44,1950,0.0097,0.0125,80808.0,158647.65
2004-07-19,40.11,40.95,40.11,40.95,900,0.0209,-0.0118,36855.0,85206.9
2004-07-20,39.42,40.84,39.42,40.84,1200,0.036,-0.0027,49008.0,82566.9
2004-07-21,40.0,40.41,39.73,40.41,4800,0.0102,-0.0105,193968.0,82987.35
2004-07-22,39.0,39.99,38.67,39.99,3750,0.0254,-0.0104,149962.5,96714.15
2004-07-23,39.3,39.65,39.3,39.65,1950,0.0089,-0.0085,77317.5,101584.8
2004-07-26,39.65,39.65,39.13,39.13,900,-0.0131,-0.0131,35217.0,100607.85
2004-07-27,39.55,39.66,38.89,39.66,1350,0.0028,0.0135,53541.0,92997.45
2004-07-28,39.27,39.27,38.87,38.93,3300,-0.0087,-0.0184,128469.0,78119.85
