Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,14.75,14.81,14.75,14.78,6000,0.002,,88680.0,
2003-12-02,14.85,14.9,14.85,14.86,12600,0.0007,0.0054,187236.0,
2003-12-03,14.82,14.86,14.78,14.78,6600,-0.0027,-0.0054,97548.0,
2003-12-04,14.74,14.74,14.58,14.62,4200,-0.0081,-0.0108,61404.0,
2003-12-05,14.58,14.62,14.58,14.62,4200,0.0027,0.0,61404.0,
2003-12-08,14.62,14.62,14.5,14.56,13800,-0.0041,-0.0041,200928.0,
2003-12-09,14.59,14.59,14.53,14.53,12000,-0.0041,-0.0021,174360.0,
2003-12-10,14.5,14.5,14.36,14.36,11400,-0.0097,-0.0117,163704.0,
2003-12-11,14.36,14.66,14.36,14.66,6000,0.0209,0.0209,87960.0,
2003-12-12,14.7,14.83,14.67,14.83,10800,0.0088,0.0116,160164.0,
2003-12-15,14.88,14.91,14.67,14.67,11400,-0.0141,-0.0108,167238.0,128338.8
2003-12-16,14.62,14.67,14.43,14.43,20400,-0.013,-0.0164,294372.0,136194.6
2003-12-17,14.48,14.5,14.1,14.23,24600,-0.0173,-0.0139,350058.0,146908.2
2003-12-18,14.27,14.79,14.27,14.79,31200,0.0364,0.0394,461448.0,172159.2
2003-12-19,14.78,14.78,14.62,14.62,10200,-0.0108,-0.0115,149124.0,212163.6
2003-12-22,14.66,14.75,14.57,14.57,6600,-0.0061,-0.0034,96162.0,220935.6
2003-12-23,14.62,14.62,14.5,14.57,12000,-0.0034,0.0,174840.0,210459.0
2003-12-24,14.53,14.53,14.5,14.5,2400,-0.0021,-0.0048,34800.0,210507.0
2003-12-26,14.54,14.67,14.54,14.62,12600,0.0055,0.0083,184212.0,197616.6
2003-12-29,14.66,14.83,14.66,14.83,5400,0.0116,0.0144,80082.0,207241.8
2003-12-30,14.88,14.95,14.88,14.95,12600,0.0047,0.0081,188370.0,199233.6
2003-12-31,14.95,14.95,14.88,14.88,6600,-0.0047,-0.0047,98208.0,201346.8
2004-01-02,14.88,14.88,14.83,14.85,3600,-0.002,-0.002,53460.0,181730.4
