Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2023-01-13,18.9,19.85,18.21,19.1,4172700,0.0106,,79698570.0,
2023-01-17,18.72,19.59,18.68,19.48,487300,0.0406,0.0199,9492604.0,
2023-01-18,19.45,19.72,18.68,19.03,340200,-0.0216,-0.0231,6474006.0,
2023-01-19,19.0,19.15,18.56,18.69,277800,-0.0163,-0.0179,5192082.0,
2023-01-20,18.8,18.8,17.5,18.53,279400,-0.0144,-0.0086,5177282.0,
2023-01-23,18.75,18.75,18.36,18.53,54700,-0.0117,0.0,1013591.0,
2023-01-24,18.38,18.55,18.2,18.49,72200,0.006,-0.0022,1334978.0,
2023-01-25,18.53,18.54,18.21,18.38,64200,-0.0081,-0.0059,1179996.0,
2023-01-26,18.61,19.11,18.33,18.93,92100,0.0172,0.0299,1743453.0,
2023-01-27,19.0,19.17,18.66,18.69,114800,-0.0163,-0.0127,2145612.0,
2023-01-30,18.5,18.65,18.38,18.54,58300,0.0022,-0.008,1080882.0,11345217.4
2023-01-31,18.4,18.72,18.3,18.51,130300,0.006,-0.0016,2411853.0,3483448.6
2023-02-01,18.31,18.9,18.02,18.7,168600,0.0213,0.0103,3152820.0,2775373.5
2023-02-02,18.66,19.0,18.28,18.93,250900,0.0145,0.0123,4749537.0,2443254.9
2023-02-03,18.74,19.27,18.57,19.1,136900,0.0192,0.009,2614790.0,2399000.4
2023-02-06,19.13,19.43,18.72,19.25,170400,0.0063,0.0079,3280200.0,2142751.2
2023-02-07,19.5,20.37,19.14,19.7,291600,0.0103,0.0234,5744520.0,2369412.1
2023-02-08,19.51,20.17,19.08,19.3,180200,-0.0108,-0.0203,3477860.0,2810366.3
2023-02-09,19.12,19.88,18.78,19.75,181300,0.0329,0.0233,3580675.0,3040152.7
2023-02-10,19.48,20.34,19.42,20.06,196100,0.0298,0.0157,3933766.0,3223874.9
2023-02-13,19.84,21.39,19.75,20.79,197200,0.0479,0.0364,4099788.0,3402690.3
2023-02-14,20.81,20.89,20.11,20.65,134800,-0.0077,-0.0067,2783620.0,3704580.9
2023-02-15,20.58,20.8,20.35,20.64,59300,0.0029,-0.0005,1223952.0,3741757.6
2023-02-16,20.5,20.69,20.08,20.08,66200,-0.0205,-0.0271,1329296.0,3548870.8
2023-02-17,20.09,20.57,19.38,19.67,92600,-0.0209,-0.0204,1821442.0,3206846.7
2023-02-21,19.41,19.44,18.65,19.03,152700,-0.0196,-0.0325,2905881.0,3127511.9
2023-02-22,19.0,19.11,18.8,19.06,119200,0.0032,0.0016,2271952.0,3090080.0
2023-02-23,19.01,19.28,18.65,18.88,74900,-0.0068,-0.0094,1414112.0,2742823.2
2023-02-24,18.87,19.11,18.26,19.11,129500,0.0127,0.0122,2474745.0,2536448.4
2023-02-27,19.24,19.35,18.84,19.3,336800,0.0031,0.0099,6500240.0,2425855.4
2023-02-28,19.39,19.84,19.2,19.52,142600,0.0067,0.0114,2783552.0,2682502.8
2023-03-01,19.4,19.84,18.55,19.54,122900,0.0072,0.001,2401466.0,2550879.2
2023-03-02,19.34,20.03,19.16,19.8,159000,0.0238,0.0133,3148200.0,2512663.8
2023-03-03,19.93,20.46,19.59,20.25,113600,0.0161,0.0227,2300400.0,2705088.6
2023-03-06,20.48,20.66,20.03,20.11,152400,-0.0181,-0.0069,3064764.0,2802199.0
2023-03-07,20.13,20.32,19.65,19.72,126000,-0.0204,-0.0194,2484720.0,2926531.2
2023-03-08,19.52,19.69,18.92,19.52,148300,0.0,-0.0101,2894816.0,2884415.1
2023-03-09,19.63,20.92,19.41,19.5,141200,-0.0066,-0.001,2753400.0,2946701.5
2023-03-10,19.27,19.72,18.68,18.85,160100,-0.0218,-0.0333,3017885.0,3080630.3
2023-03-13,18.51,18.82,17.56,17.92,189900,-0.0319,-0.0493,3403008.0,3134944.3
2023-03-14,18.31,19.49,17.88,19.09,207500,0.0426,0.0653,3961175.0,2825221.1
2023-03-15,18.71,18.71,17.96,18.14,195300,-0.0305,-0.0498,3542742.0,2942983.4
2023-03-16,17.82,18.8,17.82,18.73,198300,0.0511,0.0325,3714159.0,3057111.0
2023-03-17,18.82,19.13,18.25,18.42,1887400,-0.0213,-0.0166,34765908.0,3113706.9
2023-03-20,18.47,19.44,18.38,19.09,357300,0.0336,0.0364,6820857.0,6360257.7
2023-03-21,19.37,20.0,19.36,19.7,223000,0.017,0.032,4393100.0,6735867.0
2023-03-22,19.69,20.0,19.36,19.46,127800,-0.0117,-0.0122,2486988.0,6926705.0
2023-03-23,19.49,19.98,19.49,19.75,144300,0.0133,0.0149,2849925.0,6885922.2
2023-03-24,19.52,19.86,19.5,19.84,176300,0.0164,0.0046,3497792.0,6895574.7
2023-03-27,19.98,20.37,19.84,20.24,299800,0.013,0.0202,6067952.0,6943565.4
2023-03-28,20.21,20.84,20.13,20.81,311400,0.0297,0.0282,6480234.0,7210059.8
2023-03-29,21.11,22.03,20.55,21.06,592300,-0.0024,0.012,12473838.0,7461965.7
2023-03-30,21.26,21.8,20.91,21.52,397900,0.0122,0.0218,8562808.0,8355075.3
2023-03-31,21.7,22.02,20.02,21.87,233000,0.0078,0.0163,5095710.0,8839940.2
2023-04-03,21.87,22.0,20.29,20.54,365600,-0.0608,-0.0608,7509424.0,5872920.4
2023-04-04,20.53,20.53,19.71,20.17,329000,-0.0175,-0.018,6635930.0,5941777.1
2023-04-05,20.07,20.8,20.0,20.5,196800,0.0214,0.0164,4034400.0,6166060.1
2023-04-06,20.54,20.87,19.7,20.69,105800,0.0073,0.0093,2189002.0,6320801.3
2023-04-10,20.61,23.25,19.74,20.76,213700,0.0073,0.0034,4436412.0,6254709.0
