Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2012-08-09,24.93,25.02,24.8,24.92,390774,-0.0004,,9738088.08,
2012-08-10,25.0,25.08,24.83,24.85,195825,-0.006,-0.0028,4866251.25,
2012-08-13,24.95,25.0,24.8,24.83,496002,-0.0048,-0.0008,12315729.66,
2012-08-14,24.9,24.95,24.78,24.78,190385,-0.0048,-0.002,4717740.3,
2012-08-15,24.87,24.87,24.77,24.77,214143,-0.004,-0.0004,5304322.11,
2012-08-16,24.85,24.85,24.72,24.72,150056,-0.0052,-0.002,3709384.32,
2012-08-17,24.77,24.86,24.62,24.75,162841,-0.0008,0.0012,4030314.75,
2012-08-20,24.83,24.84,24.65,24.77,122343,-0.0024,0.0008,3030436.11,
2012-08-21,24.77,24.87,24.75,24.87,209568,0.004,0.004,5211956.16,
2012-08-22,24.83,24.84,24.75,24.8,67222,-0.0012,-0.0028,1667105.6,
2012-08-23,24.89,24.89,24.71,24.8,57572,-0.0036,0.0,1427785.6,5459132.83
2012-08-24,24.8,24.85,24.77,24.8,46304,0.0,0.0,1148339.2,4628102.59
2012-08-27,24.84,24.93,24.81,24.9,49894,0.0024,0.004,1242360.6,4256311.38
2012-08-28,24.94,24.95,24.85,24.88,83973,-0.0024,-0.0008,2089248.24,3148974.48
2012-08-29,24.85,25.0,24.85,24.99,75082,0.0056,0.0044,1876299.18,2886125.27
2012-08-30,25.0,25.0,24.92,25.0,87230,0.0,0.0004,2180750.0,2543322.98
2012-08-31,24.99,25.0,24.95,24.95,51325,-0.0016,-0.002,1280558.75,2390459.54
2012-09-04,25.0,25.0,24.92,24.94,72121,-0.0024,-0.0004,1798697.74,2115483.94
2012-09-05,24.95,25.02,24.92,24.95,179198,0.0,0.0004,4470990.1,1992310.11
2012-09-06,24.99,25.0,24.9,24.95,146041,-0.0016,0.0,3643722.95,1918213.5
2012-09-07,25.0,25.06,24.98,25.06,189089,0.0024,0.0044,4738570.34,2115875.24
2012-09-10,25.06,25.06,24.99,25.0,46885,-0.0024,-0.0024,1172125.0,2446953.71
2012-09-11,25.01,25.04,24.95,24.98,92077,-0.0012,-0.0008,2300083.46,2449332.29
2012-09-12,24.99,25.0,24.91,24.92,64080,-0.0028,-0.0024,1596873.6,2555104.58
2012-09-13,24.95,25.04,24.8,25.02,174506,0.0028,0.004,4366140.12,2505867.11
2012-09-14,25.04,25.05,25.0,25.03,71605,-0.0004,0.0004,1792273.15,2754851.21
2012-09-17,25.07,25.09,25.02,25.09,47051,0.0008,0.0024,1180509.59,2716003.52
2012-09-18,25.11,25.15,25.06,25.11,109015,0.0,0.0008,2737366.65,2705998.6
2012-09-19,25.15,25.18,25.09,25.16,193883,0.0004,0.002,4878096.28,2799865.5
2012-09-20,25.12,25.22,25.12,25.22,47050,0.004,0.0024,1186601.0,2840576.11
2012-09-21,25.24,25.28,25.19,25.24,62855,0.0,0.0008,1586460.2,2594863.92
2012-09-24,25.27,25.33,25.15,25.17,111951,-0.004,-0.0028,2817806.67,2279652.91
2012-09-25,25.22,25.24,25.1,25.24,73789,0.0008,0.0028,1862434.36,2444221.07
2012-09-26,25.04,25.1,24.97,25.04,73446,0.0,-0.0079,1839087.84,2400456.16
2012-09-27,25.02,25.03,24.88,24.95,151634,-0.0028,-0.0036,3783268.3,2424677.59
2012-09-28,25.0,25.1,25.0,25.02,193155,0.0008,0.0028,4832738.1,2366390.4
2012-10-01,25.06,25.09,24.96,25.05,217335,-0.0004,0.0012,5444241.75,2670436.9
2012-10-02,25.02,25.13,24.95,25.09,87742,0.0028,0.0016,2201446.78,3096810.12
2012-10-03,25.09,25.15,25.07,25.1,181380,0.0004,0.0004,4552638.0,3043218.13
2012-10-04,25.15,25.35,25.13,25.34,168124,0.0076,0.0096,4260262.16,3010672.3
2012-10-05,25.47,25.55,25.37,25.5,200995,0.0012,0.0063,5125372.5,3318038.42
2012-10-08,25.62,25.64,25.51,25.63,135411,0.0004,0.0051,3470583.93,3671929.65
2012-10-09,25.64,25.71,25.49,25.57,238405,-0.0027,-0.0023,6096015.85,3737207.37
2012-10-10,25.63,25.75,25.6,25.71,214345,0.0031,0.0055,5510809.95,4160565.52
2012-10-11,25.73,25.79,25.65,25.78,199094,0.0019,0.0027,5132643.32,4527737.73
