Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2019-02-26,11.0,11.55,9.39,9.45,1433600,-0.1409,,13547520.0,
2019-02-27,8.98,9.14,7.75,8.27,333500,-0.0791,-0.1249,2758045.0,
2019-02-28,8.28,8.56,8.28,8.52,216300,0.029,0.0302,1842876.0,
2019-03-01,8.98,9.1,8.65,8.99,183200,0.0011,0.0552,1646968.0,
2019-03-04,9.1,9.45,9.05,9.3,179800,0.022,0.0345,1672140.0,
2019-03-05,9.51,9.73,9.15,9.3,116800,-0.0221,0.0,1086240.0,
2019-03-06,9.32,9.65,8.65,8.69,120900,-0.0676,-0.0656,1050621.0,
2019-03-07,8.67,9.04,8.0,8.27,52400,-0.0461,-0.0483,433348.0,
2019-03-08,8.29,8.5,8.0,8.12,54300,-0.0205,-0.0181,440916.0,
2019-03-11,8.38,8.91,7.37,8.48,66200,0.0119,0.0443,561376.0,
2019-03-12,8.56,8.8,8.0,8.05,40600,-0.0596,-0.0507,326830.0,2504005.0
2019-03-13,8.12,8.24,6.93,7.1,120100,-0.1256,-0.118,852710.0,1181936.0
2019-03-14,7.15,7.24,6.63,6.88,147400,-0.0378,-0.031,1014112.0,991402.5
2019-03-15,7.0,7.29,6.0,6.75,138200,-0.0357,-0.0189,932850.0,908526.1
2019-03-18,6.96,7.48,6.27,6.5,121400,-0.0661,-0.037,789100.0,837114.3
2019-03-19,6.6,7.3,6.6,7.15,187100,0.0833,0.1,1337765.0,748810.3
2019-03-20,7.3,8.59,7.3,8.29,277100,0.1356,0.1594,2297159.0,773962.8
2019-03-21,8.25,8.45,7.79,8.13,105600,-0.0145,-0.0193,858528.0,898616.6
2019-03-22,8.15,8.47,7.8,8.21,57700,0.0074,0.0098,473717.0,941134.6
2019-03-25,8.25,8.47,7.51,7.72,58900,-0.0642,-0.0597,454708.0,944414.7
2019-03-26,7.82,8.08,7.07,7.25,57200,-0.0729,-0.0609,414700.0,933747.9
2019-03-27,7.22,7.5,7.14,7.4,27300,0.0249,0.0207,202020.0,942534.9
2019-03-28,7.48,8.19,7.42,8.13,129100,0.0869,0.0986,1049583.0,877465.9
2019-03-29,8.5,8.5,7.75,8.05,64400,-0.0529,-0.0098,518420.0,881013.0
2019-04-01,8.07,8.07,7.55,7.71,34100,-0.0446,-0.0422,262911.0,839570.0
2019-04-02,7.79,7.99,7.5,7.66,35100,-0.0167,-0.0065,268866.0,786951.1
2019-04-03,7.75,7.9,6.5,7.08,190900,-0.0865,-0.0757,1351572.0,680061.2
2019-04-04,6.97,7.05,6.65,6.7,73300,-0.0387,-0.0537,491110.0,585502.5
2019-04-05,6.75,6.95,6.65,6.88,87800,0.0193,0.0269,604064.0,548760.7
2019-04-08,6.87,6.97,6.74,6.74,34400,-0.0189,-0.0203,231856.0,561795.4
2019-04-09,6.74,6.88,6.53,6.66,73100,-0.0119,-0.0119,486846.0,539510.2
2019-04-10,6.61,6.62,6.1,6.37,74700,-0.0363,-0.0435,475839.0,546724.8
2019-04-11,6.32,6.63,6.21,6.52,35300,0.0316,0.0235,230156.0,574106.7
2019-04-12,6.55,7.41,6.26,6.99,176700,0.0672,0.0721,1235133.0,492164.0
2019-04-15,7.03,7.25,7.0,7.15,41100,0.0171,0.0229,293865.0,563835.3
2019-04-16,7.12,7.25,6.75,7.0,42000,-0.0169,-0.021,294000.0,566930.7
2019-04-17,7.09,7.19,6.82,7.03,13700,-0.0085,0.0043,96311.0,569444.1
2019-04-18,7.24,7.7,6.65,7.16,142500,-0.011,0.0185,1020300.0,443918.0
2019-04-22,7.15,7.49,7.14,7.36,10300,0.0294,0.0279,75808.0,496837.0
2019-04-23,7.3,7.48,7.08,7.16,15500,-0.0192,-0.0272,110980.0,444011.4
2019-04-24,7.23,7.25,6.91,7.07,42500,-0.0221,-0.0126,300475.0,431923.8
2019-04-25,7.19,7.28,7.0,7.25,21600,0.0083,0.0255,156600.0,413286.7
2019-04-26,7.25,7.25,6.82,7.0,39100,-0.0345,-0.0345,273700.0,381362.8
2019-04-29,6.98,7.0,6.64,6.9,48300,-0.0115,-0.0143,333270.0,385717.2
2019-04-30,6.9,6.9,6.59,6.75,49300,-0.0217,-0.0217,332775.0,295530.9
2019-05-01,6.71,6.75,6.05,6.36,44700,-0.0522,-0.0578,284292.0,299421.9
2019-05-02,6.4,6.73,6.35,6.56,24300,0.025,0.0314,159408.0,298451.1
2019-05-03,6.78,8.5,6.6,8.24,949200,0.2153,0.2561,7821408.0,304760.8
2019-05-06,8.2,8.6,7.82,8.35,217000,0.0183,0.0133,1811950.0,984871.6
2019-05-07,8.3,8.6,7.8,8.25,117300,-0.006,-0.012,967725.0,1158485.8
2019-05-08,8.31,9.29,8.17,8.9,172200,0.071,0.0788,1532580.0,1244160.3
2019-05-09,8.95,9.01,8.2,8.51,101000,-0.0492,-0.0438,859510.0,1367370.8
2019-05-10,8.39,9.01,8.31,8.86,73900,0.056,0.0411,654754.0,1437661.8
2019-05-13,9.0,9.0,8.01,8.55,85300,-0.05,-0.035,729315.0,1475767.2
2019-05-14,8.71,8.95,8.36,8.6,52600,-0.0126,0.0058,452360.0,1515371.7
