Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2021-11-01,9.85,9.85,9.82,9.82,1200,-0.003,,11784.0,
2021-11-02,9.88,9.88,9.88,9.88,500,0.0,0.0061,4940.0,
2021-11-03,9.8,9.82,9.73,9.82,57500,0.002,-0.0061,564650.0,
2021-11-04,10.89,10.89,9.58,9.7,152400,-0.1093,-0.0122,1478280.0,
2021-11-05,9.71,9.75,9.71,9.72,4400,0.001,0.0021,42768.0,
2021-11-08,9.8,9.93,9.66,9.67,19600,-0.0133,-0.0051,189532.0,
2021-11-09,9.6,9.7,9.55,9.66,9200,0.0063,-0.001,88872.0,
2021-11-10,9.68,9.69,9.62,9.63,22300,-0.0052,-0.0031,214749.0,
2021-11-11,9.63,9.67,9.6,9.65,27900,0.0021,0.0021,269235.0,
2021-11-12,9.64,9.69,9.64,9.69,48400,0.0052,0.0041,468996.0,
2021-11-15,9.69,9.72,9.68,9.72,7300,0.0031,0.0031,70956.0,333380.6
2021-11-16,9.68,9.72,9.68,9.72,4200,0.0041,0.0,40824.0,339297.8
2021-11-17,9.77,9.77,9.71,9.72,3100,-0.0051,0.0,30132.0,342886.2
2021-11-18,9.7,9.71,9.69,9.71,22400,0.001,-0.001,217504.0,289434.4
2021-11-19,9.66,9.7,9.65,9.7,3800,0.0041,-0.001,36860.0,163356.8
2021-11-22,9.64,9.72,9.64,9.72,14000,0.0083,0.0021,136080.0,162766.0
2021-11-23,9.65,9.7,9.62,9.7,4800,0.0052,-0.0021,46560.0,157420.8
2021-11-24,9.7,9.7,9.7,9.7,25400,0.0,0.0,246380.0,153189.6
2021-11-26,9.68,9.7,9.68,9.7,600,0.0021,0.0,5820.0,156352.7
2021-11-29,9.7,9.7,9.7,9.7,1600,0.0,0.0,15520.0,130011.2
2021-11-30,9.66,9.7,9.66,9.7,11200,0.0041,0.0,108640.0,84663.6
2021-12-01,9.7,9.71,9.7,9.7,2700,0.0,0.0,26190.0,88432.0
2021-12-02,9.71,9.82,9.68,9.7,5500,-0.001,0.0,53350.0,86968.6
2021-12-03,9.7,9.7,9.7,9.7,0,0.0,0.0,0.0,89290.4
2021-12-06,9.68,9.79,9.68,9.79,1200,0.0114,0.0093,11748.0,67540.0
2021-12-07,9.68,9.68,9.63,9.68,28100,0.0,-0.0112,272008.0,65028.8
2021-12-08,9.64,9.7,9.64,9.7,11200,0.0062,0.0021,108640.0,78621.6
2021-12-09,9.61,9.71,9.61,9.71,12500,0.0104,0.001,121375.0,84829.6
2021-12-10,9.69,9.69,9.64,9.65,37700,-0.0041,-0.0062,363805.0,72329.1
2021-12-13,9.67,9.68,9.67,9.68,900,0.001,0.0031,8712.0,108127.6
2021-12-14,9.68,9.68,9.68,9.68,700,0.0,0.0,6776.0,107446.8
2021-12-15,9.68,9.68,9.68,9.68,0,0.0,0.0,0.0,97260.4
2021-12-16,9.69,9.69,9.67,9.67,400,-0.0021,-0.001,3868.0,94641.4
2021-12-17,9.66,9.68,9.65,9.67,2100,0.001,0.0,20307.0,89693.2
2021-12-20,9.64,9.68,9.64,9.66,8100,0.0021,-0.001,78246.0,91723.9
2021-12-21,9.65,9.66,9.65,9.66,4100,0.001,0.0,39606.0,98373.7
2021-12-22,9.67,9.67,9.67,9.67,2400,0.0,0.001,23208.0,75133.5
2021-12-23,9.66,9.67,9.66,9.66,10000,0.0,-0.001,96600.0,66590.3
2021-12-27,9.65,9.65,9.65,9.65,400,0.0,-0.001,3860.0,64112.8
2021-12-28,9.65,9.65,9.65,9.65,1300,0.0,0.0,12545.0,28118.3
2021-12-29,9.67,9.67,9.67,9.67,300,0.0,0.0021,2901.0,28501.6
2021-12-30,9.67,9.67,9.67,9.67,0,0.0,0.0,0.0,28114.1
2021-12-31,9.67,9.67,9.67,9.67,1000,0.0,0.0,9670.0,28114.1
2022-01-03,9.68,9.68,9.68,9.68,5000,0.0,0.001,48400.0,28694.3
2022-01-04,9.67,9.69,9.65,9.69,600,0.0021,0.001,5814.0,31503.6
2022-01-05,9.67,9.69,9.67,9.67,10200,0.0,-0.0021,98634.0,24260.4
2022-01-06,9.68,9.68,9.68,9.68,900,0.0,0.001,8712.0,30163.2
2022-01-07,9.68,9.68,9.68,9.68,0,0.0,0.0,0.0,28713.6
2022-01-10,9.69,9.7,9.69,9.7,1300,0.001,0.0021,12610.0,19053.6
2022-01-11,9.71,9.72,9.71,9.71,4100,0.0,0.001,39811.0,19928.6
2022-01-12,9.72,9.72,9.72,9.72,500,0.0,0.001,4860.0,22655.2
2022-01-13,9.72,9.72,9.71,9.71,1800,-0.001,-0.001,17478.0,22851.1
2022-01-14,9.7,9.7,9.69,9.69,1500,-0.001,-0.0021,14535.0,24598.9
2022-01-18,9.67,9.67,9.62,9.63,6500,-0.0041,-0.0062,62595.0,25085.4
2022-01-19,9.67,9.67,9.67,9.67,2700,0.0,0.0042,26109.0,26504.9
2022-01-20,9.67,9.67,9.64,9.67,1200,0.0,0.0,11604.0,28534.4
2022-01-21,9.62,9.67,9.62,9.67,500,0.0052,0.0,4835.0,19831.4
2022-01-24,9.61,9.65,9.59,9.65,211800,0.0042,-0.0021,2043870.0,19443.7
2022-01-25,9.59,9.65,9.58,9.61,4200,0.0021,-0.0041,40362.0,223830.7
2022-01-26,9.63,9.63,9.63,9.63,900,0.0,0.0021,8667.0,226605.9
2022-01-27,9.64,9.64,9.58,9.63,900,-0.001,0.0,8667.0,223491.5
2022-01-28,9.58,9.64,8.71,9.64,12300,0.0063,0.001,118572.0,223872.2
2022-01-31,9.6,9.61,9.59,9.61,5000,0.001,-0.0031,48050.0,233981.6
