Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2018-04-27,18.4,19.7,18.06,19.5,9194700,0.0598,,179296650.0,
2018-04-30,19.51,19.51,18.8,19.3,640500,-0.0108,-0.0103,12361650.0,
2018-05-01,19.05,20.0,19.0,19.85,656200,0.042,0.0285,13025570.0,
2018-05-02,19.95,19.96,19.4,19.51,313600,-0.0221,-0.0171,6118336.0,
2018-05-03,19.55,19.65,19.06,19.44,401600,-0.0056,-0.0036,7807104.0,
2018-05-04,19.47,19.47,18.86,18.88,362700,-0.0303,-0.0288,6847776.0,
2018-05-07,18.89,19.84,18.8,19.6,187700,0.0376,0.0381,3678920.0,
2018-05-08,19.79,20.98,19.25,20.73,209600,0.0475,0.0577,4345008.0,
2018-05-09,20.76,21.7,20.76,21.35,434400,0.0284,0.0299,9274440.0,
2018-05-10,21.63,21.68,20.22,20.75,276700,-0.0407,-0.0281,5741525.0,
2018-05-11,20.91,20.91,20.24,20.51,83400,-0.0191,-0.0116,1710534.0,24849697.9
2018-05-14,20.79,20.89,20.3,20.74,73500,-0.0024,0.0112,1524390.0,7091086.3
2018-05-15,20.74,20.81,20.43,20.6,66000,-0.0068,-0.0068,1359600.0,6007360.3
2018-05-16,20.66,20.73,19.9,20.0,108600,-0.0319,-0.0291,2172000.0,4840763.3
2018-05-17,20.01,20.28,19.12,19.46,82000,-0.0275,-0.027,1595720.0,4446129.7
2018-05-18,19.43,19.96,19.22,19.89,170900,0.0237,0.0221,3399201.0,3824991.3
2018-05-21,20.27,20.27,19.47,20.03,110200,-0.0118,0.007,2207306.0,3480133.8
2018-05-22,20.28,20.76,20.24,20.25,328900,-0.0015,0.011,6660225.0,3332972.4
2018-05-23,20.45,20.45,20.16,20.26,159900,-0.0093,0.0005,3239574.0,3564494.1
2018-05-24,20.3,22.63,20.26,22.23,496300,0.0951,0.0972,11032749.0,2961007.5
2018-05-25,22.35,23.66,22.33,22.53,266800,0.0081,0.0135,6011004.0,3490129.9
2018-05-29,22.66,23.37,22.6,22.78,344300,0.0053,0.0111,7843154.0,3920176.9
2018-05-30,23.1,23.79,22.56,22.87,358400,-0.01,0.004,8196608.0,4552053.3
2018-05-31,23.07,25.37,23.07,24.92,457200,0.0802,0.0896,11393424.0,5235754.1
2018-06-01,25.09,26.93,25.04,26.27,436800,0.047,0.0542,11474736.0,6157896.5
2018-06-04,26.88,28.66,26.41,26.54,919800,-0.0126,0.0103,24411492.0,7145798.1
2018-06-05,30.15,32.79,27.95,28.95,2857800,-0.0398,0.0908,82733310.0,9247027.2
2018-06-06,29.16,29.4,28.11,28.75,547600,-0.0141,-0.0069,15743500.0,17299627.6
2018-06-07,28.88,29.16,28.34,28.45,447500,-0.0149,-0.0104,12731375.0,18207955.1
2018-06-08,28.33,28.69,27.54,27.65,508200,-0.024,-0.0281,14051730.0,19157135.2
2018-06-11,27.8,27.99,26.58,27.11,434300,-0.0248,-0.0195,11773873.0,19459033.3
2018-06-12,27.15,28.26,26.27,26.48,392000,-0.0247,-0.0232,10380160.0,20035320.2
2018-06-13,26.64,27.5,26.6,27.11,356800,0.0176,0.0238,9672848.0,20289020.8
2018-06-14,27.61,29.41,27.61,28.43,662200,0.0297,0.0487,18826346.0,20436644.8
2018-06-15,28.31,30.14,27.62,30.13,1181500,0.0643,0.0598,35598595.0,21179937.0
2018-06-18,30.11,32.49,29.65,32.21,711000,0.0697,0.069,22901310.0,23592322.9
2018-06-19,31.8,31.8,27.06,28.91,870900,-0.0909,-0.1025,25177719.0,23441304.7
2018-06-20,29.12,29.39,26.51,27.07,578100,-0.0704,-0.0636,15649167.0,17685745.6
2018-06-21,27.2,28.03,25.8,26.52,434900,-0.025,-0.0203,11533548.0,17676312.3
2018-06-22,26.57,26.94,24.0,24.31,593100,-0.0851,-0.0833,14418261.0,17556529.6
2018-06-25,23.9,26.93,23.13,26.92,660800,0.1264,0.1074,17788736.0,17593182.7
2018-06-26,27.13,28.18,26.44,26.72,357000,-0.0151,-0.0074,9539040.0,18194669.0
2018-06-27,26.58,27.17,24.96,25.04,315900,-0.0579,-0.0629,7910136.0,18110557.0
2018-06-28,24.98,25.0,23.7,24.41,349600,-0.0228,-0.0252,8533736.0,17934285.8
2018-06-29,24.6,26.98,24.44,25.97,387700,0.0557,0.0639,10068569.0,16905024.8
2018-07-02,25.66,25.94,24.02,24.36,380000,-0.0507,-0.062,9256800.0,14352022.2
2018-07-03,24.55,25.69,24.05,25.3,253500,0.0305,0.0386,6413550.0,12987571.2
2018-07-05,25.48,25.67,24.3,24.61,304400,-0.0341,-0.0273,7491284.0,11111154.3
2018-07-06,24.53,24.63,23.7,24.04,405200,-0.02,-0.0232,9741008.0,10295366.0
2018-07-09,23.9,24.4,23.3,23.36,461800,-0.0226,-0.0283,10787648.0,10116112.0
2018-07-10,23.52,24.1,22.64,23.05,408600,-0.02,-0.0133,9418230.0,9753050.7
2018-07-11,23.02,23.75,22.51,23.63,464400,0.0265,0.0252,10973772.0,8916000.1
2018-07-12,23.69,25.72,23.3,25.14,528100,0.0612,0.0639,13276434.0,9059473.3
2018-07-13,25.0,25.17,23.66,25.0,383900,0.0,-0.0056,9597500.0,9596103.1
2018-07-16,24.99,25.35,23.68,23.75,249400,-0.0496,-0.05,5923250.0,9702479.5
2018-07-17,23.69,24.09,23.14,23.25,333000,-0.0186,-0.0211,7742250.0,9287947.6
2018-07-18,23.37,24.65,23.37,24.49,392200,0.0479,0.0533,9604978.0,9136492.6
2018-07-19,24.41,24.57,23.6,23.76,289500,-0.0266,-0.0298,6878520.0,9455635.4
2018-07-20,23.86,24.69,22.6,22.76,394900,-0.0461,-0.0421,8987924.0,9394359.0
2018-07-23,22.76,23.68,22.13,23.5,570000,0.0325,0.0325,13395000.0,9319050.6
2018-07-24,23.67,24.02,22.63,22.9,302200,-0.0325,-0.0255,6920380.0,9579785.8
2018-07-25,22.81,23.31,22.72,22.79,136300,-0.0009,-0.0048,3106277.0,9330000.8
2018-07-26,22.73,23.27,22.73,22.93,105700,0.0088,0.0061,2423701.0,8543251.3
2018-07-27,23.0,23.2,21.63,21.92,375400,-0.047,-0.044,8228768.0,7457978.0
2018-07-30,22.01,22.14,20.5,20.76,330300,-0.0568,-0.0529,6857028.0,7321104.8
2018-07-31,20.9,22.4,20.9,21.5,309600,0.0287,0.0356,6656400.0,7414482.6
2018-08-01,21.5,21.96,21.09,21.09,176200,-0.0191,-0.0191,3716058.0,7305897.6
2018-08-02,21.0,23.44,21.0,23.4,350300,0.1143,0.1095,8197020.0,6717005.6
2018-08-03,23.5,23.86,23.06,23.55,170200,0.0021,0.0064,4008210.0,6848855.6
2018-08-06,23.43,24.54,23.0,24.5,154500,0.0457,0.0403,3785250.0,6350884.2
2018-08-07,24.36,25.35,24.36,25.0,151000,0.0263,0.0204,3775000.0,5389909.2
2018-08-08,24.92,24.95,24.1,24.33,109200,-0.0237,-0.0268,2656836.0,5075371.2
2018-08-09,24.4,26.27,24.4,26.22,263700,0.0746,0.0777,6914214.0,5030427.1
2018-08-10,25.7,26.97,25.47,25.87,213500,0.0066,-0.0133,5523245.0,5479478.4
2018-08-13,25.92,27.07,25.92,27.0,172700,0.0417,0.0437,4662900.0,5208926.1
2018-08-14,27.01,27.48,25.9,26.93,186800,-0.003,-0.0026,5030524.0,4989513.3
2018-08-15,26.83,26.83,25.39,25.56,231200,-0.0473,-0.0509,5909472.0,4826925.7
2018-08-16,25.8,26.29,25.68,26.0,80900,0.0078,0.0172,2103400.0,5046267.1
