Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2007-03-29,8.85,9.31,8.66,8.76,6079800,-0.0102,,53259048.0,
2007-03-30,8.83,9.0,8.55,8.99,419500,0.0181,0.0263,3771305.0,
2007-04-02,9.0,10.59,8.99,10.38,749100,0.1533,0.1546,7775658.0,
2007-04-03,10.7,11.66,10.4,10.58,835700,-0.0112,0.0193,8841706.0,
2007-04-04,10.4,10.99,10.03,10.16,309500,-0.0231,-0.0397,3144520.0,
2007-04-05,10.02,10.25,9.52,9.8,424900,-0.022,-0.0354,4164020.0,
2007-04-09,9.95,10.36,9.88,10.0,174300,0.005,0.0204,1743000.0,
2007-04-10,9.96,10.12,9.66,9.8,106800,-0.0161,-0.02,1046640.0,
2007-04-11,9.71,9.86,9.5,9.54,107000,-0.0175,-0.0265,1020780.0,
2007-04-12,9.5,9.97,9.5,9.85,88800,0.0368,0.0325,874680.0,
2007-04-13,9.98,9.98,9.66,9.74,60200,-0.024,-0.0112,586348.0,8564135.7
2007-04-16,9.7,10.25,9.6,10.15,135400,0.0464,0.0421,1374310.0,3296865.7
2007-04-17,10.25,10.4,10.06,10.25,89100,0.0,0.0099,913275.0,3057166.2
2007-04-18,10.43,10.5,10.04,10.37,100800,-0.0058,0.0117,1045296.0,2370927.9
2007-04-19,10.19,10.29,9.82,9.89,71900,-0.0294,-0.0463,711091.0,1591286.9
2007-04-20,10.07,10.07,9.79,9.86,139700,-0.0209,-0.003,1377442.0,1347944.0
2007-04-23,9.77,10.07,9.77,9.85,77400,0.0082,-0.001,762390.0,1069286.2
2007-04-24,9.9,10.0,9.73,9.83,70800,-0.0071,-0.002,695964.0,971225.2
2007-04-25,9.8,10.49,9.8,10.35,160000,0.0561,0.0529,1656000.0,936157.6
2007-04-26,10.47,10.47,10.12,10.19,73400,-0.0267,-0.0155,747946.0,999679.6
2007-04-27,10.11,10.4,9.99,10.2,112200,0.0089,0.001,1144440.0,987006.2
2007-04-30,10.2,11.06,10.2,10.41,271900,0.0206,0.0206,2830479.0,1042815.4
2007-05-01,10.5,10.9,10.1,10.49,124000,-0.001,0.0077,1300760.0,1188432.3
2007-05-02,10.53,10.64,10.4,10.4,60900,-0.0123,-0.0086,633360.0,1227180.8
2007-05-03,10.41,10.5,10.31,10.43,84300,0.0019,0.0029,879249.0,1185987.2
2007-05-04,10.4,10.6,10.37,10.58,72200,0.0173,0.0144,763876.0,1202803.0
2007-05-07,10.76,11.05,10.4,10.57,174100,-0.0177,-0.0009,1840237.0,1141446.4
2007-05-08,10.5,10.6,10.45,10.5,146900,0.0,-0.0066,1542450.0,1249231.1
2007-05-09,10.89,11.35,10.5,11.24,408200,0.0321,0.0705,4588168.0,1333879.7
2007-05-10,10.87,10.87,9.96,10.15,491000,-0.0662,-0.097,4983650.0,1627096.5
2007-05-11,10.22,10.5,10.0,10.4,271700,0.0176,0.0246,2825680.0,2050666.9
2007-05-14,10.44,10.5,10.2,10.43,209800,-0.001,0.0029,2188214.0,2218790.9
2007-05-15,10.2,10.43,10.2,10.24,133600,0.0039,-0.0182,1368064.0,2154564.4
2007-05-16,10.2,10.39,10.0,10.1,86100,-0.0098,-0.0137,869610.0,2161294.8
2007-05-17,10.0,10.08,10.0,10.02,111000,0.002,-0.0079,1112220.0,2184919.8
2007-05-18,10.0,10.1,9.74,10.02,187100,0.002,0.0,1874742.0,2208216.9
2007-05-21,10.01,10.09,9.92,10.04,215600,0.003,0.002,2164624.0,2319303.5
2007-05-22,9.95,10.11,9.95,10.04,82500,0.009,0.0,828300.0,2351742.2
2007-05-23,9.96,10.12,9.96,10.0,76300,0.004,-0.004,763000.0,2280327.2
2007-05-24,9.97,10.08,9.93,9.99,60600,0.002,-0.001,605394.0,1897810.4
2007-05-25,9.92,10.05,9.92,10.04,61700,0.0121,0.005,619468.0,1459984.8
2007-05-29,10.0,10.06,9.92,10.03,65900,0.003,-0.001,660977.0,1239363.6
2007-05-30,10.01,10.03,9.95,10.03,80000,0.002,0.0,802400.0,1086639.9
2007-05-31,10.03,10.08,9.96,10.06,112200,0.003,0.003,1128732.0,1030073.5
2007-06-01,10.11,10.11,10.01,10.04,85300,-0.0069,-0.002,856412.0,1055985.7
2007-06-04,10.05,10.67,10.02,10.56,222300,0.0507,0.0518,2347488.0,1030404.9
2007-06-05,11.3,11.85,11.03,11.43,919000,0.0115,0.0824,10504170.0,1077679.5
2007-06-06,11.5,11.54,11.0,11.2,350200,-0.0261,-0.0201,3922240.0,1911634.1
2007-06-07,11.3,11.34,11.1,11.15,186900,-0.0133,-0.0045,2083935.0,2221028.1
2007-06-08,11.33,11.33,10.17,10.65,365600,-0.06,-0.0448,3893640.0,2353121.6
2007-06-11,10.55,10.8,10.25,10.51,134700,-0.0038,-0.0131,1415697.0,2681946.2
2007-06-12,10.41,11.13,10.41,10.73,145900,0.0307,0.0209,1565507.0,2761569.1
2007-06-13,10.99,10.99,10.55,10.66,80700,-0.03,-0.0065,860262.0,2852022.1
2007-06-14,10.8,10.92,10.7,10.76,154100,-0.0037,0.0094,1658116.0,2857808.3
2007-06-15,11.0,11.0,10.68,10.74,95400,-0.0236,-0.0019,1024596.0,2910746.7
2007-06-18,10.89,10.89,10.5,10.75,121000,-0.0129,0.0009,1300750.0,2927565.1
2007-06-19,10.86,11.35,10.72,10.88,164500,0.0018,0.0121,1789760.0,2822891.3
2007-06-20,10.97,11.3,10.91,10.97,230000,0.0,0.0083,2523100.0,1951450.3
2007-06-21,11.1,11.11,10.86,10.99,148000,-0.0099,0.0018,1626520.0,1811536.3
2007-06-22,10.99,11.14,10.52,10.53,775200,-0.0419,-0.0419,8162856.0,1765794.8
2007-06-25,10.53,10.8,10.28,10.47,215100,-0.0057,-0.0057,2252097.0,2192716.4
2007-06-26,10.49,10.51,10.2,10.24,107000,-0.0238,-0.022,1095680.0,2276356.4
2007-06-27,10.2,10.49,10.2,10.41,105700,0.0206,0.0166,1100337.0,2229373.7
2007-06-28,10.39,10.39,9.91,10.08,218100,-0.0298,-0.0317,2198448.0,2253381.2
2007-06-29,10.1,10.27,10.0,10.01,93100,-0.0089,-0.0069,931931.0,2307414.4
2007-07-02,10.08,10.22,10.0,10.04,129600,-0.004,0.003,1301184.0,2298147.9
2007-07-03,10.03,10.52,10.03,10.43,155000,0.0399,0.0388,1616650.0,2298191.3
2007-07-05,10.39,10.52,10.19,10.27,100800,-0.0115,-0.0153,1035216.0,2280880.3
2007-07-06,10.38,10.38,10.1,10.18,85200,-0.0193,-0.0088,867336.0,2132091.9
2007-07-09,10.14,10.27,10.05,10.21,81600,0.0069,0.0029,833136.0,2056173.5
2007-07-10,10.25,10.25,9.99,10.0,390700,-0.0244,-0.0206,3907000.0,1323201.5
2007-07-11,10.16,10.2,9.95,10.0,271000,-0.0157,0.0,2710000.0,1488691.8
2007-07-12,10.0,10.04,9.8,9.91,330400,-0.009,-0.009,3274264.0,1650123.8
2007-07-13,9.87,9.91,9.34,9.41,321000,-0.0466,-0.0505,3020610.0,1867516.5
2007-07-16,9.4,9.89,9.37,9.79,135500,0.0415,0.0404,1326545.0,1949732.7
2007-07-17,9.68,9.9,9.68,9.85,73700,0.0176,0.0061,725945.0,1989194.1
2007-07-18,9.85,9.93,9.8,9.9,190800,0.0051,0.0051,1888920.0,1931670.2
2007-07-19,9.92,9.99,9.9,9.99,52700,0.0071,0.0091,526473.0,1958897.2
2007-07-20,9.97,10.0,9.63,9.96,80800,-0.001,-0.003,804768.0,1908022.9
2007-07-23,10.0,10.09,9.93,10.0,48500,0.0,0.004,485000.0,1901766.1
2007-07-24,10.0,10.05,9.94,10.0,96100,0.0,0.0,961000.0,1866952.5
2007-07-25,10.04,10.05,9.85,10.03,87700,-0.001,0.003,879631.0,1572352.5
2007-07-26,9.87,10.0,9.5,9.72,124600,-0.0152,-0.0309,1211112.0,1389315.6
2007-07-27,9.71,9.74,9.32,9.34,83000,-0.0381,-0.0391,775220.0,1183000.4
2007-07-30,9.32,9.33,8.55,8.89,179700,-0.0461,-0.0482,1597533.0,958461.4
2007-07-31,9.0,9.15,8.95,8.95,63600,-0.0056,0.0067,569220.0,985560.2
2007-08-01,8.9,9.34,8.9,9.15,79900,0.0281,0.0223,731085.0,969887.7
2007-08-02,9.14,9.39,8.96,9.17,180000,0.0033,0.0022,1650600.0,854104.2
2007-08-03,9.26,9.26,8.9,8.9,83600,-0.0389,-0.0294,744040.0,966516.9
2007-08-06,8.97,8.97,8.55,8.64,130700,-0.0368,-0.0292,1129248.0,960444.1
2007-08-07,8.72,8.75,8.56,8.61,109300,-0.0126,-0.0035,941073.0,1024868.9
2007-08-08,8.91,8.96,8.62,8.75,413000,-0.018,0.0163,3613750.0,1022876.2
2007-08-09,9.07,9.25,8.76,9.0,175000,-0.0077,0.0286,1575000.0,1296288.1
2007-08-10,8.85,9.01,8.5,8.75,101200,-0.0113,-0.0278,885500.0,1332676.9
2007-08-13,8.77,8.8,8.62,8.72,75000,-0.0057,-0.0034,654000.0,1343704.9
2007-08-14,8.67,8.81,8.67,8.74,43100,0.0081,0.0023,376694.0,1249351.6
2007-08-15,8.68,8.9,8.68,8.7,40600,0.0023,-0.0046,353220.0,1230099.0
2007-08-16,8.7,8.8,8.23,8.4,109800,-0.0345,-0.0345,922320.0,1192312.5
2007-08-17,8.65,8.65,8.24,8.54,281800,-0.0127,0.0167,2406572.0,1119484.5
2007-08-20,8.6,8.64,8.47,8.55,22400,-0.0058,0.0012,191520.0,1285737.7
2007-08-21,8.48,8.6,8.44,8.48,22200,0.0,-0.0082,188256.0,1191964.9
2007-08-22,8.52,8.58,8.39,8.41,31700,-0.0129,-0.0083,266597.0,1116683.2
2007-08-23,8.48,8.52,8.36,8.37,52800,-0.013,-0.0048,441936.0,781967.9
2007-08-24,8.21,8.46,8.21,8.37,99400,0.0195,0.0,831978.0,668661.5
2007-08-27,8.41,8.48,8.37,8.39,189800,-0.0024,0.0024,1592422.0,663309.3
2007-08-28,8.4,8.43,8.35,8.38,104500,-0.0024,-0.0012,875710.0,757151.5
2007-08-29,8.45,8.45,8.35,8.4,81700,-0.0059,0.0024,686280.0,807053.1
2007-08-30,8.4,8.44,8.25,8.35,119300,-0.006,-0.006,996155.0,840359.1
2007-08-31,8.44,8.44,8.28,8.34,72300,-0.0118,-0.0012,602982.0,847742.6
2007-09-04,8.38,8.48,8.31,8.38,315300,0.0,0.0048,2642214.0,667383.6
2007-09-05,8.34,8.41,8.33,8.33,144400,-0.0012,-0.006,1202852.0,912453.0
2007-09-06,8.37,8.59,8.37,8.37,382200,0.0,0.0048,3199014.0,1013912.6
2007-09-07,8.33,8.53,8.25,8.49,148800,0.0192,0.0143,1263312.0,1307154.3
2007-09-10,8.51,8.94,8.5,8.73,136600,0.0259,0.0283,1192518.0,1389291.9
2007-09-11,8.77,9.27,8.77,9.18,100900,0.0468,0.0515,926262.0,1425345.9
2007-09-12,9.29,9.63,9.16,9.35,189100,0.0065,0.0185,1768085.0,1358729.9
2007-09-13,9.4,9.54,9.06,9.21,87000,-0.0202,-0.015,801270.0,1447967.4
2007-09-14,9.13,9.22,9.0,9.22,98800,0.0099,0.0011,910936.0,1459466.4
2007-09-17,9.25,9.27,9.0,9.05,40600,-0.0216,-0.0184,367430.0,1450944.5
2007-09-18,9.07,9.53,8.95,9.49,87400,0.0463,0.0486,829426.0,1427389.3
2007-09-19,9.49,9.89,9.49,9.88,116100,0.0411,0.0411,1147068.0,1246110.5
2007-09-20,9.91,9.96,9.78,9.93,119100,0.002,0.0051,1182663.0,1240532.1
2007-09-21,9.98,9.99,9.8,9.84,136800,-0.014,-0.0091,1346112.0,1038897.0
2007-09-24,9.81,9.92,9.47,9.58,130600,-0.0234,-0.0264,1251148.0,1047177.0
2007-09-25,9.53,9.8,9.27,9.75,106900,0.0231,0.0177,1042275.0,1053040.0
2007-09-26,9.79,10.16,9.71,10.01,225300,0.0225,0.0267,2255253.0,1064641.3
2007-09-27,10.0,10.0,9.8,9.84,61200,-0.016,-0.017,602208.0,1113358.1
