Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,3.21,3.21,2.98,3.19,16273,-0.0062,,51910.87,
2003-12-02,3.18,3.18,3.16,3.16,3438,-0.0063,-0.0094,10864.08,
2003-12-03,3.27,3.27,3.2,3.21,20628,-0.0183,0.0158,66215.88,
2003-12-04,3.1,3.18,3.1,3.18,2980,0.0258,-0.0093,9476.4,
2003-12-05,3.14,3.14,3.14,3.14,2521,0.0,-0.0126,7915.94,
2003-12-08,3.18,3.18,3.16,3.16,10314,-0.0063,0.0064,32592.24,
2003-12-09,3.23,3.25,3.16,3.18,8251,-0.0155,0.0063,26238.18,
2003-12-10,3.28,3.28,3.16,3.21,18795,-0.0213,0.0094,60331.95,
2003-12-11,3.23,3.23,3.14,3.14,9168,-0.0279,-0.0218,28787.52,
2003-12-12,3.23,3.23,3.17,3.23,4126,0.0,0.0287,13326.98,
2003-12-15,3.23,3.23,3.23,3.23,5272,0.0,0.0,17028.56,30766.0
2003-12-16,3.16,3.27,3.15,3.15,20628,-0.0032,-0.0248,64978.2,27277.77
2003-12-17,3.15,3.15,3.15,3.15,229,0.0,0.0,721.35,32689.18
2003-12-18,3.15,3.15,3.15,3.15,0,0.0,0.0,0.0,26139.73
2003-12-19,3.14,3.14,3.08,3.09,7334,-0.0159,-0.019,22662.06,25192.09
2003-12-22,3.1,3.2,3.1,3.11,9168,0.0032,0.0065,28512.48,26666.7
2003-12-23,3.2,3.23,3.2,3.23,16503,0.0094,0.0386,53304.69,26258.73
2003-12-24,3.2,3.2,3.2,3.2,1604,0.0,-0.0093,5132.8,28965.38
2003-12-26,3.14,3.15,3.14,3.14,8022,0.0,-0.0188,25189.08,23445.46
2003-12-29,3.14,3.38,3.14,3.38,27046,0.0764,0.0764,91415.48,23085.62
2003-12-30,3.39,3.44,3.38,3.43,27733,0.0118,0.0148,95124.19,30894.47
2003-12-31,3.58,3.58,3.58,3.58,4147,0.0,0.0437,14846.26,38704.03
2004-01-02,3.58,3.61,3.58,3.61,9823,0.0084,0.0084,35461.03,33690.84
2004-01-05,3.61,3.61,3.41,3.56,25321,-0.0139,-0.0139,90142.76,37164.81
2004-01-06,3.55,3.55,3.41,3.42,63522,-0.0366,-0.0393,217245.24,46179.08
2004-01-07,3.49,3.49,3.42,3.46,5457,-0.0086,0.0117,18881.22,65637.4
2004-01-08,3.58,3.58,3.48,3.49,20301,-0.0251,0.0087,70850.49,64674.28
2004-01-09,3.49,3.53,3.42,3.5,8513,0.0029,0.0029,29795.5,66428.86
2004-01-12,3.42,3.55,3.42,3.44,7422,0.0058,-0.0171,25531.68,68895.12
2004-01-13,3.55,3.55,3.43,3.43,7422,-0.0338,-0.0029,25457.46,68929.38
2004-01-14,3.49,3.49,3.38,3.48,12006,-0.0029,0.0146,41780.88,62333.58
2004-01-15,3.49,3.71,3.48,3.63,53480,0.0401,0.0431,194132.4,56999.25
2004-01-16,3.66,3.87,3.61,3.85,82949,0.0519,0.0606,319353.65,74927.87
2004-01-20,4.26,4.39,4.06,4.25,95173,-0.0023,0.1039,404485.25,103317.13
2004-01-21,4.38,4.43,4.16,4.28,28377,-0.0228,0.0071,121453.56,134751.38
2004-01-22,4.3,4.49,4.22,4.27,36454,-0.007,-0.0023,155658.58,125172.21
2004-01-23,4.28,4.49,4.16,4.26,96701,-0.0047,-0.0023,411946.26,138849.94
2004-01-26,4.28,4.29,3.97,4.29,46714,0.0023,0.007,200403.06,172959.52
2004-01-27,4.25,4.25,4.09,4.2,25103,-0.0118,-0.021,105432.6,190020.28
2004-01-28,4.28,4.29,4.1,4.18,18554,-0.0234,-0.0048,77555.72,198010.37
2004-01-29,4.15,4.16,4.09,4.09,5021,-0.0145,-0.0215,20535.89,203220.2
2004-01-30,3.99,4.09,3.9,4.08,16590,0.0226,-0.0024,67687.2,201095.7
2004-02-02,4.38,4.38,3.83,3.9,17681,-0.1096,-0.0441,68955.9,188451.18
2004-02-03,3.87,4.06,3.83,4.03,4584,0.0413,0.0333,18473.52,163411.4
2004-02-04,4.03,4.33,4.03,4.17,8731,0.0347,0.0347,36408.27,124810.23
2004-02-05,4.21,4.25,4.12,4.12,4147,-0.0214,-0.012,17085.64,116305.7
2004-02-06,4.18,4.18,4.04,4.08,24666,-0.0239,-0.0097,100637.28,102448.41
2004-02-09,3.86,4.24,3.85,4.06,10041,0.0518,-0.0049,40766.46,71317.51
2004-02-10,4.16,4.16,4.09,4.14,7203,-0.0048,0.0197,29820.42,55353.85
2004-02-11,4.14,4.14,4.0,4.06,1091,-0.0193,-0.0193,4429.46,47792.63
2004-02-12,4.13,4.14,4.11,4.11,4366,-0.0048,0.0123,17944.26,40480.0
2004-02-13,4.11,4.17,4.04,4.13,12224,0.0049,0.0049,50485.12,40220.84
2004-02-17,4.11,4.2,3.97,4.2,18118,0.0219,0.0169,76095.6,38500.63
2004-02-18,4.1,4.27,4.1,4.1,13534,0.0,-0.0238,55489.4,39214.6
2004-02-19,4.02,4.25,3.94,4.08,29905,0.0149,-0.0049,122012.4,42916.19
2004-02-20,3.87,4.14,3.82,3.85,21610,-0.0052,-0.0564,83198.5,51476.6
2004-02-23,3.85,4.2,3.85,3.9,13752,0.013,0.013,53632.8,58087.89
2004-02-24,4.15,4.15,3.76,3.8,25976,-0.0843,-0.0256,98708.8,53387.44
2004-02-25,3.89,3.89,3.76,3.76,8513,-0.0334,-0.0105,32008.88,59181.68
2004-02-26,4.01,4.03,3.77,3.77,12661,-0.0599,0.0027,47731.97,59400.52
2004-02-27,3.62,3.86,3.62,3.76,15498,0.0387,-0.0027,58272.48,63730.77
2004-03-01,3.62,4.07,3.62,3.94,34489,0.0884,0.0479,135886.66,67763.6
2004-03-02,3.94,3.94,3.81,3.81,8950,-0.033,-0.033,34099.5,76303.75
2004-03-03,4.07,4.07,3.77,3.78,5239,-0.0713,-0.0079,19803.42,72104.14
2004-03-04,3.88,3.88,3.63,3.65,32525,-0.0593,-0.0344,118716.25,68535.54
2004-03-05,3.85,3.85,3.66,3.66,1310,-0.0494,0.0027,4794.6,68205.93
2004-03-08,3.68,3.79,3.68,3.68,11788,0.0,0.0055,43379.84,60365.54
2004-03-09,3.84,3.84,3.71,3.71,5894,-0.0339,0.0082,21866.74,59340.24
2004-03-10,3.84,3.84,3.84,3.84,4584,0.0,0.035,17602.56,51656.03
2004-03-11,4.03,4.03,3.7,3.81,10696,-0.0546,-0.0078,40751.76,50215.4
2004-03-12,3.78,3.78,3.78,3.78,2183,0.0,-0.0079,8251.74,49517.38
2004-03-15,3.78,3.78,3.62,3.62,2401,-0.0423,-0.0423,8691.62,44515.31
2004-03-16,3.75,3.75,3.52,3.72,7858,-0.008,0.0276,29231.76,31795.8
2004-03-17,3.54,3.68,3.31,3.68,18118,0.0395,-0.0108,66674.24,31309.03
2004-03-18,3.7,3.7,3.66,3.7,9605,0.0,0.0054,35538.5,35996.11
2004-03-19,3.67,3.7,3.37,3.46,30779,-0.0572,-0.0649,106495.34,27678.34
2004-03-22,3.42,3.58,3.16,3.27,46495,-0.0439,-0.0549,152038.65,37848.41
