Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2018-06-13,25.5,25.6,24.94,25.6,2720489,0.0039,,69644518.4,
2018-06-14,25.51,26.0,25.51,25.89,932281,0.0149,0.0113,24136755.09,
2018-06-15,25.88,25.88,25.7,25.75,111767,-0.005,-0.0054,2878000.25,
2018-06-18,25.65,25.85,25.55,25.8,76118,0.0058,0.0019,1963844.4,
2018-06-19,25.8,25.85,25.58,25.76,352519,-0.0016,-0.0016,9080889.44,
2018-06-20,26.0,26.0,25.5,25.5,400024,-0.0192,-0.0101,10200612.0,
2018-06-21,25.7,25.75,25.5,25.75,192691,0.0019,0.0098,4961793.25,
2018-06-22,25.75,25.75,25.52,25.62,175038,-0.005,-0.005,4484473.56,
2018-06-25,25.62,25.62,25.62,25.62,0,0.0,0.0,0.0,
2018-06-26,25.62,25.67,25.58,25.65,497968,0.0012,0.0012,12772879.2,
2018-06-27,25.71,25.72,25.61,25.64,329192,-0.0027,-0.0004,8440482.88,14012376.56
2018-06-28,25.67,25.68,25.62,25.68,279417,0.0004,0.0016,7175428.56,7891973.01
2018-06-29,25.7,25.7,25.61,25.64,424989,-0.0023,-0.0016,10896717.96,6195840.35
2018-07-02,25.68,25.72,25.63,25.72,450859,0.0016,0.0031,11596093.48,6997712.12
2018-07-03,25.81,25.81,25.71,25.72,89647,-0.0035,0.0,2305720.84,7960937.03
2018-07-05,25.75,25.83,25.72,25.79,225107,0.0016,0.0027,5805509.53,7283420.17
2018-07-06,25.81,26.04,25.8,26.0,279517,0.0074,0.0081,7267442.0,6843909.93
2018-07-09,26.0,26.02,25.85,26.0,77639,0.0,0.0,2018614.0,7074474.8
2018-07-10,25.99,26.09,25.95,25.98,168990,-0.0004,-0.0008,4390360.2,6827888.85
2018-07-11,25.97,26.02,25.91,26.0,98537,0.0012,0.0008,2561962.0,7266924.86
2018-07-12,26.0,26.04,25.93,25.93,353454,-0.0027,-0.0027,9165062.22,6245833.14
2018-07-13,25.95,25.96,25.85,25.9,88909,-0.0019,-0.0012,2302743.1,6318291.08
2018-07-16,25.9,25.9,25.73,25.73,179483,-0.0066,-0.0066,4618097.59,5831022.53
2018-07-17,25.72,25.79,25.58,25.59,181081,-0.0051,-0.0054,4633862.79,5203160.5
2018-07-18,25.64,25.66,25.55,25.59,194992,-0.002,0.0,4989845.28,4506937.43
2018-07-19,25.63,25.73,25.62,25.68,96878,0.002,0.0035,2487827.04,4775349.87
2018-07-20,25.7,25.76,25.61,25.74,1138408,0.0016,0.0023,29302621.92,4443581.62
2018-07-23,25.69,25.7,24.64,25.69,185124,0.0,-0.0019,4755835.56,6647099.61
2018-07-24,25.68,25.7,25.65,25.68,97823,0.0,-0.0004,2512094.64,6920821.77
2018-07-25,25.73,25.73,25.7,25.73,173700,0.0,0.0019,4469301.0,6732995.21
2018-07-26,25.75,25.75,25.7,25.73,140836,-0.0008,0.0,3623710.28,6923729.11
2018-07-27,25.73,25.78,25.73,25.77,48166,0.0016,0.0016,1241237.82,6369593.92
2018-07-30,25.78,25.84,25.72,25.8,112233,0.0008,0.0012,2895611.4,6263443.39
2018-07-31,25.85,25.85,25.75,25.85,76778,0.0,0.0019,1984711.3,6091194.77
2018-08-01,25.85,25.88,25.8,25.86,121587,0.0004,0.0004,3144239.82,5826279.62
2018-08-02,25.94,25.96,25.88,25.96,124069,0.0008,0.0039,3220831.24,5641719.08
2018-08-03,26.0,26.05,25.97,26.0,69151,0.0,0.0015,1797926.0,5715019.5
2018-08-06,26.1,26.1,25.93,26.05,25657,-0.0019,0.0019,668364.85,2964549.91
2018-08-07,26.09,26.09,26.01,26.08,30175,-0.0004,0.0012,786964.0,2555802.84
2018-08-08,26.09,26.09,26.05,26.08,48058,-0.0004,0.0,1253352.64,2383289.77
2018-08-09,26.09,26.14,26.01,26.08,17677,-0.0004,0.0,461016.16,2061694.94
2018-08-10,26.0,26.09,25.99,25.99,84181,-0.0004,-0.0035,2187864.19,1745425.52
2018-08-13,26.13,26.13,25.98,26.04,10756,-0.0034,0.0019,280086.24,1840088.16
2018-08-14,26.07,26.19,26.05,26.19,33857,0.0046,0.0058,886714.83,1578535.64
2018-08-15,26.19,26.19,26.13,26.15,123275,-0.0015,-0.0015,3223641.25,1468736.0
2018-08-16,26.15,26.15,26.07,26.08,60493,-0.0027,-0.0027,1577657.44,1476676.14
2018-08-17,26.1,26.15,25.99,26.1,25232,0.0,0.0008,658555.2,1312358.76
2018-08-20,26.14,26.14,26.07,26.08,26918,-0.0023,-0.0008,702021.44,1198421.68
2018-08-21,26.14,26.14,26.07,26.08,7429,-0.0023,0.0,193748.32,1201787.34
2018-08-22,26.12,26.14,26.02,26.07,10828,-0.0019,-0.0004,282285.96,1142465.77
2018-08-23,26.1,26.1,26.07,26.09,21393,-0.0004,0.0008,558143.37,1045359.1
2018-08-24,26.13,26.18,26.11,26.18,16638,0.0019,0.0034,435582.84,1055071.82
2018-08-27,26.1,26.21,26.1,26.16,21013,0.0023,-0.0008,549700.08,879843.69
2018-08-28,26.15,26.29,26.1,26.15,49484,0.0,-0.0004,1294006.6,906805.07
2018-08-29,26.22,26.24,26.12,26.15,21577,-0.0027,0.0,564238.55,947534.25
2018-08-30,26.18,26.29,26.18,26.25,9629,0.0027,0.0038,252761.25,681593.98
2018-08-31,26.15,26.29,26.15,26.25,24817,0.0038,0.0,651446.25,549104.36
2018-09-04,26.39,26.39,26.22,26.22,6015,-0.0064,-0.0011,157713.3,548393.47
2018-09-05,26.34,26.34,26.16,26.17,16511,-0.0065,-0.0019,432092.87,493962.65
2018-09-06,26.29,26.34,26.04,26.16,35889,-0.0049,-0.0004,938856.24,517797.11
2018-09-07,26.16,26.19,26.03,26.05,19145,-0.0042,-0.0042,498727.25,583454.14
2018-09-10,26.12,26.18,26.07,26.1,21347,-0.0008,0.0019,557156.7,577512.52
2018-09-11,26.13,26.23,26.09,26.2,44436,0.0027,0.0038,1164223.2,589669.91
2018-09-12,26.25,26.29,26.19,26.23,24921,-0.0008,0.0011,653677.83,651122.22
2018-09-13,26.05,26.16,25.83,26.15,58212,0.0038,-0.003,1522243.8,587089.34
2018-09-14,26.35,26.53,26.07,26.38,32062,0.0011,0.0088,845795.56,682889.87
2018-09-17,26.36,26.46,26.14,26.19,128750,-0.0064,-0.0072,3371962.5,742193.3
2018-09-18,26.2,26.26,26.16,26.21,13160,0.0004,0.0008,344923.6,1014244.92
2018-09-19,26.17,26.19,25.89,26.0,59277,-0.0065,-0.008,1541202.0,1032965.96
2018-09-20,25.99,26.09,25.88,25.97,300225,-0.0008,-0.0012,7796843.25,1143876.87
2018-09-21,26.13,26.13,25.95,25.95,16709,-0.0069,-0.0008,433598.55,1829675.57
2018-09-24,25.99,26.0,25.96,26.0,63667,0.0004,0.0019,1655342.0,1823162.7
2018-09-25,25.9,26.02,25.87,25.91,25059,0.0004,-0.0035,649278.69,1932981.23
2018-09-26,25.99,26.01,25.95,25.99,14438,0.0,0.0031,375243.62,1881486.78
2018-09-27,25.95,26.03,25.91,25.99,17215,0.0015,0.0,447417.85,1853643.36
2018-09-28,26.1,26.22,26.02,26.22,34027,0.0046,0.0088,892187.94,1746160.76
2018-10-01,26.13,26.15,25.8,25.83,19825,-0.0115,-0.0149,512079.75,1750800.0
2018-10-02,26.0,26.08,25.83,25.83,22003,-0.0065,0.0,568337.49,1464811.72
2018-10-03,25.84,25.93,25.52,25.54,31760,-0.0116,-0.0112,811150.4,1487153.11
2018-10-04,25.64,25.73,25.13,25.23,36879,-0.016,-0.0121,930457.17,1414147.95
2018-10-05,25.28,25.45,25.16,25.33,41853,0.002,0.004,1060136.49,727509.35
2018-10-08,25.25,25.54,25.25,25.52,21281,0.0107,0.0075,543091.12,790163.14
2018-10-09,25.53,25.74,25.51,25.68,12398,0.0059,0.0063,318380.64,678938.05
2018-10-10,25.65,25.76,25.42,25.5,24187,-0.0058,-0.007,616768.5,645848.25
2018-10-11,25.45,25.74,25.42,25.55,12255,0.0039,0.002,313115.25,670000.74
2018-10-12,25.73,25.73,25.5,25.5,9457,-0.0089,-0.002,241153.5,656570.48
2018-10-15,25.72,25.72,25.51,25.71,7464,-0.0004,0.0082,191899.44,591467.03
2018-10-16,25.71,25.73,25.47,25.53,38229,-0.007,-0.007,975986.37,559449.0
2018-10-17,25.68,25.68,25.42,25.5,17416,-0.007,-0.0012,444108.0,600213.89
2018-10-18,25.65,25.69,25.55,25.55,9180,-0.0039,0.002,234549.0,563509.65
2018-10-19,25.6,25.64,25.45,25.45,201171,-0.0059,-0.0039,5119801.95,493918.83
2018-10-22,25.41,25.53,25.35,25.4,16747,-0.0004,-0.002,425373.8,899885.38
2018-10-23,25.21,25.37,25.21,25.31,22270,0.004,-0.0035,563653.7,888113.65
2018-10-24,25.35,25.51,25.19,25.47,27702,0.0047,0.0063,705569.94,912640.95
2018-10-25,25.35,25.5,25.3,25.47,11652,0.0047,0.0,296776.44,921521.1
2018-10-26,25.4,25.47,25.35,25.41,22519,0.0004,-0.0024,572207.79,919887.21
2018-10-29,25.45,25.5,25.35,25.44,17186,-0.0004,0.0012,437211.84,952992.64
2018-10-30,25.46,25.46,25.35,25.43,13617,-0.0012,-0.0004,346280.31,977523.88
2018-10-31,25.5,25.6,25.43,25.55,17957,0.002,0.0047,458801.35,914553.28
2018-11-01,25.55,25.58,25.55,25.55,19603,0.0,0.0,500856.65,916022.61
2018-11-02,25.52,25.52,25.37,25.44,7657,-0.0031,-0.0043,194794.08,942653.38
