Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2021-11-09,15.5,54.56,15.0,48.3,3404200,2.1161,,164422860.0,
2021-11-10,39.78,77.34,34.0,45.0,5954200,0.1312,-0.0683,267939000.0,
2021-11-11,49.02,53.81,44.46,51.91,643500,0.059,0.1536,33404085.0,
2021-11-12,47.62,50.0,40.1,43.55,340800,-0.0855,-0.161,14841840.0,
2021-11-15,43.6,51.94,41.0,51.83,294500,0.1888,0.1901,15263935.0,
2021-11-16,48.0,49.15,35.0,45.63,586400,-0.0494,-0.1196,26757432.0,
2021-11-17,40.6,45.36,39.27,45.36,176000,0.1172,-0.0059,7983360.0,
2021-11-18,41.8,44.0,38.81,40.6,152600,-0.0287,-0.1049,6195560.0,
2021-11-19,38.6,38.8,30.73,32.11,181600,-0.1681,-0.2091,5831176.0,
2021-11-22,30.0,40.99,29.67,38.98,129700,0.2993,0.214,5055706.0,
2021-11-23,39.0,39.0,9.5,11.18,4213000,-0.7133,-0.7132,47101340.0,54769495.4
2021-11-24,12.48,16.33,10.8,13.17,9761800,0.0553,0.178,128562906.0,43037343.4
2021-11-26,12.32,12.4,10.31,10.96,1130000,-0.1104,-0.1678,12384800.0,29099734.0
2021-11-29,10.99,11.45,9.7,9.92,732000,-0.0974,-0.0949,7261440.0,26997805.5
2021-11-30,9.67,10.17,8.03,9.0,882400,-0.0693,-0.0927,7941600.0,26239765.5
2021-12-01,8.97,8.97,7.31,7.4,626300,-0.175,-0.1778,4634620.0,25507532.0
2021-12-02,7.11,8.74,6.7,7.29,1758100,0.0253,-0.0149,12816549.0,23295250.8
2021-12-03,7.21,7.32,6.35,6.81,388100,-0.0555,-0.0658,2642961.0,23778569.7
2021-12-06,6.5,7.15,6.25,6.7,506000,0.0308,-0.0162,3390200.0,23423309.8
2021-12-07,6.74,7.25,6.62,6.74,497300,0.0,0.006,3351802.0,23179212.2
2021-12-08,6.74,6.86,6.27,6.49,577600,-0.0371,-0.0371,3748624.0,23008821.8
2021-12-09,6.45,6.7,5.8,5.87,752400,-0.0899,-0.0955,4416588.0,18673550.2
2021-12-10,5.92,6.05,5.5,5.66,300400,-0.0439,-0.0358,1700264.0,6258918.4
2021-12-13,5.57,5.58,4.63,4.78,983300,-0.1418,-0.1555,4700174.0,5190464.8
2021-12-14,4.64,4.8,3.8,3.86,924400,-0.1681,-0.1925,3568184.0,4934338.2
2021-12-15,3.86,4.11,3.65,4.03,478900,0.044,0.044,1929967.0,4496996.6
2021-12-16,4.03,4.33,3.47,3.52,610700,-0.1266,-0.1266,2149664.0,4226531.3
2021-12-17,3.46,3.69,3.27,3.31,683700,-0.0434,-0.0597,2263047.0,3159842.8
2021-12-20,4.51,13.48,4.44,11.26,168207100,1.4967,2.4018,1894011946.0,3121851.4
2021-12-21,11.27,13.0,9.73,10.63,38487200,-0.0568,-0.056,409118936.0,192184026.0
2021-12-22,9.95,18.6,9.56,16.31,107641200,0.6392,0.5343,1755627972.0,232760739.4
2021-12-23,17.03,22.34,15.39,15.97,84459300,-0.0622,-0.0208,1348815021.0,407948674.2
2021-12-27,14.5,15.49,12.51,14.04,15938700,-0.0317,-0.1209,223779348.0,542388517.5
2021-12-28,13.27,16.6,13.1,14.43,18870300,0.0874,0.0278,272298429.0,564596425.9
2021-12-29,14.23,16.4,13.42,13.74,9307500,-0.0344,-0.0478,127885050.0,591356251.4
2021-12-30,13.91,14.73,12.61,13.04,5006200,-0.0625,-0.0509,65280848.0,603787938.0
2021-12-31,12.95,12.97,10.26,10.41,3050800,-0.1961,-0.2017,31758828.0,610123026.1
2022-01-03,10.32,12.2,10.3,11.15,4260200,0.0804,0.0711,47501230.0,613083942.5
2022-01-04,10.9,11.04,9.4,9.66,1418300,-0.1138,-0.1336,13700778.0,617607760.8
2022-01-05,9.66,10.0,8.11,8.91,1626700,-0.0776,-0.0776,14493897.0,429576644.0
2022-01-06,8.87,9.5,8.01,9.25,1036300,0.0428,0.0382,9585775.0,390114140.1
2022-01-07,8.84,9.68,8.56,8.72,659300,-0.0136,-0.0573,5749096.0,215509920.4
2022-01-10,8.42,8.86,7.81,8.09,609200,-0.0392,-0.0722,4928428.0,81203327.9
2022-01-11,8.17,8.71,7.92,8.05,1039800,-0.0147,-0.0049,8370390.0,59318235.9
2022-01-12,8.31,8.56,7.56,7.73,1208700,-0.0698,-0.0398,9343251.0,32925432.0
2022-01-13,7.58,7.71,6.85,6.95,1957100,-0.0831,-0.1009,13601845.0,21071252.1
2022-01-14,6.76,6.88,6.17,6.3,568800,-0.068,-0.0935,3583440.0,15903351.8
2022-01-18,6.11,6.18,5.51,5.59,859500,-0.0851,-0.1127,4804605.0,13085813.0
2022-01-19,5.75,5.84,5.32,5.46,397300,-0.0504,-0.0233,2169258.0,8816150.5
2022-01-20,5.37,6.69,5.34,6.14,3623900,0.1434,0.1245,22250746.0,7662998.5
2022-01-21,5.85,6.08,5.21,5.38,1990700,-0.0803,-0.1238,10709966.0,8438683.4
2022-01-24,5.01,5.45,4.3,5.28,604000,0.0539,-0.0186,3189120.0,8551102.5
2022-01-25,5.1,6.11,5.0,5.4,848900,0.0588,0.0227,4584060.0,8295104.9
2022-01-26,5.43,5.78,4.8,5.11,710100,-0.0589,-0.0537,3628611.0,8260668.1
2022-01-27,5.12,5.16,4.42,4.46,282500,-0.1289,-0.1272,1259950.0,7786490.2
2022-01-28,4.44,4.71,4.27,4.34,245300,-0.0225,-0.0269,1064602.0,6978160.1
2022-01-31,4.3,5.0,4.28,4.93,491500,0.1465,0.1359,2423095.0,5724435.8
2022-02-01,4.96,5.39,4.82,4.93,564900,-0.006,0.0,2784957.0,5608401.3
2022-02-02,4.71,4.88,4.0,4.08,690000,-0.1338,-0.1724,2815200.0,5406436.5
2022-02-03,3.82,4.08,3.5,3.98,1384700,0.0419,-0.0245,5511106.0,5471030.7
2022-02-04,3.99,4.16,3.8,3.91,691500,-0.0201,-0.0176,2703765.0,3797066.7
2022-02-07,4.1,4.1,3.21,3.28,2373900,-0.2,-0.1611,7786392.0,2996446.6
2022-02-08,4.2,5.95,4.02,4.68,70342700,0.1143,0.4268,329203836.0,3456173.8
2022-02-09,3.39,3.84,3.33,3.57,15852300,0.0531,-0.2372,56592711.0,35918151.4
2022-02-10,3.74,4.32,3.7,3.85,15799300,0.0294,0.0784,60827305.0,41214561.4
2022-02-11,3.71,3.89,3.43,3.53,2932300,-0.0485,-0.0831,10351019.0,47171296.9
2022-02-14,3.51,3.9,3.39,3.62,2815400,0.0313,0.0255,10191748.0,48099938.6
2022-02-15,3.74,3.77,3.5,3.69,1528500,-0.0134,0.0193,5640165.0,48876803.9
2022-02-16,3.6,3.71,3.5,3.59,1396000,-0.0028,-0.0271,5011640.0,49162324.7
2022-02-17,3.5,3.56,3.23,3.28,1668800,-0.0629,-0.0864,5473664.0,49381968.7
2022-02-18,3.28,3.29,3.04,3.05,1268400,-0.0701,-0.0701,3868620.0,49378224.5
2022-02-22,2.82,2.99,2.72,2.76,1181800,-0.0213,-0.0951,3261768.0,49494710.0
2022-02-23,2.86,2.86,2.49,2.51,837200,-0.1224,-0.0906,2101372.0,49042247.6
2022-02-24,2.23,2.69,2.18,2.67,1672900,0.1973,0.0637,4466643.0,16332001.2
2022-02-25,2.68,2.7,2.47,2.51,937300,-0.0634,-0.0599,2352623.0,11119394.4
2022-02-28,2.57,2.75,2.51,2.61,1007900,0.0156,0.0398,2630619.0,5271926.2
2022-03-01,2.56,2.62,2.36,2.38,745900,-0.0703,-0.0881,1775242.0,4499886.2
2022-03-02,2.38,2.6,2.31,2.46,754700,0.0336,0.0336,1856562.0,3658235.6
2022-03-03,2.54,2.54,2.25,2.29,472300,-0.0984,-0.0691,1081567.0,3279875.3
2022-03-04,2.34,2.34,2.14,2.22,512800,-0.0513,-0.0306,1138416.0,2886868.0
2022-03-07,2.2,2.25,2.11,2.18,640700,-0.0091,-0.018,1396726.0,2453343.2
2022-03-08,2.1,2.35,2.05,2.19,1128200,0.0429,0.0046,2470758.0,2206153.8
2022-03-09,2.35,3.28,2.2,2.8,6972900,0.1915,0.2785,19524120.0,2127052.8
2022-03-10,2.55,2.63,2.29,2.43,2105700,-0.0471,-0.1321,5116851.0,3869327.6
2022-03-11,2.36,2.46,2.2,2.21,828400,-0.0636,-0.0905,1830764.0,3934348.4
2022-03-14,2.17,2.21,2.03,2.05,751100,-0.0553,-0.0724,1539755.0,3882162.5
2022-03-15,2.07,2.21,2.06,2.17,737200,0.0483,0.0585,1599724.0,3773076.1
2022-03-16,2.3,2.37,2.08,2.26,1109700,-0.0174,0.0415,2507922.0,3755524.3
2022-03-17,2.22,2.64,2.22,2.62,1106800,0.1802,0.1593,2899816.0,3820660.3
2022-03-18,2.52,3.08,2.48,2.84,2902600,0.127,0.084,8243384.0,4002485.2
2022-03-21,2.79,2.97,2.6,2.67,964000,-0.043,-0.0599,2573880.0,4712982.0
2022-03-22,2.67,4.55,2.65,3.51,31096000,0.3146,0.3146,109146960.0,4830697.4
2022-03-23,3.25,3.63,3.17,3.56,4717000,0.0954,0.0142,16792520.0,15498317.6
2022-03-24,3.45,3.62,3.37,3.59,1973100,0.0406,0.0084,7083429.0,15225157.6
2022-03-25,3.55,3.85,3.36,3.45,2353900,-0.0282,-0.039,8120955.0,15421815.4
2022-03-28,3.45,3.5,2.91,3.29,1432600,-0.0464,-0.0464,4713254.0,16050834.5
2022-03-29,3.24,3.35,3.05,3.13,906600,-0.034,-0.0486,2837658.0,16368184.4
2022-03-30,3.12,3.29,2.96,2.96,649400,-0.0513,-0.0543,1922224.0,16491977.8
2022-03-31,2.96,3.05,2.91,2.97,594900,0.0034,0.0034,1766853.0,16433408.0
2022-04-01,2.99,3.55,2.99,3.27,3981300,0.0936,0.101,13018851.0,16320111.7
2022-04-04,3.41,3.7,3.26,3.64,3535200,0.0674,0.1131,12868128.0,16797658.4
