Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,0.27,0.4,0.27,0.4,34000,0.4815,,13600.0,
2003-12-02,0.4,0.49,0.38,0.43,80600,0.075,0.075,34658.0,
2003-12-03,0.5,0.67,0.48,0.54,979200,0.08,0.2558,528768.0,
2003-12-04,0.53,0.56,0.45,0.52,167100,-0.0189,-0.037,86892.0,
2003-12-05,0.51,0.54,0.45,0.51,191500,0.0,-0.0192,97665.0,
2003-12-08,0.48,0.51,0.46,0.46,66500,-0.0417,-0.098,30590.0,
2003-12-09,0.5,0.5,0.45,0.49,61000,-0.02,0.0652,29890.0,
2003-12-10,0.45,0.45,0.4,0.4,76300,-0.1111,-0.1837,30520.0,
2003-12-11,0.45,0.45,0.4,0.4,33700,-0.1111,0.0,13480.0,
2003-12-12,0.45,0.45,0.43,0.43,42500,-0.0444,0.075,18275.0,
2003-12-15,0.49,0.54,0.43,0.48,80400,-0.0204,0.1163,38592.0,88433.8
2003-12-16,0.51,0.53,0.43,0.52,68200,0.0196,0.0833,35464.0,90933.0
2003-12-17,0.51,0.52,0.51,0.51,20300,0.0,-0.0192,10353.0,91013.6
2003-12-18,0.53,0.53,0.53,0.53,3500,0.0,0.0392,1855.0,39172.1
2003-12-19,0.4,0.53,0.4,0.4,25600,0.0,-0.2453,10240.0,30668.4
2003-12-22,0.4,0.5,0.38,0.5,20700,0.25,0.25,10350.0,21925.9
2003-12-23,0.5,0.5,0.38,0.5,2300,0.0,0.0,1150.0,19901.9
2003-12-24,0.5,0.5,0.5,0.5,200,0.0,0.0,100.0,17027.9
2003-12-26,0.5,0.5,0.5,0.5,0,0.0,0.0,0.0,13985.9
2003-12-29,0.45,0.45,0.41,0.41,2900,-0.0889,-0.18,1189.0,12637.9
2003-12-30,0.41,0.41,0.41,0.41,3000,0.0,0.0,1230.0,10929.3
2003-12-31,0.41,0.49,0.41,0.49,1700,0.1951,0.1951,833.0,7193.1
2004-01-02,0.49,0.49,0.49,0.49,0,0.0,0.0,0.0,3730.0
2004-01-05,0.51,0.6,0.46,0.6,377300,0.1765,0.2245,226380.0,2694.7
2004-01-06,0.65,0.94,0.59,0.8,945100,0.2308,0.3333,756080.0,25147.2
2004-01-07,0.81,0.91,0.75,0.8,157400,-0.0123,0.0,125920.0,99731.2
2004-01-08,0.61,0.9,0.61,0.75,39100,0.2295,-0.0625,29325.0,111288.2
2004-01-09,0.85,0.9,0.74,0.84,90500,-0.0118,0.12,76020.0,114105.7
2004-01-12,0.84,0.84,0.78,0.8,90300,-0.0476,-0.0476,72240.0,121697.7
2004-01-13,0.83,0.83,0.79,0.83,47300,0.0,0.0375,39259.0,128921.7
2004-01-14,0.83,0.83,0.79,0.79,21600,-0.0482,-0.0482,17064.0,132728.7
2004-01-15,0.75,0.9,0.75,0.85,141300,0.1333,0.0759,120105.0,134312.1
2004-01-16,0.84,0.89,0.81,0.89,48100,0.0595,0.0471,42809.0,146239.3
2004-01-20,0.89,0.89,0.82,0.83,78100,-0.0674,-0.0674,64823.0,150520.2
2004-01-21,0.87,0.87,0.82,0.87,38200,0.0,0.0482,33234.0,134364.5
2004-01-22,0.9,0.9,0.82,0.83,29700,-0.0778,-0.046,24651.0,62079.9
2004-01-23,0.88,0.88,0.82,0.82,31000,-0.0682,-0.012,25420.0,51953.0
2004-01-26,0.79,0.87,0.79,0.83,14300,0.0506,0.0122,11869.0,51562.5
2004-01-27,0.79,0.82,0.76,0.76,63100,-0.038,-0.0843,47956.0,45147.4
2004-01-28,0.76,0.85,0.76,0.77,38900,0.0132,0.0132,29953.0,42719.0
2004-01-29,0.76,0.85,0.76,0.85,85800,0.1184,0.1039,72930.0,41788.4
2004-01-30,0.85,0.85,0.79,0.83,18000,-0.0235,-0.0235,14940.0,47375.0
2004-02-02,0.79,0.85,0.75,0.75,31800,-0.0506,-0.0964,23850.0,36858.5
2004-02-03,0.75,0.78,0.73,0.75,50800,0.0,0.0,38100.0,34962.6
2004-02-04,0.78,0.78,0.75,0.75,2300,-0.0385,0.0,1725.0,32290.3
2004-02-05,0.73,0.78,0.73,0.75,6800,0.0274,0.0,5100.0,29139.4
2004-02-06,0.74,0.74,0.73,0.73,5900,-0.0135,-0.0267,4307.0,27184.3
2004-02-09,0.73,0.75,0.73,0.74,14200,0.0137,0.0137,10508.0,25073.0
2004-02-10,0.73,0.74,0.73,0.74,5400,0.0137,0.0,3996.0,24936.9
2004-02-11,0.75,0.75,0.75,0.75,2000,0.0,0.0135,1500.0,20540.9
2004-02-12,0.73,0.73,0.68,0.68,14400,-0.0685,-0.0933,9792.0,17695.6
2004-02-13,0.7,0.7,0.65,0.68,28700,-0.0286,0.0,19516.0,11381.8
2004-02-17,0.65,0.7,0.65,0.7,17700,0.0769,0.0294,12390.0,11839.4
2004-02-18,0.65,0.65,0.65,0.65,4100,0.0,-0.0714,2665.0,10693.4
2004-02-19,0.7,0.72,0.68,0.7,10800,0.0,0.0769,7560.0,7149.9
2004-02-20,0.67,0.73,0.65,0.65,33100,-0.0299,-0.0714,21515.0,7733.4
2004-02-23,0.6,0.65,0.6,0.6,8500,0.0,-0.0769,5100.0,9374.9
2004-02-24,0.6,0.6,0.6,0.6,3000,0.0,0.0,1800.0,9454.2
2004-02-25,0.57,0.71,0.55,0.65,49200,0.1404,0.0833,31980.0,8583.4
2004-02-26,0.65,0.65,0.55,0.65,29100,0.0,0.0,18915.0,11381.8
2004-02-27,0.62,0.75,0.6,0.75,44900,0.2097,0.1538,33675.0,13123.3
2004-03-01,0.73,0.75,0.6,0.6,19500,-0.1781,-0.2,11700.0,15511.6
2004-03-02,0.6,0.7,0.6,0.7,16200,0.1667,0.1667,11340.0,14730.0
2004-03-03,0.7,0.85,0.7,0.85,19400,0.2143,0.2143,16490.0,14625.0
2004-03-04,0.85,0.87,0.78,0.8,34500,-0.0588,-0.0588,27600.0,16007.5
2004-03-05,0.84,1.75,0.82,1.4,611800,0.6667,0.75,856520.0,18011.5
2004-03-08,1.45,1.56,1.1,1.2,369400,-0.1724,-0.1429,443280.0,101512.0
2004-03-09,1.2,1.49,1.2,1.35,153800,0.125,0.125,207630.0,145330.0
2004-03-10,1.27,1.35,1.05,1.1,111500,-0.1339,-0.1852,122650.0,165913.0
2004-03-11,1.08,1.35,1.08,1.2,72600,0.1111,0.0909,87120.0,174980.0
