Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,4.1,4.21,4.1,4.17,157131,0.0171,,655236.27,
2003-12-02,4.19,4.21,4.17,4.19,196157,0.0,0.0048,821897.83,
2003-12-03,4.19,4.25,4.19,4.25,65728,0.0143,0.0143,279344.0,
2003-12-04,4.23,4.23,4.21,4.21,41080,-0.0047,-0.0094,172946.8,
2003-12-05,4.19,4.21,4.19,4.19,47242,0.0,-0.0048,197943.98,
2003-12-08,4.18,4.31,4.18,4.29,59566,0.0263,0.0239,255538.14,
2003-12-09,4.27,4.27,4.15,4.19,132483,-0.0187,-0.0233,555103.77,
2003-12-10,4.18,4.18,4.14,4.14,111943,-0.0096,-0.0119,463444.02,
2003-12-11,4.16,4.19,4.12,4.14,73944,-0.0048,0.0,306128.16,
2003-12-12,4.13,4.15,4.13,4.14,44161,0.0024,0.0,182826.54,
2003-12-15,4.15,4.16,4.14,4.15,391287,0.0,0.0024,1623841.05,389040.95
2003-12-16,4.14,4.14,3.99,4.01,209508,-0.0314,-0.0337,840127.08,485901.43
2003-12-17,4.02,4.07,4.02,4.06,27729,0.01,0.0125,112579.74,487724.35
2003-12-18,4.07,4.08,4.04,4.04,28756,-0.0074,-0.0049,116174.24,471047.93
2003-12-19,4.02,4.02,3.89,3.92,146861,-0.0249,-0.0297,575695.12,465370.67
2003-12-22,3.94,3.95,3.94,3.94,27729,0.0,0.0051,109252.26,503145.79
2003-12-23,3.97,4.05,3.97,4.05,298857,0.0202,0.0279,1210370.85,488517.2
2003-12-24,4.03,4.05,4.03,4.04,50323,0.0025,-0.0025,203304.92,554043.91
2003-12-26,4.05,4.06,4.04,4.04,78052,-0.0025,0.0,315330.08,528030.0
2003-12-29,4.03,4.05,3.93,4.02,210535,-0.0025,-0.005,846350.7,528950.19
2003-12-30,4.01,4.05,4.01,4.05,87295,0.01,0.0075,353544.75,595302.6
2003-12-31,4.03,4.05,4.03,4.05,35945,0.005,0.0,145577.25,468272.97
2004-01-02,4.04,4.06,4.04,4.05,19513,0.0025,0.0,79027.65,398817.99
2004-01-05,4.06,4.21,4.06,4.19,149942,0.032,0.0346,628256.98,395462.78
2004-01-06,4.18,4.23,4.16,4.19,102700,0.0024,0.0,430313.0,446671.06
