Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,30.87,30.9,30.3,30.73,21500,-0.0045,,660695.0,
2003-12-02,30.72,30.75,30.27,30.27,22500,-0.0146,-0.015,681075.0,
2003-12-03,30.27,30.57,29.5,29.73,40600,-0.0178,-0.0178,1207038.0,
2003-12-04,29.53,30.0,29.27,29.88,25200,0.0119,0.005,752976.0,
2003-12-05,29.99,30.06,29.25,29.44,18800,-0.0183,-0.0147,553472.0,
2003-12-08,29.73,29.9,29.26,29.9,21300,0.0057,0.0156,636870.0,
2003-12-09,29.95,30.0,29.26,29.26,19200,-0.023,-0.0214,561792.0,
2003-12-10,29.46,29.6,29.2,29.2,16000,-0.0088,-0.0021,467200.0,
2003-12-11,29.47,30.44,29.45,30.44,23900,0.0329,0.0425,727516.0,
2003-12-12,30.12,30.4,29.74,30.28,35200,0.0053,-0.0053,1065856.0,
2003-12-15,30.28,30.4,29.53,29.54,47500,-0.0244,-0.0244,1403150.0,731449.0
2003-12-16,29.5,30.33,29.41,30.33,28900,0.0281,0.0267,876537.0,805694.5
2003-12-17,30.29,30.35,29.85,30.01,57400,-0.0092,-0.0106,1722574.0,825240.7
2003-12-18,30.0,30.33,30.0,30.16,27100,0.0053,0.005,817336.0,876794.3
2003-12-19,30.56,30.75,29.9,30.34,35100,-0.0072,0.006,1064934.0,883230.3
2003-12-22,30.11,30.4,30.05,30.4,35800,0.0096,0.002,1088320.0,934376.5
2003-12-23,30.39,30.39,30.03,30.25,23000,-0.0046,-0.0049,695750.0,979521.5
2003-12-24,30.34,30.37,29.96,29.97,13500,-0.0122,-0.0093,404595.0,992917.3
2003-12-26,29.97,30.24,29.97,30.24,9700,0.009,0.009,293328.0,986656.8
2003-12-29,30.0,30.6,29.89,30.6,23300,0.02,0.0119,712980.0,943238.0
2003-12-30,30.5,30.67,30.27,30.57,16900,0.0023,-0.001,516633.0,907950.4
2003-12-31,30.26,30.49,29.8,29.8,29300,-0.0152,-0.0252,873140.0,819298.7
2004-01-02,29.75,30.44,29.75,30.1,33900,0.0118,0.0101,1020390.0,818959.0
2004-01-05,29.61,30.17,29.6,30.09,31700,0.0162,-0.0003,953853.0,748740.6
2004-01-06,30.1,30.39,29.84,30.35,28300,0.0083,0.0086,858905.0,762392.3
2004-01-07,30.0,30.6,30.0,30.55,21200,0.0183,0.0066,647660.0,741789.4
2004-01-08,30.6,30.7,30.16,30.39,31500,-0.0069,-0.0052,957285.0,697723.4
2004-01-09,30.1,30.44,30.1,30.16,15400,0.002,-0.0076,464464.0,723876.9
2004-01-12,30.64,30.69,29.86,30.24,40700,-0.0131,0.0027,1230768.0,729863.8
2004-01-13,30.27,30.27,29.63,29.65,31900,-0.0205,-0.0195,945835.0,823607.8
2004-01-14,29.65,29.7,29.5,29.65,31300,0.0,0.0,928045.0,846893.3
2004-01-15,29.65,29.65,29.16,29.51,20300,-0.0047,-0.0047,599053.0,888034.5
2004-01-16,29.31,30.0,29.3,29.51,39800,0.0068,0.0,1174498.0,860625.8
2004-01-20,29.75,30.5,29.75,30.5,43500,0.0252,0.0335,1326750.0,876036.6
2004-01-21,30.58,30.58,30.1,30.28,41000,-0.0098,-0.0072,1241480.0,913326.3
2004-01-22,30.44,30.53,30.17,30.17,47700,-0.0089,-0.0036,1439109.0,951583.8
2004-01-23,30.6,30.85,30.17,30.85,74700,0.0082,0.0225,2304495.0,1030728.7
2004-01-26,30.8,31.42,30.54,31.42,34000,0.0201,0.0185,1068280.0,1165449.7
2004-01-27,31.46,31.65,30.95,31.21,34300,-0.0079,-0.0067,1070503.0,1225831.3
2004-01-28,31.43,31.43,30.1,30.35,34300,-0.0344,-0.0276,1041005.0,1209804.8
2004-01-29,30.41,30.65,30.2,30.52,34800,0.0036,0.0056,1062096.0,1219321.8
2004-01-30,30.38,30.74,30.01,30.17,37400,-0.0069,-0.0115,1128358.0,1232726.9
2004-02-02,30.25,30.4,30.01,30.02,28700,-0.0076,-0.005,861574.0,1285657.4
2004-02-03,30.02,30.19,29.95,30.1,26800,0.0027,0.0027,806680.0,1254365.0
2004-02-04,30.0,30.2,29.76,29.81,50000,-0.0063,-0.0096,1490500.0,1202358.0
2004-02-05,30.07,30.33,29.75,29.78,27900,-0.0096,-0.001,830862.0,1227260.0
2004-02-06,29.86,30.39,29.86,30.17,27900,0.0104,0.0131,841743.0,1166435.3
2004-02-09,30.3,30.56,30.06,30.39,17200,0.003,0.0073,522708.0,1020160.1
2004-02-10,30.18,30.58,30.18,30.58,42300,0.0133,0.0063,1293534.0,965602.9
2004-02-11,30.5,31.28,30.31,31.28,30800,0.0256,0.0229,963424.0,987906.0
2004-02-12,31.02,31.12,30.67,30.7,24800,-0.0103,-0.0185,761360.0,980147.9
2004-02-13,30.58,30.73,30.0,30.1,29400,-0.0157,-0.0195,884940.0,950074.3
2004-02-17,30.0,31.5,29.98,31.11,51800,0.037,0.0336,1611498.0,925732.5
2004-02-18,31.08,31.08,30.4,30.4,60200,-0.0219,-0.0228,1830080.0,1000724.9
2004-02-19,30.8,30.8,30.08,30.11,31300,-0.0224,-0.0095,942443.0,1103064.9
2004-02-20,30.08,30.72,30.08,30.2,14700,0.004,0.003,443940.0,1048259.2
2004-02-23,30.2,30.73,29.85,29.85,26100,-0.0116,-0.0116,779085.0,1009567.0
2004-02-24,29.84,30.8,29.64,30.43,17100,0.0198,0.0194,520353.0,1003301.2
2004-02-25,30.05,30.57,30.0,30.57,20800,0.0173,0.0046,635856.0,1003065.7
2004-02-26,30.3,30.35,30.0,30.11,14900,-0.0063,-0.015,448639.0,937297.9
2004-02-27,30.15,30.58,30.1,30.23,14600,0.0027,0.004,441358.0,885819.4
2004-03-01,30.35,30.9,30.17,30.83,58200,0.0158,0.0198,1794306.0,853819.2
2004-03-02,30.46,30.7,30.41,30.55,25200,0.003,-0.0091,769860.0,944755.8
2004-03-03,30.5,30.85,30.27,30.52,22900,0.0007,-0.001,698908.0,860592.0
2004-03-04,30.49,30.6,30.32,30.45,36700,-0.0013,-0.0023,1117515.0,747474.8
2004-03-05,30.35,30.55,30.28,30.34,37000,-0.0003,-0.0036,1122580.0,764982.0
2004-03-08,30.51,30.55,30.16,30.16,35200,-0.0115,-0.0059,1061632.0,832846.0
2004-03-09,30.27,30.4,30.12,30.15,33000,-0.004,-0.0003,994950.0,861100.7
2004-03-10,30.03,30.41,30.03,30.06,23300,0.001,-0.003,700398.0,908560.4
2004-03-11,30.1,30.38,29.65,29.7,45700,-0.0133,-0.012,1357290.0,915014.6
2004-03-12,30.05,30.49,29.79,30.4,35400,0.0116,0.0236,1076160.0,1005879.7
2004-03-15,30.3,30.3,29.6,29.8,42400,-0.0165,-0.0197,1263520.0,1069359.9
2004-03-16,29.86,30.05,29.65,29.76,68400,-0.0033,-0.0013,2035584.0,1016281.3
2004-03-17,30.25,30.4,29.96,30.22,30200,-0.001,0.0155,912644.0,1142853.7
2004-03-18,29.97,30.29,29.65,29.97,26400,0.0,-0.0083,791208.0,1164227.3
2004-03-19,30.37,30.37,29.67,29.7,26900,-0.0221,-0.009,798930.0,1131596.6
2004-03-22,29.89,29.89,29.6,29.7,32500,-0.0064,0.0,965250.0,1099231.6
2004-03-23,29.7,29.98,29.7,29.88,48900,0.0061,0.0061,1461132.0,1089593.4
2004-03-24,30.09,30.09,29.6,29.82,58400,-0.009,-0.002,1741488.0,1136211.6
2004-03-25,29.75,30.24,29.75,30.24,62900,0.0165,0.0141,1902096.0,1240320.6
2004-03-26,29.99,30.3,29.87,30.0,37200,0.0003,-0.0079,1116000.0,1294801.2
2004-03-29,30.0,30.16,29.69,29.82,65300,-0.006,-0.006,1947246.0,1298785.2
2004-03-30,29.7,29.97,29.7,29.88,36300,0.0061,0.002,1084644.0,1367157.8
2004-03-31,29.96,30.24,29.73,30.06,80000,0.0033,0.006,2404800.0,1272063.8
2004-04-01,29.99,30.45,29.99,30.44,16500,0.015,0.0126,502260.0,1421279.4
2004-04-02,30.22,30.75,29.96,30.75,52100,0.0175,0.0102,1602075.0,1392384.6
2004-04-05,30.5,30.89,30.26,30.83,28100,0.0108,0.0026,866323.0,1472699.1
2004-04-06,30.53,30.75,30.33,30.37,49300,-0.0052,-0.0149,1497241.0,1462806.4
