Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,51.25,51.99,51.06,51.88,1203300,0.0123,,62427204.0,
2003-12-02,51.68,52.46,51.61,51.81,944900,0.0025,-0.0013,48955269.0,
2003-12-03,51.9,51.98,51.02,51.71,861600,-0.0037,-0.0019,44553336.0,
2003-12-04,52.0,52.05,51.55,51.72,1121600,-0.0054,0.0002,58009152.0,
2003-12-05,51.62,51.62,50.35,50.48,1400100,-0.0221,-0.024,70677048.0,
2003-12-08,50.4,51.66,50.3,51.47,835500,0.0212,0.0196,43003185.0,
2003-12-09,51.5,51.6,50.39,50.4,901700,-0.0214,-0.0208,45445680.0,
2003-12-10,50.5,50.55,49.62,50.07,1280800,-0.0085,-0.0065,64129656.0,
2003-12-11,50.29,51.14,50.28,50.86,938300,0.0113,0.0158,47721938.0,
2003-12-12,51.1,51.1,49.9,50.08,1269600,-0.02,-0.0153,63581568.0,
2003-12-15,50.65,50.8,49.81,49.82,1061500,-0.0164,-0.0052,52883930.0,54850403.6
2003-12-16,49.95,50.42,49.95,50.35,679500,0.008,0.0106,34212825.0,53896076.2
2003-12-17,50.15,50.18,49.43,49.83,876400,-0.0064,-0.0103,43671012.0,52421831.8
2003-12-18,49.87,50.55,49.62,50.35,881400,0.0096,0.0104,44378490.0,52333599.4
2003-12-19,50.35,50.95,49.89,50.69,1420500,0.0068,0.0068,72005145.0,50970533.2
2003-12-22,50.2,51.06,50.15,50.97,741400,0.0153,0.0055,37789158.0,51103342.9
2003-12-23,51.03,51.65,51.03,51.47,921600,0.0086,0.0098,47434752.0,50581940.2
2003-12-24,51.1,51.64,50.86,51.44,426500,0.0067,-0.0006,21939160.0,50780847.4
2003-12-26,51.55,51.7,51.35,51.54,243700,-0.0002,0.0019,12560298.0,46561797.8
2003-12-29,51.6,51.97,50.11,51.96,696000,0.007,0.0081,36164160.0,43045633.8
2003-12-30,51.81,52.21,51.6,52.21,649100,0.0077,0.0048,33889511.0,40303893.0
2003-12-31,52.14,52.25,51.75,52.08,620600,-0.0012,-0.0025,32320848.0,38404451.1
2004-01-02,52.05,52.3,51.43,51.51,1051400,-0.0104,-0.0109,54157614.0,38215253.4
2004-01-05,52.4,53.8,52.35,53.65,1954500,0.0239,0.0415,104858925.0,39263913.6
2004-01-06,53.35,54.43,53.33,54.36,1702600,0.0189,0.0132,92553336.0,45311957.1
2004-01-07,54.15,54.16,53.12,53.64,1969400,-0.0094,-0.0132,105638616.0,47366776.2
2004-01-08,53.8,54.1,53.43,54.0,1010800,0.0037,0.0067,54583200.0,54151722.0
2004-01-09,53.95,55.1,53.85,54.75,1411800,0.0148,0.0139,77296050.0,54866566.8
2004-01-12,54.55,55.45,54.17,55.22,1717100,0.0123,0.0086,94818262.0,60402255.8
2004-01-13,55.5,55.9,52.76,53.3,3926800,-0.0396,-0.0348,209298440.0,68628052.2
2004-01-14,54.55,55.88,54.49,55.77,3436600,0.0224,0.0463,191659182.0,85941480.2
2004-01-15,56.0,56.9,55.88,56.25,2002400,0.0045,0.0086,112635000.0,101718447.3
2004-01-16,56.25,56.37,55.46,55.73,1516000,-0.0092,-0.0092,84486680.0,109749862.5
2004-01-20,55.74,56.03,55.2,55.98,1002600,0.0043,0.0045,56125548.0,112782769.1
2004-01-21,55.92,56.48,55.45,56.45,990000,0.0095,0.0084,55885500.0,107909431.4
2004-01-22,56.37,56.78,55.86,56.13,1108400,-0.0043,-0.0057,62214492.0,104242647.8
