Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2018-10-19,30.6,31.0,29.3,30.06,10229678,-0.0176,,307504120.68,
2018-10-22,30.4,30.9,30.1,30.88,1208795,0.0158,0.0273,37327589.6,
2018-10-23,29.9,30.46,29.8,30.0,1250412,0.0033,-0.0285,37512360.0,
2018-10-24,29.9,29.98,28.74,29.0,1299613,-0.0301,-0.0333,37688777.0,
2018-10-25,29.66,29.66,28.9,29.08,651276,-0.0196,0.0028,18939106.08,
2018-10-26,28.7,29.02,27.8,28.42,1011232,-0.0098,-0.0227,28739213.44,
2018-10-29,29.0,30.1,28.4,28.5,477602,-0.0172,0.0028,13611657.0,
2018-10-30,28.42,29.54,28.4,28.9,529174,0.0169,0.014,15293128.6,
2018-10-31,29.0,29.72,28.8,29.18,718489,0.0062,0.0097,20965509.02,
2018-11-01,29.0,29.5,29.0,29.44,312556,0.0152,0.0089,9201648.64,
2018-11-02,29.54,29.9,29.4,29.9,338531,0.0122,0.0156,10122076.9,52678311.01
2018-11-05,29.76,29.82,29.5,29.6,280513,-0.0054,-0.01,8303184.8,22940106.63
2018-11-06,29.5,30.1,29.5,29.94,206664,0.0149,0.0115,6187520.16,20037666.15
2018-11-07,29.88,30.42,29.88,30.18,379200,0.01,0.008,11444256.0,16905182.16
2018-11-08,30.06,30.28,29.9,29.92,193013,-0.0047,-0.0086,5774948.96,14280730.06
2018-11-09,29.96,30.2,29.9,30.14,382518,0.006,0.0074,11529092.52,12964314.35
2018-11-12,30.18,30.18,29.4,29.4,714223,-0.0258,-0.0246,20998156.2,11243302.26
2018-11-13,29.56,30.4,29.56,30.12,1236571,0.0189,0.0245,37245518.52,11981952.18
2018-11-14,30.48,30.5,29.7,29.9,890646,-0.019,-0.0073,26630315.4,14177191.17
2018-11-15,29.96,30.2,29.54,30.0,827320,0.0013,0.0033,24819600.0,14743671.81
2018-11-16,30.02,30.4,29.7,30.22,458358,0.0067,0.0073,13851578.76,16305466.95
2018-11-19,30.02,30.14,29.5,29.5,374555,-0.0173,-0.0238,11049372.5,16678417.13
2018-11-20,29.2,29.22,27.7,27.8,745412,-0.0479,-0.0576,20722453.6,16953035.9
2018-11-21,28.0,29.52,28.0,28.12,363937,0.0043,0.0115,10233908.44,18406529.25
2018-11-23,28.04,28.2,27.54,27.96,121439,-0.0029,-0.0057,3395434.44,18285494.49
2018-11-26,28.18,29.34,28.18,28.9,322225,0.0256,0.0336,9312302.5,18047543.04
2018-11-27,28.7,29.6,28.7,28.92,240697,0.0077,0.0007,6960957.24,17825864.04
2018-11-28,29.14,30.6,29.14,30.46,387258,0.0453,0.0533,11795878.68,16422144.14
2018-11-29,30.44,30.92,29.86,30.58,743801,0.0046,0.0039,22745434.58,13877180.16
2018-11-30,30.56,32.32,29.8,31.82,718300,0.0412,0.0405,22856306.0,13488692.07
2018-12-03,32.46,32.56,30.56,32.48,825613,0.0006,0.0207,26815910.24,13292362.67
2018-12-04,32.14,32.9,31.0,31.84,749963,-0.0093,-0.0197,23878821.92,14588795.82
2018-12-06,31.18,32.82,31.06,32.2,1105273,0.0327,0.0113,35589790.6,15871740.76
2018-12-07,31.96,33.14,31.82,32.32,597524,0.0113,0.0037,19311975.68,17358474.46
2018-12-10,32.32,35.8,32.32,34.0,1986913,0.052,0.052,67555042.0,18266281.19
2018-12-11,34.68,37.02,34.54,35.46,1753800,0.0225,0.0429,62189748.0,24682241.94
2018-12-12,35.66,38.0,35.66,37.32,1434040,0.0466,0.0525,53518372.8,29969986.49
2018-12-13,37.7,38.08,32.02,32.52,1132386,-0.1374,-0.1286,36825192.72,34625728.05
2018-12-14,32.94,33.2,31.22,31.48,816133,-0.0443,-0.032,25691866.84,37128659.45
2018-12-17,31.36,31.36,28.52,28.66,1438116,-0.0861,-0.0896,41216404.56,37423302.68
2018-12-18,28.96,29.94,27.88,28.1,1392233,-0.0297,-0.0195,39121747.3,39259312.54
2018-12-19,27.84,29.4,27.8,28.0,957196,0.0057,-0.0036,26801488.0,40489896.24
2018-12-20,27.82,28.24,26.06,26.8,492391,-0.0367,-0.0429,13196078.8,40782162.85
2018-12-21,26.7,26.96,26.16,26.26,2391140,-0.0165,-0.0201,62791336.4,38542791.67
2018-12-24,26.06,26.2,24.7,24.7,248376,-0.0522,-0.0594,6134887.2,42890727.74
2018-12-26,25.02,26.1,24.5,26.04,601127,0.0408,0.0543,15653347.08,36748712.26
2018-12-27,25.68,27.0,25.56,27.0,332938,0.0514,0.0369,8989326.0,32095072.17
2018-12-28,27.24,27.7,26.72,26.94,505379,-0.011,-0.0022,13614910.26,27642167.49
2018-12-31,27.24,28.0,26.92,27.66,550598,0.0154,0.0267,15229540.68,25321139.24
2019-01-02,27.08,28.1,26.6,27.42,434089,0.0126,-0.0087,11902720.38,24274906.63
2019-01-03,27.02,27.28,25.32,26.16,825518,-0.0318,-0.046,21595550.88,21343538.21
2019-01-04,26.34,28.48,26.3,28.46,568042,0.0805,0.0879,16166475.32,19590918.57
2019-01-07,28.36,30.06,28.36,29.5,441389,0.0402,0.0365,13020975.5,18527417.3
2019-01-08,29.86,30.62,29.72,30.3,419490,0.0147,0.0271,12710547.0,18509906.97
2019-01-09,30.68,31.6,30.44,30.74,371142,0.002,0.0145,11408905.08,13501828.03
2019-01-10,30.36,31.8,28.94,31.48,144191,0.0369,0.0241,4539132.68,14029229.82
2019-01-11,31.6,31.94,30.48,31.52,131203,-0.0025,0.0013,4135518.56,12917808.38
2019-01-14,31.24,31.68,30.76,31.26,261838,0.0006,-0.0082,8185055.88,12432427.63
2019-01-15,31.28,32.04,30.86,31.94,269896,0.0211,0.0218,8620478.24,11889442.2
2019-01-16,31.96,33.0,31.96,32.4,229511,0.0138,0.0144,7436156.4,11228535.95
2019-01-17,32.56,33.3,31.9,33.08,258330,0.016,0.021,8545556.4,10781879.55
2019-01-18,33.46,34.28,33.22,33.8,360145,0.0102,0.0218,12172901.0,9476880.11
2019-01-22,33.68,34.0,32.44,32.96,335308,-0.0214,-0.0249,11051751.68,9077522.67
2019-01-23,33.0,34.0,32.6,33.1,159074,0.003,0.0042,5265349.4,8880600.29
2019-01-24,33.0,33.94,32.96,33.62,137934,0.0188,0.0157,4637341.08,8136080.53
2019-01-25,34.0,35.04,33.8,34.28,189979,0.0082,0.0196,6512480.12,7458924.13
2019-01-28,33.92,34.34,33.5,34.1,117078,0.0053,-0.0053,3992359.8,7656258.88
2019-01-29,34.06,34.4,33.78,34.32,217945,0.0076,0.0065,7479872.4,7641943.0
2019-01-30,34.62,35.46,34.06,34.6,195762,-0.0006,0.0082,6773365.2,7571424.65
2019-01-31,34.74,35.38,34.58,35.1,552494,0.0104,0.0145,19392539.4,7386713.35
2019-02-01,35.1,35.96,34.82,35.6,262880,0.0142,0.0142,9358528.0,8582351.65
