Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2019-11-07,25.08,25.1,24.82,24.89,6022344,-0.0076,,149896142.16,
2019-11-08,24.85,25.05,24.85,25.04,594936,0.0076,0.006,14897197.44,
2019-11-11,25.01,25.12,24.99,25.12,346912,0.0044,0.0032,8714429.44,
2019-11-12,25.12,25.16,25.05,25.1,404288,-0.0008,-0.0008,10147628.8,
2019-11-13,25.25,25.25,25.06,25.22,347281,-0.0012,0.0048,8758426.82,
2019-11-14,25.09,25.25,25.09,25.2,316500,0.0044,-0.0008,7975800.0,
2019-11-15,25.2,25.2,25.1,25.1,168071,-0.004,-0.004,4218582.1,
2019-11-18,25.18,25.29,25.1,25.16,733314,-0.0008,0.0024,18450180.24,
2019-11-19,25.2,25.29,25.16,25.28,261471,0.0032,0.0048,6609986.88,
2019-11-20,25.3,25.49,25.25,25.38,1110992,0.0032,0.004,28196976.96,
2019-11-21,25.45,25.55,25.33,25.38,1129915,-0.0028,0.0,28677242.7,25786535.08
2019-11-22,25.38,25.42,25.27,25.3,358935,-0.0032,-0.0032,9081055.5,13664645.14
2019-11-25,25.34,25.44,25.33,25.44,317119,0.0039,0.0055,8067507.36,13083030.94
2019-11-26,25.45,25.5,25.42,25.49,1243918,0.0016,0.002,31707469.82,13018338.74
2019-11-27,25.5,25.77,25.49,25.71,1100830,0.0082,0.0086,28302339.3,15174322.84
2019-11-29,25.74,25.85,25.55,25.58,2934919,-0.0062,-0.0051,75075228.02,17128714.09
2019-12-02,25.51,25.52,25.35,25.38,239414,-0.0051,-0.0078,6076327.32,23838656.89
2019-12-03,25.28,25.4,25.21,25.34,146614,0.0024,-0.0016,3715198.76,24024431.41
2019-12-04,25.4,25.43,25.3,25.41,138437,0.0004,0.0028,3517684.17,22550933.26
2019-12-05,25.41,25.41,25.22,25.27,288993,-0.0055,-0.0055,7302853.11,22241702.99
2019-12-06,25.29,25.36,25.22,25.32,118366,0.0012,0.002,2997027.12,20152290.61
2019-12-09,25.37,25.4,25.33,25.37,76764,0.0,0.002,1947502.68,17584269.05
2019-12-10,25.37,25.4,25.33,25.38,113082,0.0004,0.0004,2870021.16,16870913.77
2019-12-11,25.38,25.48,25.33,25.47,362560,0.0035,0.0035,9234403.2,16351165.15
2019-12-12,25.49,25.49,25.29,25.32,248023,-0.0067,-0.0059,6279942.36,14103858.48
2019-12-13,25.34,25.42,25.31,25.38,235328,0.0016,0.0024,5972624.64,11901618.79
2019-12-16,25.42,25.46,25.4,25.44,141846,0.0008,0.0024,3608562.24,4991358.45
2019-12-17,25.46,25.51,25.42,25.45,223709,-0.0004,0.0004,5693394.05,4744581.94
2019-12-18,25.43,25.47,25.42,25.46,51974,0.0012,0.0004,1323258.04,4942401.47
2019-12-19,25.43,25.54,25.43,25.5,140325,0.0028,0.0016,3578287.5,4722958.86
2019-12-20,25.53,25.53,25.48,25.52,292156,-0.0004,0.0008,7455821.12,4350502.3
2019-12-23,25.55,25.68,25.54,25.6,88930,0.002,0.0031,2276608.0,4796381.7
2019-12-24,25.65,25.68,25.56,25.64,53259,-0.0004,0.0016,1365560.76,4829292.23
2019-12-26,25.68,25.75,25.61,25.72,109534,0.0016,0.0031,2817214.48,4678846.19
2019-12-27,25.76,25.76,25.68,25.75,45661,-0.0004,0.0012,1175770.75,4037127.32
2019-12-30,25.75,25.75,25.55,25.57,89618,-0.007,-0.007,2291532.26,3526710.16
2019-12-31,25.54,25.62,25.54,25.55,69808,0.0004,-0.0008,1783594.4,3158600.92
2020-01-02,25.6,25.79,25.6,25.74,159558,0.0055,0.0074,4107022.92,2976104.14
2020-01-03,25.67,25.79,25.67,25.75,263030,0.0031,0.0004,6773022.5,2817467.02
2020-01-06,25.78,25.79,25.7,25.75,65344,-0.0012,0.0,1682608.0,3362443.47
2020-01-07,25.78,25.78,25.7,25.7,65220,-0.0031,-0.0019,1676154.0,3172875.52
2020-01-08,25.66,25.75,25.66,25.73,105271,0.0027,0.0012,2708622.83,2594908.81
2020-01-09,25.69,25.83,25.69,25.7,171591,0.0004,-0.0012,4409888.7,2638110.29
2020-01-10,25.73,25.84,25.67,25.78,75005,0.0019,0.0031,1933628.9,2942543.08
2020-01-13,25.84,25.84,25.78,25.82,38763,-0.0008,0.0016,1000860.66,2854184.53
2020-01-14,25.84,25.88,25.76,25.84,199469,0.0,0.0008,5154278.96,2836693.52
2020-01-15,25.84,25.88,25.75,25.8,50449,-0.0015,-0.0015,1301584.2,3122968.19
2020-01-16,25.87,25.87,25.75,25.8,62338,-0.0027,0.0,1608320.4,3074767.17
2020-01-17,25.84,25.9,25.74,25.89,130824,0.0019,0.0035,3387033.36,2824896.92
2020-01-21,25.9,25.92,25.85,25.85,35885,-0.0019,-0.0015,927627.25,2486298.0
2020-01-22,25.83,25.97,25.83,25.93,548471,0.0039,0.0031,14221853.03,2410799.93
2020-01-23,25.97,25.97,25.87,25.88,70093,-0.0035,-0.0019,1814006.84,3665369.83
2020-01-24,25.9,25.9,25.51,25.53,203633,-0.0143,-0.0135,5198750.49,3575908.23
2020-01-27,25.5,25.66,25.49,25.64,201536,0.0055,0.0043,5167383.04,3654794.41
2020-01-28,25.59,25.79,25.58,25.78,128409,0.0074,0.0055,3310384.02,3978169.82
2020-01-29,25.8,25.87,25.76,25.84,70003,0.0016,0.0023,1808877.52,4209122.16
2020-01-30,25.88,26.04,25.87,26.0,64359,0.0046,0.0062,1673334.0,3874582.02
2020-01-31,26.02,26.08,25.99,26.05,88718,0.0012,0.0019,2311103.9,3911757.0
2020-02-03,26.07,26.11,26.02,26.1,138093,0.0012,0.0019,3604227.3,3982035.34
2020-02-04,26.11,26.24,26.08,26.19,67641,0.0031,0.0034,1771517.79,4003754.74
2020-02-05,26.2,26.24,26.15,26.24,167161,0.0015,0.0019,4386304.64,4088143.79
2020-02-06,25.99,25.99,25.87,25.97,186330,-0.0008,-0.0103,4838990.1,3104588.95
2020-02-07,25.98,26.07,25.94,25.97,60569,-0.0004,0.0,1572976.93,3407087.28
2020-02-10,25.99,25.99,25.87,25.99,90968,0.0,0.0008,2364258.32,3044509.92
2020-02-11,26.0,26.07,25.96,25.99,91861,-0.0004,0.0,2387467.39,2764197.45
2020-02-12,26.09,26.09,25.86,25.86,48077,-0.0088,-0.005,1243271.22,2671905.79
2020-02-13,25.95,25.99,25.9,25.96,63108,0.0004,0.0039,1638283.68,2615345.16
2020-02-14,25.95,26.06,25.94,26.04,79565,0.0035,0.0031,2071872.6,2611840.13
2020-02-18,26.06,26.16,25.98,26.14,52656,0.0031,0.0038,1376427.84,2587917.0
2020-02-19,26.08,26.14,25.98,26.0,109680,-0.0031,-0.0054,2851680.0,2365137.05
2020-02-20,26.06,26.15,25.97,26.11,67209,0.0019,0.0042,1754826.99,2473153.27
2020-02-21,26.12,26.12,25.94,26.04,118518,-0.0031,-0.0027,3086208.72,2210005.51
2020-02-24,25.95,26.1,25.85,25.92,139982,-0.0012,-0.0046,3628333.44,2034727.37
2020-02-25,25.98,25.98,25.68,25.81,209446,-0.0065,-0.0042,5405801.26,2240263.02
2020-02-26,25.84,25.86,25.66,25.71,86984,-0.005,-0.0039,2236358.64,2544417.31
2020-02-27,25.5,25.51,25.24,25.34,186519,-0.0063,-0.0144,4726391.46,2529306.44
2020-02-28,25.3,25.38,25.1,25.12,149077,-0.0071,-0.0087,3744814.24,2877618.46
2020-03-02,25.3,25.62,25.2,25.37,85876,0.0028,0.01,2178674.12,3088271.52
2020-03-03,25.51,25.7,25.31,25.6,103842,0.0035,0.0091,2658355.2,3098951.67
2020-03-04,25.7,25.91,25.52,25.86,61613,0.0062,0.0102,1593312.18,3227144.41
2020-03-05,25.86,25.94,25.63,25.67,52258,-0.0073,-0.0073,1341462.86,3101307.63
2020-03-06,25.3,25.44,25.13,25.29,183775,-0.0004,-0.0148,4647669.75,3059971.21
2020-03-09,24.97,24.97,24.21,24.34,131621,-0.0252,-0.0376,3203655.14,3216117.32
2020-03-10,24.5,24.85,24.34,24.59,194691,0.0037,0.0103,4787451.69,3173649.49
2020-03-11,24.69,24.69,23.45,23.8,154429,-0.036,-0.0321,3675410.2,3111814.53
2020-03-12,22.99,23.1,19.62,19.7,345669,-0.1431,-0.1723,6809679.3,3255719.68
2020-03-13,22.0,22.0,19.8,21.03,154757,-0.0441,0.0675,3254539.71,3464048.47
2020-03-16,17.03,19.61,15.33,17.45,155991,0.0247,-0.1702,2722042.95,3415021.01
2020-03-17,17.51,18.03,15.62,16.6,182044,-0.052,-0.0487,3021930.4,3469357.9
2020-03-18,15.86,16.14,9.0,9.05,362324,-0.4294,-0.4548,3279032.2,3505715.42
2020-03-19,9.55,16.91,9.33,13.65,521506,0.4293,0.5083,7118556.9,3674287.42
2020-03-20,14.15,15.7,13.67,14.59,335717,0.0311,0.0689,4898111.03,4251996.82
2020-03-23,15.09,15.09,13.11,14.28,204903,-0.0537,-0.0212,2926014.84,4277040.95
2020-03-24,14.78,15.73,14.7,15.01,152498,0.0156,0.0511,2288994.98,4249276.92
2020-03-25,15.51,17.0,15.49,15.74,241604,0.0148,0.0486,3802846.96,3999431.25
2020-03-26,16.14,20.8,16.14,20.02,200854,0.2404,0.2719,4021097.08,4012174.93
2020-03-27,19.76,20.0,19.0,19.7,86955,-0.003,-0.016,1713013.5,3733316.71
2020-03-30,20.0,20.0,18.43,18.7,64581,-0.065,-0.0508,1207664.7,3579164.08
2020-03-31,18.11,18.6,17.06,17.06,103187,-0.058,-0.0877,1760370.22,3427726.26
2020-04-01,16.79,16.79,15.12,16.25,210642,-0.0322,-0.0475,3422932.5,3301570.24
2020-04-02,16.1,16.63,15.55,16.03,183172,-0.0043,-0.0135,2936247.16,3315960.27
2020-04-03,16.03,16.25,15.61,16.25,376902,0.0137,0.0137,6124657.5,2897729.3
2020-04-06,17.87,17.87,15.88,16.09,247384,-0.0996,-0.0098,3980408.56,3020383.94
2020-04-07,16.75,17.1,15.96,16.45,408193,-0.0179,0.0224,6714774.85,3125823.32
2020-04-08,17.1,17.49,16.38,17.19,269887,0.0053,0.045,4639357.53,3568401.3
2020-04-09,17.84,19.98,17.82,19.84,226880,0.1121,0.1542,4501299.2,3652052.36
2020-04-13,20.15,20.15,17.78,18.47,225454,-0.0834,-0.0691,4164135.38,3700072.57
2020-04-14,19.06,19.35,18.3,18.41,133712,-0.0341,-0.0032,2461637.92,3945184.76
2020-04-15,18.0,18.71,17.33,18.1,100820,0.0056,-0.0168,1824842.0,4070582.08
2020-04-16,18.69,18.69,17.52,17.87,89227,-0.0439,-0.0127,1594486.49,4077029.26
2020-04-17,18.49,20.0,18.4,19.83,382265,0.0725,0.1097,7580314.95,3894184.66
2020-04-20,19.45,19.5,18.8,19.12,148420,-0.017,-0.0358,2837790.4,4358591.44
2020-04-21,18.73,18.77,17.76,17.95,214186,-0.0416,-0.0612,3844638.7,4029904.73
2020-04-22,18.65,19.1,18.24,18.67,163446,0.0011,0.0401,3051536.82,4016327.74
2020-04-23,18.74,19.05,18.4,19.05,252992,0.0165,0.0204,4819497.6,3650003.94
2020-04-24,18.89,19.03,18.77,18.88,120168,-0.0005,-0.0089,2268771.84,3668017.95
2020-04-27,19.07,19.5,18.97,19.5,150817,0.0225,0.0328,2940931.5,3444765.21
2020-04-28,19.5,19.79,19.1,19.33,148680,-0.0087,-0.0087,2873984.4,3322444.82
2020-04-29,19.54,20.49,19.54,20.25,243037,0.0363,0.0476,4921499.25,3363679.47
2020-04-30,20.09,20.84,19.71,20.84,280473,0.0373,0.0291,5845057.32,3673345.2
2020-05-01,20.59,20.89,20.12,20.85,133513,0.0126,0.0005,2783746.05,4098402.28
2020-05-04,20.83,20.95,20.27,20.7,306246,-0.0062,-0.0072,6339292.2,3618745.39
2020-05-05,20.89,20.9,20.26,20.4,113389,-0.0235,-0.0145,2313135.6,3968895.57
2020-05-06,20.35,20.4,19.83,19.99,77420,-0.0177,-0.0201,1547625.8,3815745.26
2020-05-07,20.1,20.1,19.7,19.83,58366,-0.0134,-0.008,1157397.78,3665354.16
2020-05-08,19.9,19.9,19.76,19.85,81583,-0.0025,0.001,1619422.55,3299144.17
2020-05-11,19.83,19.83,19.36,19.4,101156,-0.0217,-0.0227,1962426.4,3234209.24
2020-05-12,19.48,19.6,19.11,19.23,161548,-0.0128,-0.0088,3106568.04,3136358.74
2020-05-13,19.29,19.29,17.91,17.97,83664,-0.0684,-0.0655,1503442.08,3159617.1
2020-05-14,17.79,18.71,16.84,18.68,136739,0.05,0.0395,2554284.52,2817811.38
2020-05-15,18.74,18.75,18.11,18.14,78609,-0.032,-0.0289,1425967.26,2488734.1
2020-05-18,18.9,18.95,18.55,18.56,138849,-0.018,0.0232,2577037.44,2352956.22
2020-05-19,18.58,18.76,18.38,18.48,151616,-0.0054,-0.0043,2801863.68,1976730.75
2020-05-20,18.61,19.36,18.61,19.35,170161,0.0398,0.0471,3292615.35,2025603.55
2020-05-21,19.6,20.09,19.36,20.04,82455,0.0224,0.0357,1652398.2,2200102.51
2020-05-22,20.29,20.4,20.0,20.15,101870,-0.0069,0.0055,2052680.5,2249602.55
2020-05-26,20.69,20.69,20.14,20.25,170727,-0.0213,0.005,3457221.75,2292928.35
2020-05-27,20.4,20.72,20.17,20.72,232133,0.0157,0.0232,4809795.76,2442407.88
2020-05-28,20.81,21.02,20.51,20.6,207335,-0.0101,-0.0058,4271101.0,2612730.65
2020-05-29,20.55,20.74,20.35,20.45,127715,-0.0049,-0.0073,2611771.75,2889496.55
2020-06-01,20.65,21.14,20.57,20.92,250533,0.0131,0.023,5241150.36,2895245.27
2020-06-02,20.97,21.37,20.86,21.22,249285,0.0119,0.0143,5289827.7,3276763.58
2020-06-03,21.37,21.72,21.05,21.34,365667,-0.0014,0.0057,7803333.78,3548042.61
2020-06-04,21.25,21.39,21.2,21.25,176187,0.0,-0.0042,3743973.75,4048189.62
2020-06-05,21.69,21.97,21.67,21.78,238870,0.0041,0.0249,5202588.6,4093325.45
2020-06-08,22.01,22.17,21.86,22.16,306151,0.0068,0.0174,6784306.16,4448344.49
2020-06-09,21.95,22.0,21.6,21.7,231760,-0.0114,-0.0208,5029192.0,4921507.06
2020-06-10,21.78,21.78,21.16,21.44,200513,-0.0156,-0.012,4298998.72,5078704.09
2020-06-11,21.16,21.28,20.01,20.64,224874,-0.0246,-0.0373,4641399.36,5027624.38
2020-06-12,21.05,21.15,20.75,20.9,160345,-0.0071,0.0126,3351210.5,5064654.22
2020-06-15,20.4,21.2,20.32,21.14,160174,0.0363,0.0115,3386078.36,5138598.09
2020-06-16,21.46,21.89,21.27,21.53,129596,0.0033,0.0184,2790201.88,4953090.89
2020-06-17,21.73,21.75,21.37,21.48,120083,-0.0115,-0.0023,2579382.84,4703128.31
2020-06-18,21.48,21.51,21.32,21.45,130700,-0.0014,-0.0014,2803515.0,4180733.22
2020-06-19,21.6,21.6,21.37,21.45,43700,-0.0069,0.0,937365.0,4086687.34
2020-06-22,21.5,21.59,21.36,21.56,301483,0.0028,0.0051,6499973.48,3660164.98
2020-06-23,21.59,21.7,21.24,21.67,44642,0.0037,0.0051,967392.14,3631731.71
2020-06-24,21.63,21.68,21.2,21.54,62012,-0.0042,-0.006,1335738.48,3225551.73
2020-06-25,21.54,21.67,21.42,21.66,69172,0.0056,0.0056,1498265.52,2929225.7
2020-06-26,21.63,21.69,21.38,21.38,104541,-0.0116,-0.0129,2235086.58,2614912.32
2020-06-29,21.52,21.62,21.33,21.45,61488,-0.0033,0.0033,1318917.6,2503299.93
2020-06-30,21.63,21.63,21.36,21.37,169869,-0.012,-0.0037,3630100.53,2296583.85
2020-07-01,21.49,21.68,21.49,21.61,41365,0.0056,0.0112,893897.65,2380573.72
2020-07-02,21.7,21.93,21.64,21.8,44993,0.0046,0.0088,980847.4,2212025.2
2020-07-06,21.83,21.9,21.56,21.83,100150,0.0,0.0014,2186274.5,2029758.44
2020-07-07,21.66,21.8,21.6,21.63,58424,-0.0014,-0.0092,1263711.12,2154649.39
2020-07-08,21.66,21.66,21.34,21.34,39303,-0.0148,-0.0134,838726.02,1631023.15
2020-07-09,21.59,21.82,21.4,21.78,33181,0.0088,0.0206,722682.18,1618156.54
2020-07-10,21.69,21.97,21.64,21.8,49976,0.0051,0.0009,1089476.8,1556850.91
2020-07-13,21.93,22.02,21.77,21.8,57785,-0.0059,0.0,1259713.0,1515972.04
2020-07-14,21.76,21.95,21.46,21.92,46404,0.0074,0.0055,1017175.68,1418434.68
2020-07-15,21.96,22.47,21.96,22.41,48445,0.0205,0.0224,1085652.45,1388260.49
2020-07-16,22.12,22.68,22.12,22.58,55507,0.0208,0.0076,1253348.06,1133815.68
2020-07-17,22.76,22.96,22.53,22.92,55016,0.007,0.0151,1260966.72,1169760.72
2020-07-20,22.95,23.17,22.4,23.17,89032,0.0096,0.0109,2062871.44,1197772.65
2020-07-21,23.2,23.42,23.05,23.27,486612,0.003,0.0043,11323461.24,1185432.35
2020-07-22,23.32,23.63,23.18,23.5,89055,0.0077,0.0099,2092792.5,2191407.36
2020-07-23,23.43,23.98,23.43,23.94,79410,0.0218,0.0187,1901075.4,2316814.01
2020-07-24,23.77,24.0,23.7,23.92,96116,0.0063,-0.0008,2299094.72,2434653.33
2020-07-27,23.8,24.15,23.79,24.15,210565,0.0147,0.0096,5085144.75,2555615.12
2020-07-28,24.15,24.2,24.04,24.12,65085,-0.0012,-0.0012,1569850.2,2938158.3
2020-07-29,24.17,24.46,24.07,24.45,143496,0.0116,0.0137,3508477.2,2993425.75
