Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,16.75,17.26,16.75,17.08,8000,0.0197,,136640.0,
2003-12-02,17.08,17.25,16.75,16.77,19000,-0.0181,-0.0181,318630.0,
2003-12-03,16.76,16.76,16.25,16.25,10400,-0.0304,-0.031,169000.0,
2003-12-04,16.25,16.36,15.96,16.3,10600,0.0031,0.0031,172780.0,
2003-12-05,16.5,16.5,16.05,16.05,3600,-0.0273,-0.0153,57780.0,
2003-12-08,16.58,16.58,15.88,16.14,14800,-0.0265,0.0056,238872.0,
2003-12-09,15.94,16.13,15.77,15.98,28800,0.0025,-0.0099,460224.0,
2003-12-10,15.98,16.15,15.93,15.93,23600,-0.0031,-0.0031,375948.0,
2003-12-11,15.93,16.15,15.93,16.05,33200,0.0075,0.0075,532860.0,
2003-12-12,16.11,16.36,16.1,16.12,14000,0.0006,0.0044,225680.0,
2003-12-15,16.31,16.35,16.07,16.08,18400,-0.0141,-0.0025,295872.0,268841.4
2003-12-16,16.1,16.19,15.98,16.19,20400,0.0056,0.0068,330276.0,284764.6
2003-12-17,16.14,16.24,15.95,15.95,12200,-0.0118,-0.0148,194590.0,285929.2
2003-12-18,16.12,16.21,16.0,16.02,10000,-0.0062,0.0044,160200.0,288488.2
2003-12-19,16.0,16.14,16.0,16.1,23600,0.0063,0.005,379960.0,287230.2
2003-12-22,16.01,16.17,16.0,16.02,41600,0.0006,-0.005,666432.0,319448.2
2003-12-23,16.06,16.12,16.01,16.02,44400,-0.0025,0.0,711288.0,362204.2
2003-12-24,16.12,16.12,16.05,16.1,42600,-0.0012,0.005,685860.0,387310.6
2003-12-26,16.11,16.12,16.04,16.06,37000,-0.0031,-0.0025,594220.0,418301.8
2003-12-29,16.12,16.12,16.0,16.05,24400,-0.0043,-0.0006,391620.0,424437.8
2003-12-30,16.11,16.18,16.0,16.05,57800,-0.0037,0.0,927690.0,441031.8
2003-12-31,16.0,16.1,15.75,15.78,42400,-0.0138,-0.0168,669072.0,504213.6
2004-01-02,15.95,15.99,15.79,15.79,24400,-0.01,0.0006,385276.0,538093.2
2004-01-05,15.9,15.98,15.8,15.81,21000,-0.0057,0.0013,332010.0,557161.8
2004-01-06,15.99,16.08,15.83,16.0,52800,0.0006,0.012,844800.0,574342.8
2004-01-07,16.12,16.17,16.09,16.17,22600,0.0031,0.0106,365442.0,620826.8
2004-01-08,16.18,16.38,16.18,16.38,22800,0.0124,0.013,373464.0,590727.8
2004-01-09,16.45,16.5,16.27,16.27,18200,-0.0109,-0.0067,296114.0,556945.4
2004-01-12,16.48,16.5,16.25,16.48,46800,0.0,0.0129,771264.0,517970.8
