Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2005-11-15,13.74,14.06,13.4,13.74,43500,0.0,,597690.0,
2005-11-16,13.51,13.77,13.45,13.51,30300,0.0,-0.0167,409353.0,
2005-11-17,13.51,13.73,13.35,13.51,27800,0.0,0.0,375578.0,
2005-11-18,13.25,13.52,13.15,13.25,52300,0.0,-0.0192,692975.0,
2005-11-21,13.29,13.35,12.28,13.29,34200,0.0,0.003,454518.0,
2005-11-22,13.23,13.36,13.2,13.23,21400,0.0,-0.0045,283122.0,
2005-11-23,13.7,13.89,13.19,13.7,20900,0.0,0.0355,286330.0,
2005-11-25,14.43,14.48,14.26,14.43,9100,0.0,0.0533,131313.0,
2005-11-28,14.6,14.65,14.35,14.6,35100,0.0,0.0118,512460.0,
2005-11-29,14.7,14.75,14.58,14.7,13100,0.0,0.0068,192570.0,
2005-11-30,14.5,15.0,14.5,14.5,10800,0.0,-0.0136,156600.0,393590.9
2005-12-01,14.84,14.85,14.53,14.84,11300,0.0,0.0234,167692.0,349481.9
2005-12-02,14.85,14.89,14.74,14.85,16100,0.0,0.0007,239085.0,325315.8
2005-12-05,14.88,14.96,14.8,14.88,19100,0.0,0.002,284208.0,311666.5
2005-12-06,15.23,15.23,14.83,15.23,9700,0.0,0.0235,147731.0,270789.8
2005-12-07,15.22,15.25,15.08,15.22,8200,0.0,-0.0007,124804.0,240111.1
2005-12-08,15.4,15.4,15.15,15.4,7900,0.0,0.0118,121660.0,224279.3
2005-12-09,15.5,15.51,15.29,15.5,9500,0.0,0.0065,147250.0,207812.3
2005-12-12,15.88,15.89,15.5,15.88,14300,0.0,0.0245,227084.0,209406.0
2005-12-13,15.85,15.91,15.63,15.85,23900,0.0,-0.0019,378815.0,180868.4
2005-12-14,15.75,15.79,15.23,15.75,16700,0.0,-0.0063,263025.0,199492.9
2005-12-15,15.53,15.73,15.53,15.53,5400,0.0,-0.014,83862.0,210135.4
2005-12-16,15.27,15.42,15.07,15.27,6800,0.0,-0.0167,103836.0,201752.4
2005-12-19,14.94,15.24,14.78,14.94,16800,0.0,-0.0216,250992.0,188227.5
2005-12-20,14.74,14.97,14.74,14.74,12400,0.0,-0.0134,182776.0,184905.9
2005-12-21,15.0,18.42,14.79,15.0,6000,0.0,0.0176,90000.0,188410.4
2005-12-22,15.05,15.05,14.96,15.05,18700,0.0,0.0033,281435.0,184930.0
2005-12-23,14.89,15.08,14.8,14.89,8100,0.0,-0.0106,120609.0,200907.5
2005-12-27,15.0,15.0,15.0,15.0,200,0.0,0.0074,3000.0,198243.4
2005-12-28,14.55,14.9,14.5,14.55,14700,0.0,-0.03,213885.0,175835.0
2005-12-29,14.87,14.92,14.77,14.87,7700,0.0,0.022,114499.0,159342.0
2005-12-30,14.7,14.7,14.6,14.7,3800,0.0,-0.0114,55860.0,144489.4
2006-01-03,15.0,15.13,14.81,15.0,3500,0.0,0.0204,52500.0,141689.2
2006-01-04,15.14,15.27,14.8,15.14,9800,0.0,0.0093,148372.0,136555.6
2006-01-05,14.72,15.03,14.64,14.72,10000,0.0,-0.0277,147200.0,126293.6
2006-01-06,14.61,14.7,14.54,14.61,12400,0.0,-0.0075,181164.0,122736.0
2006-01-09,14.54,14.71,14.36,14.54,13800,0.0,-0.0048,200652.0,131852.4
2006-01-10,14.83,14.83,14.64,14.83,10400,0.0,0.0199,154232.0,123774.1
2006-01-11,15.35,15.35,14.81,15.35,25500,0.0,0.0351,391425.0,127136.4
2006-01-12,15.39,15.39,15.25,15.39,23300,0.0,0.0026,358587.0,165978.9
2006-01-13,15.26,15.26,15.09,15.26,18400,0.0,-0.0084,280784.0,180449.1
2006-01-17,15.14,15.24,15.1,15.14,7700,0.0,-0.0079,116578.0,197077.6
2006-01-18,15.17,15.17,14.93,15.17,9100,0.0,0.002,138047.0,203149.4
2006-01-19,15.19,15.35,15.03,15.19,5500,0.0,0.0013,83545.0,211704.1
2006-01-20,15.82,15.88,15.37,15.82,42500,0.0,0.0415,672350.0,205221.4
2006-01-23,16.1,16.1,15.95,16.1,4100,0.0,0.0177,66010.0,257736.4
2006-01-24,16.18,16.18,15.99,16.18,8400,0.0,0.005,135912.0,246221.0
2006-01-25,16.1,16.3,16.04,16.1,4600,0.0,-0.0049,74060.0,239747.0
2006-01-26,16.82,16.82,16.14,16.82,15600,0.0,0.0447,262392.0,231729.8
2006-01-27,16.33,16.93,16.33,16.33,3200,0.0,-0.0291,52256.0,218826.5
2006-01-30,16.1,16.54,16.1,16.1,8400,0.0,-0.0141,135240.0,188193.4
2006-01-31,16.5,16.74,16.33,16.5,5400,0.0,0.0248,89100.0,173639.0
2006-02-01,16.81,16.86,16.4,16.81,23500,0.0,0.0188,395035.0,170891.2
2006-02-02,16.84,16.84,16.49,16.84,4100,0.0,0.0018,69044.0,196590.0
2006-02-03,16.87,16.87,16.7,16.87,3400,0.0,0.0018,57358.0,195139.9
2006-02-06,17.07,17.37,16.63,17.07,20900,0.0,0.0119,356763.0,133640.7
2006-02-07,16.91,17.18,16.91,16.91,12200,0.0,-0.0094,206302.0,162716.0
2006-02-08,16.87,17.01,16.43,16.87,9400,0.0,-0.0024,158578.0,169755.0
2006-02-09,17.01,17.26,16.78,17.01,5800,0.0,0.0083,98658.0,178206.8
2006-02-10,16.93,17.32,16.9,16.93,5300,0.0,-0.0047,89729.0,161833.4
2006-02-13,16.1,17.04,16.1,16.1,10400,0.0,-0.049,167440.0,165580.7
2006-02-14,15.85,16.59,15.47,15.85,15900,0.0,-0.0155,252015.0,168800.7
2006-02-15,15.95,16.19,15.88,15.95,7200,0.0,0.0063,114840.0,185092.2
2006-02-16,16.0,16.07,15.84,16.0,6100,0.0,0.0031,97600.0,157072.7
2006-02-17,16.42,16.45,15.92,16.42,21300,0.0,0.0263,349746.0,159928.3
2006-02-21,16.09,16.45,16.03,16.09,9600,0.0,-0.0201,154464.0,189167.1
2006-02-22,16.0,16.07,15.9,16.0,6600,0.0,-0.0056,105600.0,168937.2
2006-02-23,15.98,16.0,15.92,15.98,9500,0.0,-0.0012,151810.0,158867.0
2006-02-24,15.96,16.01,15.75,15.96,16800,0.0,-0.0013,268128.0,158190.2
2006-02-27,19.14,19.14,16.02,19.14,20800,0.0,0.1992,398112.0,175137.2
2006-02-28,16.21,16.24,16.04,16.21,13200,0.0,-0.1531,213972.0,205975.5
2006-03-01,16.4,16.4,16.17,16.4,9500,0.0,0.0117,155800.0,210628.7
