Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2021-03-11,9.76,9.76,9.72,9.72,1500,-0.0041,,14580.0,
2021-03-12,9.9,10.78,9.77,9.82,58400,-0.0081,0.0103,573488.0,
2021-03-15,9.85,9.85,9.73,9.75,58700,-0.0102,-0.0071,572325.0,
2021-03-16,9.71,9.72,9.71,9.72,300,0.001,-0.0031,2916.0,
2021-03-17,9.75,9.75,9.74,9.74,1300,-0.001,0.0021,12662.0,
2021-03-18,9.75,9.77,9.7,9.73,72600,-0.0021,-0.001,706398.0,
2021-03-19,9.75,9.75,9.7,9.7,1500,-0.0051,-0.0031,14550.0,
2021-03-22,9.78,9.78,9.67,9.71,8900,-0.0072,0.001,86419.0,
2021-03-23,9.69,9.69,9.6,9.67,67200,-0.0021,-0.0041,649824.0,
2021-03-24,9.64,9.65,9.56,9.65,739300,0.001,-0.0021,7134245.0,
2021-03-25,9.6,9.7,9.6,9.7,76400,0.0104,0.0052,741080.0,976740.7
2021-03-26,9.7,9.7,9.65,9.66,21400,-0.0041,-0.0041,206724.0,1049390.7
2021-03-29,9.66,9.66,9.66,9.66,0,0.0,0.0,0.0,1012714.3
2021-03-30,9.72,9.8,9.7,9.75,78200,0.0031,0.0093,762450.0,955481.8
2021-03-31,9.79,9.8,9.65,9.7,69900,-0.0092,-0.0051,678030.0,1031435.2
2021-04-01,9.7,9.7,9.65,9.65,6900,-0.0052,-0.0052,66585.0,1097972.0
2021-04-05,9.68,9.7,9.6,9.65,86500,-0.0031,0.0,834725.0,1033990.7
2021-04-06,9.63,9.78,9.63,9.75,112900,0.0125,0.0104,1100775.0,1116008.2
2021-04-07,9.79,9.85,9.65,9.71,116100,-0.0082,-0.0041,1127331.0,1217443.8
2021-04-08,9.77,9.79,9.7,9.74,17000,-0.0031,0.0031,165580.0,1265194.5
2021-04-09,9.75,9.78,9.73,9.78,5700,0.0031,0.0041,55746.0,568328.0
2021-04-12,9.8,9.88,9.8,9.84,50500,0.0041,0.0061,496920.0,499794.6
2021-04-13,9.72,9.84,9.7,9.84,32600,0.0123,0.0,320784.0,528814.2
2021-04-14,9.77,9.86,9.77,9.8,125000,0.0031,-0.0041,1225000.0,560892.6
2021-04-15,9.74,9.85,9.66,9.82,48400,0.0082,0.002,475288.0,607147.6
2021-04-16,9.85,9.85,9.74,9.85,11600,0.0,0.0031,114260.0,586873.4
2021-04-19,9.85,9.85,9.85,9.85,800,0.0,0.0,7880.0,591640.9
2021-04-20,9.73,9.85,9.7,9.79,200600,0.0062,-0.0061,1963874.0,508956.4
2021-04-21,9.71,9.77,9.7,9.77,600,0.0062,-0.002,5862.0,595266.3
2021-04-22,9.71,9.78,9.71,9.78,35100,0.0072,0.001,343278.0,483119.4
2021-04-23,9.71,9.76,9.69,9.73,4900,0.0021,-0.0051,47677.0,500889.2
2021-04-26,9.74,9.77,9.71,9.71,1200,-0.0031,-0.0021,11652.0,500082.3
2021-04-27,9.72,9.76,9.68,9.69,2500,-0.0031,-0.0021,24225.0,451555.5
2021-04-28,9.72,9.77,9.67,9.77,72300,0.0051,0.0083,706371.0,421899.6
2021-04-29,9.74,9.78,9.71,9.78,8000,0.0041,0.001,78240.0,370036.7
2021-04-30,9.78,9.78,9.72,9.78,1500,0.0,0.0,14670.0,330331.9
2021-05-03,9.73,9.74,9.67,9.74,27300,0.001,-0.0041,265902.0,320372.9
2021-05-04,9.71,9.74,9.69,9.74,10000,0.0031,0.0,97400.0,346175.1
2021-05-05,9.7,9.71,9.68,9.69,29100,-0.001,-0.0051,281979.0,159527.7
2021-05-06,9.69,9.7,9.67,9.69,66000,0.0,0.0,639540.0,187139.4
