Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2018-04-18,8.75,8.75,8.75,8.75,34400,0.0,,301000.0,
2018-04-19,8.75,8.75,8.75,8.75,0,0.0,0.0,0.0,
2018-04-20,8.75,8.75,8.75,8.75,0,0.0,0.0,0.0,
2018-04-23,8.75,8.75,8.75,8.75,0,0.0,0.0,0.0,
2018-04-24,8.75,8.75,8.75,8.75,0,0.0,0.0,0.0,
2018-04-25,8.8,8.8,8.8,8.8,50000,0.0,0.0057,440000.0,
2018-04-26,8.8,8.8,8.8,8.8,0,0.0,0.0,0.0,
2018-04-27,8.7,8.7,8.6,8.6,110000,-0.0115,-0.0227,946000.0,
2018-04-30,8.6,8.6,8.6,8.6,0,0.0,0.0,0.0,
2018-05-01,8.6,8.6,8.6,8.6,0,0.0,0.0,0.0,
2018-05-02,8.75,8.75,8.75,8.75,158000,0.0,0.0174,1382500.0,168700.0
2018-05-03,8.75,8.75,8.75,8.75,0,0.0,0.0,0.0,276850.0
2018-05-04,8.75,8.75,8.75,8.75,0,0.0,0.0,0.0,276850.0
2018-05-07,8.75,8.75,8.75,8.75,0,0.0,0.0,0.0,276850.0
2018-05-08,8.75,8.75,8.75,8.75,0,0.0,0.0,0.0,276850.0
2018-05-09,8.75,8.75,8.75,8.75,0,0.0,0.0,0.0,276850.0
2018-05-10,8.75,8.75,8.75,8.75,0,0.0,0.0,0.0,232850.0
2018-05-11,8.7,8.7,8.7,8.7,90200,0.0,-0.0057,784740.0,232850.0
2018-05-14,9.05,9.05,9.05,9.05,145400,0.0,0.0402,1315870.0,216724.0
2018-05-15,9.33,9.33,9.25,9.25,800000,-0.0086,0.0221,7400000.0,348311.0
2018-05-16,9.29,9.5,9.29,9.45,200000,0.0172,0.0216,1890000.0,1088311.0
2018-05-17,9.45,9.45,9.45,9.45,0,0.0,0.0,0.0,1139061.0
2018-05-18,9.45,9.45,9.45,9.45,0,0.0,0.0,0.0,1139061.0
2018-05-21,9.45,9.45,9.45,9.45,0,0.0,0.0,0.0,1139061.0
2018-05-22,9.8,9.8,9.65,9.75,1985000,-0.0051,0.0317,19353750.0,1139061.0
2018-05-23,9.75,9.75,9.75,9.75,0,0.0,0.0,0.0,3074436.0
2018-05-24,9.75,9.75,9.75,9.75,0,0.0,0.0,0.0,3074436.0
2018-05-25,9.78,9.8,9.7,9.8,2146000,0.002,0.0051,21030800.0,3074436.0
2018-05-29,9.8,9.8,9.8,9.8,0,0.0,0.0,0.0,5099042.0
2018-05-30,9.8,9.8,9.8,9.8,0,0.0,0.0,0.0,4967455.0
2018-05-31,9.8,9.8,9.8,9.8,0,0.0,0.0,0.0,4227455.0
2018-06-01,9.8,9.8,9.8,9.8,0,0.0,0.0,0.0,4038455.0
2018-06-04,9.8,9.8,9.8,9.8,0,0.0,0.0,0.0,4038455.0
2018-06-05,9.8,9.8,9.8,9.8,0,0.0,0.0,0.0,4038455.0
2018-06-06,9.8,9.8,9.8,9.8,0,0.0,0.0,0.0,4038455.0
2018-06-07,9.59,9.61,9.59,9.61,106000,0.0021,-0.0194,1018660.0,2103080.0
2018-06-08,9.7,9.7,9.7,9.7,50000,0.0,0.0094,485000.0,2204946.0
2018-06-11,9.7,9.7,9.7,9.7,0,0.0,0.0,0.0,2253446.0
2018-06-12,9.7,9.7,9.7,9.7,0,0.0,0.0,0.0,150366.0
2018-06-13,9.7,9.7,9.7,9.7,0,0.0,0.0,0.0,150366.0
2018-06-14,9.7,9.7,9.7,9.7,0,0.0,0.0,0.0,150366.0
2018-06-15,9.9,9.9,9.8,9.8,175000,-0.0101,0.0103,1715000.0,150366.0
2018-06-18,9.8,9.8,9.8,9.8,0,0.0,0.0,0.0,321866.0
2018-06-19,9.8,9.8,9.8,9.8,0,0.0,0.0,0.0,321866.0
2018-06-20,9.8,9.8,9.8,9.8,600000,0.0,0.0,5880000.0,321866.0
2018-06-21,9.8,9.8,9.8,9.8,0,0.0,0.0,0.0,909866.0
2018-06-22,9.8,9.8,9.8,9.8,0,0.0,0.0,0.0,808000.0
2018-06-25,9.8,9.8,9.8,9.8,0,0.0,0.0,0.0,759500.0
2018-06-26,9.8,9.8,9.8,9.8,0,0.0,0.0,0.0,759500.0
2018-06-27,10.5,10.5,10.5,10.5,500,0.0,0.0714,5250.0,759500.0
2018-06-28,10.5,10.5,10.5,10.5,0,0.0,0.0,0.0,760025.0
2018-06-29,10.5,10.5,10.5,10.5,0,0.0,0.0,0.0,760025.0
2018-07-02,10.5,10.5,10.5,10.5,0,0.0,0.0,0.0,588525.0
2018-07-03,10.5,10.5,10.5,10.5,0,0.0,0.0,0.0,588525.0
2018-07-05,10.5,10.5,10.5,10.5,0,0.0,0.0,0.0,588525.0
2018-07-06,10.5,10.5,10.5,10.5,0,0.0,0.0,0.0,525.0
